S.no,Symbol,Date,Open,High,Low,Close,Vol
40,GUFLPO,2017-11-08.csv,102.0,100.0,100.0,100.0,"108,158"
40,GUFLPO,2017-11-14.csv,100.0,100.0,100.0,100.0,"141,593"
40,GUFLPO,2017-11-20.csv,100.0,100.0,100.0,100.0,"65,016"
41,GUFLPO,2017-11-23.csv,100.0,100.0,100.0,100.0,"122,893"
39,GUFLPO,2018-01-01.csv,100.0,100.0,100.0,100.0,"41,317"
40,GUFLPO,2018-01-31.csv,100.0,100.0,100.0,100.0,"29,675"
35,GUFLPO,2018-03-20.csv,100.0,100.0,100.0,100.0,"104,999"
44,GUFLPO,2018-04-24.csv,100.0,100.0,100.0,100.0,"2,100"
38,GUFLPO,2018-05-24.csv,100.0,100.0,100.0,100.0,"77,043"
37,GUFLPO,2018-06-10.csv,100.0,100.0,100.0,100.0,"29,260"
36,GUFLPO,2018-08-07.csv,100.0,100.0,100.0,100.0,"17,881"
38,GUFLPO,2018-08-13.csv,100.0,100.0,100.0,100.0,"4,563"
40,GUFLPO,2018-09-17.csv,100.0,100.0,100.0,100.0,"8,647"
42,GUFLPO,2018-09-27.csv,100.0,100.0,100.0,100.0,"34,647"
43,GUFLPO,2018-10-02.csv,100.0,100.0,100.0,100.0,"2,750"
37,GUFLPO,2018-10-25.csv,100.0,100.0,100.0,100.0,"5,085"
35,GUFLPO,2018-10-29.csv,100.0,100.0,100.0,100.0,"257,850"
44,GUFLPO,2019-06-27.csv,100.0,100.0,100.0,100.0,"181,259"
