S.no,Symbol,Date,Open,High,Low,Close,Vol
22,HAMA,2012-01-10.csv,0.0,304.0,304.0,304.0,200
21,HAMA,2012-02-08.csv,304.0,298.0,274.0,274.0,860
27,HAMA,2012-04-05.csv,274.0,261.0,261.0,261.0,60
24,HAMA,2012-04-11.csv,261.0,248.0,248.0,248.0,240
23,HAMA,2012-06-11.csv,248.0,236.0,236.0,236.0,40
22,HAMA,2012-06-25.csv,236.0,232.0,232.0,232.0,10
21,HAMA,2012-06-26.csv,232.0,232.0,232.0,232.0,420
20,HAMA,2012-07-15.csv,232.0,228.0,228.0,228.0,600
23,HAMA,2012-07-25.csv,228.0,217.0,213.0,213.0,20
22,HAMA,2012-07-26.csv,213.0,209.0,201.0,201.0,30
19,HAMA,2012-07-29.csv,201.0,197.0,191.0,191.0,30
24,HAMA,2012-08-07.csv,191.0,182.0,176.0,176.0,30
24,HAMA,2012-08-08.csv,176.0,170.0,167.0,167.0,20
22,HAMA,2012-08-12.csv,167.0,164.0,161.0,161.0,20
23,HAMA,2012-08-22.csv,161.0,158.0,147.0,147.0,210
24,HAMA,2012-08-26.csv,147.0,145.0,133.0,133.0,230
23,HAMA,2012-08-27.csv,133.0,131.0,121.0,121.0,60
27,HAMA,2012-08-28.csv,121.0,119.0,109.0,109.0,120
24,HAMA,2012-08-29.csv,109.0,107.0,103.0,103.0,"13,660"
23,HAMA,2012-08-30.csv,103.0,101.0,97.0,97.0,60
27,HAMA,2012-09-02.csv,97.0,96.0,88.0,88.0,"2,440"
25,HAMA,2012-09-03.csv,88.0,87.0,80.0,80.0,"3,040"
26,HAMA,2012-09-04.csv,80.0,79.0,72.0,72.0,"4,410"
22,HAMA,2012-09-05.csv,72.0,71.0,65.0,65.0,"25,410"
26,HAMA,2012-09-06.csv,65.0,65.0,59.0,59.0,"20,770"
24,HAMA,2012-09-09.csv,59.0,63.0,58.0,60.0,"31,870"
28,HAMA,2012-09-10.csv,60.0,66.0,59.0,66.0,"12,280"
30,HAMA,2012-09-11.csv,66.0,72.0,66.0,72.0,"4,690"
26,HAMA,2012-09-12.csv,72.0,72.0,68.0,72.0,"5,620"
27,HAMA,2012-09-13.csv,72.0,71.0,66.0,70.0,"5,460"
27,HAMA,2012-09-16.csv,70.0,70.0,69.0,69.0,980
29,HAMA,2012-09-17.csv,69.0,68.0,68.0,68.0,"1,510"
23,HAMA,2012-09-18.csv,68.0,67.0,66.0,66.0,"1,120"
29,HAMA,2012-09-19.csv,66.0,65.0,65.0,65.0,10
25,HAMA,2012-09-20.csv,65.0,69.0,65.0,69.0,740
28,HAMA,2012-09-23.csv,69.0,69.0,68.0,69.0,370
28,HAMA,2012-09-25.csv,69.0,69.0,63.0,63.0,"1,430"
30,HAMA,2012-09-26.csv,63.0,64.0,64.0,64.0,100
27,HAMA,2012-09-30.csv,63.0,64.0,64.0,64.0,420
46,HAMA,2012-10-01.csv,64.0,67.0,65.0,67.0,"1,250"
47,HAMA,2012-10-01.csv,64.0,67.0,65.0,67.0,"1,250"
24,HAMA,2012-10-02.csv,67.0,70.0,66.0,70.0,"1,570"
27,HAMA,2012-10-03.csv,70.0,71.0,69.0,70.0,"7,140"
25,HAMA,2012-10-04.csv,70.0,71.0,70.0,70.0,"6,050"
26,HAMA,2012-10-07.csv,70.0,71.0,70.0,70.0,"4,560"
31,HAMA,2012-10-08.csv,70.0,71.0,70.0,70.0,"2,110"
26,HAMA,2012-10-09.csv,70.0,72.0,70.0,72.0,"4,910"
27,HAMA,2012-10-10.csv,72.0,72.0,71.0,71.0,"1,700"
26,HAMA,2012-10-11.csv,71.0,72.0,71.0,72.0,"1,450"
