S.no,Symbol,Date,Open,High,Low,Close,Vol
46,HDHPC,2020-02-25.csv,130.0,130.0,128.0,128.0,30
47,HDHPC,2020-02-26.csv,126.0,126.0,126.0,126.0,10
48,HDHPC,2020-03-01.csv,124.0,124.0,120.0,120.0,290
46,HDHPC,2020-03-03.csv,118.0,118.0,118.0,118.0,10
48,HDHPC,2020-03-05.csv,116.0,116.0,107.0,107.0,160
48,HDHPC,2020-03-11.csv,105.0,105.0,97.0,97.0,"2,130"
48,HDHPC,2020-03-12.csv,96.0,96.0,88.0,88.0,"1,390"
46,HDHPC,2020-03-15.csv,87.0,87.0,87.0,87.0,50
48,HDHPC,2020-03-16.csv,86.0,86.0,86.0,86.0,80
45,HDHPC,2020-03-18.csv,85.0,85.0,85.0,85.0,40
32,HDHPC,2020-03-22.csv,84.0,84.0,82.0,82.0,220
