S.no,Symbol,Date,Open,High,Low,Close,Vol
27,HDL,2012-02-07.csv,100.0,99.0,99.0,99.0,20
29,HDL,2012-03-20.csv,99.0,99.0,99.0,99.0,40
30,HDL,2012-04-30.csv,99.0,100.0,98.0,100.0,"5,730"
25,HDL,2012-07-08.csv,100.0,100.0,100.0,100.0,"13,810"
21,HDL,2012-07-16.csv,100.0,100.0,100.0,100.0,50
26,HDL,2012-08-01.csv,100.0,99.0,99.0,99.0,70
25,HDL,2012-09-18.csv,99.0,100.0,100.0,100.0,20
24,HDL,2013-02-05.csv,100.0,98.0,98.0,98.0,330
27,HDL,2013-05-20.csv,98.0,97.0,96.0,96.0,70
29,HDL,2013-07-07.csv,96.0,98.0,97.0,98.0,80
28,HDL,2013-07-08.csv,98.0,101.0,99.0,100.0,"11,240"
28,HDL,2013-07-09.csv,100.0,100.0,100.0,100.0,310
29,HDL,2013-08-01.csv,100.0,100.0,100.0,100.0,"609,080"
32,HDL,2013-08-04.csv,100.0,100.0,100.0,100.0,120
31,HDL,2013-08-11.csv,100.0,98.0,98.0,98.0,150
30,HDL,2013-10-07.csv,98.0,99.0,99.0,99.0,400
28,HDL,2013-10-22.csv,99.0,100.0,100.0,100.0,70
25,HDL,2013-10-31.csv,100.0,98.0,98.0,98.0,40
29,HDL,2013-12-03.csv,98.0,99.0,99.0,99.0,100
30,HDL,2014-03-24.csv,99.0,100.0,100.0,100.0,60
32,HDL,2014-03-27.csv,100.0,100.0,100.0,100.0,"59,000"
32,HDL,2014-04-02.csv,100.0,100.0,100.0,100.0,100
32,HDL,2014-04-03.csv,100.0,110.0,102.0,110.0,100
30,HDL,2014-04-09.csv,110.0,112.0,112.0,112.0,20
32,HDL,2014-04-17.csv,112.0,116.0,114.0,116.0,"1,020"
31,HDL,2014-04-23.csv,116.0,118.0,118.0,118.0,100
30,HDL,2014-04-27.csv,118.0,124.0,120.0,124.0,400
31,HDL,2014-04-29.csv,124.0,128.0,126.0,128.0,"1,050"
32,HDL,2014-05-08.csv,128.0,134.0,130.0,134.0,"1,750"
80,HDL,2014-06-17.csv,134.0,140.0,136.0,140.0,30
81,HDL,2014-06-17.csv,134.0,140.0,136.0,140.0,30
38,HDL,2014-06-19.csv,140.0,142.0,142.0,142.0,20
38,HDL,2014-06-25.csv,142.0,153.0,144.0,153.0,60
41,HDL,2014-07-01.csv,153.0,156.0,156.0,156.0,20
42,HDL,2014-07-08.csv,156.0,171.0,159.0,171.0,100
41,HDL,2014-07-22.csv,171.0,181.0,174.0,181.0,710
40,HDL,2014-07-23.csv,181.0,184.0,184.0,184.0,30
39,HDL,2014-08-03.csv,184.0,187.0,187.0,187.0,50
40,HDL,2014-08-05.csv,187.0,190.0,190.0,190.0,180
36,HDL,2014-08-06.csv,190.0,193.0,193.0,193.0,50
31,HDL,2014-08-12.csv,193.0,193.0,193.0,193.0,20
37,HDL,2014-08-18.csv,193.0,199.0,196.0,199.0,40
38,HDL,2014-09-01.csv,199.0,199.0,199.0,199.0,"4,470"
38,HDL,2014-09-09.csv,199.0,210.0,202.0,210.0,60
38,HDL,2014-09-28.csv,210.0,218.0,214.0,218.0,70
35,HDL,2014-09-29.csv,218.0,218.0,218.0,218.0,500
35,HDL,2014-10-13.csv,218.0,222.0,222.0,222.0,30
34,HDL,2014-10-30.csv,222.0,222.0,222.0,222.0,20
37,HDL,2014-11-02.csv,222.0,234.0,226.0,234.0,60
32,HDL,2014-11-04.csv,234.0,238.0,238.0,238.0,60
34,HDL,2014-11-06.csv,238.0,253.0,249.0,253.0,20
33,HDL,2014-11-09.csv,253.0,263.0,258.0,263.0,"1,450"
33,HDL,2014-11-17.csv,263.0,283.0,268.0,283.0,60
35,HDL,2014-11-30.csv,283.0,293.0,288.0,293.0,30
34,HDL,2014-12-01.csv,293.0,298.0,298.0,298.0,50
31,HDL,2014-12-07.csv,298.0,303.0,303.0,303.0,10
33,HDL,2014-12-08.csv,303.0,321.0,309.0,321.0,250
32,HDL,2014-12-09.csv,321.0,345.0,327.0,345.0,"1,090"
31,HDL,2014-12-10.csv,345.0,358.0,351.0,358.0,80
34,HDL,2014-12-11.csv,358.0,393.0,365.0,393.0,870
32,HDL,2014-12-14.csv,393.0,432.0,400.0,432.0,"2,450"
34,HDL,2014-12-15.csv,432.0,456.0,424.0,456.0,240
32,HDL,2014-12-16.csv,456.0,465.0,456.0,464.0,190
35,HDL,2014-12-17.csv,464.0,460.0,455.0,460.0,310
38,HDL,2014-12-18.csv,460.0,484.0,469.0,484.0,180
31,HDL,2014-12-21.csv,484.0,493.0,473.0,473.0,"1,310"
62,HDL,2014-12-28.csv,473.0,464.0,438.0,438.0,60
63,HDL,2014-12-28.csv,473.0,464.0,438.0,438.0,60
31,HDL,2015-01-05.csv,438.0,430.0,406.0,406.0,180
34,HDL,2015-01-06.csv,406.0,446.0,398.0,446.0,"2,480"
32,HDL,2015-01-07.csv,446.0,490.0,450.0,490.0,"2,210"
34,HDL,2015-01-08.csv,490.0,539.0,499.0,539.0,"1,430"
35,HDL,2015-01-11.csv,539.0,592.0,549.0,592.0,460
30,HDL,2015-01-12.csv,592.0,639.0,603.0,639.0,220
30,HDL,2015-01-13.csv,639.0,702.0,651.0,702.0,"3,880"
33,HDL,2015-01-14.csv,702.0,772.0,716.0,772.0,"4,125"
35,HDL,2015-01-19.csv,772.0,818.0,787.0,818.0,30
28,HDL,2015-01-22.csv,818.0,802.0,737.0,737.0,70
36,HDL,2015-01-25.csv,737.0,723.0,664.0,664.0,"1,090"
37,HDL,2015-01-26.csv,664.0,715.0,638.0,689.0,"3,715"
37,HDL,2015-01-27.csv,689.0,676.0,663.0,666.0,790
36,HDL,2015-01-28.csv,666.0,673.0,660.0,673.0,110
34,HDL,2015-01-29.csv,673.0,661.0,661.0,661.0,210
38,HDL,2015-02-01.csv,661.0,661.0,660.0,660.0,410
37,HDL,2015-02-02.csv,660.0,694.0,655.0,694.0,410
34,HDL,2015-02-03.csv,694.0,748.0,689.0,748.0,"1,865"
38,HDL,2015-02-04.csv,748.0,750.0,735.0,750.0,"2,065"
35,HDL,2015-02-05.csv,750.0,735.0,735.0,735.0,500
40,HDL,2015-02-08.csv,735.0,749.0,749.0,749.0,30
35,HDL,2015-02-09.csv,749.0,749.0,730.0,749.0,540
37,HDL,2015-02-10.csv,749.0,749.0,735.0,735.0,340
33,HDL,2015-02-11.csv,735.0,721.0,707.0,707.0,70
33,HDL,2015-02-22.csv,707.0,720.0,693.0,693.0,"2,270"
33,HDL,2015-02-26.csv,693.0,700.0,637.0,637.0,"1,630"
34,HDL,2015-03-01.csv,637.0,627.0,627.0,627.0,440
