S.no,Symbol,Date,Open,High,Low,Close,Vol
28,HFL,2012-01-01.csv,58.0,57.0,56.0,57.0,"3,460"
22,HFL,2012-01-02.csv,57.0,58.0,55.0,58.0,"1,620"
27,HFL,2012-01-03.csv,58.0,60.0,57.0,60.0,"2,500"
25,HFL,2012-01-04.csv,60.0,59.0,59.0,59.0,"1,880"
17,HFL,2012-01-05.csv,59.0,58.0,54.0,54.0,"2,480"
20,HFL,2012-01-08.csv,54.0,57.0,55.0,57.0,"2,040"
24,HFL,2012-01-09.csv,57.0,61.0,56.0,61.0,"1,360"
27,HFL,2012-01-11.csv,61.0,67.0,60.0,67.0,"3,590"
25,HFL,2012-01-12.csv,67.0,73.0,65.0,73.0,"4,310"
24,HFL,2012-01-18.csv,73.0,75.0,73.0,75.0,"7,280"
27,HFL,2012-01-22.csv,75.0,74.0,72.0,72.0,"1,400"
25,HFL,2012-01-23.csv,72.0,74.0,66.0,67.0,"9,690"
23,HFL,2012-01-25.csv,67.0,68.0,65.0,65.0,210
21,HFL,2012-01-26.csv,65.0,65.0,63.0,63.0,140
26,HFL,2012-01-29.csv,63.0,63.0,57.0,57.0,"4,220"
31,HFL,2012-01-31.csv,57.0,57.0,55.0,56.0,100
26,HFL,2012-02-01.csv,56.0,55.0,53.0,53.0,420
24,HFL,2012-02-02.csv,53.0,53.0,49.0,50.0,970
26,HFL,2012-02-05.csv,50.0,53.0,49.0,53.0,600
23,HFL,2012-02-06.csv,53.0,53.0,53.0,53.0,50
22,HFL,2012-02-08.csv,53.0,56.0,49.0,56.0,650
21,HFL,2012-02-13.csv,56.0,54.0,51.0,51.0,200
21,HFL,2012-02-14.csv,51.0,56.0,49.0,56.0,"6,270"
24,HFL,2012-02-15.csv,56.0,60.0,51.0,59.0,"5,120"
24,HFL,2012-02-16.csv,59.0,60.0,54.0,59.0,"4,620"
23,HFL,2012-02-21.csv,59.0,64.0,55.0,62.0,"3,610"
24,HFL,2012-02-23.csv,62.0,64.0,62.0,62.0,"2,020"
