Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,HGI,555.0,610.0,566.0,610.0,12351
1/4/2016,HGI,610.0,671.0,600.0,671.0,57596
1/5/2016,HGI,671.0,684.0,642.0,654.0,24829
1/6/2016,HGI,654.0,655.0,610.0,655.0,22069
1/7/2016,HGI,655.0,710.0,668.0,705.0,29556
1/10/2016,HGI,705.0,736.0,705.0,710.0,33729
1/11/2016,HGI,710.0,715.0,695.0,703.0,12975
1/12/2016,HGI,703.0,715.0,700.0,710.0,17735
1/12/2016,HGI,703.0,715.0,700.0,710.0,17735
1/13/2016,HGI,710.0,719.0,710.0,717.0,10792
1/14/2016,HGI,717.0,726.0,705.0,713.0,8539
1/17/2016,HGI,713.0,728.0,714.0,725.0,9209
1/18/2016,HGI,725.0,730.0,702.0,720.0,4585
1/19/2016,HGI,720.0,714.0,700.0,714.0,6696
1/20/2016,HGI,714.0,715.0,700.0,715.0,8389
1/21/2016,HGI,715.0,712.0,707.0,712.0,12688
1/24/2016,HGI,712.0,736.0,700.0,735.0,9334
1/25/2016,HGI,735.0,745.0,717.0,725.0,7106
1/26/2016,HGI,725.0,730.0,710.0,710.0,9198
1/27/2016,HGI,710.0,710.0,700.0,700.0,2650
1/28/2016,HGI,700.0,695.0,685.0,690.0,3504
1/31/2016,HGI,690.0,704.0,695.0,699.0,1736
2/1/2016,HGI,699.0,703.0,694.0,694.0,1517
2/2/2016,HGI,694.0,710.0,690.0,695.0,3796
2/3/2016,HGI,695.0,708.0,685.0,705.0,2467
2/4/2016,HGI,705.0,729.0,700.0,729.0,19540
2/7/2016,HGI,729.0,760.0,720.0,739.0,28979
2/8/2016,HGI,739.0,770.0,735.0,770.0,18842
2/11/2016,HGI,770.0,788.0,770.0,785.0,15878
2/14/2016,HGI,785.0,792.0,756.0,756.0,4278
2/15/2016,HGI,756.0,755.0,733.0,755.0,4270
2/16/2016,HGI,755.0,775.0,759.0,775.0,10925
2/17/2016,HGI,775.0,794.0,775.0,788.0,13234
2/18/2016,HGI,788.0,800.0,775.0,785.0,8745
2/21/2016,HGI,785.0,789.0,777.0,785.0,9288
2/22/2016,HGI,785.0,775.0,763.0,763.0,1058
2/23/2016,HGI,763.0,770.0,749.0,770.0,2787
2/24/2016,HGI,770.0,766.0,760.0,766.0,2968
2/25/2016,HGI,766.0,775.0,760.0,769.0,3572
2/28/2016,HGI,769.0,783.0,762.0,765.0,2710
2/29/2016,HGI,765.0,765.0,765.0,765.0,1100
3/1/2016,HGI,765.0,765.0,755.0,765.0,4723
3/2/2016,HGI,765.0,790.0,775.0,780.0,8958
3/3/2016,HGI,780.0,803.0,790.0,797.0,11495
3/6/2016,HGI,797.0,841.0,810.0,835.0,20535
3/10/2016,HGI,835.0,918.0,851.0,918.0,41554
3/13/2016,HGI,918.0,936.0,865.0,880.0,25098
3/14/2016,HGI,880.0,889.0,857.0,857.0,12258
3/15/2016,HGI,857.0,903.0,849.0,902.0,19237
3/16/2016,HGI,902.0,955.0,920.0,936.0,32245
3/17/2016,HGI,936.0,964.0,931.0,940.0,20542
3/20/2016,HGI,940.0,973.0,946.0,970.0,13564
3/21/2016,HGI,970.0,989.0,965.0,970.0,12993
