S.no,Symbol,Date,Open,High,Low,Close,Vol
36,HIDCL,2016-07-12.csv,0.0,359.0,328.0,359.0,"29,034"
38,HIDCL,2016-07-13.csv,359.0,394.0,366.0,394.0,"36,508"
36,HIDCL,2016-07-14.csv,394.0,433.0,384.0,433.0,"383,111"
35,HIDCL,2016-07-17.csv,433.0,476.0,424.0,476.0,"279,518"
35,HIDCL,2016-07-18.csv,476.0,501.0,441.0,455.0,"165,946"
35,HIDCL,2016-07-19.csv,455.0,464.0,421.0,427.0,"139,774"
36,HIDCL,2016-07-20.csv,427.0,432.0,400.0,400.0,"107,322"
36,HIDCL,2016-07-21.csv,400.0,430.0,402.0,410.0,"49,398"
36,HIDCL,2016-07-25.csv,410.0,432.0,405.0,430.0,"45,118"
35,HIDCL,2016-07-26.csv,430.0,449.0,422.0,430.0,"53,932"
36,HIDCL,2016-07-27.csv,430.0,435.0,418.0,425.0,"42,012"
35,HIDCL,2016-07-28.csv,425.0,425.0,415.0,416.0,"20,633"
34,HIDCL,2016-07-31.csv,416.0,420.0,410.0,412.0,"30,489"
34,HIDCL,2016-08-01.csv,412.0,417.0,407.0,408.0,"38,734"
34,HIDCL,2016-08-02.csv,408.0,416.0,400.0,405.0,"42,066"
33,HIDCL,2016-08-03.csv,405.0,410.0,400.0,403.0,"40,746"
35,HIDCL,2016-08-04.csv,403.0,417.0,389.0,391.0,"51,130"
35,HIDCL,2016-08-07.csv,391.0,410.0,390.0,390.0,"45,554"
32,HIDCL,2016-08-08.csv,390.0,387.0,369.0,369.0,"29,440"
22,HIDCL,2016-08-09.csv,369.0,397.0,376.0,395.0,"16,573"
34,HIDCL,2016-08-10.csv,395.0,402.0,385.0,392.0,"45,740"
35,HIDCL,2016-08-11.csv,392.0,392.0,383.0,390.0,"34,904"
32,HIDCL,2016-08-14.csv,390.0,390.0,358.0,362.0,"49,307"
33,HIDCL,2016-08-15.csv,362.0,366.0,338.0,344.0,"36,829"
36,HIDCL,2016-08-16.csv,344.0,355.0,336.0,350.0,"36,420"
35,HIDCL,2016-08-17.csv,350.0,357.0,345.0,355.0,"33,053"
34,HIDCL,2016-08-21.csv,355.0,356.0,344.0,346.0,"14,759"
34,HIDCL,2016-08-22.csv,346.0,341.0,326.0,329.0,"30,973"
33,HIDCL,2016-08-23.csv,329.0,330.0,319.0,325.0,"29,800"
36,HIDCL,2016-08-24.csv,325.0,339.0,325.0,335.0,"20,017"
35,HIDCL,2016-08-28.csv,335.0,346.0,330.0,331.0,"16,833"
33,HIDCL,2016-08-29.csv,331.0,334.0,321.0,326.0,"25,024"
37,HIDCL,2016-08-30.csv,326.0,338.0,326.0,331.0,"28,564"
36,HIDCL,2016-08-31.csv,331.0,333.0,320.0,325.0,"18,569"
35,HIDCL,2016-09-01.csv,325.0,328.0,320.0,325.0,"19,977"
35,HIDCL,2016-09-03.csv,325.0,325.0,317.0,320.0,"18,682"
35,HIDCL,2016-09-04.csv,325.0,325.0,317.0,320.0,"18,682"
34,HIDCL,2016-09-05.csv,320.0,324.0,312.0,324.0,"20,849"
33,HIDCL,2016-09-06.csv,324.0,326.0,316.0,320.0,"23,174"
34,HIDCL,2016-09-07.csv,320.0,325.0,314.0,321.0,"13,664"
35,HIDCL,2016-09-08.csv,321.0,329.0,317.0,324.0,"22,517"
32,HIDCL,2016-09-11.csv,324.0,330.0,315.0,316.0,"28,696"
31,HIDCL,2016-09-12.csv,316.0,319.0,311.0,313.0,"31,672"
33,HIDCL,2016-09-14.csv,313.0,314.0,303.0,305.0,"33,290"
32,HIDCL,2016-09-18.csv,305.0,315.0,303.0,305.0,"28,671"
33,HIDCL,2016-09-20.csv,305.0,306.0,298.0,299.0,"22,726"
34,HIDCL,2016-09-21.csv,299.0,303.0,295.0,301.0,"29,742"
