S.no,Symbol,Date,Open,High,Low,Close,Vol
49,HURJA,2019-05-22.csv,160.0,160.0,144.0,144.0,"8,556"
49,HURJA,2019-05-23.csv,145.0,145.0,130.0,130.0,"3,400"
48,HURJA,2019-05-26.csv,124.0,134.0,117.0,134.0,"54,300"
51,HURJA,2019-05-27.csv,132.0,132.0,123.0,131.0,"8,888"
49,HURJA,2019-05-28.csv,131.0,133.0,128.0,133.0,"11,700"
51,HURJA,2019-05-29.csv,131.0,146.0,131.0,146.0,"18,950"
50,HURJA,2019-05-30.csv,148.0,160.0,148.0,160.0,"16,414"
50,HURJA,2019-06-02.csv,163.0,168.0,147.0,152.0,"36,836"
53,HURJA,2019-06-03.csv,152.0,155.0,144.0,155.0,"14,610"
51,HURJA,2019-06-04.csv,156.0,157.0,149.0,149.0,"6,100"
51,HURJA,2019-06-06.csv,151.0,154.0,148.0,149.0,"3,810"
50,HURJA,2019-06-10.csv,150.0,154.0,146.0,147.0,"9,085"
50,HURJA,2019-06-11.csv,149.0,155.0,147.0,148.0,"5,020"
49,HURJA,2019-06-12.csv,147.0,155.0,144.0,148.0,"3,430"
49,HURJA,2019-06-13.csv,146.0,150.0,145.0,146.0,"4,250"
52,HURJA,2019-06-16.csv,148.0,152.0,145.0,152.0,"3,470"
49,HURJA,2019-06-17.csv,149.0,152.0,143.0,148.0,"3,990"
51,HURJA,2019-06-18.csv,146.0,146.0,142.0,146.0,"1,190"
47,HURJA,2019-06-19.csv,144.0,153.0,144.0,144.0,810
50,HURJA,2019-06-20.csv,146.0,148.0,142.0,146.0,"1,580"
51,HURJA,2019-06-23.csv,148.0,148.0,143.0,143.0,800
50,HURJA,2019-06-24.csv,141.0,144.0,141.0,142.0,"1,270"
47,HURJA,2019-06-25.csv,140.0,144.0,140.0,142.0,866
49,HURJA,2019-06-26.csv,140.0,146.0,140.0,146.0,"1,950"
50,HURJA,2019-06-27.csv,144.0,148.0,143.0,144.0,"2,020"
49,HURJA,2019-06-30.csv,142.0,145.0,142.0,142.0,"3,730"
49,HURJA,2019-07-01.csv,141.0,144.0,139.0,141.0,"6,390"
50,HURJA,2019-07-02.csv,139.0,143.0,139.0,141.0,721
48,HURJA,2019-07-03.csv,139.0,142.0,139.0,140.0,"1,100"
49,HURJA,2019-07-04.csv,140.0,142.0,139.0,140.0,"1,410"
49,HURJA,2019-07-07.csv,142.0,142.0,139.0,140.0,"1,340"
48,HURJA,2019-07-08.csv,142.0,150.0,139.0,140.0,"1,830"
50,HURJA,2019-07-09.csv,140.0,142.0,139.0,141.0,"2,186"
50,HURJA,2019-07-10.csv,140.0,142.0,139.0,140.0,"1,615"
48,HURJA,2019-07-11.csv,140.0,140.0,139.0,139.0,"1,720"
47,HURJA,2019-07-14.csv,140.0,140.0,138.0,139.0,"1,200"
48,HURJA,2019-07-15.csv,139.0,141.0,138.0,139.0,"3,030"
48,HURJA,2019-07-16.csv,139.0,142.0,139.0,139.0,"1,340"
48,HURJA,2019-07-17.csv,138.0,141.0,138.0,140.0,"2,630"
45,HURJA,2019-07-18.csv,140.0,143.0,140.0,142.0,680
48,HURJA,2019-07-21.csv,144.0,145.0,144.0,145.0,40
49,HURJA,2019-07-22.csv,143.0,143.0,139.0,143.0,"1,450"
48,HURJA,2019-07-23.csv,141.0,141.0,138.0,139.0,"1,230"
49,HURJA,2019-07-24.csv,140.0,142.0,138.0,138.0,"2,060"
48,HURJA,2019-07-25.csv,138.0,140.0,138.0,138.0,"1,335"
48,HURJA,2019-07-28.csv,136.0,138.0,131.0,136.0,"11,417"
47,HURJA,2019-07-29.csv,138.0,138.0,134.0,134.0,"3,748"
51,HURJA,2019-07-30.csv,132.0,138.0,132.0,135.0,"1,610"
50,HURJA,2019-07-31.csv,133.0,138.0,133.0,136.0,990
49,HURJA,2019-08-01.csv,136.0,142.0,136.0,140.0,830
48,HURJA,2019-08-04.csv,140.0,140.0,134.0,136.0,730
49,HURJA,2019-08-05.csv,137.0,138.0,134.0,137.0,650
50,HURJA,2019-08-06.csv,135.0,136.0,133.0,134.0,690
51,HURJA,2019-08-07.csv,132.0,136.0,131.0,131.0,"3,450"
50,HURJA,2019-08-08.csv,130.0,134.0,130.0,133.0,"1,900"
47,HURJA,2019-08-11.csv,132.0,132.0,130.0,132.0,"1,080"
51,HURJA,2019-08-12.csv,130.0,132.0,130.0,130.0,"1,385"
47,HURJA,2019-08-13.csv,128.0,132.0,127.0,128.0,"1,320"
51,HURJA,2019-08-14.csv,127.0,132.0,127.0,131.0,"1,030"
46,HURJA,2019-08-15.csv,129.0,130.0,128.0,129.0,896
46,HURJA,2019-08-18.csv,129.0,131.0,126.0,127.0,760
52,HURJA,2019-08-19.csv,125.0,130.0,125.0,128.0,"1,510"
47,HURJA,2019-08-20.csv,128.0,128.0,125.0,127.0,720
48,HURJA,2019-08-21.csv,125.0,128.0,123.0,126.0,"2,420"
49,HURJA,2019-08-22.csv,124.0,126.0,124.0,125.0,"1,470"
50,HURJA,2019-08-25.csv,123.0,123.0,121.0,123.0,390
46,HURJA,2019-08-26.csv,121.0,125.0,121.0,124.0,"3,150"
48,HURJA,2019-08-27.csv,122.0,126.0,122.0,124.0,640
49,HURJA,2019-08-28.csv,124.0,125.0,122.0,122.0,"1,440"
50,HURJA,2019-08-29.csv,120.0,123.0,120.0,123.0,950
51,HURJA,2019-09-01.csv,121.0,121.0,117.0,119.0,750
52,HURJA,2019-09-02.csv,117.0,118.0,116.0,116.0,700
51,HURJA,2019-09-03.csv,114.0,118.0,114.0,116.0,730
48,HURJA,2019-09-04.csv,114.0,121.0,114.0,119.0,640
50,HURJA,2019-09-05.csv,120.0,125.0,118.0,119.0,820
46,HURJA,2019-09-08.csv,117.0,117.0,113.0,114.0,890
52,HURJA,2019-09-09.csv,112.0,120.0,112.0,119.0,490
50,HURJA,2019-09-10.csv,121.0,127.0,121.0,127.0,50
51,HURJA,2019-09-11.csv,125.0,125.0,123.0,123.0,20
50,HURJA,2019-09-12.csv,121.0,121.0,112.0,115.0,"3,310"
47,HURJA,2019-09-15.csv,113.0,113.0,107.0,108.0,"1,840"
50,HURJA,2019-09-16.csv,106.0,109.0,105.0,105.0,"2,030"
49,HURJA,2019-09-17.csv,106.0,112.0,106.0,112.0,986
50,HURJA,2019-09-18.csv,112.0,112.0,108.0,112.0,840
45,HURJA,2019-09-19.csv,110.0,114.0,110.0,112.0,360
48,HURJA,2019-09-22.csv,108.0,112.0,106.0,112.0,240
49,HURJA,2019-09-23.csv,112.0,114.0,109.0,109.0,190
50,HURJA,2019-09-24.csv,108.0,109.0,102.0,106.0,"1,370"
49,HURJA,2019-09-25.csv,104.0,106.0,104.0,106.0,310
47,HURJA,2019-09-26.csv,104.0,112.0,102.0,112.0,460
45,HURJA,2019-09-29.csv,110.0,110.0,103.0,103.0,310
44,HURJA,2019-09-30.csv,102.0,109.0,102.0,104.0,850
43,HURJA,2019-10-01.csv,105.0,108.0,105.0,107.0,460
44,HURJA,2019-10-02.csv,106.0,106.0,106.0,106.0,90
34,HURJA,2019-10-10.csv,106.0,106.0,105.0,106.0,40
45,HURJA,2019-10-14.csv,104.0,104.0,104.0,104.0,140
42,HURJA,2019-10-15.csv,104.0,105.0,104.0,105.0,670
41,HURJA,2019-10-16.csv,104.0,107.0,104.0,107.0,80
43,HURJA,2019-10-17.csv,107.0,107.0,105.0,105.0,740
44,HURJA,2019-10-21.csv,103.0,105.0,102.0,103.0,270
47,HURJA,2019-10-22.csv,105.0,105.0,103.0,103.0,690
44,HURJA,2019-10-23.csv,103.0,103.0,101.0,102.0,50
45,HURJA,2019-10-24.csv,102.0,105.0,102.0,105.0,220
45,HURJA,2019-10-31.csv,105.0,106.0,103.0,103.0,920
47,HURJA,2019-11-03.csv,101.0,102.0,101.0,102.0,430
48,HURJA,2019-11-04.csv,102.0,104.0,101.0,104.0,580
46,HURJA,2019-11-05.csv,102.0,104.0,101.0,102.0,490
45,HURJA,2019-11-06.csv,101.0,103.0,101.0,103.0,190
43,HURJA,2019-11-07.csv,101.0,102.0,100.0,101.0,650
45,HURJA,2019-11-10.csv,101.0,103.0,101.0,103.0,165
48,HURJA,2019-11-11.csv,101.0,102.0,100.0,101.0,240
46,HURJA,2019-11-12.csv,101.0,103.0,99.0,102.0,"1,510"
40,HURJA,2019-11-13.csv,102.0,102.0,100.0,102.0,490
46,HURJA,2019-11-14.csv,102.0,102.0,100.0,100.0,"1,940"
43,HURJA,2019-11-17.csv,100.0,100.0,99.0,99.0,260
46,HURJA,2019-11-18.csv,99.0,101.0,99.0,100.0,410
48,HURJA,2019-11-19.csv,99.0,99.0,98.0,99.0,480
46,HURJA,2019-11-20.csv,99.0,103.0,98.0,101.0,510
47,HURJA,2019-11-21.csv,99.0,102.0,98.0,101.0,680
46,HURJA,2019-11-24.csv,99.0,100.0,99.0,99.0,260
47,HURJA,2019-11-25.csv,100.0,99.0,100.0,99.0,470
47,HURJA,2019-11-26.csv,100.0,100.0,97.0,98.0,"1,490"
47,HURJA,2019-11-27.csv,99.0,99.0,98.0,99.0,110
45,HURJA,2019-11-28.csv,98.0,99.0,96.0,99.0,"1,445"
44,HURJA,2019-12-01.csv,99.0,99.0,97.0,97.0,830
44,HURJA,2019-12-02.csv,98.0,98.0,97.0,97.0,"2,190"
49,HURJA,2019-12-03.csv,97.0,100.0,97.0,100.0,275
49,HURJA,2019-12-04.csv,102.0,102.0,99.0,99.0,320
46,HURJA,2019-12-05.csv,99.0,100.0,99.0,100.0,260
47,HURJA,2019-12-08.csv,98.0,98.0,97.0,97.0,200
