Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,ICFC,208.0,204.0,204.0,204.0,120
1/4/2016,ICFC,204.0,204.0,204.0,204.0,500
1/5/2016,ICFC,204.0,205.0,204.0,205.0,280
1/6/2016,ICFC,205.0,209.0,206.0,209.0,1320
1/7/2016,ICFC,209.0,205.0,205.0,205.0,348
1/10/2016,ICFC,205.0,209.0,209.0,209.0,53
1/12/2016,ICFC,209.0,208.0,208.0,208.0,1000
1/12/2016,ICFC,209.0,208.0,208.0,208.0,1000
1/13/2016,ICFC,208.0,205.0,205.0,205.0,27
1/14/2016,ICFC,205.0,202.0,202.0,202.0,65
1/17/2016,ICFC,202.0,218.0,206.0,218.0,2545
1/18/2016,ICFC,218.0,220.0,215.0,216.0,1240
1/19/2016,ICFC,216.0,214.0,206.0,214.0,664
1/20/2016,ICFC,214.0,225.0,217.0,222.0,13903
1/21/2016,ICFC,222.0,228.0,225.0,228.0,4486
1/24/2016,ICFC,228.0,238.0,232.0,236.0,2751
1/25/2016,ICFC,236.0,237.0,237.0,237.0,100
1/26/2016,ICFC,237.0,235.0,228.0,228.0,1345
1/27/2016,ICFC,228.0,246.0,231.0,231.0,4196
1/28/2016,ICFC,231.0,239.0,231.0,231.0,1830
1/31/2016,ICFC,231.0,250.0,235.0,250.0,9359
2/1/2016,ICFC,250.0,257.0,245.0,250.0,8968
2/2/2016,ICFC,250.0,262.0,250.0,259.0,12844
2/3/2016,ICFC,259.0,260.0,249.0,260.0,4849
2/4/2016,ICFC,260.0,278.0,257.0,268.0,8885
2/7/2016,ICFC,268.0,265.0,253.0,260.0,4017
2/8/2016,ICFC,260.0,269.0,257.0,260.0,3339
2/11/2016,ICFC,260.0,265.0,247.0,251.0,3045
2/14/2016,ICFC,251.0,261.0,256.0,258.0,1527
2/15/2016,ICFC,258.0,255.0,250.0,253.0,624
2/16/2016,ICFC,253.0,258.0,252.0,258.0,1775
2/17/2016,ICFC,258.0,264.0,259.0,260.0,2589
2/18/2016,ICFC,260.0,265.0,250.0,260.0,17983
2/21/2016,ICFC,260.0,261.0,253.0,260.0,3360
2/22/2016,ICFC,260.0,262.0,257.0,260.0,3851
2/23/2016,ICFC,260.0,265.0,257.0,260.0,3193
2/24/2016,ICFC,260.0,256.0,256.0,256.0,500
2/25/2016,ICFC,256.0,261.0,256.0,261.0,270
2/28/2016,ICFC,261.0,266.0,266.0,266.0,50
2/29/2016,ICFC,266.0,265.0,263.0,263.0,990
3/1/2016,ICFC,263.0,264.0,258.0,260.0,2970
3/2/2016,ICFC,260.0,267.0,260.0,267.0,5317
3/3/2016,ICFC,267.0,282.0,272.0,280.0,5480
3/6/2016,ICFC,280.0,285.0,276.0,276.0,1660
3/13/2016,ICFC,276.0,271.0,271.0,271.0,120
3/15/2016,ICFC,271.0,266.0,258.0,258.0,320
3/16/2016,ICFC,258.0,259.0,253.0,259.0,800
3/17/2016,ICFC,259.0,277.0,259.0,277.0,8567
3/20/2016,ICFC,277.0,278.0,273.0,276.0,1878
3/21/2016,ICFC,276.0,283.0,278.0,280.0,8556
3/23/2016,ICFC,280.0,280.0,270.0,270.0,8300
3/24/2016,ICFC,270.0,275.0,265.0,265.0,10039
3/27/2016,ICFC,265.0,280.0,267.0,276.0,18079
