S.no,Symbol,Date,Open,High,Low,Close,Vol
25,ICFCPO,2012-12-09.csv,116.0,116.0,116.0,116.0,100
27,ICFCPO,2013-06-02.csv,116.0,116.0,116.0,116.0,800
27,ICFCPO,2013-06-27.csv,116.0,114.0,105.0,105.0,"159,732"
25,ICFCPO,2013-07-03.csv,105.0,109.0,107.0,109.0,"5,940"
34,ICFCPO,2013-08-06.csv,109.0,111.0,111.0,111.0,"2,495"
33,ICFCPO,2014-01-27.csv,111.0,109.0,107.0,107.0,"40,081"
33,ICFCPO,2014-03-09.csv,107.0,109.0,109.0,109.0,"5,590"
33,ICFCPO,2014-03-24.csv,109.0,111.0,111.0,111.0,"28,607"
43,ICFCPO,2014-06-10.csv,111.0,119.0,113.0,119.0,"3,132"
42,ICFCPO,2014-06-11.csv,119.0,129.0,121.0,129.0,"16,828"
40,ICFCPO,2014-06-12.csv,129.0,130.0,130.0,130.0,"23,385"
37,ICFCPO,2014-06-16.csv,130.0,128.0,125.0,125.0,"40,000"
38,ICFCPO,2014-08-31.csv,125.0,129.0,127.0,129.0,"10,000"
36,ICFCPO,2014-09-23.csv,129.0,127.0,127.0,127.0,"60,000"
36,ICFCPO,2014-10-28.csv,127.0,127.0,127.0,127.0,"9,474"
40,ICFCPO,2014-11-02.csv,127.0,129.0,129.0,129.0,"120,837"
33,ICFCPO,2015-03-26.csv,135.0,135.0,135.0,135.0,"70,271"
30,ICFCPO,2015-06-21.csv,135.0,135.0,135.0,135.0,"9,838"
33,ICFCPO,2015-07-01.csv,135.0,136.0,136.0,136.0,"11,612"
39,ICFCPO,2015-12-16.csv,105.0,105.0,105.0,105.0,"13,965"
37,ICFCPO,2016-05-18.csv,145.0,145.0,145.0,145.0,"58,000"
36,ICFCPO,2016-09-05.csv,205.0,205.0,205.0,205.0,"15,113"
33,ICFCPO,2016-09-26.csv,205.0,205.0,205.0,205.0,"10,500"
49,ICFCPO,2018-04-29.csv,111.0,111.0,111.0,111.0,"18,000"
51,ICFCPO,2018-05-03.csv,111.0,111.0,111.0,111.0,"74,646"
45,ICFCPO,2018-06-20.csv,113.0,113.0,113.0,113.0,"16,917"
40,ICFCPO,2019-01-23.csv,122.0,122.0,122.0,122.0,"19,290"
51,ICFCPO,2019-05-14.csv,120.0,120.0,120.0,120.0,"30,483"
53,ICFCPO,2019-06-04.csv,120.0,120.0,120.0,120.0,"4,040"
42,ICFCPO,2019-11-13.csv,120.0,120.0,120.0,120.0,"35,615"
