S.no,Symbol,Date,Open,High,Low,Close,Vol
19,IDBL,2013-01-10.csv,108.0,106.0,98.0,98.0,"1,027"
21,IDBL,2013-01-13.csv,98.0,97.0,95.0,95.0,223
23,IDBL,2013-01-15.csv,95.0,94.0,90.0,90.0,"1,266"
24,IDBL,2013-01-16.csv,90.0,89.0,81.0,81.0,491
27,IDBL,2013-01-17.csv,81.0,80.0,74.0,74.0,"1,752"
18,IDBL,2013-01-20.csv,74.0,73.0,67.0,68.0,"1,566"
23,IDBL,2013-01-21.csv,68.0,74.0,68.0,74.0,"5,641"
24,IDBL,2013-01-22.csv,74.0,81.0,75.0,81.0,"14,049"
28,IDBL,2013-01-23.csv,81.0,86.0,79.0,79.0,"3,258"
24,IDBL,2013-01-24.csv,79.0,80.0,78.0,79.0,"3,418"
24,IDBL,2013-01-28.csv,77.0,77.0,76.0,76.0,289
29,IDBL,2013-01-30.csv,76.0,76.0,74.0,75.0,"1,315"
26,IDBL,2013-01-31.csv,75.0,75.0,72.0,72.0,"1,953"
24,IDBL,2013-02-03.csv,72.0,75.0,72.0,73.0,"2,428"
24,IDBL,2013-02-04.csv,73.0,72.0,71.0,72.0,879
27,IDBL,2013-02-05.csv,72.0,72.0,72.0,72.0,210
21,IDBL,2013-02-06.csv,72.0,73.0,72.0,73.0,243
20,IDBL,2013-02-07.csv,73.0,73.0,72.0,72.0,694
24,IDBL,2013-02-10.csv,72.0,73.0,72.0,72.0,68
23,IDBL,2013-02-12.csv,72.0,72.0,71.0,71.0,330
28,IDBL,2013-02-13.csv,71.0,71.0,70.0,70.0,536
23,IDBL,2013-02-14.csv,70.0,71.0,69.0,71.0,"4,371"
18,IDBL,2013-02-17.csv,71.0,72.0,72.0,72.0,11
24,IDBL,2013-02-19.csv,72.0,73.0,73.0,73.0,961
24,IDBL,2013-02-20.csv,73.0,72.0,70.0,71.0,"3,063"
24,IDBL,2013-02-21.csv,71.0,70.0,68.0,69.0,"4,202"
22,IDBL,2013-02-24.csv,69.0,70.0,69.0,70.0,44
23,IDBL,2013-02-25.csv,70.0,71.0,69.0,71.0,"1,990"
22,IDBL,2013-02-26.csv,71.0,73.0,71.0,72.0,"2,722"
22,IDBL,2013-02-27.csv,72.0,79.0,70.0,78.0,"23,207"
23,IDBL,2013-02-28.csv,78.0,82.0,79.0,82.0,550
32,IDBL,2013-08-05.csv,82.0,81.0,79.0,79.0,30
35,IDBL,2013-08-06.csv,79.0,78.0,78.0,78.0,10
36,IDBL,2013-08-07.csv,78.0,77.0,77.0,77.0,11
31,IDBL,2013-08-08.csv,77.0,76.0,76.0,76.0,100
33,IDBL,2013-08-11.csv,76.0,75.0,72.0,72.0,309
36,IDBL,2013-08-12.csv,72.0,71.0,65.0,69.0,"6,183"
35,IDBL,2013-08-13.csv,69.0,68.0,64.0,66.0,"2,135"
30,IDBL,2013-08-14.csv,66.0,65.0,63.0,65.0,"6,621"
34,IDBL,2013-08-15.csv,65.0,68.0,63.0,68.0,"7,620"
31,IDBL,2013-08-18.csv,68.0,67.0,62.0,62.0,"2,229"
34,IDBL,2013-08-19.csv,62.0,67.0,61.0,67.0,"3,749"
35,IDBL,2013-08-20.csv,67.0,73.0,66.0,73.0,"10,351"
36,IDBL,2013-08-25.csv,73.0,73.0,70.0,71.0,362
33,IDBL,2013-08-26.csv,71.0,71.0,70.0,70.0,22
31,IDBL,2013-08-29.csv,70.0,69.0,65.0,65.0,"2,781"
36,IDBL,2013-09-01.csv,65.0,64.0,62.0,62.0,"1,565"
33,IDBL,2013-09-02.csv,62.0,65.0,61.0,61.0,"6,304"
35,IDBL,2013-09-03.csv,61.0,64.0,60.0,62.0,"4,278"
32,IDBL,2013-09-04.csv,62.0,63.0,61.0,62.0,"6,500"
38,IDBL,2013-09-05.csv,62.0,63.0,62.0,62.0,"1,128"
33,IDBL,2013-09-08.csv,62.0,63.0,61.0,61.0,"1,004"
33,IDBL,2013-09-09.csv,61.0,63.0,62.0,62.0,905
37,IDBL,2013-09-10.csv,62.0,62.0,59.0,60.0,"2,679"
38,IDBL,2013-09-11.csv,60.0,61.0,57.0,61.0,644
30,IDBL,2013-09-12.csv,61.0,63.0,61.0,63.0,"1,622"
37,IDBL,2013-09-15.csv,63.0,62.0,61.0,62.0,"1,112"
35,IDBL,2013-09-16.csv,62.0,61.0,59.0,61.0,"1,380"
35,IDBL,2013-09-17.csv,61.0,61.0,60.0,61.0,"14,224"
34,IDBL,2013-09-19.csv,61.0,60.0,57.0,58.0,"1,184"
36,IDBL,2013-09-22.csv,58.0,57.0,55.0,55.0,"1,362"
32,IDBL,2013-09-23.csv,55.0,55.0,54.0,54.0,"1,400"
31,IDBL,2013-09-24.csv,54.0,56.0,53.0,56.0,"1,816"
29,IDBL,2013-09-25.csv,56.0,55.0,54.0,54.0,"1,305"
28,IDBL,2013-09-26.csv,54.0,55.0,53.0,55.0,818
31,IDBL,2013-09-29.csv,55.0,56.0,50.0,56.0,"2,957"
29,IDBL,2013-09-30.csv,56.0,55.0,53.0,55.0,"1,145"
29,IDBL,2013-10-01.csv,55.0,60.0,56.0,59.0,"1,590"
29,IDBL,2013-10-02.csv,59.0,58.0,56.0,57.0,485
32,IDBL,2013-10-03.csv,57.0,58.0,58.0,58.0,11
25,IDBL,2013-10-06.csv,58.0,57.0,56.0,57.0,312
31,IDBL,2013-10-07.csv,57.0,62.0,57.0,62.0,"3,039"
26,IDBL,2013-10-08.csv,62.0,62.0,61.0,62.0,479
20,IDBL,2013-10-09.csv,62.0,62.0,61.0,61.0,"1,197"
23,IDBL,2013-10-10.csv,61.0,62.0,62.0,62.0,11
16,IDBL,2013-10-17.csv,62.0,62.0,62.0,62.0,900
28,IDBL,2013-10-20.csv,62.0,62.0,62.0,62.0,11
25,IDBL,2013-10-21.csv,62.0,64.0,63.0,63.0,"1,332"
31,IDBL,2013-10-22.csv,63.0,64.0,63.0,64.0,776
29,IDBL,2013-10-23.csv,64.0,66.0,62.0,66.0,582
29,IDBL,2013-10-24.csv,66.0,66.0,64.0,64.0,"1,201"
26,IDBL,2013-10-28.csv,64.0,67.0,65.0,66.0,"3,961"
26,IDBL,2013-10-29.csv,66.0,70.0,66.0,70.0,"6,108"
28,IDBL,2013-10-30.csv,70.0,71.0,69.0,71.0,"7,210"
27,IDBL,2013-10-31.csv,71.0,70.0,67.0,67.0,714
32,IDBL,2013-11-07.csv,67.0,68.0,67.0,68.0,398
22,IDBL,2013-11-11.csv,65.0,65.0,64.0,65.0,"1,650"
24,IDBL,2013-11-12.csv,65.0,66.0,66.0,66.0,34
28,IDBL,2013-11-13.csv,66.0,72.0,67.0,72.0,"3,783"
30,IDBL,2013-11-14.csv,72.0,77.0,70.0,77.0,"7,927"
27,IDBL,2013-11-24.csv,77.0,84.0,78.0,83.0,"14,858"
29,IDBL,2013-11-25.csv,83.0,85.0,83.0,85.0,"3,128"
28,IDBL,2013-11-26.csv,85.0,90.0,86.0,90.0,"6,331"
30,IDBL,2013-11-27.csv,90.0,90.0,89.0,89.0,"2,481"
30,IDBL,2013-11-28.csv,89.0,90.0,87.0,87.0,928
31,IDBL,2013-12-01.csv,87.0,87.0,86.0,87.0,"1,324"
29,IDBL,2013-12-02.csv,87.0,95.0,88.0,92.0,"3,524"
32,IDBL,2013-12-03.csv,92.0,101.0,93.0,101.0,"1,590"
32,IDBL,2013-12-04.csv,101.0,111.0,103.0,111.0,"5,887"
35,IDBL,2013-12-05.csv,111.0,121.0,111.0,111.0,"12,256"
32,IDBL,2013-12-08.csv,111.0,113.0,107.0,109.0,"4,742"
32,IDBL,2013-12-09.csv,109.0,107.0,103.0,103.0,"2,478"
31,IDBL,2013-12-10.csv,103.0,101.0,99.0,99.0,56
31,IDBL,2013-12-11.csv,99.0,100.0,90.0,99.0,"5,527"
30,IDBL,2013-12-12.csv,99.0,98.0,96.0,97.0,"1,788"
31,IDBL,2013-12-15.csv,97.0,102.0,96.0,102.0,"8,119"
29,IDBL,2013-12-16.csv,102.0,106.0,104.0,104.0,"2,380"
28,IDBL,2013-12-18.csv,104.0,106.0,106.0,106.0,759
30,IDBL,2013-12-19.csv,106.0,105.0,103.0,103.0,"1,000"
35,IDBL,2013-12-22.csv,103.0,102.0,100.0,102.0,"5,268"
31,IDBL,2013-12-23.csv,104.0,104.0,98.0,98.0,"1,033"
31,IDBL,2013-12-24.csv,98.0,99.0,97.0,97.0,"2,288"
31,IDBL,2013-12-26.csv,97.0,96.0,95.0,95.0,45
31,IDBL,2013-12-29.csv,95.0,95.0,94.0,95.0,991
26,IDBL,2013-12-31.csv,95.0,96.0,92.0,92.0,"2,290"
25,IDBL,2014-01-01.csv,92.0,91.0,89.0,90.0,"2,179"
23,IDBL,2014-01-02.csv,90.0,90.0,87.0,87.0,"1,397"
30,IDBL,2014-01-05.csv,87.0,86.0,82.0,84.0,594
27,IDBL,2014-01-06.csv,84.0,86.0,85.0,86.0,281
26,IDBL,2014-01-07.csv,86.0,90.0,86.0,90.0,"12,111"
31,IDBL,2014-01-08.csv,90.0,90.0,88.0,89.0,380
29,IDBL,2014-01-09.csv,89.0,91.0,88.0,88.0,"3,177"
31,IDBL,2014-01-12.csv,88.0,91.0,89.0,90.0,159
31,IDBL,2014-01-13.csv,90.0,93.0,90.0,92.0,"2,891"
35,IDBL,2014-01-14.csv,92.0,93.0,90.0,90.0,546
30,IDBL,2014-01-16.csv,90.0,91.0,88.0,88.0,223
29,IDBL,2014-01-19.csv,88.0,89.0,88.0,89.0,214
31,IDBL,2014-01-20.csv,89.0,90.0,90.0,90.0,88
38,IDBL,2014-01-21.csv,90.0,89.0,85.0,85.0,370
37,IDBL,2014-01-22.csv,85.0,93.0,86.0,93.0,"1,923"
34,IDBL,2014-01-23.csv,93.0,102.0,93.0,102.0,"6,207"
35,IDBL,2014-01-26.csv,102.0,112.0,104.0,112.0,"10,210"
34,IDBL,2014-01-27.csv,112.0,123.0,114.0,122.0,"22,269"
30,IDBL,2014-01-28.csv,122.0,126.0,113.0,118.0,"21,807"
31,IDBL,2014-01-29.csv,118.0,120.0,114.0,116.0,"14,772"
31,IDBL,2014-02-02.csv,116.0,114.0,108.0,110.0,"1,504"
34,IDBL,2014-02-03.csv,110.0,114.0,105.0,105.0,"5,137"
31,IDBL,2014-02-04.csv,105.0,110.0,105.0,107.0,890
33,IDBL,2014-02-06.csv,117.0,120.0,114.0,114.0,"6,851"
33,IDBL,2014-02-09.csv,114.0,117.0,114.0,114.0,"4,291"
29,IDBL,2014-02-10.csv,114.0,122.0,115.0,116.0,"9,483"
32,IDBL,2014-02-11.csv,116.0,119.0,111.0,111.0,"14,296"
36,IDBL,2014-02-12.csv,111.0,115.0,113.0,113.0,"2,262"
32,IDBL,2014-02-13.csv,113.0,117.0,113.0,114.0,"2,358"
32,IDBL,2014-02-16.csv,114.0,117.0,108.0,115.0,"1,985"
35,IDBL,2014-02-17.csv,115.0,117.0,112.0,112.0,"2,909"
34,IDBL,2014-02-18.csv,112.0,116.0,110.0,115.0,"4,086"
34,IDBL,2014-02-20.csv,115.0,118.0,113.0,118.0,967
35,IDBL,2014-02-23.csv,118.0,120.0,118.0,120.0,"2,463"
33,IDBL,2014-02-24.csv,120.0,122.0,116.0,116.0,"4,936"
33,IDBL,2014-02-25.csv,116.0,127.0,115.0,127.0,"19,109"
32,IDBL,2014-02-26.csv,127.0,139.0,127.0,127.0,"41,228"
