S.no,Symbol,Date,Open,High,Low,Close,Vol
47,IGI,2017-12-10.csv,1122.0,1144.0,1125.0,1125.0,350
47,IGI,2017-12-11.csv,1125.0,1120.0,1092.0,1120.0,615
45,IGI,2017-12-12.csv,1120.0,1103.0,1085.0,1085.0,745
46,IGI,2017-12-13.csv,1085.0,1117.0,1076.0,1114.0,865
45,IGI,2017-12-14.csv,1114.0,1100.0,1085.0,1091.0,835
49,IGI,2017-12-17.csv,1091.0,1085.0,1084.0,1084.0,200
47,IGI,2017-12-18.csv,1084.0,1139.0,1085.0,1090.0,"1,020"
48,IGI,2017-12-19.csv,1090.0,1135.0,1071.0,1105.0,"4,265"
47,IGI,2017-12-20.csv,1105.0,1100.0,1084.0,1092.0,"1,165"
45,IGI,2017-12-21.csv,1092.0,1090.0,1071.0,1071.0,427
47,IGI,2017-12-24.csv,1071.0,1113.0,1080.0,1080.0,624
49,IGI,2017-12-26.csv,1080.0,1065.0,1058.0,1058.0,"1,000"
46,IGI,2017-12-27.csv,1058.0,1050.0,1035.0,1045.0,"1,755"
48,IGI,2017-12-28.csv,1045.0,1060.0,1045.0,1045.0,600
46,IGI,2017-12-31.csv,1045.0,1030.0,1010.0,1021.0,"1,289"
48,IGI,2018-01-01.csv,1021.0,1091.0,1001.0,1075.0,"2,625"
49,IGI,2018-01-02.csv,1075.0,1099.0,1045.0,1045.0,"2,420"
47,IGI,2018-01-03.csv,1045.0,1050.0,1026.0,1050.0,760
50,IGI,2018-01-04.csv,1050.0,1049.0,1020.0,1030.0,"4,472"
47,IGI,2018-01-07.csv,1030.0,1050.0,1035.0,1035.0,920
49,IGI,2018-01-08.csv,1035.0,1073.0,1046.0,1046.0,"1,110"
51,IGI,2018-01-09.csv,1046.0,1075.0,1060.0,1075.0,"1,025"
47,IGI,2018-01-10.csv,1075.0,1064.0,1054.0,1054.0,490
45,IGI,2018-01-14.csv,1054.0,1035.0,1015.0,1034.0,"1,078"
48,IGI,2018-01-16.csv,1034.0,1025.0,1019.0,1025.0,876
46,IGI,2018-01-17.csv,1025.0,1020.0,1019.0,1020.0,654
50,IGI,2018-01-21.csv,1020.0,1027.0,1025.0,1025.0,715
