S.no,Symbol,Date,Open,High,Low,Close,Vol
23,ILFC,2012-07-17.csv,205.0,201.0,201.0,201.0,38
25,ILFC,2012-07-22.csv,201.0,197.0,182.0,182.0,60
25,ILFC,2012-07-26.csv,182.0,179.0,179.0,179.0,50
30,ILFC,2012-07-31.csv,179.0,176.0,173.0,173.0,48
27,ILFC,2012-08-06.csv,173.0,170.0,156.0,156.0,60
27,ILFC,2012-08-07.csv,156.0,153.0,141.0,141.0,60
27,ILFC,2012-08-08.csv,141.0,139.0,127.0,127.0,"1,616"
26,ILFC,2012-08-12.csv,127.0,125.0,115.0,115.0,"1,125"
25,ILFC,2012-08-13.csv,115.0,113.0,104.0,104.0,"9,132"
23,ILFC,2012-08-14.csv,104.0,102.0,97.0,97.0,"20,463"
24,ILFC,2012-08-15.csv,97.0,100.0,96.0,100.0,"7,296"
25,ILFC,2012-08-16.csv,100.0,102.0,95.0,102.0,"7,553"
24,ILFC,2012-08-19.csv,102.0,100.0,97.0,97.0,"3,447"
27,ILFC,2012-08-21.csv,97.0,98.0,94.0,97.0,"5,990"
27,ILFC,2012-08-22.csv,97.0,97.0,95.0,97.0,"4,841"
29,ILFC,2012-08-23.csv,97.0,97.0,94.0,94.0,"3,698"
27,ILFC,2012-08-26.csv,94.0,96.0,93.0,96.0,"6,003"
25,ILFC,2012-08-27.csv,96.0,95.0,92.0,93.0,"6,848"
30,ILFC,2012-08-28.csv,93.0,94.0,90.0,92.0,"6,966"
28,ILFC,2012-08-29.csv,92.0,93.0,92.0,92.0,"1,048"
27,ILFC,2012-08-30.csv,92.0,94.0,93.0,94.0,"2,050"
30,ILFC,2012-09-02.csv,94.0,93.0,90.0,91.0,"3,438"
28,ILFC,2012-09-03.csv,91.0,95.0,90.0,95.0,"5,529"
30,ILFC,2012-09-04.csv,95.0,94.0,90.0,91.0,"8,110"
25,ILFC,2012-09-05.csv,91.0,93.0,92.0,93.0,40
31,ILFC,2012-09-06.csv,93.0,94.0,89.0,94.0,"18,012"
28,ILFC,2012-09-09.csv,94.0,93.0,93.0,93.0,"4,356"
33,ILFC,2012-09-10.csv,93.0,94.0,93.0,93.0,206
36,ILFC,2012-09-11.csv,93.0,92.0,90.0,90.0,"2,538"
32,ILFC,2012-09-12.csv,90.0,92.0,90.0,90.0,"3,968"
32,ILFC,2012-09-13.csv,90.0,92.0,91.0,92.0,"1,368"
32,ILFC,2012-09-16.csv,92.0,92.0,90.0,90.0,"5,820"
33,ILFC,2012-09-17.csv,90.0,92.0,90.0,92.0,"3,423"
27,ILFC,2012-09-18.csv,92.0,95.0,91.0,93.0,"6,127"
34,ILFC,2012-09-19.csv,93.0,95.0,94.0,95.0,"6,600"
30,ILFC,2012-09-20.csv,95.0,94.0,93.0,93.0,756
35,ILFC,2012-09-26.csv,93.0,93.0,92.0,93.0,"1,188"
32,ILFC,2012-09-30.csv,91.0,91.0,91.0,91.0,168
56,ILFC,2012-10-01.csv,91.0,91.0,90.0,91.0,"3,980"
57,ILFC,2012-10-01.csv,91.0,91.0,90.0,91.0,"3,980"
29,ILFC,2012-10-02.csv,91.0,90.0,90.0,90.0,"3,468"
31,ILFC,2012-10-03.csv,90.0,92.0,90.0,90.0,"5,518"
30,ILFC,2012-10-04.csv,90.0,90.0,90.0,90.0,"2,336"
31,ILFC,2012-10-07.csv,90.0,91.0,90.0,91.0,"4,209"
35,ILFC,2012-10-08.csv,91.0,92.0,89.0,91.0,"2,046"
32,ILFC,2012-10-09.csv,91.0,94.0,92.0,94.0,"3,665"
30,ILFC,2012-10-10.csv,94.0,94.0,92.0,92.0,"7,335"
30,ILFC,2012-10-11.csv,92.0,91.0,90.0,90.0,656
29,ILFC,2012-10-14.csv,90.0,90.0,90.0,90.0,76
23,ILFC,2012-10-15.csv,90.0,91.0,91.0,91.0,929
21,ILFC,2012-10-17.csv,91.0,91.0,90.0,91.0,"7,965"
26,ILFC,2012-10-18.csv,91.0,92.0,92.0,92.0,620
22,ILFC,2012-10-31.csv,92.0,96.0,93.0,94.0,"1,981"
24,ILFC,2012-11-01.csv,94.0,95.0,94.0,95.0,900
31,ILFC,2012-11-06.csv,95.0,104.0,95.0,104.0,"9,959"
32,ILFC,2012-11-07.csv,104.0,109.0,105.0,105.0,"4,704"
26,ILFC,2012-11-08.csv,105.0,108.0,97.0,107.0,"20,567"
24,ILFC,2012-11-11.csv,107.0,107.0,101.0,103.0,"1,531"
23,ILFC,2012-11-12.csv,103.0,107.0,103.0,106.0,"2,188"
29,ILFC,2012-11-20.csv,106.0,106.0,103.0,103.0,"8,926"
26,ILFC,2012-11-21.csv,103.0,105.0,102.0,103.0,"3,939"
26,ILFC,2012-11-22.csv,103.0,105.0,99.0,103.0,"7,050"
26,ILFC,2012-11-25.csv,103.0,105.0,102.0,104.0,"11,836"
26,ILFC,2012-11-26.csv,104.0,113.0,102.0,113.0,"2,816"
25,ILFC,2012-11-27.csv,113.0,112.0,110.0,110.0,140
27,ILFC,2012-11-28.csv,110.0,108.0,102.0,104.0,"5,374"
28,ILFC,2012-11-29.csv,104.0,108.0,102.0,106.0,"5,747"
22,ILFC,2012-12-02.csv,106.0,106.0,104.0,106.0,"3,011"
25,ILFC,2012-12-03.csv,106.0,108.0,104.0,104.0,"1,981"
26,ILFC,2012-12-04.csv,104.0,110.0,105.0,108.0,"17,275"
26,ILFC,2012-12-05.csv,108.0,115.0,108.0,108.0,"9,549"
25,ILFC,2012-12-06.csv,108.0,111.0,108.0,111.0,"6,282"
26,ILFC,2012-12-09.csv,111.0,110.0,109.0,109.0,868
22,ILFC,2012-12-10.csv,109.0,108.0,107.0,108.0,735
26,ILFC,2012-12-11.csv,108.0,114.0,108.0,114.0,"17,074"
26,ILFC,2012-12-12.csv,114.0,113.0,108.0,108.0,"7,930"
28,ILFC,2012-12-13.csv,108.0,110.0,108.0,110.0,"4,546"
26,ILFC,2012-12-16.csv,110.0,112.0,110.0,111.0,"2,218"
28,ILFC,2012-12-17.csv,111.0,114.0,110.0,113.0,"11,255"
22,ILFC,2012-12-18.csv,113.0,117.0,110.0,117.0,"18,057"
25,ILFC,2012-12-19.csv,117.0,125.0,116.0,117.0,"5,965"
24,ILFC,2012-12-20.csv,117.0,118.0,113.0,115.0,"18,337"
20,ILFC,2012-12-23.csv,115.0,119.0,115.0,115.0,"6,172"
28,ILFC,2012-12-24.csv,115.0,113.0,113.0,113.0,38
28,ILFC,2012-12-26.csv,113.0,124.0,115.0,124.0,"10,438"
25,ILFC,2012-12-27.csv,124.0,136.0,126.0,136.0,"4,349"
25,ILFC,2012-12-31.csv,136.0,149.0,138.0,149.0,"29,485"
25,ILFC,2013-01-01.csv,149.0,157.0,135.0,140.0,"11,954"
23,ILFC,2013-01-02.csv,140.0,148.0,136.0,146.0,"5,568"
25,ILFC,2013-01-03.csv,146.0,146.0,137.0,137.0,"6,089"
27,ILFC,2013-01-06.csv,137.0,137.0,134.0,134.0,"2,349"
22,ILFC,2013-01-07.csv,134.0,136.0,132.0,136.0,"2,553"
15,ILFC,2013-01-08.csv,136.0,134.0,130.0,130.0,955
23,ILFC,2013-01-09.csv,130.0,132.0,128.0,128.0,746
20,ILFC,2013-01-10.csv,128.0,129.0,124.0,125.0,"1,361"
22,ILFC,2013-01-13.csv,125.0,127.0,125.0,127.0,541
24,ILFC,2013-01-15.csv,127.0,125.0,125.0,125.0,290
25,ILFC,2013-01-16.csv,125.0,127.0,127.0,127.0,210
28,ILFC,2013-01-17.csv,127.0,126.0,126.0,126.0,335
19,ILFC,2013-01-20.csv,126.0,124.0,124.0,124.0,300
25,ILFC,2013-01-22.csv,124.0,122.0,120.0,120.0,"1,220"
29,ILFC,2013-01-23.csv,120.0,123.0,120.0,122.0,"3,354"
25,ILFC,2013-01-24.csv,122.0,122.0,121.0,121.0,"2,370"
25,ILFC,2013-01-28.csv,120.0,119.0,118.0,118.0,393
30,ILFC,2013-01-30.csv,118.0,122.0,120.0,122.0,788
27,ILFC,2013-01-31.csv,122.0,120.0,118.0,118.0,"2,568"
25,ILFC,2013-02-04.csv,118.0,120.0,119.0,119.0,"4,637"
28,ILFC,2013-02-05.csv,119.0,121.0,117.0,120.0,"4,460"
22,ILFC,2013-02-06.csv,120.0,122.0,122.0,122.0,38
21,ILFC,2013-02-07.csv,122.0,122.0,120.0,120.0,565
24,ILFC,2013-02-12.csv,120.0,124.0,122.0,124.0,978
24,ILFC,2013-02-14.csv,124.0,126.0,120.0,120.0,"4,683"
19,ILFC,2013-02-17.csv,120.0,118.0,116.0,118.0,"3,010"
25,ILFC,2013-02-19.csv,118.0,126.0,120.0,122.0,"2,685"
25,ILFC,2013-02-20.csv,122.0,123.0,123.0,123.0,38
24,ILFC,2013-02-25.csv,123.0,121.0,121.0,121.0,100
23,ILFC,2013-02-27.csv,121.0,133.0,121.0,125.0,"30,195"
24,ILFC,2013-02-28.csv,125.0,131.0,124.0,125.0,"32,958"
24,ILFC,2013-03-03.csv,125.0,126.0,121.0,122.0,"18,114"
26,ILFC,2013-03-04.csv,122.0,122.0,120.0,121.0,"19,130"
27,ILFC,2013-03-05.csv,121.0,123.0,120.0,121.0,"5,638"
26,ILFC,2013-03-06.csv,121.0,120.0,120.0,120.0,"3,605"
27,ILFC,2013-03-07.csv,120.0,120.0,120.0,120.0,"3,365"
28,ILFC,2013-03-11.csv,120.0,122.0,118.0,118.0,"1,263"
31,ILFC,2013-03-13.csv,118.0,119.0,117.0,118.0,"6,480"
26,ILFC,2013-03-14.csv,118.0,120.0,119.0,120.0,"10,121"
27,ILFC,2013-03-17.csv,120.0,121.0,119.0,119.0,"6,157"
25,ILFC,2013-03-18.csv,119.0,120.0,117.0,117.0,"14,590"
29,ILFC,2013-03-19.csv,117.0,120.0,115.0,119.0,"2,188"
27,ILFC,2013-03-20.csv,119.0,119.0,115.0,117.0,"2,010"
28,ILFC,2013-03-21.csv,117.0,117.0,116.0,117.0,386
27,ILFC,2013-03-24.csv,117.0,116.0,115.0,115.0,"1,236"
27,ILFC,2013-03-25.csv,115.0,117.0,114.0,114.0,"7,425"
29,ILFC,2013-03-27.csv,114.0,115.0,115.0,115.0,"1,220"
25,ILFC,2013-03-28.csv,115.0,119.0,116.0,117.0,"2,827"
24,ILFC,2013-03-31.csv,117.0,116.0,113.0,115.0,"3,560"
29,ILFC,2013-04-01.csv,115.0,116.0,113.0,116.0,"2,720"
26,ILFC,2013-04-02.csv,116.0,116.0,113.0,116.0,"2,001"
23,ILFC,2013-04-03.csv,116.0,122.0,118.0,120.0,"4,296"
26,ILFC,2013-04-04.csv,120.0,120.0,118.0,119.0,"2,294"
24,ILFC,2013-04-07.csv,119.0,117.0,115.0,116.0,"1,228"
30,ILFC,2013-04-09.csv,116.0,122.0,116.0,122.0,"2,668"
29,ILFC,2013-04-11.csv,122.0,128.0,121.0,121.0,"8,246"
28,ILFC,2013-04-15.csv,121.0,125.0,119.0,123.0,"4,202"
26,ILFC,2013-04-16.csv,123.0,122.0,120.0,122.0,"3,187"
26,ILFC,2013-04-17.csv,122.0,123.0,121.0,121.0,823
24,ILFC,2013-04-18.csv,121.0,122.0,119.0,120.0,"9,748"
25,ILFC,2013-04-21.csv,120.0,122.0,122.0,122.0,30
23,ILFC,2013-04-22.csv,122.0,120.0,118.0,118.0,"1,210"
23,ILFC,2013-04-23.csv,118.0,120.0,117.0,120.0,"3,118"
28,ILFC,2013-04-28.csv,120.0,118.0,114.0,114.0,225
27,ILFC,2013-04-29.csv,114.0,113.0,113.0,113.0,335
31,ILFC,2013-04-30.csv,113.0,116.0,113.0,114.0,749
24,ILFC,2013-05-02.csv,114.0,112.0,112.0,112.0,200
23,ILFC,2013-05-05.csv,112.0,112.0,108.0,112.0,314
29,ILFC,2013-05-07.csv,112.0,114.0,110.0,114.0,"1,567"
24,ILFC,2013-05-08.csv,114.0,113.0,113.0,113.0,94
29,ILFC,2013-05-09.csv,113.0,113.0,113.0,113.0,168
26,ILFC,2013-05-13.csv,113.0,115.0,109.0,114.0,"1,605"
27,ILFC,2013-05-15.csv,114.0,112.0,112.0,112.0,756
24,ILFC,2013-05-16.csv,112.0,120.0,108.0,118.0,"12,693"
25,ILFC,2013-05-19.csv,118.0,118.0,116.0,116.0,250
29,ILFC,2013-05-21.csv,116.0,114.0,108.0,111.0,"3,901"
28,ILFC,2013-05-22.csv,111.0,113.0,107.0,112.0,"3,465"
27,ILFC,2013-05-23.csv,112.0,110.0,110.0,110.0,932
28,ILFC,2013-05-26.csv,110.0,112.0,110.0,112.0,"1,417"
27,ILFC,2013-05-27.csv,112.0,112.0,110.0,111.0,"1,965"
27,ILFC,2013-05-28.csv,111.0,113.0,113.0,113.0,300
26,ILFC,2013-05-30.csv,113.0,111.0,108.0,110.0,"4,292"
28,ILFC,2013-06-02.csv,110.0,109.0,108.0,109.0,"1,310"
26,ILFC,2013-06-03.csv,109.0,111.0,110.0,111.0,540
30,ILFC,2013-06-04.csv,111.0,111.0,110.0,111.0,"2,565"
25,ILFC,2013-06-05.csv,111.0,113.0,108.0,110.0,"3,410"
28,ILFC,2013-06-06.csv,110.0,115.0,110.0,115.0,"10,739"
30,ILFC,2013-06-09.csv,115.0,117.0,113.0,116.0,"6,252"
31,ILFC,2013-06-10.csv,116.0,124.0,118.0,124.0,"8,911"
28,ILFC,2013-06-11.csv,124.0,126.0,121.0,122.0,"24,657"
29,ILFC,2013-06-12.csv,122.0,123.0,123.0,123.0,"3,786"
27,ILFC,2013-06-13.csv,123.0,123.0,121.0,123.0,"1,309"
24,ILFC,2013-06-16.csv,123.0,121.0,121.0,121.0,"1,030"
29,ILFC,2013-06-17.csv,121.0,127.0,121.0,126.0,"19,764"
30,ILFC,2013-06-18.csv,126.0,126.0,124.0,125.0,"7,135"
27,ILFC,2013-06-19.csv,125.0,136.0,127.0,134.0,"24,945"
28,ILFC,2013-06-20.csv,134.0,134.0,126.0,132.0,"37,096"
23,ILFC,2013-06-23.csv,132.0,132.0,127.0,131.0,"15,229"
27,ILFC,2013-06-24.csv,131.0,133.0,130.0,133.0,"19,484"
24,ILFC,2013-06-25.csv,133.0,136.0,132.0,136.0,"9,824"
28,ILFC,2013-06-26.csv,136.0,137.0,130.0,137.0,"35,026"
28,ILFC,2013-06-27.csv,137.0,150.0,139.0,150.0,"56,748"
25,ILFC,2013-06-30.csv,150.0,159.0,138.0,144.0,"28,615"
25,ILFC,2013-07-01.csv,144.0,146.0,138.0,138.0,"18,770"
30,ILFC,2013-07-02.csv,138.0,139.0,136.0,137.0,"6,963"
27,ILFC,2013-07-03.csv,137.0,139.0,135.0,137.0,"3,904"
28,ILFC,2013-07-04.csv,137.0,141.0,139.0,141.0,"1,061"
33,ILFC,2013-07-07.csv,141.0,139.0,137.0,138.0,"1,390"
32,ILFC,2013-07-08.csv,138.0,136.0,136.0,136.0,"1,000"
