S.no,Symbol,Date,Open,High,Low,Close,Vol
28,INDB,2013-05-27.csv,125.0,123.0,113.0,113.0,830
31,INDB,2013-06-09.csv,113.0,115.0,115.0,115.0,208
34,INDB,2013-12-24.csv,115.0,117.0,117.0,117.0,208
36,INDB,2014-01-27.csv,117.0,119.0,119.0,119.0,42
32,INDB,2014-01-28.csv,119.0,121.0,121.0,121.0,50
33,INDB,2014-01-29.csv,121.0,123.0,123.0,123.0,83
31,INDB,2014-02-10.csv,123.0,125.0,125.0,125.0,498
36,INDB,2014-02-20.csv,125.0,127.0,127.0,127.0,"2,073"
35,INDB,2014-02-24.csv,127.0,131.0,129.0,131.0,"4,975"
34,INDB,2014-02-26.csv,131.0,139.0,133.0,139.0,"5,433"
33,INDB,2014-03-11.csv,139.0,146.0,142.0,146.0,274
37,INDB,2014-03-17.csv,146.0,145.0,145.0,145.0,"4,984"
30,INDB,2014-03-18.csv,145.0,146.0,146.0,146.0,415
34,INDB,2014-03-20.csv,146.0,148.0,148.0,148.0,42
36,INDB,2014-03-31.csv,148.0,148.0,148.0,148.0,140
37,INDB,2014-04-01.csv,148.0,150.0,150.0,150.0,514
37,INDB,2014-04-02.csv,150.0,153.0,153.0,153.0,42
31,INDB,2014-04-07.csv,153.0,150.0,150.0,150.0,"1,335"
31,INDB,2014-04-16.csv,150.0,159.0,153.0,159.0,250
35,INDB,2014-04-20.csv,159.0,168.0,162.0,168.0,"1,970"
36,INDB,2014-04-29.csv,168.0,174.0,171.0,174.0,310
36,INDB,2014-05-04.csv,174.0,191.0,177.0,191.0,60
33,INDB,2014-05-05.csv,191.0,210.0,194.0,210.0,65
38,INDB,2014-05-06.csv,210.0,230.0,214.0,230.0,105
41,INDB,2014-05-07.csv,230.0,246.0,234.0,246.0,"2,513"
37,INDB,2014-05-08.csv,246.0,250.0,237.0,240.0,"1,909"
39,INDB,2014-05-11.csv,240.0,236.0,236.0,236.0,"4,146"
41,INDB,2014-05-12.csv,236.0,241.0,237.0,237.0,"2,123"
39,INDB,2014-05-13.csv,237.0,245.0,241.0,245.0,52
38,INDB,2014-05-19.csv,245.0,249.0,249.0,249.0,208
43,INDB,2014-05-20.csv,249.0,253.0,253.0,253.0,83
40,INDB,2014-05-21.csv,253.0,258.0,258.0,258.0,10
45,INDB,2014-05-22.csv,258.0,263.0,263.0,263.0,332
45,INDB,2014-05-26.csv,263.0,268.0,267.0,268.0,"2,201"
42,INDB,2014-05-27.csv,268.0,278.0,273.0,278.0,213
46,INDB,2014-06-01.csv,278.0,278.0,278.0,278.0,42
44,INDB,2014-06-02.csv,278.0,283.0,283.0,283.0,10
44,INDB,2014-06-09.csv,283.0,288.0,288.0,288.0,10
39,INDB,2014-06-16.csv,288.0,293.0,293.0,293.0,30
41,INDB,2014-06-18.csv,293.0,298.0,298.0,298.0,10
42,INDB,2014-06-19.csv,298.0,293.0,293.0,293.0,108
42,INDB,2014-06-25.csv,293.0,288.0,288.0,288.0,208
39,INDB,2014-06-26.csv,288.0,283.0,283.0,283.0,498
38,INDB,2014-06-29.csv,283.0,278.0,275.0,275.0,88
39,INDB,2014-06-30.csv,275.0,270.0,270.0,270.0,332
36,INDB,2014-07-02.csv,270.0,265.0,265.0,265.0,208
37,INDB,2014-07-03.csv,265.0,265.0,260.0,265.0,"1,112"
46,INDB,2014-07-08.csv,265.0,270.0,270.0,270.0,912
40,INDB,2014-07-10.csv,270.0,275.0,275.0,275.0,"2,612"
43,INDB,2014-07-15.csv,275.0,290.0,275.0,290.0,"1,964"
48,INDB,2014-07-16.csv,290.0,295.0,295.0,295.0,21
44,INDB,2014-07-21.csv,295.0,300.0,300.0,300.0,21
45,INDB,2014-07-22.csv,300.0,330.0,306.0,330.0,"1,287"
45,INDB,2014-07-24.csv,330.0,342.0,336.0,342.0,"1,669"
43,INDB,2014-07-27.csv,342.0,361.0,348.0,361.0,94
35,INDB,2014-07-28.csv,361.0,368.0,368.0,368.0,21
42,INDB,2014-08-07.csv,314.0,320.0,320.0,320.0,156
37,INDB,2014-08-14.csv,320.0,314.0,314.0,314.0,87
36,INDB,2014-08-19.csv,314.0,320.0,314.0,314.0,529
38,INDB,2014-10-28.csv,314.0,308.0,308.0,308.0,108
38,INDB,2014-10-30.csv,308.0,302.0,291.0,291.0,"1,299"
36,INDB,2014-11-05.csv,291.0,286.0,286.0,286.0,140
35,INDB,2014-11-10.csv,286.0,287.0,287.0,287.0,200
40,INDB,2014-11-13.csv,287.0,295.0,290.0,290.0,"3,346"
36,INDB,2014-11-16.csv,290.0,286.0,285.0,285.0,"1,053"
34,INDB,2014-11-19.csv,285.0,280.0,280.0,280.0,73
40,INDB,2014-11-20.csv,280.0,287.0,277.0,287.0,615
36,INDB,2014-11-23.csv,287.0,285.0,285.0,285.0,500
37,INDB,2014-11-24.csv,285.0,280.0,270.0,275.0,520
37,INDB,2014-11-25.csv,275.0,274.0,274.0,274.0,46
35,INDB,2014-12-03.csv,274.0,276.0,275.0,275.0,544
36,INDB,2014-12-14.csv,233.0,237.0,237.0,237.0,133
33,INDB,2014-12-22.csv,237.0,241.0,241.0,241.0,83
33,INDB,2014-12-23.csv,241.0,245.0,245.0,245.0,18
38,INDB,2015-01-08.csv,245.0,269.0,249.0,269.0,"1,852"
39,INDB,2015-01-11.csv,269.0,295.0,274.0,295.0,"2,120"
34,INDB,2015-01-12.csv,295.0,290.0,290.0,290.0,100
37,INDB,2015-01-14.csv,290.0,285.0,285.0,285.0,320
39,INDB,2015-01-19.csv,285.0,295.0,290.0,295.0,"1,531"
34,INDB,2015-01-20.csv,295.0,312.0,300.0,312.0,"1,129"
32,INDB,2015-01-22.csv,312.0,306.0,306.0,306.0,100
41,INDB,2015-01-26.csv,306.0,318.0,312.0,318.0,241
41,INDB,2015-01-27.csv,318.0,320.0,318.0,320.0,710
40,INDB,2015-01-28.csv,320.0,330.0,320.0,330.0,"1,279"
37,INDB,2015-01-29.csv,330.0,332.0,330.0,331.0,"1,204"
42,INDB,2015-02-01.csv,331.0,364.0,337.0,364.0,"1,820"
40,INDB,2015-02-02.csv,364.0,378.0,355.0,355.0,"1,642"
37,INDB,2015-02-03.csv,355.0,362.0,351.0,351.0,"3,009"
42,INDB,2015-02-04.csv,351.0,350.0,347.0,347.0,586
39,INDB,2015-02-05.csv,347.0,353.0,350.0,350.0,283
43,INDB,2015-02-08.csv,350.0,351.0,351.0,351.0,498
39,INDB,2015-02-09.csv,351.0,372.0,357.0,365.0,"5,459"
37,INDB,2015-02-11.csv,365.0,377.0,364.0,377.0,"1,444"
42,INDB,2015-02-12.csv,377.0,400.0,384.0,400.0,"3,638"
42,INDB,2015-02-15.csv,400.0,429.0,400.0,429.0,"1,195"
82,INDB,2015-02-16.csv,429.0,421.0,405.0,405.0,835
83,INDB,2015-02-16.csv,429.0,421.0,405.0,405.0,835
39,INDB,2015-02-18.csv,405.0,413.0,405.0,405.0,955
37,INDB,2015-02-22.csv,405.0,410.0,400.0,400.0,899
36,INDB,2015-02-24.csv,400.0,393.0,386.0,386.0,"1,415"
37,INDB,2015-03-01.csv,386.0,393.0,393.0,393.0,110
45,INDB,2015-03-03.csv,393.0,400.0,400.0,400.0,100
39,INDB,2015-03-04.csv,400.0,408.0,408.0,408.0,138
43,INDB,2015-03-09.csv,408.0,408.0,400.0,408.0,"1,733"
42,INDB,2015-03-10.csv,408.0,400.0,400.0,400.0,11
45,INDB,2015-03-11.csv,400.0,408.0,405.0,408.0,218
40,INDB,2015-03-16.csv,408.0,401.0,392.0,392.0,"1,575"
39,INDB,2015-03-17.csv,392.0,399.0,399.0,399.0,30
