Date,Symbol,Open,High,Low,Close,Vol
9/27/2016,JBBL,169.0,184.0,172.0,184.0,50
9/28/2016,JBBL,184.0,202.0,193.0,202.0,40
9/29/2016,JBBL,202.0,222.0,212.0,222.0,40
10/2/2016,JBBL,222.0,244.0,233.0,244.0,40
10/3/2016,JBBL,244.0,268.0,256.0,268.0,40
10/4/2016,JBBL,268.0,293.0,273.0,293.0,50
10/5/2016,JBBL,293.0,322.0,307.0,322.0,47
10/6/2016,JBBL,322.0,354.0,328.0,354.0,3919
10/16/2016,JBBL,354.0,389.0,350.0,389.0,56824
10/17/2016,JBBL,389.0,407.0,387.0,399.0,118840
10/18/2016,JBBL,399.0,410.0,389.0,410.0,42584
10/19/2016,JBBL,410.0,420.0,402.0,420.0,58914
10/20/2016,JBBL,420.0,436.0,412.0,418.0,41731
10/23/2016,JBBL,418.0,442.0,418.0,422.0,99491
10/24/2016,JBBL,422.0,430.0,406.0,406.0,23427
10/25/2016,JBBL,406.0,415.0,400.0,404.0,13863
10/26/2016,JBBL,404.0,408.0,392.0,399.0,10156
10/27/2016,JBBL,399.0,410.0,397.0,400.0,14787
11/3/2016,JBBL,400.0,402.0,392.0,392.0,1566
11/7/2016,JBBL,392.0,392.0,380.0,382.0,5686
11/8/2016,JBBL,382.0,379.0,368.0,372.0,3109
11/9/2016,JBBL,372.0,379.0,353.0,363.0,21067
11/10/2016,JBBL,363.0,377.0,366.0,370.0,12994
11/13/2016,JBBL,370.0,374.0,365.0,373.0,1823
11/14/2016,JBBL,373.0,388.0,375.0,384.0,6924
11/15/2016,JBBL,384.0,387.0,377.0,381.0,5083
11/16/2016,JBBL,381.0,383.0,372.0,378.0,1938
11/17/2016,JBBL,378.0,373.0,357.0,358.0,6659
11/20/2016,JBBL,358.0,360.0,324.0,335.0,14727
11/21/2016,JBBL,335.0,346.0,313.0,321.0,13793
11/22/2016,JBBL,321.0,339.0,315.0,330.0,8026
11/23/2016,JBBL,330.0,330.0,314.0,320.0,7456
11/24/2016,JBBL,320.0,337.0,320.0,326.0,5704
11/27/2016,JBBL,326.0,329.0,304.0,312.0,12822
11/28/2016,JBBL,312.0,324.0,291.0,324.0,15585
11/29/2016,JBBL,324.0,338.0,312.0,332.0,14147
11/30/2016,JBBL,332.0,341.0,326.0,335.0,15342
12/1/2016,JBBL,335.0,341.0,324.0,331.0,5035
12/4/2016,JBBL,331.0,335.0,325.0,327.0,4900
12/5/2016,JBBL,327.0,333.0,321.0,321.0,4187
12/6/2016,JBBL,321.0,331.0,318.0,331.0,3893
12/7/2016,JBBL,331.0,331.0,320.0,331.0,4532
12/8/2016,JBBL,331.0,340.0,328.0,337.0,10151
12/11/2016,JBBL,337.0,346.0,335.0,337.0,6236
12/12/2016,JBBL,337.0,331.0,320.0,323.0,2478
12/14/2016,JBBL,323.0,331.0,318.0,331.0,3046
12/15/2016,JBBL,331.0,337.0,325.0,330.0,2275
12/18/2016,JBBL,330.0,342.0,321.0,340.0,5634
12/19/2016,JBBL,340.0,340.0,335.0,335.0,7245
12/20/2016,JBBL,335.0,334.0,324.0,330.0,2557
12/21/2016,JBBL,330.0,330.0,320.0,322.0,3553
12/22/2016,JBBL,322.0,330.0,318.0,330.0,2938
12/26/2016,JBBL,330.0,327.0,318.0,318.0,6191
12/27/2016,JBBL,318.0,315.0,300.0,301.0,25458
12/28/2016,JBBL,301.0,307.0,297.0,300.0,40000
12/29/2016,JBBL,269.0,277.0,265.0,276.0,2995
1/1/2017,JBBL,276.0,285.0,278.0,285.0,2829
1/2/2017,JBBL,285.0,290.0,285.0,286.0,1313
1/3/2017,JBBL,286.0,287.0,282.0,287.0,1391
1/4/2017,JBBL,287.0,285.0,275.0,275.0,1083
1/5/2017,JBBL,275.0,280.0,276.0,276.0,1391
1/8/2017,JBBL,276.0,271.0,261.0,261.0,606
1/9/2017,JBBL,261.0,276.0,266.0,270.0,3878
1/10/2017,JBBL,270.0,272.0,265.0,269.0,2070
1/11/2017,JBBL,269.0,274.0,269.0,270.0,4376
1/12/2017,JBBL,270.0,280.0,273.0,280.0,322
1/15/2017,JBBL,280.0,294.0,280.0,285.0,5173
1/16/2017,JBBL,285.0,294.0,285.0,285.0,2583
1/17/2017,JBBL,285.0,290.0,280.0,290.0,1352
1/18/2017,JBBL,290.0,290.0,282.0,285.0,852
1/19/2017,JBBL,285.0,293.0,280.0,280.0,2048
1/22/2017,JBBL,280.0,290.0,281.0,286.0,4163
1/23/2017,JBBL,286.0,286.0,270.0,280.0,1134
1/24/2017,JBBL,280.0,285.0,274.0,274.0,635
1/25/2017,JBBL,274.0,275.0,260.0,264.0,1389
1/26/2017,JBBL,264.0,259.0,240.0,252.0,9611
1/30/2017,JBBL,252.0,247.0,235.0,235.0,1123
1/31/2017,JBBL,235.0,245.0,238.0,243.0,2957
2/1/2017,JBBL,243.0,264.0,247.0,260.0,8461
2/2/2017,JBBL,260.0,270.0,255.0,257.0,5622
2/5/2017,JBBL,257.0,263.0,252.0,258.0,3333
2/6/2017,JBBL,258.0,258.0,253.0,258.0,1040
2/7/2017,JBBL,258.0,260.0,255.0,258.0,885
2/8/2017,JBBL,258.0,261.0,252.0,261.0,1502
2/9/2017,JBBL,261.0,262.0,245.0,247.0,2414
2/12/2017,JBBL,247.0,243.0,230.0,235.0,4931
2/13/2017,JBBL,235.0,237.0,223.0,237.0,2009
2/14/2017,JBBL,237.0,248.0,240.0,244.0,1695
2/15/2017,JBBL,244.0,265.0,238.0,265.0,6291
2/16/2017,JBBL,265.0,271.0,256.0,260.0,1371
2/19/2017,JBBL,260.0,258.0,250.0,258.0,2003
2/20/2017,JBBL,258.0,263.0,250.0,250.0,3564
2/21/2017,JBBL,250.0,255.0,247.0,247.0,4670
2/22/2017,JBBL,247.0,247.0,243.0,247.0,1398
2/23/2017,JBBL,247.0,248.0,243.0,247.0,763
2/26/2017,JBBL,247.0,251.0,243.0,243.0,1105
2/28/2017,JBBL,243.0,250.0,240.0,250.0,7356
3/1/2017,JBBL,250.0,255.0,250.0,253.0,516
3/2/2017,JBBL,253.0,258.0,253.0,253.0,1024
3/5/2017,JBBL,253.0,260.0,253.0,255.0,1615
3/6/2017,JBBL,255.0,255.0,249.0,255.0,4042
3/7/2017,JBBL,255.0,255.0,251.0,251.0,1142
3/9/2017,JBBL,251.0,260.0,246.0,253.0,1280
3/13/2017,JBBL,253.0,259.0,253.0,255.0,3468
3/14/2017,JBBL,255.0,255.0,248.0,248.0,1374
3/15/2017,JBBL,248.0,248.0,244.0,246.0,2224
3/16/2017,JBBL,246.0,256.0,247.0,256.0,3194
3/19/2017,JBBL,256.0,261.0,253.0,254.0,544
3/20/2017,JBBL,254.0,271.0,255.0,271.0,1778
3/21/2017,JBBL,271.0,284.0,263.0,284.0,6180
3/22/2017,JBBL,284.0,300.0,280.0,281.0,6163
3/23/2017,JBBL,281.0,291.0,277.0,283.0,4884
3/26/2017,JBBL,283.0,311.0,287.0,289.0,11020
3/28/2017,JBBL,289.0,317.0,294.0,310.0,9009
3/29/2017,JBBL,310.0,328.0,306.0,306.0,11716
3/30/2017,JBBL,306.0,330.0,294.0,330.0,15914
4/2/2017,JBBL,330.0,363.0,324.0,358.0,19483
4/3/2017,JBBL,358.0,393.0,360.0,366.0,48872
4/4/2017,JBBL,366.0,384.0,354.0,375.0,22415
4/6/2017,JBBL,375.0,389.0,370.0,379.0,19375
4/9/2017,JBBL,379.0,397.0,375.0,386.0,15465
4/10/2017,JBBL,386.0,400.0,375.0,384.0,14889
4/11/2017,JBBL,384.0,405.0,385.0,405.0,21109
4/12/2017,JBBL,405.0,434.0,410.0,414.0,48269
4/13/2017,JBBL,414.0,419.0,404.0,404.0,15304
4/16/2017,JBBL,404.0,420.0,392.0,400.0,14251
4/18/2017,JBBL,400.0,414.0,397.0,401.0,36363
4/19/2017,JBBL,401.0,420.0,405.0,408.0,20943
4/20/2017,JBBL,408.0,421.0,402.0,411.0,51519
4/23/2017,JBBL,411.0,443.0,406.0,409.0,45926
4/24/2017,JBBL,409.0,412.0,401.0,405.0,43914
4/25/2017,JBBL,405.0,410.0,395.0,397.0,43965
4/26/2017,JBBL,397.0,405.0,390.0,394.0,82292
4/27/2017,JBBL,247.0,266.0,251.0,259.0,22463
