S.no,Symbol,Date,Open,High,Low,Close,Vol
24,JBNL,2012-07-15.csv,0.0,190.0,116.0,187.0,641
25,JBNL,2012-07-17.csv,187.0,184.0,169.0,169.0,230
30,JBNL,2012-07-19.csv,169.0,166.0,154.0,154.0,50
27,JBNL,2012-07-22.csv,154.0,151.0,139.0,139.0,80
23,JBNL,2012-07-23.csv,139.0,138.0,126.0,135.0,"51,945"
26,JBNL,2012-07-24.csv,135.0,137.0,130.0,135.0,"46,765"
28,JBNL,2012-07-25.csv,135.0,138.0,134.0,138.0,"26,669"
27,JBNL,2012-07-26.csv,138.0,138.0,134.0,137.0,"21,788"
23,JBNL,2012-07-29.csv,137.0,137.0,132.0,133.0,"17,089"
27,JBNL,2012-07-30.csv,133.0,135.0,131.0,134.0,"12,361"
32,JBNL,2012-07-31.csv,134.0,135.0,130.0,132.0,"14,516"
30,JBNL,2012-08-01.csv,132.0,134.0,130.0,132.0,"6,364"
25,JBNL,2012-08-05.csv,132.0,134.0,130.0,131.0,"8,410"
29,JBNL,2012-08-06.csv,131.0,133.0,131.0,132.0,"16,427"
29,JBNL,2012-08-07.csv,132.0,135.0,132.0,134.0,"13,067"
29,JBNL,2012-08-08.csv,134.0,135.0,132.0,132.0,"12,812"
28,JBNL,2012-08-12.csv,132.0,133.0,129.0,131.0,"8,250"
27,JBNL,2012-08-13.csv,131.0,130.0,127.0,128.0,"9,263"
25,JBNL,2012-08-14.csv,128.0,129.0,124.0,126.0,"16,698"
26,JBNL,2012-08-15.csv,126.0,127.0,124.0,127.0,"3,893"
27,JBNL,2012-08-16.csv,127.0,127.0,125.0,125.0,"5,686"
26,JBNL,2012-08-19.csv,125.0,125.0,122.0,124.0,"4,683"
29,JBNL,2012-08-21.csv,124.0,125.0,121.0,122.0,"4,876"
29,JBNL,2012-08-22.csv,122.0,124.0,121.0,124.0,"7,259"
31,JBNL,2012-08-23.csv,124.0,123.0,120.0,121.0,"5,559"
29,JBNL,2012-08-26.csv,121.0,125.0,119.0,123.0,"5,276"
27,JBNL,2012-08-27.csv,123.0,126.0,121.0,126.0,"1,748"
