S.no,Symbol,Date,Open,High,Low,Close,Vol
30,JEFL,2013-10-08.csv,117.0,117.0,117.0,117.0,100
37,JEFL,2013-12-11.csv,117.0,115.0,115.0,115.0,50
36,JEFL,2013-12-12.csv,115.0,113.0,113.0,113.0,250
35,JEFL,2014-01-16.csv,113.0,111.0,111.0,111.0,"1,470"
36,JEFL,2014-01-20.csv,111.0,109.0,107.0,107.0,"1,930"
40,JEFL,2014-01-26.csv,107.0,109.0,109.0,109.0,"3,530"
36,JEFL,2014-02-02.csv,109.0,110.0,108.0,108.0,"1,150"
38,JEFL,2014-02-09.csv,106.0,104.0,104.0,104.0,100
37,JEFL,2014-02-11.csv,104.0,108.0,106.0,108.0,200
40,JEFL,2014-02-17.csv,108.0,108.0,108.0,108.0,800
40,JEFL,2014-02-23.csv,108.0,110.0,110.0,110.0,200
38,JEFL,2014-02-26.csv,110.0,112.0,112.0,112.0,50
80,JEFL,2014-03-13.csv,112.0,112.0,112.0,112.0,150
41,JEFL,2014-03-17.csv,112.0,117.0,117.0,117.0,260
37,JEFL,2014-03-19.csv,117.0,128.0,119.0,128.0,"1,260"
38,JEFL,2014-03-20.csv,128.0,130.0,126.0,130.0,970
36,JEFL,2014-03-23.csv,130.0,134.0,130.0,130.0,"1,490"
40,JEFL,2014-03-24.csv,130.0,130.0,130.0,130.0,"1,210"
36,JEFL,2014-03-25.csv,130.0,130.0,128.0,130.0,"6,500"
40,JEFL,2014-03-31.csv,130.0,128.0,128.0,128.0,500
41,JEFL,2014-04-01.csv,128.0,126.0,126.0,126.0,"1,000"
41,JEFL,2014-04-02.csv,126.0,125.0,122.0,122.0,"9,110"
38,JEFL,2014-04-06.csv,122.0,120.0,118.0,118.0,410
35,JEFL,2014-04-07.csv,118.0,116.0,115.0,115.0,"3,000"
38,JEFL,2014-04-09.csv,115.0,117.0,117.0,117.0,210
39,JEFL,2014-04-10.csv,117.0,119.0,119.0,119.0,"1,000"
39,JEFL,2014-04-13.csv,119.0,121.0,121.0,121.0,180
37,JEFL,2014-04-15.csv,121.0,125.0,123.0,125.0,790
35,JEFL,2014-04-16.csv,125.0,129.0,127.0,129.0,"4,180"
40,JEFL,2014-04-21.csv,129.0,128.0,128.0,128.0,300
41,JEFL,2014-04-22.csv,128.0,122.0,120.0,122.0,"4,500"
40,JEFL,2014-04-23.csv,122.0,124.0,124.0,124.0,70
38,JEFL,2014-04-27.csv,124.0,128.0,126.0,128.0,410
36,JEFL,2014-04-28.csv,128.0,132.0,128.0,132.0,"2,600"
40,JEFL,2014-04-29.csv,132.0,132.0,128.0,132.0,"7,200"
37,JEFL,2014-04-30.csv,132.0,144.0,130.0,144.0,"9,500"
40,JEFL,2014-05-04.csv,144.0,150.0,144.0,150.0,"23,600"
37,JEFL,2014-05-05.csv,150.0,155.0,153.0,154.0,"2,780"
42,JEFL,2014-05-06.csv,154.0,160.0,157.0,157.0,"1,700"
45,JEFL,2014-05-07.csv,157.0,154.0,154.0,154.0,"1,000"
50,JEFL,2014-06-01.csv,154.0,151.0,148.0,148.0,"1,050"
49,JEFL,2014-06-03.csv,148.0,141.0,134.0,135.0,"7,180"
43,JEFL,2014-06-04.csv,135.0,130.0,129.0,130.0,"8,400"
46,JEFL,2014-06-05.csv,130.0,132.0,130.0,130.0,"16,650"
46,JEFL,2014-06-08.csv,130.0,140.0,132.0,140.0,320
48,JEFL,2014-06-09.csv,140.0,147.0,143.0,143.0,"13,490"
49,JEFL,2014-06-10.csv,143.0,156.0,145.0,156.0,"18,090"
48,JEFL,2014-06-11.csv,156.0,167.0,159.0,167.0,"16,500"
46,JEFL,2014-06-12.csv,167.0,165.0,164.0,164.0,"1,810"
41,JEFL,2014-06-15.csv,164.0,164.0,161.0,163.0,"8,960"
43,JEFL,2014-06-26.csv,163.0,160.0,157.0,160.0,"1,110"
47,JEFL,2014-07-06.csv,160.0,157.0,155.0,157.0,"2,430"
44,JEFL,2014-07-10.csv,159.0,165.0,162.0,165.0,200
46,JEFL,2014-07-13.csv,165.0,165.0,162.0,165.0,"2,500"
46,JEFL,2014-07-14.csv,165.0,177.0,168.0,177.0,"1,800"
50,JEFL,2014-07-17.csv,178.0,178.0,175.0,175.0,"4,580"
44,JEFL,2014-07-20.csv,175.0,187.0,178.0,185.0,"6,570"
48,JEFL,2014-07-21.csv,185.0,188.0,188.0,188.0,510
49,JEFL,2014-07-22.csv,188.0,192.0,191.0,192.0,700
47,JEFL,2014-07-23.csv,192.0,189.0,186.0,186.0,"2,500"
49,JEFL,2014-07-24.csv,186.0,198.0,186.0,198.0,"6,000"
47,JEFL,2014-07-27.csv,198.0,204.0,200.0,202.0,"5,710"
48,JEFL,2014-07-30.csv,202.0,214.0,206.0,214.0,"1,580"
48,JEFL,2014-07-31.csv,214.0,234.0,218.0,234.0,"1,950"
46,JEFL,2014-08-03.csv,234.0,238.0,222.0,222.0,"2,260"
45,JEFL,2014-08-04.csv,222.0,222.0,218.0,218.0,"10,150"
43,JEFL,2014-08-06.csv,218.0,220.0,215.0,220.0,"3,570"
46,JEFL,2014-08-07.csv,220.0,216.0,212.0,212.0,350
38,JEFL,2014-08-12.csv,212.0,208.0,208.0,208.0,150
41,JEFL,2014-08-13.csv,208.0,206.0,204.0,205.0,"6,150"
41,JEFL,2014-08-14.csv,205.0,213.0,209.0,213.0,"2,460"
44,JEFL,2014-08-18.csv,213.0,213.0,209.0,209.0,950
40,JEFL,2014-08-19.csv,209.0,214.0,210.0,214.0,"2,500"
39,JEFL,2014-08-20.csv,214.0,222.0,215.0,222.0,"3,680"
36,JEFL,2014-08-21.csv,222.0,218.0,215.0,218.0,"1,200"
40,JEFL,2014-08-24.csv,218.0,215.0,212.0,212.0,"1,600"
43,JEFL,2014-08-27.csv,212.0,208.0,200.0,200.0,200
44,JEFL,2014-09-01.csv,200.0,196.0,193.0,196.0,"7,170"
46,JEFL,2014-09-10.csv,196.0,196.0,196.0,196.0,70
38,JEFL,2014-09-14.csv,196.0,193.0,193.0,193.0,50
