S.no,Symbol,Date,Open,High,Low,Close,Vol
25,JFL,2012-01-02.csv,230.0,226.0,226.0,226.0,50
28,JFL,2012-01-12.csv,226.0,222.0,213.0,213.0,648
26,JFL,2012-01-18.csv,213.0,209.0,200.0,200.0,239
32,JFL,2012-01-22.csv,200.0,196.0,196.0,196.0,500
30,JFL,2012-01-23.csv,196.0,199.0,196.0,196.0,180
26,JFL,2012-01-26.csv,196.0,194.0,191.0,191.0,246
29,JFL,2012-02-02.csv,191.0,191.0,191.0,191.0,123
22,JFL,2012-02-09.csv,191.0,194.0,194.0,194.0,500
29,JFL,2012-02-12.csv,194.0,191.0,188.0,188.0,925
26,JFL,2012-02-28.csv,188.0,191.0,191.0,191.0,49
29,JFL,2012-03-01.csv,191.0,204.0,194.0,204.0,90
25,JFL,2012-03-04.csv,204.0,208.0,208.0,208.0,20
25,JFL,2012-03-05.csv,208.0,212.0,204.0,204.0,130
25,JFL,2012-03-06.csv,204.0,207.0,205.0,205.0,401
29,JFL,2012-03-11.csv,205.0,205.0,205.0,205.0,10
25,JFL,2012-03-12.csv,205.0,204.0,202.0,202.0,359
26,JFL,2012-03-13.csv,202.0,199.0,199.0,199.0,200
24,JFL,2012-03-14.csv,199.0,202.0,200.0,200.0,207
28,JFL,2012-03-18.csv,200.0,204.0,204.0,204.0,"1,000"
27,JFL,2012-03-27.csv,204.0,200.0,199.0,199.0,"1,750"
27,JFL,2012-03-29.csv,199.0,200.0,200.0,200.0,60
28,JFL,2012-04-01.csv,200.0,202.0,202.0,202.0,130
30,JFL,2012-04-15.csv,202.0,206.0,206.0,206.0,40
29,JFL,2012-04-18.csv,206.0,210.0,136.0,210.0,"2,502"
16,JFL,2012-05-02.csv,210.0,214.0,214.0,214.0,50
15,JFL,2012-05-07.csv,214.0,224.0,224.0,224.0,10
24,JFL,2012-05-08.csv,224.0,228.0,228.0,228.0,40
29,JFL,2012-05-09.csv,228.0,232.0,232.0,232.0,"2,844"
22,JFL,2012-05-13.csv,232.0,240.0,236.0,240.0,"1,060"
23,JFL,2012-05-14.csv,240.0,257.0,244.0,257.0,120
17,JFL,2012-05-16.csv,257.0,267.0,262.0,262.0,"1,025"
28,JFL,2012-05-17.csv,262.0,287.0,267.0,287.0,"1,479"
