S.no,Symbol,Date,Open,High,Low,Close,Vol
20,JHBL,2013-10-17.csv,100.0,105.0,105.0,105.0,"1,188"
30,JHBL,2013-10-27.csv,105.0,105.0,105.0,105.0,45
29,JHBL,2013-10-29.csv,105.0,105.0,105.0,105.0,64
40,JHBL,2014-02-18.csv,101.0,105.0,103.0,105.0,744
36,JHBL,2014-03-05.csv,105.0,105.0,105.0,105.0,"3,361"
42,JHBL,2014-03-31.csv,105.0,107.0,107.0,107.0,372
40,JHBL,2014-04-06.csv,107.0,109.0,109.0,109.0,99
38,JHBL,2014-04-28.csv,109.0,111.0,111.0,111.0,135
49,JHBL,2014-07-06.csv,111.0,113.0,113.0,113.0,888
46,JHBL,2014-07-10.csv,123.0,129.0,125.0,129.0,30
48,JHBL,2014-07-13.csv,129.0,141.0,131.0,141.0,60
53,JHBL,2014-07-16.csv,151.0,160.0,154.0,160.0,30
52,JHBL,2014-07-17.csv,160.0,163.0,163.0,163.0,10
46,JHBL,2014-07-20.csv,163.0,178.0,166.0,178.0,50
50,JHBL,2014-07-21.csv,178.0,187.0,181.0,187.0,30
49,JHBL,2014-07-23.csv,187.0,205.0,196.0,205.0,49
51,JHBL,2014-07-24.csv,205.0,213.0,209.0,213.0,244
49,JHBL,2014-07-27.csv,213.0,233.0,217.0,233.0,50
40,JHBL,2014-07-28.csv,233.0,245.0,237.0,245.0,30
50,JHBL,2014-07-30.csv,245.0,267.0,257.0,267.0,40
50,JHBL,2014-07-31.csv,267.0,287.0,272.0,287.0,414
48,JHBL,2014-08-03.csv,287.0,314.0,292.0,314.0,150
47,JHBL,2014-08-04.csv,314.0,344.0,320.0,344.0,"1,188"
48,JHBL,2014-08-05.csv,344.0,348.0,342.0,342.0,753
45,JHBL,2014-08-06.csv,342.0,354.0,348.0,354.0,120
42,JHBL,2014-09-04.csv,354.0,347.0,347.0,347.0,10
40,JHBL,2014-09-14.csv,347.0,341.0,317.0,317.0,50
42,JHBL,2014-10-16.csv,317.0,311.0,311.0,311.0,180
40,JHBL,2014-10-20.csv,311.0,305.0,305.0,305.0,774
39,JHBL,2014-12-22.csv,305.0,300.0,300.0,300.0,"1,088"
44,JHBL,2015-01-19.csv,257.0,272.0,262.0,272.0,30
36,JHBL,2015-01-22.csv,272.0,277.0,277.0,277.0,363
43,JHBL,2015-01-25.csv,277.0,297.0,282.0,297.0,75
46,JHBL,2015-01-27.csv,297.0,326.0,302.0,326.0,464
45,JHBL,2015-01-28.csv,326.0,357.0,332.0,357.0,50
43,JHBL,2015-01-29.csv,357.0,378.0,364.0,378.0,30
46,JHBL,2015-02-02.csv,378.0,392.0,385.0,392.0,20
43,JHBL,2015-02-03.csv,392.0,399.0,399.0,399.0,20
41,JHBL,2015-02-11.csv,399.0,437.0,403.0,437.0,240
47,JHBL,2015-02-12.csv,437.0,429.0,421.0,421.0,65
92,JHBL,2015-02-16.csv,421.0,421.0,413.0,413.0,175
93,JHBL,2015-02-16.csv,421.0,421.0,413.0,413.0,175
45,JHBL,2015-02-18.csv,413.0,410.0,402.0,402.0,55
41,JHBL,2015-02-22.csv,402.0,403.0,403.0,403.0,200
40,JHBL,2015-02-24.csv,403.0,395.0,395.0,395.0,10
44,JHBL,2015-03-04.csv,395.0,390.0,390.0,390.0,500
49,JHBL,2015-03-09.csv,390.0,397.0,397.0,397.0,10
51,JHBL,2015-03-11.csv,397.0,395.0,395.0,395.0,91
44,JHBL,2015-03-12.csv,395.0,424.0,400.0,424.0,"1,088"
39,JHBL,2015-03-15.csv,424.0,454.0,430.0,454.0,140
44,JHBL,2015-03-16.csv,454.0,445.0,445.0,445.0,300
44,JHBL,2015-07-13.csv,448.0,440.0,432.0,432.0,40
44,JHBL,2015-07-15.csv,432.0,424.0,392.0,400.0,871
48,JHBL,2015-07-16.csv,400.0,402.0,400.0,400.0,725
48,JHBL,2015-07-22.csv,400.0,408.0,408.0,408.0,10
47,JHBL,2015-07-23.csv,408.0,440.0,416.0,440.0,"1,001"
41,JHBL,2015-07-29.csv,440.0,440.0,440.0,440.0,107
44,JHBL,2015-09-15.csv,440.0,448.0,448.0,448.0,234
29,JHBL,2015-10-28.csv,448.0,448.0,440.0,448.0,120
38,JHBL,2015-12-20.csv,448.0,448.0,448.0,448.0,455
39,JHBL,2016-01-06.csv,370.0,370.0,370.0,370.0,519
36,JHBL,2016-01-13.csv,370.0,377.0,377.0,377.0,90
38,JHBL,2016-01-14.csv,377.0,384.0,384.0,384.0,45
