S.no,Symbol,Date,Open,High,Low,Close,Vol
38,JSLBB,2015-12-10.csv,0.0,419.0,381.0,419.0,590
37,JSLBB,2015-12-17.csv,419.0,460.0,427.0,460.0,100
41,JSLBB,2016-03-23.csv,460.0,492.0,483.0,492.0,190
41,JSLBB,2016-03-24.csv,492.0,541.0,516.0,541.0,440
43,JSLBB,2016-03-27.csv,541.0,568.0,568.0,568.0,30
41,JSLBB,2016-03-28.csv,568.0,596.0,596.0,596.0,50
40,JSLBB,2016-03-31.csv,518.0,528.0,528.0,528.0,10
38,JSLBB,2016-05-03.csv,528.0,538.0,538.0,538.0,10
39,JSLBB,2016-05-10.csv,538.0,548.0,548.0,548.0,10
39,JSLBB,2016-05-15.csv,548.0,558.0,558.0,558.0,10
40,JSLBB,2016-05-18.csv,558.0,585.0,585.0,585.0,10
37,JSLBB,2016-05-31.csv,585.0,607.0,596.0,607.0,20
38,JSLBB,2016-06-09.csv,607.0,619.0,619.0,619.0,10
35,JSLBB,2016-06-20.csv,619.0,649.0,649.0,649.0,10
39,JSLBB,2016-06-26.csv,649.0,661.0,661.0,661.0,10
38,JSLBB,2016-07-05.csv,661.0,694.0,694.0,694.0,10
41,JSLBB,2016-07-14.csv,694.0,707.0,707.0,707.0,10
40,JSLBB,2016-07-17.csv,707.0,777.0,721.0,777.0,"1,125"
40,JSLBB,2016-07-18.csv,777.0,792.0,792.0,792.0,10
40,JSLBB,2016-07-19.csv,792.0,807.0,807.0,807.0,10
41,JSLBB,2016-07-20.csv,807.0,847.0,847.0,847.0,10
41,JSLBB,2016-07-27.csv,847.0,863.0,863.0,863.0,10
40,JSLBB,2016-07-28.csv,863.0,906.0,906.0,906.0,10
40,JSLBB,2016-08-07.csv,906.0,942.0,924.0,942.0,20
38,JSLBB,2016-08-08.csv,942.0,1008.0,989.0,1008.0,20
26,JSLBB,2016-08-09.csv,1008.0,1058.0,1058.0,1058.0,10
39,JSLBB,2016-08-14.csv,1058.0,1110.0,1110.0,1110.0,20
42,JSLBB,2016-08-16.csv,1110.0,1150.0,1150.0,1150.0,10
39,JSLBB,2016-08-21.csv,1150.0,1173.0,1173.0,1173.0,10
41,JSLBB,2016-08-28.csv,1173.0,1219.0,1196.0,1219.0,20
40,JSLBB,2016-08-31.csv,1219.0,1267.0,1243.0,1267.0,20
40,JSLBB,2016-09-03.csv,1267.0,1330.0,1330.0,1330.0,40
40,JSLBB,2016-09-04.csv,1267.0,1330.0,1330.0,1330.0,40
42,JSLBB,2016-09-08.csv,1330.0,1356.0,1356.0,1356.0,10
38,JSLBB,2016-09-11.csv,1356.0,1383.0,1383.0,1383.0,10
39,JSLBB,2016-09-14.csv,1383.0,1410.0,1410.0,1410.0,10
37,JSLBB,2016-09-18.csv,1410.0,1480.0,1480.0,1480.0,20
37,JSLBB,2016-09-20.csv,1480.0,1509.0,1509.0,1509.0,10
37,JSLBB,2016-09-22.csv,1509.0,1584.0,1584.0,1584.0,10
37,JSLBB,2016-09-25.csv,1584.0,1615.0,1615.0,1615.0,10
38,JSLBB,2016-09-28.csv,1615.0,1712.0,1647.0,1712.0,30
38,JSLBB,2016-10-03.csv,1712.0,1780.0,1746.0,1780.0,20
36,JSLBB,2016-10-05.csv,1780.0,1906.0,1869.0,1906.0,20
34,JSLBB,2016-10-16.csv,1906.0,1944.0,1944.0,1944.0,10
34,JSLBB,2016-10-17.csv,1944.0,1982.0,1982.0,1982.0,10
33,JSLBB,2016-10-19.csv,1982.0,2061.0,2021.0,2061.0,20
33,JSLBB,2016-10-24.csv,2061.0,2144.0,2102.0,2144.0,20
37,JSLBB,2016-10-25.csv,2144.0,2229.0,2186.0,2229.0,20
32,JSLBB,2016-10-26.csv,2229.0,2451.0,2273.0,2451.0,80
35,JSLBB,2016-10-27.csv,2451.0,2696.0,2500.0,2696.0,420
31,JSLBB,2016-11-03.csv,2696.0,2965.0,2749.0,2965.0,490
33,JSLBB,2016-11-07.csv,2965.0,3055.0,2802.0,3050.0,"1,620"
38,JSLBB,2016-11-08.csv,3050.0,3100.0,2901.0,3060.0,"1,355"
35,JSLBB,2016-11-09.csv,3060.0,3060.0,2906.0,2906.0,620
35,JSLBB,2016-11-10.csv,2906.0,3000.0,2860.0,2899.0,560
38,JSLBB,2016-11-13.csv,2899.0,2998.0,2850.0,2905.0,750
38,JSLBB,2016-11-14.csv,2905.0,2910.0,2865.0,2868.0,420
40,JSLBB,2016-11-15.csv,2868.0,2900.0,2820.0,2840.0,200
37,JSLBB,2016-11-16.csv,2840.0,2840.0,2740.0,2740.0,450
36,JSLBB,2016-11-17.csv,2740.0,2686.0,2600.0,2600.0,120
36,JSLBB,2016-11-20.csv,2600.0,2548.0,2411.0,2411.0,130
34,JSLBB,2016-11-21.csv,2411.0,2363.0,2200.0,2290.0,320
36,JSLBB,2016-11-22.csv,2290.0,2280.0,2157.0,2163.0,680
34,JSLBB,2016-11-23.csv,2163.0,2200.0,2066.0,2066.0,860
40,JSLBB,2016-11-24.csv,2066.0,2150.0,2027.0,2027.0,310
41,JSLBB,2016-11-27.csv,2027.0,2050.0,1851.0,1851.0,690
37,JSLBB,2016-11-28.csv,1851.0,1887.0,1666.0,1887.0,580
39,JSLBB,2016-11-29.csv,1887.0,1960.0,1780.0,1960.0,"1,595"
38,JSLBB,2016-11-30.csv,1633.0,1665.0,1665.0,1665.0,50
42,JSLBB,2016-12-01.csv,1665.0,1735.0,1698.0,1735.0,200
43,JSLBB,2016-12-04.csv,1735.0,1744.0,1710.0,1744.0,30
43,JSLBB,2016-12-05.csv,1744.0,1786.0,1750.0,1786.0,110
42,JSLBB,2016-12-06.csv,1786.0,1755.0,1686.0,1686.0,160
38,JSLBB,2016-12-07.csv,1686.0,1686.0,1686.0,1686.0,10
40,JSLBB,2016-12-08.csv,1686.0,1788.0,1719.0,1788.0,40
44,JSLBB,2016-12-11.csv,1788.0,1823.0,1787.0,1787.0,30
44,JSLBB,2016-12-12.csv,1787.0,1765.0,1752.0,1765.0,30
41,JSLBB,2016-12-14.csv,1765.0,1735.0,1731.0,1735.0,200
40,JSLBB,2016-12-18.csv,1735.0,1720.0,1701.0,1720.0,30
41,JSLBB,2016-12-19.csv,1720.0,1690.0,1690.0,1690.0,10
42,JSLBB,2016-12-20.csv,1690.0,1715.0,1658.0,1691.0,160
38,JSLBB,2016-12-21.csv,1691.0,1661.0,1630.0,1630.0,210
43,JSLBB,2016-12-22.csv,1630.0,1645.0,1635.0,1645.0,20
40,JSLBB,2016-12-26.csv,1645.0,1809.0,1677.0,1809.0,"1,390"
42,JSLBB,2016-12-27.csv,1809.0,1815.0,1741.0,1815.0,210
39,JSLBB,2016-12-28.csv,1815.0,1888.0,1813.0,1813.0,110
36,JSLBB,2016-12-29.csv,1813.0,1849.0,1813.0,1813.0,110
40,JSLBB,2017-01-01.csv,1813.0,1849.0,1849.0,1849.0,10
41,JSLBB,2017-01-02.csv,1849.0,1868.0,1850.0,1868.0,80
38,JSLBB,2017-01-03.csv,1868.0,1831.0,1795.0,1795.0,80
40,JSLBB,2017-01-04.csv,1795.0,1800.0,1761.0,1764.0,50
40,JSLBB,2017-01-05.csv,1764.0,1745.0,1745.0,1745.0,30
38,JSLBB,2017-01-08.csv,1745.0,1779.0,1713.0,1779.0,130
38,JSLBB,2017-01-09.csv,1779.0,1780.0,1780.0,1780.0,40
39,JSLBB,2017-01-10.csv,1780.0,1851.0,1815.0,1815.0,280
38,JSLBB,2017-01-11.csv,1815.0,1800.0,1800.0,1800.0,10
38,JSLBB,2017-01-12.csv,1800.0,1764.0,1730.0,1730.0,220
37,JSLBB,2017-01-15.csv,1730.0,1734.0,1696.0,1734.0,60
38,JSLBB,2017-01-16.csv,1734.0,1734.0,1700.0,1721.0,30
38,JSLBB,2017-01-18.csv,1721.0,1860.0,1755.0,1860.0,70
40,JSLBB,2017-01-19.csv,1860.0,1835.0,1805.0,1813.0,170
38,JSLBB,2017-01-22.csv,1813.0,1888.0,1830.0,1870.0,282
39,JSLBB,2017-01-23.csv,1870.0,1836.0,1836.0,1836.0,10
39,JSLBB,2017-01-24.csv,1836.0,1849.0,1802.0,1815.0,210
41,JSLBB,2017-01-25.csv,1815.0,1785.0,1751.0,1751.0,88
42,JSLBB,2017-01-26.csv,1751.0,1716.0,1651.0,1660.0,280
34,JSLBB,2017-01-30.csv,1660.0,1628.0,1495.0,1495.0,70
42,JSLBB,2017-01-31.csv,1495.0,1495.0,1437.0,1437.0,260
42,JSLBB,2017-02-02.csv,1437.0,1580.0,1465.0,1549.0,120
40,JSLBB,2017-02-06.csv,1549.0,1575.0,1575.0,1575.0,30
36,JSLBB,2017-02-07.csv,1575.0,1606.0,1575.0,1581.0,90
41,JSLBB,2017-02-08.csv,1581.0,1583.0,1551.0,1559.0,120
40,JSLBB,2017-02-09.csv,1559.0,1528.0,1490.0,1490.0,130
39,JSLBB,2017-02-12.csv,1490.0,1480.0,1445.0,1446.0,160
42,JSLBB,2017-02-13.csv,1446.0,1419.0,1346.0,1346.0,113
40,JSLBB,2017-02-14.csv,1346.0,1405.0,1360.0,1405.0,40
43,JSLBB,2017-02-15.csv,1405.0,1530.0,1433.0,1530.0,180
45,JSLBB,2017-02-16.csv,1530.0,1501.0,1501.0,1501.0,10
41,JSLBB,2017-02-19.csv,1501.0,1476.0,1476.0,1476.0,10
42,JSLBB,2017-02-21.csv,1476.0,1505.0,1505.0,1505.0,10
38,JSLBB,2017-02-23.csv,1505.0,1475.0,1446.0,1474.0,60
40,JSLBB,2017-02-26.csv,1474.0,1473.0,1445.0,1473.0,20
40,JSLBB,2017-02-28.csv,1473.0,1504.0,1473.0,1504.0,80
39,JSLBB,2017-03-01.csv,1504.0,1625.0,1475.0,1625.0,210
39,JSLBB,2017-03-02.csv,1625.0,1703.0,1630.0,1703.0,410
41,JSLBB,2017-03-05.csv,1703.0,1735.0,1690.0,1735.0,180
42,JSLBB,2017-03-06.csv,1735.0,1740.0,1740.0,1740.0,20
41,JSLBB,2017-03-07.csv,1740.0,1774.0,1770.0,1774.0,20
38,JSLBB,2017-03-09.csv,1774.0,1739.0,1739.0,1739.0,10
39,JSLBB,2017-03-13.csv,1739.0,1705.0,1671.0,1671.0,20
42,JSLBB,2017-03-16.csv,1671.0,1738.0,1704.0,1738.0,20
40,JSLBB,2017-03-19.csv,1738.0,1772.0,1772.0,1772.0,10
39,JSLBB,2017-03-20.csv,1772.0,1916.0,1772.0,1916.0,80
41,JSLBB,2017-03-21.csv,1916.0,2065.0,1954.0,2065.0,280
40,JSLBB,2017-03-22.csv,2065.0,2150.0,2106.0,2150.0,180
41,JSLBB,2017-03-23.csv,2150.0,2244.0,2150.0,2200.0,170
40,JSLBB,2017-03-26.csv,2200.0,2420.0,2200.0,2420.0,310
43,JSLBB,2017-03-28.csv,2420.0,2494.0,2468.0,2494.0,30
43,JSLBB,2017-03-29.csv,2494.0,2543.0,2480.0,2490.0,150
41,JSLBB,2017-03-30.csv,2490.0,2505.0,2455.0,2505.0,220
37,JSLBB,2017-04-02.csv,2505.0,2658.0,2555.0,2658.0,50
40,JSLBB,2017-04-03.csv,2658.0,2605.0,2553.0,2553.0,120
43,JSLBB,2017-04-04.csv,2553.0,2505.0,2358.0,2358.0,150
41,JSLBB,2017-04-06.csv,2358.0,2360.0,2250.0,2342.0,160
44,JSLBB,2017-04-10.csv,2342.0,2555.0,2296.0,2555.0,158
43,JSLBB,2017-04-11.csv,2555.0,2710.0,2500.0,2626.0,320
45,JSLBB,2017-04-12.csv,2626.0,2814.0,2626.0,2814.0,340
43,JSLBB,2017-04-13.csv,2814.0,2758.0,2749.0,2749.0,220
43,JSLBB,2017-04-16.csv,2749.0,2840.0,2700.0,2800.0,578
45,JSLBB,2017-04-18.csv,2800.0,2749.0,2585.0,2600.0,330
46,JSLBB,2017-04-19.csv,2600.0,2750.0,2600.0,2750.0,210
42,JSLBB,2017-04-20.csv,2750.0,2805.0,2695.0,2695.0,130
44,JSLBB,2017-04-23.csv,2695.0,2710.0,2660.0,2710.0,160
43,JSLBB,2017-04-24.csv,2710.0,2799.0,2705.0,2744.0,350
46,JSLBB,2017-04-25.csv,2744.0,2844.0,2740.0,2844.0,500
44,JSLBB,2017-04-26.csv,2844.0,2958.0,2840.0,2958.0,330
44,JSLBB,2017-04-27.csv,2958.0,3050.0,2789.0,3044.0,670
43,JSLBB,2017-04-30.csv,3044.0,3070.0,2931.0,3070.0,"1,010"
44,JSLBB,2017-05-02.csv,3070.0,3200.0,3009.0,3200.0,"1,175"
44,JSLBB,2017-05-03.csv,3200.0,3200.0,3032.0,3032.0,250
43,JSLBB,2017-05-04.csv,3032.0,3092.0,2976.0,3035.0,150
43,JSLBB,2017-05-07.csv,3035.0,3060.0,2985.0,2985.0,245
43,JSLBB,2017-05-08.csv,2985.0,3045.0,2980.0,2980.0,420
42,JSLBB,2017-05-09.csv,2980.0,3060.0,2980.0,3060.0,50
44,JSLBB,2017-05-11.csv,3060.0,3180.0,3010.0,3180.0,330
44,JSLBB,2017-05-15.csv,3180.0,3410.0,3228.0,3248.0,380
43,JSLBB,2017-05-16.csv,3248.0,3240.0,3192.0,3240.0,310
45,JSLBB,2017-05-17.csv,3240.0,3250.0,3225.0,3225.0,90
45,JSLBB,2017-05-18.csv,3225.0,3220.0,3200.0,3200.0,70
48,JSLBB,2017-05-21.csv,3200.0,3163.0,3041.0,3152.0,337
47,JSLBB,2017-05-22.csv,3152.0,3270.0,3141.0,3205.0,170
47,JSLBB,2017-05-23.csv,3205.0,3250.0,3200.0,3250.0,440
46,JSLBB,2017-05-24.csv,3250.0,3217.0,3140.0,3217.0,130
45,JSLBB,2017-05-28.csv,3217.0,3200.0,3181.0,3181.0,110
47,JSLBB,2017-05-30.csv,3181.0,3185.0,3070.0,3100.0,440
46,JSLBB,2017-05-31.csv,3100.0,3173.0,3050.0,3173.0,442
46,JSLBB,2017-06-01.csv,3173.0,3150.0,3135.0,3150.0,200
47,JSLBB,2017-06-04.csv,3150.0,3170.0,3100.0,3170.0,390
46,JSLBB,2017-06-05.csv,3170.0,3220.0,3136.0,3200.0,200
47,JSLBB,2017-06-06.csv,3200.0,3240.0,3153.0,3220.0,340
48,JSLBB,2017-06-07.csv,3220.0,3250.0,3200.0,3219.0,520
44,JSLBB,2017-06-08.csv,3219.0,3200.0,3190.0,3190.0,70
44,JSLBB,2017-06-11.csv,3190.0,3127.0,3010.0,3119.0,460
43,JSLBB,2017-06-12.csv,3119.0,3150.0,3075.0,3150.0,90
45,JSLBB,2017-06-13.csv,3150.0,3162.0,3090.0,3110.0,165
46,JSLBB,2017-06-14.csv,3110.0,3056.0,3051.0,3056.0,40
48,JSLBB,2017-06-15.csv,3056.0,3117.0,3032.0,3056.0,50
47,JSLBB,2017-06-18.csv,3056.0,3060.0,3050.0,3060.0,40
43,JSLBB,2017-06-19.csv,3060.0,3060.0,2906.0,2960.0,460
42,JSLBB,2017-06-20.csv,2960.0,3019.0,3001.0,3001.0,30
48,JSLBB,2017-06-21.csv,3001.0,2967.0,2967.0,2967.0,10
44,JSLBB,2017-06-22.csv,2967.0,3026.0,3026.0,3026.0,30
46,JSLBB,2017-06-25.csv,3026.0,3139.0,3026.0,3095.0,320
46,JSLBB,2017-06-27.csv,3095.0,3130.0,3055.0,3130.0,127
44,JSLBB,2017-06-28.csv,3130.0,3110.0,3100.0,3110.0,180
48,JSLBB,2017-07-02.csv,3110.0,3055.0,3050.0,3054.0,280
46,JSLBB,2017-07-03.csv,3054.0,3115.0,3075.0,3075.0,235
48,JSLBB,2017-07-04.csv,3075.0,3100.0,3017.0,3017.0,155
45,JSLBB,2017-07-05.csv,3017.0,3060.0,3030.0,3060.0,130
47,JSLBB,2017-07-06.csv,3060.0,3119.0,3050.0,3119.0,400
46,JSLBB,2017-07-09.csv,3119.0,3180.0,3055.0,3055.0,290
46,JSLBB,2017-07-10.csv,3055.0,3056.0,3041.0,3055.0,104
47,JSLBB,2017-07-11.csv,3055.0,3121.0,3060.0,3121.0,30
45,JSLBB,2017-07-12.csv,3121.0,3085.0,3065.0,3085.0,100
48,JSLBB,2017-07-13.csv,3085.0,3089.0,3045.0,3060.0,100
49,JSLBB,2017-07-16.csv,3060.0,3100.0,3065.0,3065.0,100
51,JSLBB,2017-07-17.csv,3065.0,3115.0,3065.0,3100.0,120
50,JSLBB,2017-07-18.csv,3100.0,3162.0,3100.0,3130.0,100
50,JSLBB,2017-07-19.csv,3130.0,3130.0,3100.0,3111.0,150
49,JSLBB,2017-07-20.csv,3111.0,3185.0,3063.0,3160.0,330
52,JSLBB,2017-07-23.csv,3160.0,3160.0,3160.0,3160.0,30
51,JSLBB,2017-07-24.csv,3160.0,3165.0,3160.0,3165.0,30
50,JSLBB,2017-07-25.csv,3165.0,3233.0,3140.0,3233.0,298
50,JSLBB,2017-07-26.csv,3233.0,3300.0,3240.0,3300.0,265
48,JSLBB,2017-07-27.csv,3300.0,3366.0,3290.0,3300.0,380
50,JSLBB,2017-07-30.csv,3300.0,3366.0,3276.0,3291.0,440
49,JSLBB,2017-07-31.csv,3291.0,3468.0,3290.0,3468.0,730
50,JSLBB,2017-08-01.csv,3468.0,3814.0,3515.0,3800.0,"2,625"
52,JSLBB,2017-08-02.csv,3800.0,3953.0,3700.0,3815.0,"1,121"
52,JSLBB,2017-08-03.csv,3815.0,3968.0,3700.0,3750.0,415
52,JSLBB,2017-08-06.csv,3750.0,3876.0,3701.0,3750.0,280
50,JSLBB,2017-08-07.csv,3750.0,3720.0,3700.0,3700.0,350
52,JSLBB,2017-08-09.csv,3700.0,3710.0,3628.0,3710.0,180
53,JSLBB,2017-08-10.csv,3710.0,3710.0,3641.0,3661.0,180
53,JSLBB,2017-08-13.csv,3661.0,3734.0,3556.0,3575.0,476
52,JSLBB,2017-08-15.csv,3575.0,3700.0,3510.0,3650.0,744
52,JSLBB,2017-08-16.csv,3650.0,3725.0,3620.0,3670.0,497
52,JSLBB,2017-08-17.csv,3670.0,3700.0,3615.0,3690.0,410
52,JSLBB,2017-08-20.csv,3690.0,3692.0,3601.0,3680.0,236
49,JSLBB,2017-08-21.csv,3680.0,3670.0,3615.0,3670.0,108
52,JSLBB,2017-08-22.csv,3670.0,3741.0,3620.0,3739.0,783
52,JSLBB,2017-08-23.csv,3739.0,3739.0,3665.0,3739.0,14
52,JSLBB,2017-08-24.csv,3739.0,3750.0,3705.0,3750.0,292
53,JSLBB,2017-08-27.csv,3750.0,3849.0,3700.0,3849.0,870
51,JSLBB,2017-08-28.csv,3849.0,3970.0,3850.0,3921.0,"1,294"
49,JSLBB,2017-08-30.csv,3921.0,4110.0,3891.0,4085.0,"1,823"
50,JSLBB,2017-08-31.csv,4085.0,4051.0,3940.0,3981.0,944
51,JSLBB,2017-09-04.csv,3981.0,3950.0,3880.0,3900.0,422
54,JSLBB,2017-09-06.csv,3900.0,4000.0,3920.0,3960.0,"1,405"
52,JSLBB,2017-09-07.csv,3960.0,3960.0,3894.0,3960.0,970
52,JSLBB,2017-09-10.csv,3960.0,3890.0,3806.0,3810.0,378
51,JSLBB,2017-09-11.csv,3810.0,3845.0,3750.0,3845.0,"1,330"
49,JSLBB,2017-09-12.csv,3845.0,3859.0,3740.0,3799.0,782
54,JSLBB,2017-09-13.csv,3799.0,3830.0,3724.0,3780.0,168
53,JSLBB,2017-09-14.csv,3780.0,3759.0,3676.0,3759.0,946
53,JSLBB,2017-09-17.csv,3759.0,3740.0,3685.0,3740.0,94
54,JSLBB,2017-09-18.csv,3740.0,3770.0,3731.0,3750.0,122
52,JSLBB,2017-09-20.csv,3750.0,3721.0,3721.0,3721.0,20
52,JSLBB,2017-09-24.csv,3721.0,3794.0,3793.0,3793.0,42
50,JSLBB,2017-09-25.csv,3793.0,3799.0,3755.0,3780.0,202
48,JSLBB,2017-09-26.csv,3780.0,3837.0,3761.0,3761.0,66
50,JSLBB,2017-10-04.csv,3761.0,3765.0,3700.0,3700.0,26
50,JSLBB,2017-10-08.csv,3700.0,3626.0,3525.0,3600.0,272
49,JSLBB,2017-10-09.csv,3600.0,3600.0,3529.0,3600.0,106
50,JSLBB,2017-10-10.csv,3600.0,3650.0,3600.0,3650.0,92
53,JSLBB,2017-10-11.csv,3650.0,3700.0,3651.0,3700.0,88
48,JSLBB,2017-10-12.csv,3700.0,3627.0,3627.0,3627.0,12
50,JSLBB,2017-10-15.csv,3627.0,3650.0,3602.0,3620.0,128
54,JSLBB,2017-10-16.csv,3620.0,3763.0,3620.0,3763.0,110
52,JSLBB,2017-10-17.csv,3763.0,3850.0,3838.0,3850.0,50
45,JSLBB,2017-10-18.csv,3850.0,3850.0,3730.0,3850.0,222
48,JSLBB,2017-10-22.csv,3850.0,3890.0,3820.0,3820.0,118
51,JSLBB,2017-10-23.csv,3820.0,3835.0,3576.0,3617.0,"1,016"
53,JSLBB,2017-10-24.csv,3617.0,3600.0,3545.0,3600.0,412
51,JSLBB,2017-10-25.csv,3600.0,3580.0,3560.0,3580.0,272
51,JSLBB,2017-10-29.csv,3580.0,3610.0,3509.0,3610.0,182
53,JSLBB,2017-10-30.csv,3610.0,3600.0,3505.0,3505.0,48
51,JSLBB,2017-10-31.csv,3505.0,3500.0,3450.0,3500.0,66
52,JSLBB,2017-11-01.csv,3500.0,3498.0,3430.0,3438.0,94
50,JSLBB,2017-11-02.csv,3438.0,3450.0,3370.0,3421.0,80
52,JSLBB,2017-11-05.csv,3421.0,3415.0,3360.0,3366.0,172
53,JSLBB,2017-11-06.csv,3366.0,3304.0,3303.0,3304.0,8
50,JSLBB,2017-11-07.csv,3366.0,3468.0,3400.0,3468.0,84
52,JSLBB,2017-11-08.csv,3468.0,3420.0,3341.0,3412.0,120
50,JSLBB,2017-11-09.csv,3412.0,3380.0,3278.0,3350.0,196
