S.no,Symbol,Date,Open,High,Low,Close,Vol
31,KADBL,2012-08-21.csv,200.0,196.0,196.0,196.0,690
30,KADBL,2012-09-24.csv,196.0,193.0,181.0,181.0,"2,162"
39,KADBL,2012-10-08.csv,181.0,183.0,171.0,174.0,"4,206"
36,KADBL,2012-10-09.csv,174.0,171.0,171.0,171.0,151
30,KADBL,2012-11-08.csv,171.0,168.0,165.0,165.0,"1,000"
29,KADBL,2012-12-19.csv,165.0,162.0,162.0,162.0,"5,251"
28,KADBL,2013-02-25.csv,162.0,165.0,165.0,165.0,"1,035"
32,KADBL,2013-03-19.csv,165.0,162.0,150.0,150.0,"5,287"
31,KADBL,2013-03-20.csv,150.0,147.0,137.0,137.0,"1,736"
33,KADBL,2013-03-27.csv,137.0,138.0,124.0,124.0,"14,076"
28,KADBL,2013-03-31.csv,124.0,122.0,122.0,122.0,"2,390"
30,KADBL,2013-04-02.csv,122.0,120.0,116.0,116.0,"2,795"
30,KADBL,2013-04-04.csv,116.0,118.0,118.0,118.0,214
28,KADBL,2013-04-07.csv,118.0,116.0,116.0,116.0,679
30,KADBL,2013-04-08.csv,116.0,114.0,110.0,110.0,284
33,KADBL,2013-04-09.csv,110.0,110.0,108.0,110.0,222
33,KADBL,2013-04-11.csv,110.0,112.0,108.0,108.0,"1,710"
29,KADBL,2013-04-16.csv,108.0,108.0,108.0,108.0,"1,380"
28,KADBL,2013-04-18.csv,108.0,110.0,110.0,110.0,545
32,KADBL,2013-04-28.csv,110.0,114.0,110.0,110.0,"3,141"
29,KADBL,2013-04-29.csv,110.0,112.0,112.0,112.0,448
27,KADBL,2013-05-02.csv,112.0,110.0,110.0,110.0,345
27,KADBL,2013-05-16.csv,110.0,116.0,112.0,114.0,"1,673"
31,KADBL,2013-05-20.csv,114.0,116.0,116.0,116.0,180
32,KADBL,2013-05-21.csv,116.0,120.0,116.0,120.0,"1,581"
31,KADBL,2013-05-26.csv,120.0,122.0,122.0,122.0,338
30,KADBL,2013-05-28.csv,122.0,121.0,121.0,121.0,483
30,KADBL,2013-05-30.csv,121.0,122.0,112.0,112.0,"9,723"
32,KADBL,2013-06-02.csv,112.0,112.0,112.0,112.0,350
30,KADBL,2013-06-03.csv,112.0,110.0,110.0,110.0,"4,140"
33,KADBL,2013-06-17.csv,108.0,108.0,108.0,108.0,69
30,KADBL,2013-06-19.csv,108.0,114.0,110.0,114.0,"3,570"
32,KADBL,2013-06-20.csv,114.0,112.0,112.0,112.0,41
27,KADBL,2013-06-23.csv,112.0,110.0,110.0,110.0,97
31,KADBL,2013-06-24.csv,110.0,112.0,112.0,112.0,97
34,KADBL,2013-07-02.csv,112.0,114.0,114.0,114.0,214
31,KADBL,2013-07-03.csv,114.0,112.0,110.0,110.0,55
38,KADBL,2013-07-29.csv,110.0,112.0,112.0,112.0,100
36,KADBL,2013-08-01.csv,112.0,114.0,114.0,114.0,236
39,KADBL,2013-08-04.csv,114.0,118.0,116.0,118.0,50
39,KADBL,2013-08-06.csv,118.0,124.0,120.0,124.0,338
