S.no,Symbol,Date,Open,High,Low,Close,Vol
29,KAFIL,2012-01-04.csv,108.0,108.0,108.0,108.0,100
27,KAFIL,2012-01-09.csv,108.0,106.0,102.0,102.0,700
27,KAFIL,2012-01-10.csv,108.0,102.0,100.0,102.0,"1,070"
29,KAFIL,2012-01-11.csv,102.0,106.0,103.0,106.0,500
29,KAFIL,2012-01-12.csv,106.0,110.0,108.0,110.0,160
21,KAFIL,2012-01-16.csv,110.0,112.0,108.0,112.0,160
23,KAFIL,2012-01-17.csv,112.0,111.0,111.0,111.0,290
33,KAFIL,2012-01-22.csv,111.0,113.0,113.0,113.0,20
31,KAFIL,2012-01-23.csv,113.0,113.0,111.0,113.0,70
27,KAFIL,2012-01-26.csv,113.0,114.0,114.0,114.0,90
27,KAFIL,2012-02-06.csv,114.0,115.0,115.0,115.0,60
25,KAFIL,2012-02-08.csv,115.0,116.0,116.0,116.0,60
26,KAFIL,2012-02-13.csv,116.0,114.0,108.0,108.0,170
23,KAFIL,2012-02-14.csv,108.0,109.0,109.0,109.0,120
27,KAFIL,2012-02-23.csv,109.0,107.0,101.0,103.0,740
28,KAFIL,2012-02-26.csv,103.0,102.0,101.0,101.0,240
25,KAFIL,2012-02-29.csv,101.0,104.0,103.0,104.0,70
26,KAFIL,2012-03-04.csv,104.0,102.0,97.0,98.0,"1,832"
26,KAFIL,2012-03-05.csv,98.0,99.0,98.0,99.0,878
26,KAFIL,2012-03-06.csv,99.0,98.0,98.0,98.0,222
30,KAFIL,2012-03-11.csv,98.0,99.0,97.0,99.0,220
26,KAFIL,2012-03-12.csv,99.0,99.0,98.0,99.0,166
27,KAFIL,2012-03-13.csv,99.0,99.0,99.0,99.0,100
21,KAFIL,2012-03-15.csv,99.0,99.0,98.0,98.0,126
29,KAFIL,2012-03-18.csv,98.0,97.0,97.0,97.0,100
31,KAFIL,2012-03-20.csv,97.0,98.0,98.0,98.0,100
30,KAFIL,2012-03-21.csv,98.0,102.0,99.0,102.0,"1,036"
27,KAFIL,2012-03-28.csv,102.0,100.0,100.0,100.0,300
28,KAFIL,2012-03-29.csv,100.0,100.0,98.0,98.0,369
29,KAFIL,2012-04-01.csv,98.0,103.0,99.0,101.0,"1,527"
26,KAFIL,2012-04-02.csv,101.0,103.0,103.0,103.0,128
22,KAFIL,2012-04-03.csv,103.0,104.0,103.0,103.0,550
30,KAFIL,2012-04-04.csv,103.0,101.0,99.0,99.0,168
32,KAFIL,2012-04-08.csv,99.0,100.0,100.0,100.0,290
21,KAFIL,2012-04-09.csv,100.0,104.0,102.0,104.0,208
28,KAFIL,2012-04-10.csv,104.0,104.0,104.0,104.0,176
28,KAFIL,2012-04-11.csv,104.0,106.0,106.0,106.0,130
31,KAFIL,2012-04-15.csv,106.0,110.0,108.0,110.0,30
19,KAFIL,2012-04-16.csv,110.0,112.0,112.0,112.0,20
25,KAFIL,2012-04-17.csv,112.0,115.0,114.0,115.0,400
30,KAFIL,2012-04-18.csv,115.0,115.0,113.0,115.0,124
34,KAFIL,2012-04-19.csv,115.0,119.0,117.0,119.0,40
32,KAFIL,2012-04-22.csv,119.0,123.0,121.0,121.0,670
23,KAFIL,2012-04-24.csv,121.0,127.0,123.0,127.0,112
25,KAFIL,2012-04-25.csv,127.0,129.0,129.0,129.0,10
34,KAFIL,2012-04-26.csv,129.0,137.0,131.0,137.0,820
33,KAFIL,2012-04-29.csv,137.0,148.0,139.0,148.0,998
25,KAFIL,2012-05-08.csv,148.0,153.0,150.0,153.0,30
30,KAFIL,2012-05-09.csv,153.0,159.0,156.0,159.0,20
31,KAFIL,2012-05-10.csv,159.0,156.0,156.0,156.0,216
29,KAFIL,2012-05-17.csv,156.0,159.0,159.0,159.0,30
27,KAFIL,2012-05-27.csv,159.0,156.0,153.0,153.0,132
25,KAFIL,2012-06-13.csv,153.0,150.0,150.0,150.0,36
27,KAFIL,2012-06-14.csv,150.0,147.0,147.0,147.0,209
26,KAFIL,2012-06-18.csv,147.0,145.0,133.0,133.0,"1,400"
27,KAFIL,2012-06-21.csv,133.0,131.0,126.0,126.0,194
28,KAFIL,2012-06-26.csv,126.0,124.0,114.0,114.0,938
28,KAFIL,2012-06-27.csv,114.0,116.0,110.0,114.0,694
28,KAFIL,2012-06-28.csv,114.0,117.0,109.0,109.0,661
24,KAFIL,2012-07-01.csv,109.0,108.0,106.0,106.0,369
26,KAFIL,2012-07-02.csv,106.0,108.0,104.0,108.0,401
25,KAFIL,2012-07-03.csv,108.0,110.0,108.0,108.0,142
27,KAFIL,2012-07-04.csv,108.0,112.0,108.0,108.0,134
25,KAFIL,2012-07-05.csv,108.0,112.0,108.0,112.0,160
28,KAFIL,2012-07-08.csv,112.0,114.0,110.0,112.0,100
28,KAFIL,2012-07-09.csv,112.0,116.0,112.0,116.0,240
24,KAFIL,2012-07-10.csv,116.0,123.0,116.0,123.0,"2,852"
29,KAFIL,2012-07-11.csv,123.0,125.0,122.0,125.0,694
29,KAFIL,2012-07-12.csv,125.0,126.0,126.0,126.0,52
25,KAFIL,2012-07-15.csv,126.0,130.0,128.0,130.0,190
25,KAFIL,2012-07-16.csv,130.0,129.0,121.0,121.0,243
27,KAFIL,2012-07-17.csv,121.0,122.0,120.0,120.0,589
32,KAFIL,2012-07-18.csv,120.0,120.0,113.0,113.0,407
32,KAFIL,2012-07-19.csv,113.0,117.0,115.0,117.0,158
29,KAFIL,2012-07-22.csv,117.0,121.0,119.0,121.0,164
29,KAFIL,2012-07-26.csv,121.0,119.0,116.0,118.0,802
25,KAFIL,2012-07-29.csv,118.0,116.0,114.0,114.0,303
29,KAFIL,2012-07-30.csv,114.0,112.0,110.0,110.0,420
34,KAFIL,2012-07-31.csv,110.0,110.0,110.0,110.0,672
32,KAFIL,2012-08-01.csv,110.0,111.0,110.0,111.0,644
27,KAFIL,2012-08-05.csv,111.0,109.0,108.0,108.0,108
32,KAFIL,2012-08-07.csv,108.0,110.0,110.0,110.0,69
30,KAFIL,2012-08-12.csv,110.0,113.0,111.0,111.0,367
28,KAFIL,2012-08-15.csv,111.0,111.0,108.0,110.0,492
28,KAFIL,2012-08-19.csv,110.0,110.0,110.0,110.0,172
32,KAFIL,2012-08-21.csv,110.0,111.0,111.0,111.0,18
30,KAFIL,2012-08-22.csv,111.0,109.0,106.0,106.0,476
30,KAFIL,2012-08-26.csv,106.0,104.0,102.0,102.0,223
29,KAFIL,2012-08-27.csv,102.0,104.0,102.0,104.0,209
34,KAFIL,2012-08-28.csv,104.0,105.0,105.0,105.0,745
31,KAFIL,2012-08-30.csv,105.0,105.0,105.0,105.0,902
34,KAFIL,2012-09-02.csv,105.0,111.0,107.0,111.0,135
32,KAFIL,2012-09-03.csv,111.0,116.0,113.0,113.0,555
29,KAFIL,2012-09-05.csv,113.0,113.0,111.0,113.0,92
37,KAFIL,2012-09-10.csv,113.0,114.0,110.0,110.0,200
40,KAFIL,2012-09-11.csv,110.0,111.0,110.0,110.0,420
36,KAFIL,2012-09-12.csv,110.0,110.0,108.0,108.0,292
36,KAFIL,2012-09-13.csv,108.0,107.0,105.0,107.0,"1,291"
35,KAFIL,2012-09-16.csv,107.0,108.0,105.0,108.0,174
37,KAFIL,2012-09-17.csv,108.0,113.0,109.0,111.0,568
31,KAFIL,2012-09-18.csv,111.0,122.0,111.0,122.0,257
36,KAFIL,2012-09-30.csv,122.0,120.0,118.0,118.0,45
64,KAFIL,2012-10-01.csv,118.0,116.0,109.0,110.0,540
65,KAFIL,2012-10-01.csv,118.0,116.0,109.0,110.0,540
32,KAFIL,2012-10-02.csv,110.0,110.0,106.0,108.0,"1,012"
34,KAFIL,2012-10-03.csv,108.0,106.0,104.0,104.0,248
34,KAFIL,2012-10-04.csv,104.0,106.0,104.0,106.0,"1,395"
35,KAFIL,2012-10-07.csv,106.0,108.0,106.0,106.0,303
40,KAFIL,2012-10-08.csv,106.0,108.0,105.0,105.0,715
37,KAFIL,2012-10-09.csv,105.0,106.0,105.0,106.0,107
34,KAFIL,2012-10-10.csv,106.0,108.0,107.0,108.0,116
32,KAFIL,2012-10-14.csv,108.0,106.0,105.0,106.0,907
27,KAFIL,2012-10-15.csv,106.0,110.0,105.0,110.0,573
24,KAFIL,2012-10-17.csv,110.0,112.0,110.0,112.0,279
30,KAFIL,2012-10-18.csv,112.0,110.0,108.0,108.0,103
29,KAFIL,2012-10-30.csv,108.0,110.0,108.0,110.0,110
26,KAFIL,2012-10-31.csv,110.0,112.0,111.0,111.0,337
27,KAFIL,2012-11-01.csv,111.0,122.0,113.0,122.0,412
31,KAFIL,2012-11-05.csv,122.0,120.0,120.0,120.0,16
35,KAFIL,2012-11-07.csv,120.0,122.0,122.0,122.0,20
31,KAFIL,2012-11-08.csv,122.0,126.0,124.0,126.0,94
28,KAFIL,2012-11-11.csv,126.0,124.0,118.0,118.0,342
26,KAFIL,2012-11-12.csv,118.0,116.0,116.0,116.0,62
27,KAFIL,2012-11-18.csv,116.0,118.0,114.0,114.0,102
33,KAFIL,2012-11-20.csv,114.0,112.0,106.0,106.0,"1,193"
29,KAFIL,2012-11-21.csv,106.0,106.0,105.0,106.0,83
29,KAFIL,2012-11-22.csv,106.0,107.0,105.0,107.0,729
