S.no,Symbol,Date,Open,High,Low,Close,Vol
35,KBBL,2012-04-26.csv,225.0,233.0,225.0,225.0,"2,310"
34,KBBL,2012-04-29.csv,225.0,221.0,218.0,218.0,"2,300"
21,KBBL,2012-05-03.csv,218.0,222.0,222.0,222.0,10
32,KBBL,2012-05-10.csv,222.0,221.0,217.0,217.0,"1,052"
23,KBBL,2012-05-13.csv,217.0,217.0,213.0,213.0,620
30,KBBL,2012-05-17.csv,213.0,213.0,209.0,209.0,569
28,KBBL,2012-05-24.csv,209.0,213.0,213.0,213.0,20
29,KBBL,2012-06-20.csv,213.0,209.0,209.0,209.0,"1,404"
25,KBBL,2012-07-01.csv,209.0,217.0,213.0,217.0,234
27,KBBL,2012-07-02.csv,217.0,217.0,217.0,217.0,221
26,KBBL,2012-07-03.csv,217.0,217.0,217.0,217.0,16
28,KBBL,2012-07-17.csv,217.0,213.0,213.0,213.0,203
35,KBBL,2012-07-31.csv,213.0,217.0,217.0,217.0,576
33,KBBL,2012-08-01.csv,217.0,213.0,213.0,213.0,20
33,KBBL,2012-08-21.csv,213.0,209.0,209.0,209.0,736
31,KBBL,2012-08-22.csv,209.0,205.0,194.0,194.0,"3,673"
35,KBBL,2012-09-02.csv,194.0,191.0,182.0,182.0,348
31,KBBL,2012-09-09.csv,182.0,185.0,185.0,185.0,442
38,KBBL,2012-09-10.csv,0.0,185.0,185.0,185.0,"23,923"
36,KBBL,2012-09-16.csv,185.0,182.0,182.0,182.0,10
35,KBBL,2012-09-25.csv,182.0,179.0,176.0,176.0,20
39,KBBL,2012-09-26.csv,176.0,173.0,167.0,167.0,30
37,KBBL,2012-09-30.csv,161.0,158.0,155.0,155.0,"1,080"
33,KBBL,2012-10-02.csv,155.0,155.0,155.0,155.0,20
35,KBBL,2012-10-03.csv,155.0,152.0,149.0,149.0,"2,210"
36,KBBL,2012-10-07.csv,149.0,153.0,147.0,153.0,"9,801"
41,KBBL,2012-10-08.csv,153.0,161.0,150.0,153.0,"8,362"
38,KBBL,2012-10-09.csv,153.0,154.0,148.0,150.0,"7,701"
35,KBBL,2012-10-10.csv,150.0,149.0,147.0,147.0,"6,434"
