Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,KBL,399.0,399.0,395.0,398.0,11854
1/4/2016,KBL,398.0,399.0,390.0,392.0,6652
1/5/2016,KBL,392.0,393.0,385.0,389.0,9339
1/6/2016,KBL,389.0,389.0,386.0,388.0,3245
1/7/2016,KBL,388.0,395.0,390.0,392.0,7332
1/10/2016,KBL,392.0,392.0,370.0,381.0,140742
1/11/2016,KBL,381.0,395.0,377.0,384.0,38102
1/12/2016,KBL,384.0,392.0,387.0,389.0,23779
1/12/2016,KBL,384.0,392.0,387.0,389.0,23779
1/13/2016,KBL,389.0,387.0,371.0,385.0,87473
9/29/2016,KBL,347.0,381.0,353.0,381.0,50
10/2/2016,KBL,381.0,418.0,388.0,418.0,20040
10/3/2016,KBL,418.0,459.0,426.0,459.0,50
10/4/2016,KBL,459.0,504.0,468.0,504.0,50
10/5/2016,KBL,504.0,554.0,514.0,554.0,108
10/6/2016,KBL,554.0,609.0,565.0,609.0,29523
10/16/2016,KBL,609.0,640.0,610.0,617.0,286231
10/17/2016,KBL,617.0,621.0,596.0,610.0,125038
10/18/2016,KBL,610.0,611.0,602.0,610.0,78851
10/19/2016,KBL,610.0,615.0,609.0,615.0,83373
10/20/2016,KBL,615.0,617.0,612.0,617.0,54954
10/23/2016,KBL,617.0,635.0,617.0,626.0,106622
10/24/2016,KBL,626.0,627.0,615.0,619.0,61539
10/25/2016,KBL,619.0,620.0,608.0,614.0,44196
10/26/2016,KBL,614.0,617.0,607.0,615.0,41861
10/27/2016,KBL,615.0,625.0,618.0,620.0,57461
11/3/2016,KBL,620.0,620.0,611.0,620.0,11079
11/7/2016,KBL,620.0,620.0,609.0,610.0,27324
11/8/2016,KBL,610.0,615.0,600.0,602.0,30051
11/9/2016,KBL,602.0,605.0,580.0,600.0,29668
11/10/2016,KBL,600.0,608.0,590.0,599.0,39276
11/13/2016,KBL,599.0,605.0,586.0,601.0,34319
11/14/2016,KBL,601.0,608.0,601.0,605.0,25551
11/15/2016,KBL,605.0,618.0,608.0,610.0,54607
11/16/2016,KBL,610.0,616.0,602.0,606.0,16542
11/17/2016,KBL,606.0,608.0,590.0,592.0,43819
11/20/2016,KBL,592.0,597.0,560.0,573.0,38196
11/21/2016,KBL,573.0,590.0,553.0,570.0,25996
11/22/2016,KBL,570.0,570.0,530.0,561.0,31279
11/23/2016,KBL,561.0,554.0,541.0,546.0,49117
11/24/2016,KBL,546.0,575.0,545.0,552.0,29098
11/27/2016,KBL,552.0,554.0,531.0,534.0,51386
11/28/2016,KBL,534.0,574.0,500.0,563.0,42202
11/29/2016,KBL,563.0,575.0,525.0,575.0,43033
11/30/2016,KBL,575.0,590.0,560.0,583.0,51779
12/1/2016,KBL,583.0,593.0,554.0,579.0,63835
12/4/2016,KBL,579.0,580.0,557.0,570.0,23542
12/5/2016,KBL,570.0,570.0,556.0,560.0,13590
12/6/2016,KBL,560.0,566.0,555.0,563.0,12450
12/7/2016,KBL,563.0,570.0,561.0,566.0,10025
12/8/2016,KBL,566.0,572.0,556.0,557.0,11342
12/11/2016,KBL,557.0,560.0,545.0,545.0,14116
12/12/2016,KBL,545.0,550.0,530.0,550.0,14037
12/14/2016,KBL,550.0,561.0,540.0,547.0,7758
12/15/2016,KBL,547.0,548.0,541.0,544.0,14215
12/18/2016,KBL,544.0,550.0,540.0,545.0,14778
12/19/2016,KBL,545.0,550.0,532.0,542.0,30345
12/20/2016,KBL,542.0,549.0,532.0,535.0,12737
12/21/2016,KBL,535.0,530.0,521.0,523.0,11913
12/22/2016,KBL,523.0,528.0,522.0,524.0,8329
12/26/2016,KBL,524.0,525.0,515.0,520.0,15851
12/27/2016,KBL,520.0,520.0,500.0,507.0,28122
