S.no,Symbol,Date,Open,High,Low,Close,Vol
33,KBLPO,2012-01-01.csv,236.0,135.0,135.0,135.0,"15,976"
31,KBLPO,2012-07-12.csv,135.0,149.0,149.0,149.0,"6,969"
34,KBLPO,2012-09-03.csv,149.0,147.0,147.0,147.0,"40,000"
35,KBLPO,2013-04-01.csv,147.0,145.0,145.0,145.0,"15,876"
36,KBLPO,2013-04-11.csv,145.0,143.0,137.0,137.0,200
34,KBLPO,2013-04-15.csv,137.0,135.0,125.0,125.0,300
32,KBLPO,2013-04-16.csv,125.0,123.0,115.0,115.0,250
31,KBLPO,2013-04-17.csv,115.0,113.0,105.0,105.0,250
31,KBLPO,2013-04-18.csv,105.0,103.0,100.0,100.0,"199,450"
26,KBLPO,2013-04-22.csv,100.0,100.0,100.0,100.0,"120,000"
35,KBLPO,2013-04-28.csv,100.0,100.0,100.0,100.0,"76,550"
32,KBLPO,2013-06-19.csv,100.0,100.0,100.0,100.0,"64,152"
34,KBLPO,2013-06-24.csv,100.0,100.0,100.0,100.0,"65,000"
30,KBLPO,2013-06-25.csv,100.0,100.0,100.0,100.0,"135,014"
34,KBLPO,2013-07-03.csv,100.0,100.0,100.0,100.0,"32,532"
39,KBLPO,2013-07-09.csv,100.0,100.0,100.0,100.0,"116,948"
41,KBLPO,2013-07-15.csv,100.0,100.0,100.0,100.0,"53,030"
40,KBLPO,2013-07-22.csv,100.0,100.0,100.0,100.0,450
32,KBLPO,2013-10-06.csv,100.0,100.0,100.0,100.0,"31,082"
34,KBLPO,2013-10-23.csv,100.0,100.0,100.0,100.0,"4,320"
38,KBLPO,2014-01-05.csv,100.0,100.0,100.0,100.0,"11,640"
42,KBLPO,2014-01-14.csv,100.0,100.0,100.0,100.0,"11,685"
44,KBLPO,2014-03-09.csv,100.0,100.0,100.0,100.0,"1,114"
39,KBLPO,2014-04-07.csv,100.0,100.0,100.0,100.0,"40,000"
42,KBLPO,2014-04-17.csv,100.0,100.0,100.0,100.0,"4,591"
41,KBLPO,2014-09-03.csv,100.0,100.0,100.0,100.0,642
46,KBLPO,2014-09-04.csv,100.0,100.0,100.0,100.0,"40,880"
41,KBLPO,2014-10-19.csv,100.0,100.0,100.0,100.0,"74,597"
47,KBLPO,2015-03-18.csv,195.0,192.0,189.0,189.0,"28,437"
26,KBLPO,2015-05-31.csv,189.0,189.0,189.0,189.0,"3,260"
44,KBLPO,2015-06-22.csv,189.0,189.0,189.0,189.0,"5,198"
38,KBLPO,2016-01-13.csv,195.0,192.0,192.0,192.0,"427,201"
35,KBLPO,2016-10-26.csv,320.0,320.0,320.0,320.0,"25,000"
45,KBLPO,2016-11-27.csv,320.0,314.0,314.0,314.0,"15,000"
45,KBLPO,2016-12-14.csv,314.0,314.0,314.0,314.0,"14,000"
52,KBLPO,2017-05-21.csv,200.0,200.0,200.0,200.0,"11,799"
58,KBLPO,2017-09-06.csv,162.0,162.0,162.0,162.0,"50,000"
56,KBLPO,2017-09-10.csv,162.0,159.0,156.0,156.0,"3,000"
54,KBLPO,2017-09-11.csv,156.0,153.0,150.0,150.0,"229,411"
55,KBLPO,2017-10-25.csv,150.0,150.0,150.0,150.0,"5,044"
55,KBLPO,2017-10-29.csv,150.0,150.0,150.0,150.0,"53,506"
57,KBLPO,2017-11-06.csv,150.0,150.0,150.0,150.0,"30,006"
54,KBLPO,2017-11-12.csv,150.0,150.0,150.0,150.0,"13,450"
56,KBLPO,2017-11-23.csv,150.0,150.0,150.0,150.0,"5,045"
54,KBLPO,2018-01-17.csv,150.0,147.0,145.0,145.0,"9,348"
60,KBLPO,2018-04-08.csv,145.0,145.0,145.0,145.0,"4,298"
54,KBLPO,2018-07-12.csv,112.0,112.0,112.0,112.0,"390,000"
52,KBLPO,2018-10-28.csv,145.0,145.0,145.0,145.0,"47,869"
52,KBLPO,2018-12-06.csv,145.0,145.0,145.0,145.0,"33,625"
51,KBLPO,2019-01-10.csv,145.0,145.0,145.0,145.0,"4,757"
54,KBLPO,2019-03-27.csv,145.0,145.0,145.0,145.0,"8,072"
58,KBLPO,2019-04-09.csv,145.0,145.0,145.0,145.0,"398,477"
55,KBLPO,2019-04-10.csv,145.0,145.0,145.0,145.0,"5,394"
61,KBLPO,2019-09-03.csv,114.0,114.0,114.0,114.0,"100,000"
55,KBLPO,2019-11-12.csv,114.0,114.0,114.0,114.0,"110,000"
61,KBLPO,2020-01-14.csv,114.0,114.0,114.0,114.0,"162,504"
59,KBLPO,2020-01-27.csv,114.0,114.0,114.0,114.0,755
59,KBLPO,2020-01-29.csv,113.0,113.0,113.0,113.0,"195,000"
62,KBLPO,2020-03-12.csv,111.0,111.0,111.0,111.0,"9,712"
