S.no,Symbol,Date,Open,High,Low,Close,Vol
22,KEBL,2012-01-05.csv,133.0,133.0,133.0,133.0,10
31,KEBL,2012-01-11.csv,133.0,133.0,133.0,133.0,90
31,KEBL,2012-01-12.csv,133.0,135.0,135.0,135.0,60
22,KEBL,2012-01-16.csv,135.0,133.0,133.0,133.0,510
25,KEBL,2012-01-17.csv,133.0,131.0,131.0,131.0,30
35,KEBL,2012-01-22.csv,131.0,133.0,133.0,133.0,370
31,KEBL,2012-01-29.csv,133.0,132.0,132.0,132.0,10
30,KEBL,2012-02-05.csv,132.0,132.0,132.0,132.0,10
27,KEBL,2012-02-16.csv,132.0,134.0,134.0,134.0,20
26,KEBL,2012-02-21.csv,134.0,133.0,133.0,133.0,10
28,KEBL,2012-03-06.csv,133.0,135.0,135.0,135.0,60
29,KEBL,2012-03-13.csv,135.0,137.0,137.0,137.0,90
26,KEBL,2012-03-14.csv,137.0,135.0,135.0,135.0,90
27,KEBL,2012-03-25.csv,135.0,133.0,133.0,133.0,50
29,KEBL,2012-03-27.csv,133.0,135.0,135.0,135.0,10
30,KEBL,2012-03-29.csv,135.0,133.0,132.0,132.0,30
28,KEBL,2012-04-02.csv,132.0,134.0,134.0,134.0,10
32,KEBL,2012-04-04.csv,134.0,134.0,134.0,134.0,10
23,KEBL,2012-04-09.csv,134.0,132.0,132.0,132.0,20
32,KEBL,2012-05-17.csv,132.0,134.0,134.0,134.0,370
25,KEBL,2012-05-20.csv,134.0,132.0,132.0,132.0,90
27,KEBL,2012-05-21.csv,132.0,132.0,130.0,132.0,130
29,KEBL,2012-06-11.csv,132.0,132.0,132.0,132.0,20
29,KEBL,2012-06-12.csv,132.0,132.0,130.0,130.0,110
27,KEBL,2012-06-13.csv,130.0,134.0,134.0,134.0,40
28,KEBL,2012-06-18.csv,134.0,134.0,134.0,134.0,20
28,KEBL,2012-06-19.csv,134.0,134.0,134.0,134.0,20
30,KEBL,2012-06-26.csv,134.0,134.0,134.0,134.0,20
30,KEBL,2012-06-27.csv,134.0,134.0,134.0,134.0,20
31,KEBL,2012-07-22.csv,134.0,132.0,132.0,132.0,70
26,KEBL,2012-07-23.csv,132.0,134.0,134.0,134.0,10
29,KEBL,2012-07-24.csv,134.0,135.0,135.0,135.0,10
31,KEBL,2012-07-25.csv,135.0,135.0,135.0,135.0,70
38,KEBL,2012-07-31.csv,135.0,135.0,135.0,135.0,40
36,KEBL,2012-08-01.csv,135.0,137.0,137.0,137.0,30
35,KEBL,2012-08-07.csv,137.0,139.0,139.0,139.0,20
32,KEBL,2012-08-27.csv,139.0,137.0,137.0,137.0,30
36,KEBL,2012-09-03.csv,137.0,135.0,135.0,135.0,10
34,KEBL,2012-09-09.csv,135.0,133.0,133.0,133.0,30
41,KEBL,2012-09-10.csv,133.0,133.0,131.0,133.0,180
43,KEBL,2012-09-11.csv,133.0,131.0,131.0,131.0,30
39,KEBL,2012-09-13.csv,131.0,131.0,127.0,127.0,110
39,KEBL,2012-09-16.csv,127.0,125.0,125.0,125.0,10
40,KEBL,2012-09-17.csv,125.0,125.0,123.0,125.0,20
40,KEBL,2012-09-19.csv,125.0,123.0,123.0,123.0,10
40,KEBL,2012-09-30.csv,122.0,122.0,121.0,122.0,70
36,KEBL,2012-10-02.csv,122.0,120.0,120.0,120.0,370
38,KEBL,2012-10-04.csv,120.0,122.0,122.0,122.0,60
38,KEBL,2012-10-10.csv,122.0,120.0,120.0,120.0,30
37,KEBL,2012-10-11.csv,120.0,118.0,118.0,118.0,60
36,KEBL,2012-10-14.csv,118.0,120.0,118.0,118.0,40
35,KEBL,2012-11-05.csv,118.0,117.0,117.0,117.0,30
34,KEBL,2012-11-26.csv,117.0,117.0,115.0,117.0,80
34,KEBL,2012-12-26.csv,117.0,119.0,119.0,119.0,80
30,KEBL,2013-01-07.csv,119.0,119.0,119.0,119.0,20
35,KEBL,2013-01-31.csv,119.0,121.0,121.0,121.0,40
31,KEBL,2013-02-03.csv,121.0,121.0,121.0,121.0,30
32,KEBL,2013-02-04.csv,121.0,121.0,121.0,121.0,40
29,KEBL,2013-02-06.csv,121.0,123.0,123.0,123.0,100
36,KEBL,2013-04-28.csv,123.0,114.0,114.0,114.0,20
39,KEBL,2013-08-14.csv,114.0,114.0,112.0,114.0,22
46,KEBL,2013-08-20.csv,114.0,114.0,114.0,114.0,33
