S.no,Symbol,Date,Open,High,Low,Close,Vol
13,KMBSL,2012-01-03.csv,105.0,103.0,103.0,103.0,90
10,KMBSL,2012-01-09.csv,103.0,103.0,103.0,103.0,10
15,KMBSL,2012-01-11.csv,103.0,103.0,101.0,101.0,100
13,KMBSL,2012-01-12.csv,101.0,100.0,100.0,100.0,300
8,KMBSL,2012-01-16.csv,100.0,98.0,97.0,97.0,250
13,KMBSL,2017-06-25.csv,97.0,98.0,98.0,98.0,800
12,KMBSL,2017-07-04.csv,98.0,99.0,99.0,99.0,"5,160"
13,KMBSL,2017-07-10.csv,99.0,104.0,100.0,104.0,30
13,KMBSL,2017-07-11.csv,104.0,114.0,106.0,114.0,330
11,KMBSL,2017-07-12.csv,114.0,125.0,116.0,125.0,60
11,KMBSL,2017-07-13.csv,125.0,137.0,127.0,137.0,60
12,KMBSL,2017-07-16.csv,137.0,150.0,139.0,150.0,"2,340"
13,KMBSL,2017-07-17.csv,150.0,159.0,139.0,141.0,"1,940"
13,KMBSL,2017-07-18.csv,141.0,155.0,143.0,155.0,"1,760"
13,KMBSL,2017-07-19.csv,155.0,163.0,157.0,160.0,950
13,KMBSL,2017-07-20.csv,160.0,165.0,157.0,165.0,"4,580"
15,KMBSL,2017-07-23.csv,165.0,181.0,168.0,181.0,"5,260"
13,KMBSL,2017-07-24.csv,181.0,190.0,184.0,184.0,520
13,KMBSL,2017-07-25.csv,184.0,181.0,178.0,178.0,260
14,KMBSL,2017-07-26.csv,178.0,190.0,175.0,187.0,"4,170"
13,KMBSL,2017-07-27.csv,187.0,185.0,178.0,178.0,"2,250"
13,KMBSL,2017-07-30.csv,178.0,195.0,181.0,195.0,"1,710"
13,KMBSL,2017-07-31.csv,195.0,214.0,198.0,211.0,"3,770"
13,KMBSL,2017-08-01.csv,211.0,232.0,215.0,232.0,"7,030"
14,KMBSL,2017-08-02.csv,232.0,255.0,236.0,255.0,"3,010"
13,KMBSL,2017-08-03.csv,255.0,280.0,260.0,280.0,"2,390"
14,KMBSL,2017-08-06.csv,280.0,290.0,280.0,280.0,"1,250"
13,KMBSL,2017-08-07.csv,280.0,275.0,252.0,252.0,"1,070"
13,KMBSL,2017-08-09.csv,252.0,247.0,235.0,235.0,270
14,KMBSL,2017-08-10.csv,235.0,231.0,212.0,212.0,"5,230"
15,KMBSL,2017-08-13.csv,212.0,232.0,216.0,217.0,"2,290"
13,KMBSL,2017-08-15.csv,217.0,230.0,213.0,230.0,"5,890"
13,KMBSL,2017-08-16.csv,230.0,229.0,218.0,218.0,"4,750"
13,KMBSL,2017-08-17.csv,218.0,230.0,206.0,226.0,"8,200"
15,KMBSL,2017-08-20.csv,226.0,246.0,226.0,234.0,"5,200"
11,KMBSL,2017-08-21.csv,234.0,233.0,230.0,233.0,30
12,KMBSL,2017-08-22.csv,233.0,240.0,226.0,226.0,940
13,KMBSL,2017-08-23.csv,226.0,225.0,222.0,225.0,240
13,KMBSL,2017-08-24.csv,225.0,221.0,213.0,213.0,400
14,KMBSL,2017-08-27.csv,213.0,227.0,213.0,227.0,330
15,KMBSL,2017-09-20.csv,227.0,227.0,207.0,207.0,"1,110"
14,KMBSL,2017-09-24.csv,207.0,203.0,193.0,193.0,620
15,KMBSL,2017-09-25.csv,193.0,193.0,190.0,193.0,120
12,KMBSL,2017-10-03.csv,193.0,190.0,190.0,190.0,220
15,KMBSL,2017-10-04.csv,190.0,187.0,181.0,181.0,"2,210"
13,KMBSL,2017-10-10.csv,181.0,182.0,180.0,182.0,60
14,KMBSL,2017-10-11.csv,182.0,179.0,176.0,176.0,280
12,KMBSL,2017-10-12.csv,176.0,176.0,171.0,171.0,620
14,KMBSL,2017-10-15.csv,171.0,170.0,170.0,170.0,400
16,KMBSL,2017-10-16.csv,170.0,179.0,173.0,179.0,"2,410"
13,KMBSL,2017-11-01.csv,179.0,189.0,180.0,186.0,990
13,KMBSL,2017-11-02.csv,186.0,189.0,187.0,187.0,"96,970"
15,KMBSL,2017-11-05.csv,187.0,189.0,186.0,186.0,190
14,KMBSL,2017-11-14.csv,186.0,189.0,189.0,189.0,120
14,KMBSL,2017-11-16.csv,189.0,192.0,192.0,192.0,20
13,KMBSL,2017-11-19.csv,192.0,195.0,188.0,188.0,270
15,KMBSL,2017-11-20.csv,188.0,191.0,191.0,191.0,350
14,KMBSL,2017-11-21.csv,191.0,194.0,191.0,191.0,460
14,KMBSL,2017-11-22.csv,191.0,191.0,188.0,188.0,740
15,KMBSL,2017-11-23.csv,188.0,188.0,188.0,188.0,300
14,KMBSL,2017-11-26.csv,188.0,191.0,190.0,191.0,610
14,KMBSL,2017-11-27.csv,191.0,189.0,186.0,186.0,300
14,KMBSL,2017-11-28.csv,186.0,183.0,180.0,180.0,"3,700"
14,KMBSL,2017-11-29.csv,180.0,183.0,177.0,183.0,"1,180"
14,KMBSL,2017-12-04.csv,183.0,180.0,180.0,180.0,200
15,KMBSL,2017-12-05.csv,180.0,180.0,177.0,179.0,"3,970"
15,KMBSL,2017-12-06.csv,179.0,186.0,177.0,184.0,"3,240"
15,KMBSL,2017-12-10.csv,184.0,184.0,184.0,184.0,"1,050"
14,KMBSL,2017-12-11.csv,184.0,187.0,187.0,187.0,500
15,KMBSL,2017-12-13.csv,187.0,205.0,185.0,205.0,"2,990"
15,KMBSL,2017-12-14.csv,205.0,225.0,209.0,225.0,"1,162"
15,KMBSL,2017-12-17.csv,225.0,221.0,210.0,210.0,"1,240"
15,KMBSL,2017-12-18.csv,210.0,206.0,199.0,199.0,260
14,KMBSL,2017-12-19.csv,199.0,205.0,197.0,205.0,"7,220"
13,KMBSL,2017-12-20.csv,205.0,209.0,209.0,209.0,22
14,KMBSL,2017-12-21.csv,209.0,205.0,201.0,201.0,600
14,KMBSL,2017-12-24.csv,201.0,205.0,205.0,205.0,100
13,KMBSL,2017-12-27.csv,205.0,205.0,201.0,201.0,80
15,KMBSL,2018-01-02.csv,201.0,198.0,195.0,195.0,20
15,KMBSL,2018-01-03.csv,195.0,193.0,190.0,190.0,510
16,KMBSL,2018-01-04.csv,190.0,193.0,192.0,193.0,190
16,KMBSL,2018-01-09.csv,193.0,196.0,196.0,196.0,10
12,KMBSL,2018-01-10.csv,196.0,202.0,198.0,202.0,"1,020"
13,KMBSL,2018-01-14.csv,202.0,206.0,206.0,206.0,500
14,KMBSL,2018-01-16.csv,206.0,206.0,200.0,200.0,"1,930"
12,KMBSL,2018-01-17.csv,200.0,200.0,200.0,200.0,100
15,KMBSL,2018-01-21.csv,200.0,204.0,200.0,204.0,660
15,KMBSL,2018-01-22.csv,204.0,200.0,196.0,196.0,232
15,KMBSL,2018-01-25.csv,196.0,195.0,191.0,195.0,"2,030"
15,KMBSL,2018-01-28.csv,195.0,198.0,198.0,198.0,390
12,KMBSL,2018-01-29.csv,198.0,198.0,195.0,195.0,"1,030"
15,KMBSL,2018-02-04.csv,195.0,192.0,186.0,189.0,"1,020"
14,KMBSL,2018-02-06.csv,189.0,187.0,187.0,187.0,100
15,KMBSL,2018-02-07.csv,187.0,190.0,190.0,190.0,10
14,KMBSL,2018-02-11.csv,190.0,187.0,187.0,187.0,100
14,KMBSL,2018-02-18.csv,188.0,188.0,188.0,188.0,100
16,KMBSL,2018-02-20.csv,186.0,186.0,186.0,186.0,10
