Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,KMCDB,1565.0,1614.0,1581.0,1614.0,6080
1/4/2016,KMCDB,1614.0,1645.0,1582.0,1600.0,2594
1/5/2016,KMCDB,1600.0,1615.0,1581.0,1581.0,1815
1/6/2016,KMCDB,1581.0,1560.0,1550.0,1550.0,118
1/7/2016,KMCDB,1550.0,1575.0,1520.0,1520.0,1232
1/10/2016,KMCDB,1520.0,1490.0,1455.0,1461.0,1645
1/11/2016,KMCDB,1461.0,1500.0,1432.0,1500.0,631
1/12/2016,KMCDB,1500.0,1520.0,1490.0,1505.0,1436
1/12/2016,KMCDB,1500.0,1520.0,1490.0,1505.0,1436
1/13/2016,KMCDB,1505.0,1534.0,1520.0,1520.0,703
1/17/2016,KMCDB,1520.0,1570.0,1500.0,1570.0,903
1/18/2016,KMCDB,1570.0,1560.0,1520.0,1560.0,112
1/20/2016,KMCDB,1560.0,1545.0,1545.0,1545.0,105
1/21/2016,KMCDB,1545.0,1531.0,1520.0,1521.0,812
1/24/2016,KMCDB,1521.0,1650.0,1550.0,1640.0,2729
1/28/2016,KMCDB,1640.0,1625.0,1552.0,1620.0,9302
1/31/2016,KMCDB,1620.0,1652.0,1630.0,1650.0,3607
2/1/2016,KMCDB,1650.0,1735.0,1670.0,1675.0,2188
2/2/2016,KMCDB,1675.0,1742.0,1670.0,1670.0,834
2/3/2016,KMCDB,1670.0,1755.0,1670.0,1730.0,2538
2/4/2016,KMCDB,1730.0,1740.0,1645.0,1650.0,2790
2/7/2016,KMCDB,1650.0,1683.0,1650.0,1650.0,487
2/8/2016,KMCDB,1650.0,1617.0,1586.0,1586.0,60
2/11/2016,KMCDB,1586.0,1599.0,1539.0,1599.0,678
2/14/2016,KMCDB,1599.0,1629.0,1568.0,1620.0,2615
2/15/2016,KMCDB,1620.0,1609.0,1570.0,1609.0,1800
2/16/2016,KMCDB,1609.0,1608.0,1600.0,1608.0,796
2/17/2016,KMCDB,1608.0,1607.0,1576.0,1600.0,650
2/18/2016,KMCDB,1600.0,1570.0,1509.0,1530.0,3207
2/21/2016,KMCDB,1530.0,1560.0,1510.0,1545.0,1523
2/22/2016,KMCDB,1545.0,1575.0,1531.0,1560.0,1003
2/24/2016,KMCDB,1560.0,1588.0,1545.0,1545.0,131
2/25/2016,KMCDB,1545.0,1615.0,1532.0,1585.0,1447
2/28/2016,KMCDB,1585.0,1580.0,1550.0,1550.0,190
2/29/2016,KMCDB,1550.0,1647.0,1580.0,1589.0,1608
3/1/2016,KMCDB,1589.0,1611.0,1565.0,1610.0,1410
3/2/2016,KMCDB,1610.0,1625.0,1590.0,1625.0,942
3/3/2016,KMCDB,1625.0,1700.0,1617.0,1700.0,2704
3/6/2016,KMCDB,1700.0,1758.0,1710.0,1750.0,9207
3/10/2016,KMCDB,1750.0,1835.0,1765.0,1835.0,5506
3/13/2016,KMCDB,1835.0,1799.0,1764.0,1795.0,662
3/14/2016,KMCDB,1795.0,1760.0,1700.0,1700.0,1606
3/15/2016,KMCDB,1700.0,1720.0,1680.0,1720.0,1700
3/16/2016,KMCDB,1720.0,1700.0,1686.0,1700.0,92
3/17/2016,KMCDB,1700.0,1765.0,1700.0,1765.0,642
3/20/2016,KMCDB,1765.0,1800.0,1750.0,1750.0,360
3/21/2016,KMCDB,1750.0,1785.0,1750.0,1760.0,2023
3/23/2016,KMCDB,1760.0,1767.0,1740.0,1765.0,2280
3/24/2016,KMCDB,1765.0,1765.0,1760.0,1760.0,264
3/27/2016,KMCDB,1760.0,1730.0,1725.0,1730.0,229
3/28/2016,KMCDB,1730.0,1765.0,1730.0,1765.0,1460
3/29/2016,KMCDB,1765.0,1760.0,1705.0,1760.0,2663
3/30/2016,KMCDB,1760.0,1750.0,1732.0,1732.0,350
3/31/2016,KMCDB,1732.0,1749.0,1700.0,1715.0,770
4/3/2016,KMCDB,1715.0,1710.0,1690.0,1690.0,110
4/4/2016,KMCDB,1690.0,1734.0,1689.0,1710.0,84
4/5/2016,KMCDB,1710.0,1725.0,1691.0,1691.0,210
4/6/2016,KMCDB,1691.0,1658.0,1658.0,1658.0,40
4/10/2016,KMCDB,1658.0,1625.0,1625.0,1625.0,10
4/11/2016,KMCDB,1625.0,1650.0,1620.0,1630.0,142
4/12/2016,KMCDB,1630.0,1674.0,1630.0,1674.0,510
4/14/2016,KMCDB,1674.0,1690.0,1680.0,1690.0,232
4/18/2016,KMCDB,1690.0,1711.0,1690.0,1690.0,1363
4/21/2016,KMCDB,1690.0,1657.0,1626.0,1628.0,102
4/24/2016,KMCDB,1628.0,1660.0,1628.0,1660.0,198
4/25/2016,KMCDB,1660.0,1778.0,1640.0,1778.0,471
4/26/2016,KMCDB,1778.0,1835.0,1770.0,1770.0,2273
4/27/2016,KMCDB,1770.0,1860.0,1800.0,1800.0,1442
4/28/2016,KMCDB,1800.0,1905.0,1836.0,1889.0,1215
5/2/2016,KMCDB,1889.0,1930.0,1890.0,1890.0,514
5/3/2016,KMCDB,1890.0,1890.0,1860.0,1860.0,135
5/4/2016,KMCDB,1860.0,1858.0,1790.0,1836.0,1751
5/5/2016,KMCDB,1836.0,1800.0,1800.0,1800.0,190
5/8/2016,KMCDB,1800.0,1800.0,1770.0,1770.0,462
5/9/2016,KMCDB,1770.0,1836.0,1775.0,1795.0,3333
5/10/2016,KMCDB,1795.0,1859.0,1800.0,1800.0,1070
5/11/2016,KMCDB,1800.0,1830.0,1800.0,1800.0,400
5/12/2016,KMCDB,1800.0,1850.0,1815.0,1850.0,352
5/15/2016,KMCDB,1850.0,1850.0,1813.0,1813.0,275
5/16/2016,KMCDB,1813.0,1836.0,1800.0,1834.0,620
5/17/2016,KMCDB,1834.0,1900.0,1850.0,1880.0,5644
5/18/2016,KMCDB,1880.0,1870.0,1850.0,1850.0,800
5/19/2016,KMCDB,1850.0,1900.0,1840.0,1840.0,190
5/22/2016,KMCDB,1840.0,1876.0,1850.0,1860.0,2045
5/23/2016,KMCDB,1860.0,1890.0,1846.0,1850.0,2509
5/24/2016,KMCDB,1850.0,1973.0,1886.0,1973.0,3007
5/25/2016,KMCDB,1973.0,1968.0,1899.0,1963.0,2156
5/26/2016,KMCDB,1963.0,1960.0,1888.0,1915.0,1163
5/29/2016,KMCDB,1915.0,1910.0,1870.0,1910.0,780
5/30/2016,KMCDB,1910.0,1910.0,1882.0,1882.0,373
5/31/2016,KMCDB,1882.0,1902.0,1865.0,1902.0,40
6/1/2016,KMCDB,1902.0,1960.0,1902.0,1902.0,880
6/2/2016,KMCDB,1902.0,1948.0,1880.0,1948.0,1683
6/5/2016,KMCDB,1948.0,1910.0,1910.0,1910.0,20
6/6/2016,KMCDB,1910.0,1986.0,1882.0,1986.0,1645
6/7/2016,KMCDB,1986.0,2025.0,1920.0,1921.0,2075
6/8/2016,KMCDB,1921.0,1940.0,1891.0,1891.0,3590
6/9/2016,KMCDB,1891.0,1973.0,1900.0,1960.0,4662
6/12/2016,KMCDB,1960.0,1990.0,1913.0,1950.0,1420
6/13/2016,KMCDB,1950.0,2091.0,1950.0,2091.0,4126
6/14/2016,KMCDB,2091.0,2174.0,2050.0,2080.0,6051
6/15/2016,KMCDB,2080.0,2080.0,2000.0,2055.0,680
6/16/2016,KMCDB,2055.0,2050.0,2000.0,2000.0,2930
6/19/2016,KMCDB,2000.0,2030.0,2000.0,2000.0,967
6/20/2016,KMCDB,2000.0,2030.0,1990.0,2025.0,644
6/21/2016,KMCDB,2025.0,2051.0,2030.0,2051.0,2282
6/22/2016,KMCDB,2051.0,2075.0,2010.0,2058.0,1367
6/23/2016,KMCDB,2058.0,2140.0,2062.0,2125.0,1040
6/26/2016,KMCDB,2125.0,2288.0,2167.0,2288.0,1062
6/27/2016,KMCDB,2288.0,2516.0,2333.0,2400.0,3810
6/28/2016,KMCDB,2400.0,2405.0,2201.0,2245.0,1009
6/29/2016,KMCDB,2245.0,2379.0,2254.0,2300.0,708
6/30/2016,KMCDB,2300.0,2499.0,2300.0,2499.0,4206
7/3/2016,KMCDB,2499.0,2657.0,2498.0,2560.0,3534
7/4/2016,KMCDB,2560.0,2650.0,2480.0,2480.0,2347
7/5/2016,KMCDB,2480.0,2455.0,2310.0,2310.0,900
7/6/2016,KMCDB,2310.0,2390.0,2250.0,2315.0,1619
7/10/2016,KMCDB,2315.0,2350.0,2300.0,2300.0,1757
7/11/2016,KMCDB,2300.0,2299.0,2254.0,2299.0,354
7/12/2016,KMCDB,2299.0,2255.0,2200.0,2200.0,950
7/13/2016,KMCDB,2200.0,2156.0,2113.0,2155.0,205
7/14/2016,KMCDB,2155.0,2250.0,2160.0,2250.0,5554
7/19/2016,KMCDB,2250.0,2220.0,2220.0,2220.0,40
7/21/2016,KMCDB,2220.0,2176.0,1998.0,1998.0,740
7/25/2016,KMCDB,1998.0,1959.0,1890.0,1915.0,2080
7/26/2016,KMCDB,1915.0,2106.0,1930.0,2106.0,1490
7/27/2016,KMCDB,2106.0,2125.0,2100.0,2125.0,238
7/28/2016,KMCDB,2125.0,2165.0,2150.0,2150.0,354
8/1/2016,KMCDB,2150.0,2107.0,2065.0,2065.0,75
8/2/2016,KMCDB,2065.0,2060.0,1970.0,2000.0,1015
8/3/2016,KMCDB,2000.0,2000.0,2000.0,2000.0,40
8/4/2016,KMCDB,2000.0,2040.0,1960.0,1962.0,665
8/7/2016,KMCDB,1962.0,2035.0,2001.0,2035.0,150
8/9/2016,KMCDB,2035.0,2075.0,2075.0,2075.0,100
8/10/2016,KMCDB,2075.0,2076.0,2076.0,2076.0,100
8/21/2016,KMCDB,2076.0,2035.0,2035.0,2035.0,100
8/22/2016,KMCDB,2035.0,1995.0,1995.0,1995.0,10
8/23/2016,KMCDB,1995.0,1956.0,1796.0,1800.0,790
8/24/2016,KMCDB,1800.0,1800.0,1715.0,1800.0,816
8/28/2016,KMCDB,1800.0,1820.0,1764.0,1764.0,730
8/29/2016,KMCDB,1764.0,1825.0,1779.0,1825.0,160
8/30/2016,KMCDB,1825.0,1887.0,1825.0,1887.0,220
8/31/2016,KMCDB,1887.0,1850.0,1825.0,1825.0,160
9/1/2016,KMCDB,1825.0,1900.0,1861.0,1900.0,633
9/3/2016,KMCDB,1900.0,1880.0,1845.0,1845.0,100
9/4/2016,KMCDB,1900.0,1880.0,1845.0,1845.0,100
9/5/2016,KMCDB,1845.0,1850.0,1800.0,1803.0,2190
9/6/2016,KMCDB,1803.0,1912.0,1839.0,1850.0,672
9/7/2016,KMCDB,1850.0,1887.0,1880.0,1880.0,37
9/8/2016,KMCDB,1880.0,1900.0,1843.0,1865.0,1679
9/11/2016,KMCDB,1865.0,1978.0,1902.0,1940.0,330
9/12/2016,KMCDB,1940.0,1985.0,1910.0,1974.0,2150
9/14/2016,KMCDB,1974.0,1940.0,1900.0,1940.0,330
9/18/2016,KMCDB,1940.0,1902.0,1864.0,1866.0,110
9/20/2016,KMCDB,1866.0,1941.0,1850.0,1903.0,861
9/21/2016,KMCDB,1903.0,1941.0,1900.0,1940.0,700
9/22/2016,KMCDB,1940.0,1980.0,1940.0,1980.0,199
9/26/2016,KMCDB,1980.0,1941.0,1941.0,1941.0,10
9/27/2016,KMCDB,1941.0,1941.0,1940.0,1940.0,20
9/28/2016,KMCDB,1940.0,1910.0,1850.0,1850.0,90
9/29/2016,KMCDB,1850.0,1850.0,1815.0,1815.0,310
10/2/2016,KMCDB,1815.0,1780.0,1744.0,1745.0,420
10/3/2016,KMCDB,1745.0,1715.0,1705.0,1705.0,591
10/4/2016,KMCDB,1705.0,1710.0,1710.0,1710.0,20
10/5/2016,KMCDB,1710.0,1881.0,1744.0,1881.0,340
10/6/2016,KMCDB,1881.0,1980.0,1918.0,1980.0,1114
10/16/2016,KMCDB,1980.0,1950.0,1950.0,1950.0,28
10/20/2016,KMCDB,1950.0,1911.0,1845.0,1865.0,357
10/24/2016,KMCDB,1865.0,1865.0,1865.0,1865.0,10
10/25/2016,KMCDB,1865.0,1828.0,1828.0,1828.0,100
10/26/2016,KMCDB,1828.0,1836.0,1792.0,1800.0,521
10/27/2016,KMCDB,1800.0,1836.0,1800.0,1800.0,284
11/3/2016,KMCDB,1800.0,1810.0,1790.0,1790.0,40
11/7/2016,KMCDB,1790.0,1925.0,1825.0,1892.0,492
11/8/2016,KMCDB,1892.0,1929.0,1820.0,1825.0,2610
11/10/2016,KMCDB,1825.0,1866.0,1760.0,1866.0,1372
11/13/2016,KMCDB,1866.0,1903.0,1865.0,1865.0,70
11/14/2016,KMCDB,1865.0,1850.0,1850.0,1850.0,30
11/15/2016,KMCDB,1850.0,1887.0,1820.0,1820.0,250
11/16/2016,KMCDB,1820.0,1800.0,1800.0,1800.0,70
11/22/2016,KMCDB,1800.0,1785.0,1785.0,1785.0,74
11/23/2016,KMCDB,1785.0,1750.0,1750.0,1750.0,10
11/24/2016,KMCDB,1750.0,1715.0,1584.0,1584.0,196
11/28/2016,KMCDB,1584.0,1553.0,1492.0,1492.0,63
11/29/2016,KMCDB,1492.0,1519.0,1399.0,1519.0,1441
11/30/2016,KMCDB,1519.0,1549.0,1461.0,1461.0,220
12/1/2016,KMCDB,1461.0,1549.0,1401.0,1549.0,2118
12/4/2016,KMCDB,1549.0,1519.0,1431.0,1431.0,1410
12/5/2016,KMCDB,1431.0,1479.0,1432.0,1432.0,1439
12/6/2016,KMCDB,1432.0,1460.0,1410.0,1438.0,1180
12/7/2016,KMCDB,1438.0,1466.0,1425.0,1453.0,1824
12/8/2016,KMCDB,1453.0,1430.0,1430.0,1430.0,93
12/11/2016,KMCDB,1430.0,1458.0,1415.0,1420.0,632
12/12/2016,KMCDB,1420.0,1439.0,1372.0,1425.0,3364
12/14/2016,KMCDB,1425.0,1425.0,1371.0,1400.0,1163
12/15/2016,KMCDB,1400.0,1428.0,1428.0,1428.0,20
12/18/2016,KMCDB,1428.0,1487.0,1430.0,1460.0,490
12/19/2016,KMCDB,1460.0,1500.0,1460.0,1480.0,1050
12/20/2016,KMCDB,1480.0,1500.0,1451.0,1500.0,243
12/21/2016,KMCDB,1500.0,1499.0,1442.0,1442.0,674
12/22/2016,KMCDB,1442.0,1495.0,1442.0,1495.0,450
12/26/2016,KMCDB,1495.0,1525.0,1449.0,1449.0,515
12/27/2016,KMCDB,1449.0,1477.0,1405.0,1477.0,224
12/28/2016,KMCDB,1477.0,1477.0,1477.0,1477.0,100
12/29/2016,KMCDB,1477.0,1477.0,1446.0,1474.0,597
1/2/2017,KMCDB,1474.0,1527.0,1490.0,1527.0,170
1/3/2017,KMCDB,1527.0,1500.0,1441.0,1441.0,370
1/4/2017,KMCDB,1441.0,1445.0,1445.0,1445.0,51
1/5/2017,KMCDB,1445.0,1420.0,1417.0,1420.0,145
1/8/2017,KMCDB,1420.0,1476.0,1448.0,1476.0,20
1/9/2017,KMCDB,1476.0,1470.0,1450.0,1450.0,97
1/10/2017,KMCDB,1450.0,1450.0,1450.0,1450.0,20
1/11/2017,KMCDB,1450.0,1431.0,1430.0,1430.0,300
1/12/2017,KMCDB,1430.0,1430.0,1400.0,1420.0,1116
1/15/2017,KMCDB,1420.0,1448.0,1448.0,1448.0,10
1/16/2017,KMCDB,1448.0,1448.0,1420.0,1448.0,116
1/17/2017,KMCDB,1448.0,1592.0,1467.0,1592.0,1103
1/18/2017,KMCDB,1592.0,1748.0,1623.0,1685.0,3208
1/19/2017,KMCDB,1685.0,1739.0,1665.0,1705.0,1035
1/22/2017,KMCDB,1705.0,1680.0,1655.0,1655.0,406
1/23/2017,KMCDB,1655.0,1632.0,1600.0,1630.0,333
1/24/2017,KMCDB,1630.0,1635.0,1571.0,1600.0,690
1/25/2017,KMCDB,1600.0,1620.0,1500.0,1500.0,850
1/26/2017,KMCDB,1500.0,1530.0,1432.0,1442.0,1154
1/30/2017,KMCDB,1442.0,1417.0,1305.0,1305.0,4787
1/31/2017,KMCDB,1305.0,1435.0,1331.0,1415.0,1973
2/1/2017,KMCDB,1415.0,1556.0,1442.0,1530.0,860
2/2/2017,KMCDB,1530.0,1600.0,1530.0,1600.0,1676
2/5/2017,KMCDB,1600.0,1571.0,1490.0,1490.0,882
2/7/2017,KMCDB,1490.0,1480.0,1400.0,1444.0,812
2/8/2017,KMCDB,1444.0,1472.0,1450.0,1465.0,1120
2/9/2017,KMCDB,1465.0,1436.0,1380.0,1380.0,1121
2/12/2017,KMCDB,1380.0,1441.0,1358.0,1371.0,1741
2/13/2017,KMCDB,1371.0,1424.0,1319.0,1400.0,1126
2/14/2017,KMCDB,1400.0,1540.0,1372.0,1540.0,2303
2/15/2017,KMCDB,1540.0,1560.0,1520.0,1559.0,690
2/16/2017,KMCDB,1559.0,1620.0,1528.0,1620.0,2131
2/19/2017,KMCDB,1620.0,1782.0,1555.0,1782.0,3910
2/20/2017,KMCDB,1782.0,1909.0,1785.0,1820.0,11881
2/21/2017,KMCDB,1820.0,1893.0,1715.0,1800.0,5924
2/22/2017,KMCDB,1800.0,1799.0,1702.0,1702.0,1503
2/23/2017,KMCDB,1702.0,1703.0,1670.0,1700.0,649
2/26/2017,KMCDB,1700.0,1699.0,1640.0,1670.0,539
2/28/2017,KMCDB,1670.0,1699.0,1633.0,1650.0,1100
3/1/2017,KMCDB,1650.0,1683.0,1650.0,1683.0,756
3/2/2017,KMCDB,1683.0,1716.0,1683.0,1705.0,550
3/5/2017,KMCDB,1705.0,1773.0,1700.0,1700.0,270
3/6/2017,KMCDB,1700.0,1713.0,1680.0,1713.0,180
3/7/2017,KMCDB,1713.0,1705.0,1685.0,1685.0,190
3/9/2017,KMCDB,1685.0,1718.0,1685.0,1718.0,135
3/13/2017,KMCDB,1718.0,1718.0,1685.0,1690.0,653
3/14/2017,KMCDB,1690.0,1690.0,1690.0,1690.0,100
3/15/2017,KMCDB,1690.0,1720.0,1690.0,1720.0,560
3/16/2017,KMCDB,1720.0,1754.0,1715.0,1715.0,610
3/19/2017,KMCDB,1715.0,1818.0,1749.0,1818.0,662
3/20/2017,KMCDB,1818.0,1889.0,1782.0,1791.0,1899
3/21/2017,KMCDB,1791.0,1970.0,1761.0,1970.0,1536
3/22/2017,KMCDB,1970.0,2000.0,1870.0,1870.0,3260
3/23/2017,KMCDB,1870.0,1907.0,1850.0,1860.0,673
3/26/2017,KMCDB,1860.0,2011.0,1880.0,1900.0,4704
3/28/2017,KMCDB,1900.0,2090.0,1938.0,2090.0,2576
3/29/2017,KMCDB,2090.0,2131.0,2000.0,2000.0,3083
3/30/2017,KMCDB,2000.0,2101.0,1941.0,2099.0,2734
4/2/2017,KMCDB,2099.0,2308.0,2140.0,2304.0,2757
4/3/2017,KMCDB,2304.0,2350.0,2200.0,2200.0,1376
4/4/2017,KMCDB,2200.0,2275.0,2113.0,2250.0,2534
