Date,Symbol,Open,High,Low,Close,Vol
1/5/2016,KRBL,204.0,204.0,200.0,201.0,590
1/6/2016,KRBL,201.0,220.0,205.0,220.0,1040
1/7/2016,KRBL,220.0,224.0,219.0,220.0,1080
1/10/2016,KRBL,220.0,218.0,218.0,218.0,200
1/11/2016,KRBL,218.0,214.0,207.0,207.0,135
1/12/2016,KRBL,207.0,207.0,199.0,202.0,269
1/12/2016,KRBL,207.0,207.0,199.0,202.0,269
1/13/2016,KRBL,202.0,198.0,198.0,198.0,30
1/14/2016,KRBL,198.0,198.0,192.0,198.0,318
5/22/2016,KRBL,154.0,169.0,157.0,169.0,50
5/23/2016,KRBL,169.0,185.0,172.0,185.0,60
5/24/2016,KRBL,185.0,203.0,188.0,203.0,160
5/25/2016,KRBL,203.0,223.0,207.0,223.0,250
5/26/2016,KRBL,223.0,245.0,227.0,245.0,3730
5/29/2016,KRBL,245.0,269.0,249.0,269.0,2585
5/30/2016,KRBL,269.0,295.0,274.0,295.0,380
5/31/2016,KRBL,295.0,324.0,300.0,316.0,7735
6/1/2016,KRBL,316.0,322.0,285.0,285.0,3630
6/2/2016,KRBL,285.0,280.0,270.0,270.0,350
6/6/2016,KRBL,270.0,275.0,250.0,250.0,910
6/7/2016,KRBL,250.0,255.0,238.0,240.0,870
6/8/2016,KRBL,240.0,252.0,236.0,252.0,1880
6/9/2016,KRBL,252.0,265.0,255.0,255.0,2050
6/13/2016,KRBL,255.0,250.0,250.0,250.0,350
6/14/2016,KRBL,250.0,245.0,245.0,245.0,50
6/15/2016,KRBL,245.0,243.0,239.0,243.0,1100
6/16/2016,KRBL,243.0,255.0,237.0,241.0,1730
6/19/2016,KRBL,241.0,257.0,237.0,257.0,100
6/20/2016,KRBL,257.0,267.0,257.0,257.0,660
6/21/2016,KRBL,257.0,260.0,260.0,260.0,700
6/22/2016,KRBL,260.0,270.0,262.0,265.0,2420
6/23/2016,KRBL,265.0,260.0,256.0,256.0,460
6/26/2016,KRBL,256.0,261.0,255.0,261.0,420
6/27/2016,KRBL,261.0,275.0,257.0,270.0,2170
6/28/2016,KRBL,270.0,282.0,270.0,280.0,2160
6/29/2016,KRBL,280.0,302.0,285.0,292.0,2610
6/30/2016,KRBL,292.0,288.0,283.0,283.0,330
7/3/2016,KRBL,283.0,285.0,280.0,285.0,240
7/4/2016,KRBL,285.0,290.0,284.0,290.0,2370
7/5/2016,KRBL,290.0,312.0,275.0,306.0,3087
7/6/2016,KRBL,306.0,324.0,310.0,324.0,465
7/10/2016,KRBL,324.0,320.0,318.0,318.0,450
7/11/2016,KRBL,318.0,318.0,312.0,312.0,580
7/12/2016,KRBL,312.0,310.0,309.0,309.0,400
7/13/2016,KRBL,309.0,303.0,292.0,292.0,685
7/14/2016,KRBL,292.0,303.0,290.0,303.0,2350
7/17/2016,KRBL,303.0,297.0,292.0,293.0,1060
7/18/2016,KRBL,293.0,290.0,290.0,290.0,100
7/19/2016,KRBL,290.0,295.0,290.0,295.0,20
