S.no,Symbol,Date,Open,High,Low,Close,Vol
62,KSBBLP,2018-02-11.csv,105.0,106.0,106.0,106.0,"95,000"
60,KSBBLP,2018-03-20.csv,106.0,106.0,106.0,106.0,"22,743"
60,KSBBLP,2018-04-11.csv,106.0,106.0,106.0,106.0,"20,000"
61,KSBBLP,2018-05-08.csv,106.0,106.0,106.0,106.0,"30,000"
64,KSBBLP,2018-06-24.csv,105.0,105.0,105.0,105.0,"71,060"
60,KSBBLP,2018-06-28.csv,105.0,105.0,105.0,105.0,"31,232"
57,KSBBLP,2018-07-16.csv,105.0,105.0,105.0,105.0,"13,600"
54,KSBBLP,2018-07-29.csv,105.0,105.0,105.0,105.0,"9,500"
63,KSBBLP,2018-09-30.csv,105.0,105.0,105.0,105.0,"18,400"
64,KSBBLP,2018-10-11.csv,105.0,105.0,105.0,105.0,"5,000"
62,KSBBLP,2019-02-07.csv,105.0,105.0,105.0,105.0,"55,915"
64,KSBBLP,2019-02-12.csv,107.0,107.0,107.0,107.0,"15,825"
63,KSBBLP,2019-03-19.csv,107.0,107.0,107.0,107.0,"33,693"
64,KSBBLP,2019-04-17.csv,107.0,107.0,107.0,107.0,"27,248"
64,KSBBLP,2019-04-21.csv,107.0,107.0,107.0,107.0,"46,000"
64,KSBBLP,2019-06-12.csv,105.0,105.0,105.0,105.0,"101,070"
65,KSBBLP,2019-06-30.csv,105.0,105.0,105.0,105.0,"6,494"
65,KSBBLP,2019-07-04.csv,105.0,105.0,105.0,105.0,"29,295"
61,KSBBLP,2019-07-23.csv,105.0,105.0,105.0,105.0,"27,000"
62,KSBBLP,2019-07-24.csv,105.0,105.0,105.0,105.0,"45,139"
63,KSBBLP,2019-08-05.csv,106.0,106.0,106.0,106.0,"13,920"
59,KSBBLP,2019-09-08.csv,106.0,106.0,106.0,106.0,"6,500"
64,KSBBLP,2019-09-11.csv,106.0,106.0,106.0,106.0,"29,975"
61,KSBBLP,2019-09-22.csv,104.0,104.0,104.0,104.0,"13,515"
62,KSBBLP,2019-12-03.csv,104.0,104.0,104.0,104.0,"14,335"
61,KSBBLP,2020-01-09.csv,104.0,104.0,104.0,104.0,"50,000"
62,KSBBLP,2020-01-28.csv,104.0,104.0,104.0,104.0,"157,343"
