S.no,Symbol,Date,Open,High,Low,Close,Vol
59,LBBL,2017-07-25.csv,168.0,184.0,171.0,184.0,60
59,LBBL,2017-07-26.csv,184.0,202.0,187.0,202.0,70
58,LBBL,2017-07-27.csv,202.0,222.0,206.0,222.0,"30,929"
59,LBBL,2017-07-30.csv,222.0,242.0,219.0,220.0,"102,185"
58,LBBL,2017-07-31.csv,220.0,230.0,213.0,217.0,"24,722"
60,LBBL,2017-08-01.csv,217.0,226.0,215.0,220.0,"26,324"
62,LBBL,2017-08-02.csv,220.0,224.0,215.0,220.0,"20,920"
62,LBBL,2017-08-03.csv,220.0,224.0,215.0,215.0,"20,630"
61,LBBL,2017-08-06.csv,215.0,219.0,211.0,214.0,"25,258"
60,LBBL,2017-08-07.csv,214.0,228.0,216.0,227.0,"67,466"
61,LBBL,2017-08-09.csv,227.0,238.0,224.0,228.0,"58,843"
63,LBBL,2017-08-10.csv,228.0,228.0,224.0,226.0,"13,085"
62,LBBL,2017-08-13.csv,226.0,225.0,217.0,222.0,"19,656"
61,LBBL,2017-08-15.csv,222.0,222.0,215.0,219.0,"13,441"
61,LBBL,2017-08-16.csv,219.0,224.0,213.0,215.0,"31,194"
62,LBBL,2017-08-17.csv,215.0,223.0,213.0,222.0,"12,938"
61,LBBL,2017-08-20.csv,222.0,223.0,215.0,218.0,"6,669"
59,LBBL,2017-08-21.csv,218.0,220.0,214.0,217.0,"6,370"
62,LBBL,2017-08-22.csv,217.0,221.0,215.0,216.0,"4,885"
62,LBBL,2017-08-23.csv,216.0,220.0,213.0,217.0,"12,790"
59,LBBL,2017-08-24.csv,217.0,218.0,215.0,217.0,"8,635"
62,LBBL,2017-08-27.csv,217.0,221.0,215.0,216.0,"8,827"
59,LBBL,2017-08-28.csv,216.0,220.0,214.0,216.0,"11,794"
58,LBBL,2017-08-30.csv,216.0,215.0,212.0,212.0,"6,034"
59,LBBL,2017-08-31.csv,212.0,215.0,210.0,211.0,"4,932"
60,LBBL,2017-09-04.csv,211.0,213.0,206.0,208.0,"15,033"
64,LBBL,2017-09-06.csv,208.0,215.0,207.0,210.0,"8,627"
61,LBBL,2017-09-07.csv,210.0,211.0,206.0,209.0,"6,117"
63,LBBL,2017-09-10.csv,209.0,208.0,203.0,204.0,"17,434"
60,LBBL,2017-09-11.csv,204.0,206.0,200.0,203.0,"6,218"
60,LBBL,2017-09-12.csv,203.0,202.0,199.0,201.0,"5,710"
64,LBBL,2017-09-13.csv,201.0,205.0,200.0,200.0,"7,189"
62,LBBL,2017-09-14.csv,200.0,208.0,201.0,208.0,"3,899"
62,LBBL,2017-09-17.csv,208.0,211.0,207.0,208.0,"6,024"
64,LBBL,2017-09-18.csv,208.0,211.0,206.0,209.0,"7,145"
61,LBBL,2017-09-20.csv,209.0,212.0,206.0,212.0,"7,323"
61,LBBL,2017-09-24.csv,212.0,214.0,206.0,207.0,"10,056"
59,LBBL,2017-09-25.csv,207.0,214.0,208.0,212.0,"2,424"
58,LBBL,2017-09-26.csv,212.0,215.0,210.0,212.0,"2,972"
43,LBBL,2017-10-03.csv,212.0,217.0,213.0,213.0,909
56,LBBL,2017-10-04.csv,213.0,213.0,208.0,208.0,"2,312"
60,LBBL,2017-10-08.csv,208.0,207.0,200.0,204.0,"9,664"
59,LBBL,2017-10-09.csv,204.0,208.0,200.0,205.0,"8,312"
59,LBBL,2017-10-10.csv,205.0,209.0,202.0,209.0,"4,627"
64,LBBL,2017-10-11.csv,209.0,213.0,208.0,208.0,"8,138"
58,LBBL,2017-10-12.csv,208.0,209.0,206.0,208.0,"2,985"
58,LBBL,2017-10-15.csv,208.0,212.0,207.0,212.0,"4,951"
64,LBBL,2017-10-16.csv,212.0,218.0,206.0,217.0,"16,004"
64,LBBL,2017-10-17.csv,217.0,218.0,210.0,215.0,"21,769"
53,LBBL,2017-10-18.csv,215.0,218.0,213.0,218.0,"5,821"
57,LBBL,2017-10-22.csv,218.0,220.0,214.0,216.0,"4,072"
60,LBBL,2017-10-23.csv,216.0,219.0,213.0,214.0,"7,241"
63,LBBL,2017-10-24.csv,214.0,218.0,211.0,214.0,"5,290"
62,LBBL,2017-10-25.csv,214.0,214.0,211.0,212.0,"6,070"
62,LBBL,2017-10-29.csv,212.0,213.0,208.0,213.0,"11,218"
63,LBBL,2017-10-30.csv,213.0,211.0,207.0,208.0,"16,480"
60,LBBL,2017-10-31.csv,208.0,212.0,208.0,212.0,"9,957"
62,LBBL,2017-11-01.csv,212.0,210.0,206.0,206.0,"12,386"
60,LBBL,2017-11-02.csv,206.0,210.0,205.0,210.0,"4,795"
62,LBBL,2017-11-05.csv,210.0,206.0,203.0,205.0,"11,688"
64,LBBL,2017-11-06.csv,205.0,205.0,196.0,201.0,"19,787"
62,LBBL,2017-11-07.csv,201.0,205.0,200.0,201.0,"8,564"
63,LBBL,2017-11-08.csv,201.0,199.0,196.0,197.0,"3,530"
60,LBBL,2017-11-09.csv,197.0,202.0,197.0,198.0,"3,502"
62,LBBL,2017-11-12.csv,198.0,202.0,198.0,201.0,"3,067"
60,LBBL,2017-11-13.csv,201.0,203.0,199.0,200.0,"3,826"
64,LBBL,2017-11-14.csv,200.0,208.0,198.0,200.0,"10,261"
60,LBBL,2017-11-15.csv,200.0,204.0,196.0,201.0,"14,949"
63,LBBL,2017-11-16.csv,201.0,199.0,197.0,197.0,"3,546"
63,LBBL,2017-11-19.csv,197.0,198.0,195.0,197.0,"6,632"
62,LBBL,2017-11-20.csv,197.0,198.0,194.0,194.0,"1,521"
61,LBBL,2017-11-21.csv,194.0,201.0,192.0,201.0,"1,224"
