S.no,Symbol,Date,Open,High,Low,Close,Vol
60,LBBLPO,2018-03-05.csv,105.0,105.0,105.0,105.0,"11,000"
64,LBBLPO,2018-07-09.csv,110.0,110.0,110.0,110.0,"40,000"
65,LBBLPO,2018-09-30.csv,110.0,110.0,110.0,110.0,"76,078"
65,LBBLPO,2018-12-19.csv,115.0,115.0,115.0,115.0,"71,506"
57,LBBLPO,2019-01-06.csv,115.0,115.0,115.0,115.0,"14,000"
59,LBBLPO,2019-01-10.csv,115.0,115.0,115.0,115.0,"43,070"
64,LBBLPO,2019-02-06.csv,113.0,113.0,113.0,113.0,"6,000"
64,LBBLPO,2019-06-20.csv,113.0,113.0,113.0,113.0,"3,000"
65,LBBLPO,2019-08-05.csv,113.0,113.0,113.0,113.0,"46,000"
61,LBBLPO,2019-11-21.csv,113.0,113.0,113.0,113.0,"71,000"
65,LBBLPO,2020-01-13.csv,113.0,113.0,113.0,113.0,"149,145"
66,LBBLPO,2020-02-27.csv,113.0,113.0,113.0,113.0,"1,000"
