Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,LBL,560.0,570.0,561.0,569.0,13303
1/4/2016,LBL,569.0,572.0,555.0,566.0,8151
1/5/2016,LBL,566.0,569.0,555.0,569.0,22858
1/6/2016,LBL,569.0,600.0,565.0,600.0,52930
1/7/2016,LBL,600.0,600.0,577.0,598.0,22719
1/10/2016,LBL,598.0,620.0,567.0,574.0,47436
1/11/2016,LBL,574.0,574.0,560.0,561.0,62109
1/12/2016,LBL,561.0,580.0,562.0,580.0,19627
1/12/2016,LBL,561.0,580.0,562.0,580.0,19627
1/13/2016,LBL,580.0,581.0,567.0,570.0,29780
1/14/2016,LBL,570.0,580.0,574.0,575.0,23284
1/17/2016,LBL,575.0,590.0,579.0,583.0,23204
1/18/2016,LBL,583.0,590.0,574.0,574.0,22178
1/19/2016,LBL,574.0,577.0,569.0,570.0,18051
1/20/2016,LBL,570.0,590.0,570.0,580.0,17728
1/21/2016,LBL,580.0,590.0,581.0,589.0,38728
1/24/2016,LBL,589.0,593.0,585.0,585.0,57788
1/25/2016,LBL,585.0,592.0,582.0,582.0,8935
1/26/2016,LBL,582.0,588.0,584.0,585.0,4816
1/27/2016,LBL,585.0,591.0,583.0,584.0,6531
1/28/2016,LBL,584.0,590.0,584.0,584.0,13629
1/31/2016,LBL,584.0,589.0,580.0,582.0,7914
2/1/2016,LBL,582.0,590.0,580.0,585.0,12213
2/2/2016,LBL,585.0,590.0,585.0,585.0,12681
2/3/2016,LBL,585.0,590.0,585.0,590.0,8270
2/4/2016,LBL,590.0,594.0,585.0,588.0,15415
2/7/2016,LBL,588.0,599.0,590.0,591.0,18240
2/8/2016,LBL,591.0,602.0,590.0,595.0,7178
2/11/2016,LBL,595.0,607.0,590.0,599.0,11424
2/14/2016,LBL,599.0,619.0,600.0,609.0,26337
2/15/2016,LBL,609.0,612.0,601.0,611.0,15202
2/16/2016,LBL,611.0,616.0,610.0,615.0,10628
2/17/2016,LBL,615.0,629.0,615.0,629.0,12573
2/18/2016,LBL,629.0,636.0,621.0,625.0,14107
2/21/2016,LBL,625.0,639.0,625.0,633.0,12986
2/22/2016,LBL,633.0,636.0,632.0,633.0,13858
2/23/2016,LBL,633.0,644.0,633.0,638.0,11141
2/24/2016,LBL,638.0,645.0,630.0,633.0,6998
2/25/2016,LBL,633.0,640.0,625.0,625.0,9300
2/28/2016,LBL,625.0,626.0,618.0,618.0,6586
2/29/2016,LBL,618.0,620.0,608.0,611.0,7998
3/1/2016,LBL,611.0,630.0,605.0,619.0,5525
3/2/2016,LBL,619.0,622.0,617.0,620.0,8083
3/3/2016,LBL,620.0,621.0,615.0,616.0,2445
3/6/2016,LBL,616.0,628.0,612.0,615.0,9543
3/10/2016,LBL,615.0,630.0,622.0,622.0,8832
3/13/2016,LBL,622.0,635.0,622.0,631.0,10493
3/14/2016,LBL,631.0,635.0,622.0,623.0,5705
3/15/2016,LBL,623.0,628.0,618.0,624.0,5960
3/16/2016,LBL,624.0,633.0,620.0,633.0,4638
3/17/2016,LBL,633.0,635.0,630.0,630.0,5846
