S.no,Symbol,Date,Open,High,Low,Close,Vol
48,LBLPO,2013-09-22.csv,128.0,128.0,128.0,128.0,"70,992"
43,LBLPO,2013-09-29.csv,128.0,128.0,128.0,128.0,"74,000"
38,LBLPO,2013-10-01.csv,128.0,128.0,128.0,128.0,"13,891"
39,LBLPO,2013-10-02.csv,128.0,128.0,128.0,128.0,"6,945"
50,LBLPO,2015-06-16.csv,260.0,255.0,255.0,255.0,"137,557"
57,LBLPO,2015-07-15.csv,255.0,250.0,250.0,250.0,"138,607"
49,LBLPO,2015-10-08.csv,250.0,245.0,245.0,245.0,"324,068"
43,LBLPO,2015-11-08.csv,245.0,245.0,245.0,245.0,"60,000"
42,LBLPO,2016-04-10.csv,326.0,320.0,320.0,320.0,"18,471"
52,LBLPO,2016-09-08.csv,460.0,451.0,451.0,451.0,"62,000"
46,LBLPO,2016-09-12.csv,451.0,445.0,445.0,445.0,"61,000"
47,LBLPO,2016-09-21.csv,445.0,440.0,440.0,440.0,"7,000"
46,LBLPO,2017-02-22.csv,440.0,440.0,440.0,440.0,750
55,LBLPO,2017-06-13.csv,270.0,265.0,265.0,265.0,250
63,LBLPO,2018-02-28.csv,145.0,145.0,145.0,145.0,"2,280"
67,LBLPO,2019-09-11.csv,114.0,114.0,114.0,114.0,"167,032"
65,LBLPO,2019-09-12.csv,112.0,112.0,112.0,112.0,"419,717"
55,LBLPO,2019-10-23.csv,112.0,112.0,112.0,112.0,"2,561"
