S.no,Symbol,Date,Open,High,Low,Close,Vol
64,LEMF,2017-08-03.csv,0.0,10.0,10.0,10.0,"1,000"
63,LEMF,2017-08-06.csv,10.0,10.0,10.0,10.0,"6,000"
62,LEMF,2017-08-07.csv,10.0,10.0,10.0,10.0,"1,000"
63,LEMF,2017-08-09.csv,10.0,10.0,10.0,10.0,"3,000"
65,LEMF,2017-08-10.csv,10.0,10.0,10.0,10.0,"5,000"
64,LEMF,2017-08-13.csv,10.0,10.0,10.0,10.0,"20,500"
64,LEMF,2017-08-23.csv,10.0,10.2,10.0,10.0,"9,000"
64,LEMF,2017-08-27.csv,10.0,10.15,10.15,10.15,"1,000"
61,LEMF,2017-08-31.csv,10.15,10.15,10.15,10.15,"4,900"
62,LEMF,2017-09-04.csv,10.15,10.2,10.2,10.2,"2,500"
66,LEMF,2017-09-06.csv,10.2,10.3,10.0,10.0,"5,000"
65,LEMF,2017-09-10.csv,10.0,10.05,10.05,10.05,"4,000"
62,LEMF,2017-09-11.csv,10.05,10.0,10.0,10.0,"1,000"
62,LEMF,2017-09-12.csv,10.0,9.87,9.86,9.87,"9,000"
66,LEMF,2017-09-13.csv,9.87,10.07,10.07,10.07,500
64,LEMF,2017-09-14.csv,10.07,10.09,10.0,10.05,"3,500"
64,LEMF,2017-09-17.csv,10.05,9.86,9.86,9.86,"5,000"
66,LEMF,2017-09-18.csv,9.86,9.88,9.75,9.75,"11,000"
63,LEMF,2017-09-20.csv,9.75,9.6,9.6,9.6,"3,500"
63,LEMF,2017-09-24.csv,9.6,9.61,9.61,9.61,"2,500"
61,LEMF,2017-09-25.csv,9.61,9.89,9.7,9.89,"21,000"
60,LEMF,2017-09-26.csv,9.89,9.92,9.92,9.92,"1,500"
58,LEMF,2017-10-04.csv,9.92,10.0,9.85,10.0,"6,000"
62,LEMF,2017-10-08.csv,10.0,9.9,9.85,9.9,"3,900"
61,LEMF,2017-10-09.csv,9.9,10.0,9.8,10.0,"11,000"
61,LEMF,2017-10-10.csv,10.0,10.1,9.91,10.1,"7,000"
66,LEMF,2017-10-11.csv,10.1,10.0,10.0,10.0,"1,500"
60,LEMF,2017-10-12.csv,10.0,10.1,10.1,10.1,"1,000"
60,LEMF,2017-10-15.csv,10.1,10.1,10.1,10.1,"1,000"
66,LEMF,2017-10-16.csv,10.1,10.2,10.1,10.1,"11,000"
55,LEMF,2017-10-18.csv,10.1,10.25,10.1,10.11,"23,000"
59,LEMF,2017-10-22.csv,10.11,10.2,10.09,10.2,"11,000"
62,LEMF,2017-10-23.csv,10.2,10.07,10.05,10.07,"3,500"
65,LEMF,2017-10-24.csv,10.07,10.1,10.05,10.05,"11,200"
65,LEMF,2017-10-30.csv,10.05,9.95,9.9,9.95,"9,000"
62,LEMF,2017-10-31.csv,9.95,10.15,10.0,10.15,"2,000"
66,LEMF,2017-11-06.csv,10.15,10.14,10.14,10.14,"1,500"
65,LEMF,2017-11-08.csv,10.14,10.05,10.05,10.05,"2,000"
66,LEMF,2017-11-14.csv,10.05,9.85,9.85,9.85,"4,600"
65,LEMF,2017-11-16.csv,9.85,9.85,9.85,9.85,"2,500"
63,LEMF,2017-11-21.csv,9.85,9.9,9.8,9.9,"18,000"
64,LEMF,2017-11-22.csv,9.9,10.1,9.85,10.1,"13,700"
65,LEMF,2017-11-23.csv,10.1,10.1,9.9,10.1,"3,200"
64,LEMF,2017-11-26.csv,10.1,10.1,10.05,10.1,"3,500"
63,LEMF,2017-11-27.csv,10.1,10.05,9.85,9.85,"4,000"
66,LEMF,2017-11-28.csv,9.85,10.15,10.0,10.15,"9,500"
66,LEMF,2017-11-30.csv,10.15,10.1,10.1,10.1,"3,000"
66,LEMF,2017-12-05.csv,10.1,10.05,10.05,10.05,"5,000"
66,LEMF,2017-12-06.csv,10.05,9.95,9.85,9.95,"7,000"
64,LEMF,2017-12-11.csv,9.95,9.84,9.82,9.84,"4,000"
62,LEMF,2017-12-12.csv,9.84,9.78,9.78,9.78,"7,000"
63,LEMF,2017-12-13.csv,9.78,9.9,9.9,9.9,"3,500"
66,LEMF,2017-12-17.csv,9.9,10.0,9.81,9.81,"5,100"
66,LEMF,2017-12-19.csv,9.81,9.84,9.8,9.8,"13,700"
63,LEMF,2017-12-20.csv,9.8,10.0,9.99,9.99,"7,000"
61,LEMF,2017-12-21.csv,9.99,9.99,9.99,9.99,"10,000"
62,LEMF,2017-12-27.csv,9.99,9.8,9.8,9.8,"2,000"
66,LEMF,2017-12-28.csv,9.8,9.8,9.8,9.8,"1,000"
62,LEMF,2017-12-31.csv,9.8,9.62,9.6,9.62,"5,500"
67,LEMF,2018-01-02.csv,9.62,9.62,9.62,9.62,"6,000"
65,LEMF,2018-01-03.csv,9.62,9.81,9.81,9.81,"1,500"
66,LEMF,2018-01-09.csv,9.81,10.0,10.0,10.0,"3,200"
63,LEMF,2018-01-10.csv,10.0,10.1,9.8,9.8,"11,500"
66,LEMF,2018-01-21.csv,9.8,10.0,9.98,10.0,"11,000"
67,LEMF,2018-01-22.csv,10.0,9.81,9.8,9.81,"4,100"
64,LEMF,2018-01-24.csv,9.81,10.0,9.8,10.0,"8,050"
65,LEMF,2018-01-29.csv,10.0,9.95,9.85,9.85,"11,500"
61,LEMF,2018-02-05.csv,9.85,9.7,9.7,9.7,300
61,LEMF,2018-02-06.csv,9.7,9.75,9.7,9.7,"8,350"
62,LEMF,2018-02-14.csv,9.7,9.6,9.6,9.6,"1,600"
