S.no,Symbol,Date,Open,High,Low,Close,Vol
59,LFC,2014-07-15.csv,325.0,306.0,295.0,306.0,533
64,LFC,2014-07-16.csv,306.0,335.0,312.0,334.0,"2,232"
64,LFC,2014-07-17.csv,334.0,346.0,322.0,328.0,"3,902"
58,LFC,2014-07-20.csv,328.0,322.0,316.0,316.0,696
61,LFC,2014-07-22.csv,316.0,310.0,310.0,310.0,72
63,LFC,2014-07-24.csv,310.0,304.0,304.0,304.0,83
59,LFC,2014-07-27.csv,304.0,298.0,298.0,298.0,202
49,LFC,2014-07-28.csv,298.0,293.0,288.0,288.0,228
62,LFC,2014-07-30.csv,288.0,316.0,293.0,316.0,"2,038"
62,LFC,2014-07-31.csv,316.0,347.0,322.0,347.0,"1,293"
60,LFC,2014-08-03.csv,347.0,354.0,340.0,340.0,"4,754"
61,LFC,2014-08-05.csv,340.0,346.0,340.0,345.0,"1,303"
58,LFC,2014-08-06.csv,345.0,346.0,335.0,335.0,"9,005"
56,LFC,2014-08-07.csv,335.0,336.0,319.0,319.0,"2,454"
53,LFC,2014-08-13.csv,319.0,320.0,320.0,320.0,55
53,LFC,2014-08-14.csv,320.0,321.0,315.0,321.0,"1,951"
56,LFC,2014-08-18.csv,321.0,320.0,315.0,320.0,880
51,LFC,2014-08-19.csv,320.0,337.0,325.0,337.0,"1,069"
52,LFC,2014-08-20.csv,337.0,370.0,337.0,370.0,"25,506"
48,LFC,2014-08-21.csv,370.0,370.0,360.0,362.0,"10,339"
51,LFC,2014-08-24.csv,362.0,376.0,360.0,360.0,"7,190"
46,LFC,2014-08-25.csv,360.0,354.0,346.0,346.0,727
49,LFC,2014-08-26.csv,346.0,357.0,348.0,348.0,"1,782"
55,LFC,2014-08-27.csv,348.0,364.0,353.0,364.0,"6,882"
52,LFC,2014-08-28.csv,364.0,365.0,353.0,353.0,"2,233"
52,LFC,2014-08-31.csv,353.0,350.0,334.0,334.0,"2,466"
59,LFC,2014-09-10.csv,334.0,328.0,328.0,328.0,54
43,LFC,2015-12-06.csv,314.0,308.0,307.0,307.0,400
47,LFC,2015-12-13.csv,307.0,310.0,310.0,310.0,"1,048"
42,LFC,2016-03-10.csv,310.0,305.0,304.0,305.0,999
48,LFC,2016-03-24.csv,305.0,299.0,294.0,294.0,569
50,LFC,2016-03-27.csv,294.0,293.0,293.0,293.0,902
45,LFC,2016-04-20.csv,293.0,288.0,288.0,288.0,252
45,LFC,2016-04-21.csv,288.0,285.0,260.0,260.0,"9,836"
40,LFC,2016-04-24.csv,260.0,255.0,234.0,234.0,"12,522"
44,LFC,2016-04-25.csv,167.0,170.0,170.0,170.0,96
50,LFC,2016-07-28.csv,234.0,257.0,237.0,257.0,"1,263"
46,LFC,2016-07-31.csv,257.0,282.0,262.0,282.0,"2,914"
49,LFC,2016-08-01.csv,282.0,310.0,287.0,310.0,"4,137"
48,LFC,2016-08-02.csv,310.0,341.0,316.0,341.0,"10,140"
47,LFC,2016-08-03.csv,341.0,374.0,314.0,314.0,"13,331"
50,LFC,2016-08-04.csv,314.0,320.0,305.0,305.0,"2,380"
50,LFC,2016-08-07.csv,305.0,317.0,294.0,294.0,"1,616"
47,LFC,2016-08-08.csv,294.0,299.0,284.0,284.0,"1,402"
31,LFC,2016-08-09.csv,284.0,289.0,289.0,289.0,41
49,LFC,2016-08-10.csv,289.0,299.0,282.0,282.0,"4,079"
50,LFC,2016-08-11.csv,282.0,292.0,270.0,270.0,"4,037"
47,LFC,2016-08-14.csv,270.0,270.0,255.0,255.0,435
47,LFC,2016-08-15.csv,255.0,252.0,250.0,250.0,600
51,LFC,2016-08-16.csv,250.0,265.0,254.0,260.0,"2,592"
50,LFC,2016-08-17.csv,260.0,270.0,260.0,270.0,"1,548"
49,LFC,2016-08-22.csv,270.0,270.0,265.0,265.0,"1,050"
47,LFC,2016-08-23.csv,265.0,260.0,260.0,260.0,158
51,LFC,2016-08-24.csv,260.0,260.0,260.0,260.0,300
46,LFC,2016-08-29.csv,260.0,265.0,265.0,265.0,500
49,LFC,2016-09-01.csv,265.0,270.0,265.0,265.0,135
50,LFC,2016-09-03.csv,265.0,275.0,268.0,275.0,"1,881"
50,LFC,2016-09-04.csv,265.0,275.0,268.0,275.0,"1,881"
50,LFC,2016-09-05.csv,275.0,275.0,266.0,266.0,"1,795"
45,LFC,2016-09-06.csv,266.0,285.0,270.0,280.0,"2,647"
48,LFC,2016-09-07.csv,280.0,280.0,275.0,275.0,"1,661"
53,LFC,2016-09-08.csv,275.0,275.0,265.0,265.0,"1,014"
49,LFC,2016-09-11.csv,265.0,275.0,270.0,270.0,"1,030"
47,LFC,2016-09-12.csv,270.0,287.0,270.0,287.0,"1,065"
49,LFC,2016-09-14.csv,287.0,297.0,280.0,280.0,"1,000"
47,LFC,2016-09-18.csv,280.0,285.0,275.0,275.0,"1,401"
47,LFC,2016-09-20.csv,275.0,270.0,270.0,270.0,400
48,LFC,2016-09-21.csv,270.0,280.0,275.0,280.0,150
44,LFC,2016-09-26.csv,280.0,275.0,271.0,275.0,"1,893"
48,LFC,2016-09-27.csv,275.0,270.0,270.0,270.0,150
46,LFC,2016-09-28.csv,270.0,265.0,265.0,265.0,233
49,LFC,2016-09-29.csv,265.0,263.0,263.0,263.0,248
46,LFC,2016-10-03.csv,263.0,260.0,255.0,255.0,"1,100"
43,LFC,2016-10-05.csv,255.0,260.0,255.0,255.0,700
44,LFC,2016-10-06.csv,255.0,250.0,246.0,250.0,900
42,LFC,2016-10-23.csv,250.0,245.0,245.0,245.0,50
