Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,LGIL,555.0,610.0,566.0,610.0,6685
1/4/2016,LGIL,610.0,670.0,575.0,610.0,7968
1/5/2016,LGIL,610.0,600.0,569.0,569.0,3806
1/6/2016,LGIL,569.0,560.0,545.0,550.0,4658
1/7/2016,LGIL,550.0,591.0,560.0,591.0,8187
1/10/2016,LGIL,591.0,599.0,574.0,574.0,2915
1/11/2016,LGIL,574.0,563.0,560.0,560.0,75
1/12/2016,LGIL,560.0,570.0,549.0,570.0,3902
1/12/2016,LGIL,560.0,570.0,549.0,570.0,3902
1/13/2016,LGIL,570.0,575.0,569.0,575.0,977
1/14/2016,LGIL,575.0,568.0,565.0,565.0,669
1/17/2016,LGIL,565.0,596.0,570.0,596.0,2059
1/18/2016,LGIL,596.0,607.0,565.0,575.0,2848
1/19/2016,LGIL,575.0,570.0,564.0,567.0,5804
1/20/2016,LGIL,567.0,578.0,570.0,570.0,2441
1/21/2016,LGIL,570.0,595.0,570.0,585.0,11375
1/24/2016,LGIL,585.0,610.0,590.0,610.0,11149
1/25/2016,LGIL,610.0,620.0,596.0,600.0,1350
1/26/2016,LGIL,600.0,612.0,592.0,592.0,903
1/27/2016,LGIL,592.0,592.0,581.0,592.0,179
1/28/2016,LGIL,592.0,582.0,581.0,582.0,2961
1/31/2016,LGIL,582.0,572.0,572.0,572.0,127
2/1/2016,LGIL,572.0,594.0,583.0,585.0,1011
2/2/2016,LGIL,585.0,596.0,580.0,585.0,568
2/3/2016,LGIL,585.0,595.0,580.0,594.0,2556
2/4/2016,LGIL,594.0,640.0,600.0,640.0,8417
2/7/2016,LGIL,640.0,660.0,635.0,660.0,5016
2/8/2016,LGIL,660.0,680.0,650.0,680.0,14429
2/11/2016,LGIL,680.0,738.0,680.0,738.0,40644
2/14/2016,LGIL,650.0,693.0,650.0,663.0,12260
2/15/2016,LGIL,663.0,655.0,635.0,655.0,5214
2/16/2016,LGIL,655.0,660.0,653.0,660.0,3871
2/17/2016,LGIL,660.0,675.0,660.0,668.0,11183
2/18/2016,LGIL,668.0,681.0,668.0,668.0,550
2/21/2016,LGIL,668.0,668.0,655.0,655.0,1678
2/22/2016,LGIL,655.0,650.0,634.0,634.0,2300
2/23/2016,LGIL,634.0,650.0,635.0,650.0,1788
2/25/2016,LGIL,650.0,637.0,637.0,637.0,93
2/28/2016,LGIL,637.0,655.0,642.0,642.0,194
2/29/2016,LGIL,642.0,654.0,641.0,641.0,60
3/1/2016,LGIL,641.0,650.0,629.0,650.0,1244
3/2/2016,LGIL,650.0,660.0,641.0,656.0,3265
3/3/2016,LGIL,656.0,682.0,645.0,655.0,4189
3/6/2016,LGIL,655.0,710.0,660.0,710.0,20498
3/10/2016,LGIL,710.0,781.0,724.0,781.0,24410
3/13/2016,LGIL,781.0,811.0,740.0,781.0,25443
3/14/2016,LGIL,781.0,766.0,743.0,743.0,12614
3/15/2016,LGIL,743.0,817.0,729.0,817.0,47379
3/16/2016,LGIL,817.0,887.0,833.0,848.0,25169
3/17/2016,LGIL,848.0,845.0,816.0,826.0,12398
3/20/2016,LGIL,826.0,842.0,820.0,830.0,13024
3/21/2016,LGIL,830.0,830.0,800.0,800.0,4282
3/23/2016,LGIL,800.0,805.0,790.0,790.0,6470
3/24/2016,LGIL,790.0,775.0,745.0,745.0,7020
3/27/2016,LGIL,745.0,735.0,717.0,735.0,4331
3/28/2016,LGIL,735.0,755.0,722.0,750.0,3472
3/29/2016,LGIL,750.0,790.0,730.0,761.0,17993
3/30/2016,LGIL,761.0,754.0,740.0,751.0,4635
3/31/2016,LGIL,751.0,750.0,726.0,730.0,28540
4/3/2016,LGIL,730.0,750.0,716.0,740.0,12826
4/4/2016,LGIL,740.0,763.0,711.0,750.0,8247
