Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,LICN,3700.0,3872.0,3651.0,3872.0,5246
1/4/2016,LICN,3872.0,3877.0,3780.0,3798.0,2958
1/5/2016,LICN,3798.0,3723.0,3442.0,3587.0,3791
1/6/2016,LICN,3587.0,3516.0,3420.0,3500.0,1492
1/7/2016,LICN,3500.0,3540.0,3435.0,3540.0,1572
1/10/2016,LICN,3540.0,3560.0,3430.0,3560.0,1114
1/11/2016,LICN,3560.0,3564.0,3494.0,3550.0,970
1/12/2016,LICN,3550.0,3539.0,3430.0,3480.0,3381
1/12/2016,LICN,3550.0,3539.0,3430.0,3480.0,3381
1/13/2016,LICN,3480.0,3485.0,3411.0,3475.0,1320
1/14/2016,LICN,3475.0,3544.0,3480.0,3500.0,2453
1/17/2016,LICN,3500.0,3636.0,3550.0,3625.0,631
1/18/2016,LICN,3625.0,3620.0,3550.0,3550.0,101
1/19/2016,LICN,3550.0,3605.0,3550.0,3600.0,659
1/20/2016,LICN,3600.0,3555.0,3550.0,3550.0,296
1/21/2016,LICN,3550.0,3547.0,3501.0,3540.0,497
1/24/2016,LICN,3540.0,3510.0,3500.0,3500.0,552
1/25/2016,LICN,3500.0,3520.0,3500.0,3501.0,1190
1/26/2016,LICN,3501.0,3510.0,3500.0,3500.0,4531
1/27/2016,LICN,3500.0,3525.0,3500.0,3520.0,5470
1/28/2016,LICN,3520.0,3510.0,3500.0,3510.0,4854
1/31/2016,LICN,3510.0,3540.0,3505.0,3540.0,1093
2/1/2016,LICN,3540.0,3550.0,3541.0,3550.0,470
2/2/2016,LICN,3550.0,3515.0,3500.0,3511.0,3891
2/3/2016,LICN,3511.0,3500.0,3500.0,3500.0,3730
2/4/2016,LICN,3500.0,3525.0,3500.0,3505.0,4373
2/7/2016,LICN,3505.0,3520.0,3480.0,3520.0,1133
2/8/2016,LICN,3520.0,3520.0,3489.0,3500.0,1386
2/11/2016,LICN,3500.0,3570.0,3496.0,3496.0,1400
2/14/2016,LICN,3496.0,3520.0,3475.0,3520.0,1632
2/15/2016,LICN,3520.0,3500.0,3495.0,3500.0,477
2/16/2016,LICN,3500.0,3500.0,3490.0,3500.0,11758
2/17/2016,LICN,3500.0,3520.0,3500.0,3520.0,542
2/18/2016,LICN,3520.0,3505.0,3501.0,3501.0,3520
2/21/2016,LICN,3501.0,3510.0,3490.0,3490.0,841
2/22/2016,LICN,3490.0,3499.0,3465.0,3499.0,619
2/23/2016,LICN,3499.0,3500.0,3500.0,3500.0,200
2/24/2016,LICN,3500.0,3500.0,3490.0,3495.0,1260
2/25/2016,LICN,3495.0,3500.0,3450.0,3500.0,988
2/28/2016,LICN,3500.0,3550.0,3490.0,3490.0,531
