S.no,Symbol,Date,Open,High,Low,Close,Vol
50,LLBS,2014-10-14.csv,100.0,307.0,307.0,307.0,41
46,LLBS,2014-10-27.csv,307.0,337.0,313.0,337.0,320
56,LLBS,2014-11-02.csv,337.0,353.0,353.0,353.0,20
53,LLBS,2014-11-03.csv,353.0,367.0,360.0,367.0,30
53,LLBS,2014-11-11.csv,367.0,395.0,374.0,395.0,40
54,LLBS,2014-11-17.csv,395.0,405.0,405.0,405.0,10
46,LLBS,2014-11-18.csv,405.0,445.0,413.0,445.0,163
51,LLBS,2014-11-19.csv,445.0,489.0,453.0,489.0,51
56,LLBS,2014-11-20.csv,489.0,527.0,498.0,527.0,120
50,LLBS,2014-11-23.csv,527.0,579.0,537.0,579.0,51
53,LLBS,2014-11-24.csv,579.0,636.0,590.0,636.0,152
53,LLBS,2014-11-25.csv,636.0,699.0,648.0,699.0,"3,404"
51,LLBS,2014-11-30.csv,699.0,730.0,638.0,659.0,"8,526"
50,LLBS,2014-12-01.csv,659.0,654.0,618.0,623.0,"3,619"
44,LLBS,2014-12-02.csv,623.0,620.0,593.0,596.0,"1,721"
51,LLBS,2014-12-03.csv,596.0,600.0,585.0,585.0,"1,176"
42,LLBS,2014-12-04.csv,585.0,607.0,589.0,590.0,938
46,LLBS,2014-12-07.csv,590.0,600.0,585.0,600.0,639
49,LLBS,2014-12-08.csv,600.0,610.0,580.0,581.0,672
51,LLBS,2014-12-09.csv,581.0,585.0,566.0,580.0,718
49,LLBS,2014-12-10.csv,580.0,595.0,578.0,580.0,"1,625"
52,LLBS,2014-12-11.csv,580.0,590.0,578.0,590.0,824
51,LLBS,2014-12-14.csv,590.0,624.0,598.0,615.0,"1,044"
52,LLBS,2014-12-15.csv,615.0,620.0,600.0,620.0,913
50,LLBS,2014-12-16.csv,620.0,620.0,582.0,598.0,567
53,LLBS,2014-12-17.csv,598.0,620.0,595.0,600.0,"1,116"
55,LLBS,2014-12-18.csv,600.0,600.0,581.0,600.0,154
46,LLBS,2014-12-21.csv,600.0,608.0,589.0,608.0,605
51,LLBS,2014-12-22.csv,608.0,611.0,588.0,590.0,478
47,LLBS,2014-12-23.csv,590.0,589.0,570.0,575.0,"1,667"
52,LLBS,2014-12-24.csv,575.0,580.0,570.0,580.0,"1,124"
100,LLBS,2014-12-28.csv,580.0,601.0,572.0,600.0,"1,836"
101,LLBS,2014-12-28.csv,580.0,601.0,572.0,600.0,"1,836"
48,LLBS,2014-12-29.csv,600.0,600.0,590.0,591.0,414
49,LLBS,2014-12-31.csv,591.0,639.0,600.0,639.0,"3,374"
50,LLBS,2015-01-01.csv,639.0,685.0,628.0,669.0,"2,297"
