S.no,Symbol,Date,Open,High,Low,Close,Vol
40,LUBL,2012-01-01.csv,153.0,155.0,153.0,155.0,"1,472"
33,LUBL,2012-01-02.csv,155.0,170.0,158.0,167.0,971
37,LUBL,2012-01-03.csv,167.0,173.0,165.0,165.0,"1,212"
37,LUBL,2012-01-04.csv,165.0,162.0,157.0,157.0,370
29,LUBL,2012-01-05.csv,157.0,160.0,155.0,160.0,"1,399"
29,LUBL,2012-01-08.csv,160.0,160.0,157.0,158.0,"1,321"
36,LUBL,2012-01-09.csv,158.0,161.0,158.0,161.0,956
34,LUBL,2012-01-10.csv,160.0,160.0,156.0,157.0,"1,170"
36,LUBL,2012-01-11.csv,157.0,160.0,155.0,155.0,790
36,LUBL,2012-01-12.csv,155.0,155.0,153.0,153.0,700
27,LUBL,2012-01-16.csv,153.0,155.0,150.0,152.0,"3,333"
34,LUBL,2012-01-17.csv,152.0,155.0,153.0,155.0,925
34,LUBL,2012-01-18.csv,155.0,154.0,154.0,154.0,109
25,LUBL,2012-01-19.csv,154.0,154.0,151.0,154.0,112
43,LUBL,2012-01-22.csv,154.0,151.0,151.0,151.0,563
42,LUBL,2012-01-23.csv,151.0,152.0,152.0,152.0,380
32,LUBL,2012-01-25.csv,152.0,157.0,155.0,157.0,464
36,LUBL,2012-01-26.csv,157.0,160.0,153.0,153.0,"1,751"
39,LUBL,2012-01-29.csv,153.0,152.0,148.0,152.0,"1,357"
43,LUBL,2012-01-31.csv,152.0,153.0,150.0,152.0,"1,958"
36,LUBL,2012-02-01.csv,152.0,152.0,152.0,152.0,200
39,LUBL,2012-02-02.csv,152.0,155.0,155.0,155.0,420
38,LUBL,2012-02-05.csv,155.0,153.0,150.0,153.0,"1,505"
36,LUBL,2012-02-06.csv,153.0,151.0,148.0,149.0,"2,769"
33,LUBL,2012-02-08.csv,149.0,151.0,148.0,148.0,401
38,LUBL,2012-02-12.csv,148.0,150.0,150.0,150.0,150
34,LUBL,2012-02-13.csv,150.0,153.0,150.0,153.0,229
31,LUBL,2012-02-14.csv,153.0,152.0,150.0,152.0,150
36,LUBL,2012-02-15.csv,152.0,154.0,153.0,154.0,120
36,LUBL,2012-02-16.csv,154.0,154.0,150.0,150.0,310
34,LUBL,2012-02-21.csv,150.0,148.0,148.0,148.0,150
34,LUBL,2012-02-23.csv,148.0,149.0,147.0,149.0,372
37,LUBL,2012-02-26.csv,149.0,150.0,150.0,150.0,244
39,LUBL,2012-02-27.csv,150.0,150.0,147.0,149.0,480
