S.no,Symbol,Date,Open,High,Low,Close,Vol
48,LVF1,2015-06-24.csv,0.0,10.0,10.0,10.0,"16,080"
49,LVF1,2015-06-24.csv,10.0,10.0,10.0,10.0,"16,080"
54,LVF1,2015-07-07.csv,10.0,10.0,10.0,10.0,"15,000"
59,LVF1,2015-07-08.csv,10.0,10.0,10.0,10.0,"5,000"
52,LVF1,2015-07-09.csv,10.0,10.0,10.0,10.0,"10,000"
52,LVF1,2015-07-12.csv,10.0,10.0,10.0,10.0,"12,500"
62,LVF1,2015-07-13.csv,10.0,10.0,10.0,10.0,"5,000"
62,LVF1,2015-07-15.csv,10.0,10.0,10.0,10.0,"1,000"
64,LVF1,2015-07-23.csv,10.0,10.0,10.0,10.0,"5,000"
56,LVF1,2015-07-29.csv,10.0,10.0,10.0,10.0,"8,900"
60,LVF1,2015-07-30.csv,10.0,10.0,10.0,10.0,"13,716"
46,LVF1,2015-08-02.csv,10.0,10.0,10.0,10.0,"8,000"
57,LVF1,2015-08-05.csv,10.0,10.0,10.0,10.0,"28,216"
55,LVF1,2015-08-09.csv,10.0,10.0,10.0,10.0,"5,000"
53,LVF1,2015-08-12.csv,10.0,10.0,10.0,10.0,"4,900"
52,LVF1,2015-08-13.csv,10.0,10.0,10.0,10.0,"2,000"
47,LVF1,2015-08-31.csv,10.0,10.0,10.0,10.0,"2,500"
53,LVF1,2015-09-01.csv,10.0,10.0,10.0,10.0,500
50,LVF1,2015-09-07.csv,10.0,10.0,10.0,10.0,"18,329"
50,LVF1,2015-09-08.csv,10.0,10.0,10.0,10.0,"2,000"
55,LVF1,2015-09-10.csv,10.0,10.0,10.0,10.0,"5,000"
54,LVF1,2015-09-14.csv,10.0,10.0,10.0,10.0,"1,000"
59,LVF1,2015-09-15.csv,10.0,10.0,10.0,10.0,"2,000"
48,LVF1,2015-09-22.csv,10.0,10.0,10.0,10.0,"5,000"
48,LVF1,2015-09-29.csv,10.0,10.0,10.0,10.0,"27,500"
51,LVF1,2015-09-30.csv,10.0,10.0,10.0,10.0,500
47,LVF1,2015-10-01.csv,10.0,10.0,10.0,10.0,"9,500"
47,LVF1,2015-10-05.csv,10.0,10.0,10.0,10.0,"2,500"
48,LVF1,2015-10-15.csv,10.0,9.8,9.8,9.8,"4,000"
46,LVF1,2015-11-01.csv,9.8,10.0,10.0,10.0,"40,000"
47,LVF1,2015-11-02.csv,10.0,9.8,9.6,9.6,"17,480"
50,LVF1,2015-11-10.csv,9.6,9.79,9.79,9.79,"5,000"
41,LVF1,2015-11-22.csv,9.79,9.9,9.9,9.9,"8,500"
48,LVF1,2015-11-25.csv,9.9,9.9,9.9,9.9,"6,000"
50,LVF1,2015-12-09.csv,9.9,9.9,9.9,9.9,"5,000"
51,LVF1,2015-12-10.csv,9.9,9.95,9.95,9.95,"10,000"
53,LVF1,2015-12-13.csv,9.95,9.75,9.75,9.75,"5,000"
47,LVF1,2015-12-14.csv,9.75,9.75,9.75,9.75,"3,216"
44,LVF1,2015-12-15.csv,9.75,9.56,9.56,9.56,"1,000"
53,LVF1,2015-12-16.csv,9.56,9.37,9.37,9.37,"1,100"
51,LVF1,2015-12-20.csv,9.37,9.37,9.37,9.37,"2,020"
50,LVF1,2015-12-21.csv,9.37,9.59,9.3,9.59,"9,200"
47,LVF1,2015-12-24.csv,9.59,9.78,9.78,9.78,"7,700"
48,LVF1,2015-12-27.csv,9.78,9.98,9.97,9.98,"7,020"
49,LVF1,2015-12-28.csv,9.98,9.9,9.9,9.9,"20,000"
49,LVF1,2015-12-29.csv,9.9,10.0,10.0,10.0,"1,500"
48,LVF1,2016-01-03.csv,10.0,9.95,9.94,9.94,"8,200"
46,LVF1,2016-01-04.csv,9.94,9.95,9.95,9.95,"3,300"
51,LVF1,2016-01-05.csv,9.95,9.95,9.95,9.95,"5,600"
53,LVF1,2016-01-10.csv,9.95,9.96,9.76,9.96,"11,000"
50,LVF1,2016-01-13.csv,9.96,9.95,9.95,9.95,"2,750"
50,LVF1,2016-01-14.csv,9.95,10.0,10.0,10.0,500
43,LVF1,2016-02-15.csv,10.0,10.2,10.2,10.2,500
44,LVF1,2016-02-16.csv,10.2,10.61,10.4,10.61,"7,000"
45,LVF1,2016-02-17.csv,10.61,10.9,10.82,10.9,"9,800"
45,LVF1,2016-02-18.csv,10.9,11.2,10.95,11.2,"38,500"
45,LVF1,2016-02-21.csv,11.2,11.14,11.14,11.14,"52,500"
41,LVF1,2016-02-23.csv,11.14,11.1,11.1,11.1,"1,000"
44,LVF1,2016-02-24.csv,11.1,11.1,11.0,11.0,"10,000"
45,LVF1,2016-02-25.csv,11.0,11.19,11.19,11.19,"5,000"
47,LVF1,2016-03-02.csv,11.19,11.0,11.0,11.0,"3,000"
49,LVF1,2016-03-06.csv,11.0,11.0,11.0,11.0,"50,000"
46,LVF1,2016-03-10.csv,11.0,10.78,10.78,10.78,"1,000"
50,LVF1,2016-03-15.csv,10.78,10.6,10.56,10.6,"4,000"
49,LVF1,2016-03-17.csv,10.6,10.6,10.4,10.55,"8,000"
44,LVF1,2016-03-20.csv,10.55,10.76,10.5,10.5,"17,500"
49,LVF1,2016-03-21.csv,10.5,10.93,10.5,10.73,"44,500"
51,LVF1,2016-03-23.csv,10.73,10.57,10.57,10.57,"5,000"
52,LVF1,2016-03-24.csv,10.57,10.86,10.65,10.86,"10,097"
48,LVF1,2016-03-29.csv,10.86,10.86,10.64,10.64,"70,000"
50,LVF1,2016-03-30.csv,10.64,10.45,10.45,10.45,"2,000"
48,LVF1,2016-03-31.csv,10.45,10.85,10.5,10.85,"95,000"
47,LVF1,2016-04-10.csv,10.85,10.63,10.55,10.56,"34,481"
50,LVF1,2016-04-11.csv,10.56,10.55,10.51,10.54,"44,297"
48,LVF1,2016-04-14.csv,10.54,10.75,10.6,10.7,"28,932"
43,LVF1,2016-04-17.csv,10.7,10.8,10.7,10.8,"17,000"
50,LVF1,2016-04-18.csv,10.8,10.8,10.8,10.8,"5,000"
52,LVF1,2016-04-19.csv,10.8,11.02,10.95,10.95,"11,500"
49,LVF1,2016-04-20.csv,10.95,10.9,10.9,10.9,"6,432"
50,LVF1,2016-04-21.csv,10.9,11.12,10.95,11.1,"26,432"
45,LVF1,2016-04-24.csv,11.1,11.1,11.1,11.1,"2,510"
49,LVF1,2016-04-25.csv,11.1,11.32,11.2,11.2,"16,000"
47,LVF1,2016-04-26.csv,11.2,11.1,11.05,11.05,"6,000"
47,LVF1,2016-04-27.csv,11.05,11.0,11.0,11.0,"1,000"
48,LVF1,2016-04-28.csv,11.0,10.85,10.85,10.85,"10,000"
49,LVF1,2016-05-03.csv,10.85,11.0,10.9,11.0,"15,925"
45,LVF1,2016-05-04.csv,11.0,10.9,10.9,10.9,"5,000"
50,LVF1,2016-05-08.csv,10.9,10.86,10.85,10.86,"3,000"
49,LVF1,2016-05-09.csv,10.86,11.1,10.9,11.08,"18,500"
50,LVF1,2016-05-10.csv,11.08,11.0,10.9,11.0,"16,300"
48,LVF1,2016-05-11.csv,11.0,11.0,10.9,11.0,"23,864"
49,LVF1,2016-05-12.csv,11.0,11.12,11.05,11.05,"25,300"
48,LVF1,2016-05-15.csv,11.05,11.15,10.93,11.0,"37,500"
50,LVF1,2016-05-16.csv,11.0,11.1,11.0,11.1,"16,500"
49,LVF1,2016-05-19.csv,11.1,10.9,10.75,10.75,"332,611"
47,LVF1,2016-05-22.csv,10.75,11.0,10.8,10.8,"12,300"
50,LVF1,2016-05-23.csv,10.8,11.0,10.99,10.99,"16,000"
48,LVF1,2016-05-24.csv,10.99,11.25,11.03,11.25,"14,800"
48,LVF1,2016-05-25.csv,11.25,11.24,11.0,11.0,"126,000"
49,LVF1,2016-05-26.csv,11.0,11.0,10.85,11.0,"9,000"
45,LVF1,2016-05-29.csv,11.0,11.0,10.56,10.56,"142,000"
