S.no,Symbol,Date,Open,High,Low,Close,Vol
41,MBBL,2012-01-01.csv,110.0,108.0,108.0,108.0,20
34,MBBL,2012-01-02.csv,108.0,106.0,104.0,104.0,170
38,MBBL,2012-01-03.csv,104.0,104.0,102.0,104.0,60
38,MBBL,2012-01-04.csv,104.0,103.0,102.0,102.0,80
30,MBBL,2012-01-08.csv,102.0,102.0,101.0,102.0,60
35,MBBL,2012-01-10.csv,102.0,102.0,102.0,102.0,20
37,MBBL,2012-01-11.csv,102.0,103.0,102.0,103.0,60
37,MBBL,2012-01-12.csv,103.0,103.0,102.0,102.0,40
28,MBBL,2012-01-16.csv,102.0,102.0,102.0,102.0,40
35,MBBL,2012-01-17.csv,102.0,102.0,102.0,102.0,10
35,MBBL,2012-01-18.csv,102.0,103.0,103.0,103.0,80
44,MBBL,2012-01-22.csv,103.0,105.0,103.0,105.0,60
43,MBBL,2012-01-23.csv,105.0,106.0,103.0,103.0,700
33,MBBL,2012-01-25.csv,103.0,105.0,105.0,105.0,100
37,MBBL,2012-01-26.csv,105.0,103.0,100.0,100.0,110
40,MBBL,2012-01-29.csv,100.0,102.0,100.0,100.0,50
44,MBBL,2012-01-31.csv,100.0,100.0,98.0,98.0,20
37,MBBL,2012-02-01.csv,98.0,99.0,98.0,98.0,20
39,MBBL,2012-02-05.csv,98.0,99.0,99.0,99.0,100
34,MBBL,2012-02-08.csv,99.0,98.0,98.0,98.0,20
39,MBBL,2012-02-12.csv,98.0,99.0,99.0,99.0,40
35,MBBL,2012-02-13.csv,99.0,98.0,98.0,98.0,20
32,MBBL,2012-02-14.csv,98.0,98.0,98.0,98.0,80
37,MBBL,2012-02-16.csv,98.0,99.0,97.0,97.0,70
35,MBBL,2012-02-21.csv,97.0,98.0,96.0,98.0,90
35,MBBL,2012-02-23.csv,98.0,106.0,99.0,105.0,"2,400"
38,MBBL,2012-02-26.csv,105.0,107.0,105.0,107.0,110
40,MBBL,2012-02-27.csv,107.0,113.0,109.0,113.0,40
34,MBBL,2012-02-29.csv,113.0,113.0,111.0,111.0,30
36,MBBL,2012-03-01.csv,111.0,114.0,112.0,114.0,60
36,MBBL,2012-03-04.csv,114.0,116.0,116.0,116.0,20
28,MBBL,2012-03-15.csv,116.0,118.0,118.0,118.0,80
36,MBBL,2012-03-25.csv,118.0,116.0,116.0,116.0,20
38,MBBL,2012-03-27.csv,116.0,118.0,118.0,118.0,10
35,MBBL,2012-03-28.csv,118.0,116.0,115.0,115.0,120
32,MBBL,2012-04-03.csv,115.0,113.0,109.0,109.0,100
41,MBBL,2012-04-05.csv,109.0,111.0,111.0,111.0,40
