Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,MDB,505.0,535.0,515.0,535.0,2400
1/4/2016,MDB,535.0,555.0,535.0,550.0,3168
1/5/2016,MDB,550.0,580.0,550.0,580.0,554
1/6/2016,MDB,580.0,585.0,580.0,580.0,408
1/7/2016,MDB,580.0,587.0,580.0,587.0,873
1/10/2016,MDB,587.0,623.0,595.0,623.0,870
1/11/2016,MDB,623.0,635.0,600.0,600.0,300
1/12/2016,MDB,600.0,590.0,590.0,590.0,100
1/12/2016,MDB,600.0,590.0,590.0,590.0,100
1/13/2016,MDB,590.0,590.0,570.0,570.0,501
1/14/2016,MDB,570.0,571.0,565.0,569.0,2250
1/17/2016,MDB,569.0,585.0,558.0,583.0,5783
1/18/2016,MDB,583.0,603.0,592.0,600.0,2824
1/19/2016,MDB,600.0,602.0,590.0,602.0,3865
1/20/2016,MDB,602.0,605.0,595.0,602.0,3493
1/21/2016,MDB,602.0,600.0,596.0,596.0,196
1/24/2016,MDB,596.0,595.0,595.0,595.0,1100
1/25/2016,MDB,595.0,625.0,605.0,610.0,2306
1/26/2016,MDB,610.0,615.0,610.0,615.0,2072
1/27/2016,MDB,615.0,612.0,605.0,606.0,1360
1/31/2016,MDB,606.0,615.0,610.0,615.0,800
2/1/2016,MDB,615.0,626.0,620.0,625.0,7042
2/2/2016,MDB,625.0,630.0,620.0,620.0,2220
2/3/2016,MDB,620.0,620.0,620.0,620.0,320
2/4/2016,MDB,620.0,621.0,619.0,619.0,2640
2/7/2016,MDB,619.0,631.0,616.0,616.0,462
2/8/2016,MDB,616.0,637.0,625.0,625.0,1183
2/11/2016,MDB,625.0,619.0,619.0,619.0,43
2/14/2016,MDB,619.0,620.0,610.0,610.0,120
2/15/2016,MDB,610.0,620.0,609.0,610.0,652
2/17/2016,MDB,610.0,646.0,610.0,622.0,940
2/18/2016,MDB,622.0,611.0,610.0,610.0,300
2/21/2016,MDB,610.0,622.0,610.0,622.0,733
2/22/2016,MDB,622.0,645.0,620.0,640.0,1441
2/23/2016,MDB,640.0,630.0,628.0,628.0,550
2/24/2016,MDB,628.0,618.0,616.0,616.0,572
2/25/2016,MDB,616.0,620.0,620.0,620.0,260
2/28/2016,MDB,620.0,628.0,608.0,628.0,138
3/1/2016,MDB,628.0,620.0,616.0,620.0,195
3/2/2016,MDB,620.0,627.0,620.0,627.0,184
3/3/2016,MDB,627.0,629.0,629.0,629.0,250
3/6/2016,MDB,629.0,635.0,635.0,635.0,200
3/10/2016,MDB,635.0,647.0,635.0,635.0,768
3/14/2016,MDB,635.0,640.0,630.0,630.0,1000
3/15/2016,MDB,630.0,620.0,615.0,615.0,208
3/16/2016,MDB,615.0,627.0,605.0,627.0,349
3/17/2016,MDB,627.0,630.0,620.0,620.0,892
3/20/2016,MDB,620.0,620.0,608.0,615.0,1344
3/21/2016,MDB,615.0,627.0,616.0,616.0,3931
3/23/2016,MDB,616.0,606.0,605.0,605.0,300
3/24/2016,MDB,605.0,620.0,600.0,610.0,1872
3/27/2016,MDB,610.0,622.0,606.0,622.0,1668
3/28/2016,MDB,622.0,630.0,610.0,622.0,2158
3/29/2016,MDB,622.0,630.0,616.0,616.0,440
3/31/2016,MDB,616.0,605.0,595.0,595.0,636
4/3/2016,MDB,595.0,600.0,600.0,600.0,526
4/4/2016,MDB,600.0,607.0,600.0,607.0,133
4/5/2016,MDB,607.0,625.0,618.0,625.0,877
4/6/2016,MDB,625.0,615.0,613.0,613.0,450
4/10/2016,MDB,613.0,640.0,600.0,600.0,4106
4/11/2016,MDB,600.0,617.0,605.0,617.0,65
4/12/2016,MDB,617.0,615.0,614.0,615.0,154
4/14/2016,MDB,615.0,635.0,620.0,635.0,327
4/17/2016,MDB,635.0,647.0,635.0,635.0,350
4/18/2016,MDB,635.0,665.0,647.0,652.0,622
4/19/2016,MDB,652.0,667.0,661.0,661.0,815
4/20/2016,MDB,661.0,727.0,665.0,727.0,6668
4/21/2016,MDB,727.0,727.0,713.0,716.0,888
4/24/2016,MDB,716.0,712.0,702.0,708.0,1039
4/25/2016,MDB,708.0,709.0,702.0,705.0,1328
4/26/2016,MDB,705.0,709.0,696.0,696.0,2076
4/27/2016,MDB,696.0,695.0,690.0,695.0,280
4/28/2016,MDB,695.0,701.0,700.0,700.0,840
5/2/2016,MDB,700.0,700.0,692.0,692.0,665
5/3/2016,MDB,692.0,700.0,685.0,695.0,634
5/4/2016,MDB,695.0,686.0,686.0,686.0,15
5/5/2016,MDB,686.0,698.0,675.0,688.0,1332
5/8/2016,MDB,688.0,690.0,688.0,690.0,485
5/9/2016,MDB,690.0,715.0,680.0,715.0,1753
5/10/2016,MDB,715.0,720.0,706.0,706.0,1244
5/11/2016,MDB,706.0,706.0,702.0,702.0,352
5/12/2016,MDB,702.0,705.0,700.0,700.0,300
5/15/2016,MDB,700.0,701.0,700.0,701.0,1099
5/16/2016,MDB,701.0,705.0,700.0,701.0,878
5/17/2016,MDB,701.0,715.0,701.0,715.0,298
5/18/2016,MDB,715.0,738.0,710.0,738.0,1650
5/19/2016,MDB,738.0,770.0,740.0,745.0,2747
5/22/2016,MDB,745.0,797.0,750.0,793.0,4150
5/23/2016,MDB,793.0,800.0,786.0,796.0,1536
5/24/2016,MDB,796.0,857.0,811.0,857.0,2909
5/25/2016,MDB,857.0,942.0,853.0,870.0,5438
5/26/2016,MDB,870.0,904.0,836.0,895.0,4368
5/29/2016,MDB,895.0,910.0,870.0,870.0,1989
5/30/2016,MDB,870.0,884.0,857.0,857.0,2623
5/31/2016,MDB,857.0,887.0,854.0,878.0,2308
6/1/2016,MDB,878.0,865.0,865.0,865.0,294
6/2/2016,MDB,865.0,881.0,848.0,881.0,1812
6/5/2016,MDB,881.0,864.0,825.0,826.0,1707
6/6/2016,MDB,826.0,875.0,842.0,858.0,759
6/7/2016,MDB,858.0,873.0,852.0,873.0,3622
6/8/2016,MDB,873.0,897.0,873.0,888.0,1628
6/9/2016,MDB,888.0,880.0,870.0,875.0,865
6/12/2016,MDB,875.0,872.0,858.0,860.0,1301
6/13/2016,MDB,860.0,865.0,850.0,850.0,1604
6/14/2016,MDB,850.0,877.0,860.0,861.0,2263
6/15/2016,MDB,861.0,880.0,860.0,865.0,1768
6/16/2016,MDB,865.0,882.0,860.0,877.0,1329
6/19/2016,MDB,877.0,890.0,860.0,890.0,693
6/20/2016,MDB,890.0,895.0,878.0,879.0,509
6/21/2016,MDB,879.0,896.0,896.0,896.0,20
6/22/2016,MDB,896.0,898.0,890.0,890.0,715
6/23/2016,MDB,890.0,890.0,873.0,875.0,795
6/26/2016,MDB,875.0,865.0,848.0,860.0,740
6/27/2016,MDB,860.0,877.0,865.0,865.0,536
6/28/2016,MDB,865.0,887.0,866.0,870.0,1748
6/29/2016,MDB,870.0,872.0,850.0,872.0,2564
6/30/2016,MDB,872.0,875.0,860.0,874.0,2172
7/3/2016,MDB,874.0,887.0,875.0,875.0,1112
7/4/2016,MDB,875.0,935.0,870.0,921.0,4914
7/5/2016,MDB,921.0,922.0,905.0,910.0,4548
7/6/2016,MDB,910.0,910.0,900.0,905.0,668
7/10/2016,MDB,905.0,910.0,905.0,905.0,1200
7/11/2016,MDB,905.0,890.0,880.0,880.0,1360
7/12/2016,MDB,880.0,897.0,880.0,885.0,595
7/13/2016,MDB,885.0,885.0,853.0,855.0,524
7/14/2016,MDB,855.0,872.0,860.0,861.0,356
7/17/2016,MDB,861.0,907.0,851.0,890.0,1616
7/18/2016,MDB,890.0,924.0,907.0,920.0,2018
7/19/2016,MDB,920.0,950.0,915.0,950.0,1804
7/20/2016,MDB,950.0,960.0,940.0,945.0,2294
7/21/2016,MDB,945.0,945.0,931.0,931.0,287
7/25/2016,MDB,931.0,1024.0,940.0,1024.0,3699
7/26/2016,MDB,1024.0,1126.0,1044.0,1126.0,5076
7/27/2016,MDB,1126.0,1216.0,1148.0,1150.0,5253
