S.no,Symbol,Date,Open,High,Low,Close,Vol
58,MDBPO,2014-06-29.csv,240.0,244.0,244.0,244.0,"4,320"
65,MDBPO,2014-08-07.csv,244.0,240.0,240.0,240.0,"15,840"
63,MDBPO,2014-11-13.csv,240.0,236.0,232.0,232.0,"15,840"
53,MDBPO,2014-12-23.csv,232.0,232.0,232.0,232.0,"2,160"
110,MDBPO,2014-12-28.csv,232.0,232.0,232.0,232.0,"3,520"
111,MDBPO,2014-12-28.csv,232.0,232.0,232.0,232.0,"3,520"
68,MDBPO,2015-07-13.csv,246.0,246.0,246.0,246.0,"11,520"
55,MDBPO,2015-08-10.csv,246.0,246.0,246.0,246.0,"4,000"
52,MDBPO,2015-11-10.csv,246.0,242.0,242.0,242.0,"23,400"
42,MDBPO,2015-11-15.csv,242.0,238.0,238.0,238.0,"21,600"
44,MDBPO,2015-11-16.csv,238.0,234.0,234.0,234.0,"20,880"
54,MDBPO,2016-08-21.csv,550.0,551.0,551.0,551.0,"2,600"
55,MDBPO,2016-09-07.csv,551.0,551.0,551.0,551.0,"1,440"
55,MDBPO,2016-09-12.csv,551.0,551.0,551.0,551.0,"2,871"
70,MDBPO,2019-12-04.csv,136.0,136.0,136.0,136.0,"9,440"
69,MDBPO,2019-12-11.csv,136.0,136.0,136.0,136.0,"2,000"
71,MDBPO,2020-02-05.csv,136.0,136.0,136.0,136.0,"12,000"
