S.no,Symbol,Date,Open,High,Low,Close,Vol
48,MEGA,2013-09-08.csv,188.0,188.0,178.0,181.0,"44,339"
51,MEGA,2013-09-09.csv,181.0,183.0,175.0,181.0,"63,530"
55,MEGA,2013-09-10.csv,181.0,182.0,179.0,181.0,"35,018"
53,MEGA,2013-09-11.csv,181.0,181.0,179.0,180.0,"39,660"
44,MEGA,2013-09-12.csv,180.0,183.0,179.0,182.0,"31,083"
56,MEGA,2013-09-15.csv,182.0,182.0,180.0,181.0,"23,167"
50,MEGA,2013-09-16.csv,181.0,182.0,179.0,180.0,"29,516"
50,MEGA,2013-09-17.csv,180.0,181.0,177.0,179.0,"18,344"
50,MEGA,2013-09-19.csv,179.0,180.0,176.0,178.0,"16,703"
55,MEGA,2013-09-22.csv,178.0,178.0,170.0,172.0,"25,713"
48,MEGA,2013-09-23.csv,172.0,174.0,171.0,173.0,"14,340"
48,MEGA,2013-09-24.csv,173.0,179.0,172.0,176.0,"13,037"
46,MEGA,2013-09-25.csv,176.0,179.0,175.0,178.0,"11,867"
44,MEGA,2013-09-26.csv,178.0,179.0,175.0,177.0,"16,191"
51,MEGA,2013-09-29.csv,177.0,178.0,176.0,177.0,"14,539"
45,MEGA,2013-09-30.csv,177.0,179.0,176.0,176.0,"11,224"
46,MEGA,2013-10-01.csv,176.0,177.0,174.0,177.0,"13,501"
45,MEGA,2013-10-02.csv,177.0,178.0,175.0,177.0,"22,389"
46,MEGA,2013-10-03.csv,177.0,177.0,173.0,176.0,"12,343"
42,MEGA,2013-10-06.csv,176.0,179.0,175.0,178.0,"31,043"
43,MEGA,2013-10-07.csv,178.0,180.0,177.0,180.0,"23,385"
43,MEGA,2013-10-08.csv,180.0,180.0,178.0,180.0,"12,717"
33,MEGA,2013-10-09.csv,180.0,184.0,180.0,183.0,"9,847"
37,MEGA,2013-10-10.csv,183.0,186.0,180.0,182.0,"12,824"
27,MEGA,2013-10-17.csv,182.0,188.0,180.0,185.0,"7,117"
42,MEGA,2013-10-20.csv,185.0,199.0,184.0,195.0,"15,767"
40,MEGA,2013-10-21.csv,195.0,209.0,195.0,204.0,"42,569"
46,MEGA,2013-10-22.csv,204.0,204.0,199.0,202.0,"28,193"
42,MEGA,2013-10-23.csv,202.0,204.0,200.0,203.0,"29,883"
44,MEGA,2013-10-24.csv,203.0,204.0,200.0,201.0,"32,429"
43,MEGA,2013-10-27.csv,201.0,201.0,198.0,200.0,"18,437"
38,MEGA,2013-10-28.csv,200.0,204.0,198.0,204.0,"22,167"
40,MEGA,2013-10-29.csv,201.0,204.0,198.0,200.0,"23,127"
40,MEGA,2013-10-30.csv,200.0,206.0,198.0,204.0,"17,704"
42,MEGA,2013-10-31.csv,204.0,205.0,200.0,202.0,"31,586"
35,MEGA,2013-11-06.csv,202.0,202.0,199.0,201.0,"9,339"
47,MEGA,2013-11-07.csv,201.0,221.0,202.0,218.0,"23,282"
38,MEGA,2013-11-11.csv,235.0,251.0,234.0,251.0,"47,417"
39,MEGA,2013-11-12.csv,251.0,270.0,252.0,260.0,"39,464"
41,MEGA,2013-11-13.csv,260.0,265.0,250.0,261.0,"28,781"
43,MEGA,2013-11-14.csv,261.0,260.0,250.0,259.0,"65,668"
23,MEGA,2013-11-21.csv,259.0,274.0,264.0,274.0,"1,437"
42,MEGA,2013-11-24.csv,274.0,301.0,279.0,301.0,"24,087"
46,MEGA,2013-11-25.csv,301.0,307.0,295.0,304.0,"61,999"
45,MEGA,2013-11-26.csv,304.0,310.0,298.0,306.0,"38,528"
47,MEGA,2013-11-27.csv,306.0,305.0,295.0,300.0,"26,979"
46,MEGA,2013-11-28.csv,300.0,301.0,298.0,300.0,"19,902"
46,MEGA,2013-12-01.csv,300.0,303.0,297.0,302.0,"15,636"
47,MEGA,2013-12-02.csv,302.0,308.0,300.0,308.0,"16,796"
52,MEGA,2013-12-03.csv,308.0,314.0,300.0,307.0,"30,335"
53,MEGA,2013-12-04.csv,307.0,337.0,307.0,336.0,"28,739"
58,MEGA,2013-12-05.csv,336.0,369.0,336.0,355.0,"37,078"
54,MEGA,2013-12-08.csv,355.0,365.0,350.0,360.0,"54,814"
57,MEGA,2013-12-09.csv,360.0,361.0,352.0,361.0,"18,088"
52,MEGA,2013-12-10.csv,361.0,360.0,351.0,355.0,"23,291"
56,MEGA,2013-12-11.csv,355.0,370.0,351.0,365.0,"25,732"
57,MEGA,2013-12-12.csv,365.0,372.0,358.0,370.0,"24,316"
53,MEGA,2013-12-15.csv,370.0,397.0,363.0,387.0,"44,716"
49,MEGA,2013-12-16.csv,387.0,425.0,390.0,425.0,"4,060"
46,MEGA,2013-12-18.csv,425.0,466.0,417.0,466.0,"19,071"
51,MEGA,2013-12-19.csv,466.0,475.0,436.0,458.0,"30,840"
56,MEGA,2013-12-22.csv,460.0,459.0,439.0,446.0,"29,438"
51,MEGA,2013-12-23.csv,445.0,440.0,401.0,407.0,"24,224"
52,MEGA,2013-12-24.csv,407.0,420.0,367.0,402.0,"26,733"
51,MEGA,2013-12-26.csv,401.0,435.0,401.0,411.0,"38,063"
49,MEGA,2013-12-29.csv,411.0,413.0,386.0,400.0,"50,394"
45,MEGA,2013-12-31.csv,400.0,399.0,390.0,399.0,"10,016"
43,MEGA,2014-01-01.csv,399.0,397.0,378.0,395.0,"10,235"
41,MEGA,2014-01-02.csv,395.0,400.0,380.0,395.0,"9,280"
49,MEGA,2014-01-05.csv,395.0,409.0,390.0,395.0,"11,798"
47,MEGA,2014-01-06.csv,395.0,395.0,389.0,395.0,"8,382"
46,MEGA,2014-01-07.csv,395.0,397.0,388.0,392.0,"4,507"
50,MEGA,2014-01-08.csv,392.0,413.0,388.0,406.0,"7,806"
50,MEGA,2014-01-09.csv,406.0,413.0,401.0,410.0,"5,863"
52,MEGA,2014-01-12.csv,410.0,438.0,406.0,430.0,"7,147"
52,MEGA,2014-01-13.csv,430.0,455.0,425.0,445.0,"14,056"
54,MEGA,2014-01-14.csv,445.0,450.0,440.0,444.0,"14,042"
51,MEGA,2014-01-16.csv,444.0,459.0,436.0,456.0,"11,440"
48,MEGA,2014-01-19.csv,456.0,465.0,447.0,465.0,"5,526"
53,MEGA,2014-01-20.csv,465.0,464.0,448.0,455.0,"9,940"
59,MEGA,2014-01-21.csv,455.0,462.0,446.0,460.0,"8,251"
59,MEGA,2014-01-22.csv,460.0,460.0,446.0,450.0,"5,323"
56,MEGA,2014-01-23.csv,450.0,462.0,445.0,458.0,"10,211"
59,MEGA,2014-01-26.csv,458.0,461.0,450.0,455.0,"12,610"
