Date,Symbol,Open,High,Low,Close,Vol
9/5/2016,MERO,0.0,392.0,392.0,392.0,10
9/8/2016,MERO,392.0,411.0,411.0,411.0,10
11/24/2016,MERO,411.0,419.0,419.0,419.0,10
12/6/2016,MERO,419.0,451.0,427.0,451.0,50
12/15/2016,MERO,451.0,478.0,460.0,478.0,92
12/18/2016,MERO,478.0,496.0,487.0,496.0,20
12/21/2016,MERO,451.0,487.0,460.0,487.0,40
12/26/2016,MERO,487.0,535.0,496.0,535.0,50
1/19/2017,MERO,535.0,545.0,545.0,545.0,10
1/23/2017,MERO,545.0,566.0,555.0,566.0,41
1/24/2017,MERO,566.0,577.0,577.0,577.0,10
2/9/2017,MERO,577.0,610.0,588.0,610.0,30
2/12/2017,MERO,610.0,646.0,622.0,646.0,74
2/13/2017,MERO,646.0,671.0,658.0,671.0,20
2/14/2017,MERO,671.0,684.0,684.0,684.0,10
2/26/2017,MERO,684.0,710.0,697.0,710.0,20
3/1/2017,MERO,710.0,752.0,724.0,752.0,30
3/2/2017,MERO,752.0,782.0,767.0,782.0,41
3/14/2017,MERO,782.0,797.0,797.0,797.0,10
3/20/2017,MERO,797.0,812.0,812.0,812.0,4
3/21/2017,MERO,797.0,844.0,812.0,844.0,50
3/22/2017,MERO,844.0,877.0,860.0,877.0,27
3/26/2017,MERO,877.0,894.0,894.0,894.0,10
4/6/2017,MERO,894.0,975.0,938.0,975.0,61
4/9/2017,MERO,975.0,994.0,994.0,994.0,10
4/11/2017,MERO,975.0,1033.0,994.0,1033.0,35
4/12/2017,MERO,1033.0,1053.0,1053.0,1053.0,20
4/13/2017,MERO,1053.0,1074.0,1074.0,1074.0,10
4/20/2017,MERO,1074.0,1160.0,1095.0,1160.0,40
4/24/2017,MERO,1160.0,1183.0,1183.0,1183.0,20
4/26/2017,MERO,1183.0,1206.0,1206.0,1206.0,10
4/27/2017,MERO,1206.0,1326.0,1230.0,1326.0,312
4/30/2017,MERO,1326.0,1379.0,1352.0,1379.0,22
5/4/2017,MERO,1379.0,1434.0,1406.0,1434.0,28
5/7/2017,MERO,1434.0,1550.0,1462.0,1550.0,43
5/8/2017,MERO,1550.0,1705.0,1581.0,1705.0,75
5/9/2017,MERO,1705.0,1844.0,1739.0,1844.0,54
5/11/2017,MERO,1844.0,1880.88,1880.88,1880.88,10
5/15/2017,MERO,1880.88,1918.0,1918.0,1918.0,10
5/17/2017,MERO,1918.0,2109.0,1956.0,2109.0,72
5/18/2017,MERO,2109.0,2319.0,2151.0,2319.0,575
5/21/2017,MERO,2319.0,2550.9,2365.0,2550.0,478
5/22/2017,MERO,2550.0,2805.0,2601.0,2805.0,1780
5/23/2017,MERO,2805.0,3085.0,2690.0,2750.0,23569
5/24/2017,MERO,2750.0,2800.0,2553.0,2723.0,9195
5/28/2017,MERO,2723.0,2670.0,2598.0,2618.0,4617
5/30/2017,MERO,2618.0,2610.0,2541.0,2585.0,3110
5/31/2017,MERO,2585.0,2636.0,2473.0,2598.0,3194
6/1/2017,MERO,2598.0,2547.0,2472.0,2512.0,3711
6/4/2017,MERO,2512.0,2505.0,2382.0,2440.0,1476
6/5/2017,MERO,2440.0,2487.0,2445.0,2476.0,3213
6/6/2017,MERO,2476.0,2545.0,2476.0,2538.0,2535
6/7/2017,MERO,2538.0,2599.0,2520.0,2525.0,5278
6/8/2017,MERO,2525.0,2525.0,2480.0,2510.0,2104
6/11/2017,MERO,2510.0,2475.0,2413.0,2431.0,2170
6/12/2017,MERO,2431.0,2450.0,2375.0,2449.0,2655
