S.no,Symbol,Date,Open,High,Low,Close,Vol
36,METRO,2012-10-17.csv,0.0,175.0,163.0,163.0,188
44,METRO,2012-10-18.csv,163.0,160.0,148.0,148.0,69
40,METRO,2012-10-30.csv,148.0,146.0,138.0,139.0,"2,013"
38,METRO,2012-10-31.csv,139.0,145.0,135.0,145.0,"8,519"
39,METRO,2012-11-01.csv,145.0,151.0,141.0,150.0,"2,884"
45,METRO,2012-11-04.csv,150.0,158.0,147.0,158.0,"3,391"
46,METRO,2012-11-05.csv,158.0,168.0,157.0,157.0,"2,113"
47,METRO,2012-11-06.csv,157.0,162.0,158.0,158.0,"3,537"
49,METRO,2012-11-07.csv,158.0,166.0,157.0,166.0,"2,986"
44,METRO,2012-11-08.csv,166.0,169.0,157.0,163.0,"2,597"
41,METRO,2012-11-11.csv,163.0,166.0,157.0,163.0,"6,097"
39,METRO,2012-11-18.csv,163.0,166.0,166.0,166.0,114
40,METRO,2012-12-11.csv,166.0,154.0,154.0,154.0,112
36,METRO,2012-12-23.csv,154.0,151.0,151.0,151.0,670
43,METRO,2012-12-24.csv,151.0,150.0,150.0,150.0,"7,928"
36,METRO,2013-01-01.csv,150.0,147.0,143.0,144.0,"2,439"
42,METRO,2013-01-06.csv,144.0,142.0,142.0,142.0,200
38,METRO,2013-01-09.csv,142.0,140.0,140.0,140.0,135
35,METRO,2013-01-10.csv,140.0,138.0,138.0,138.0,400
44,METRO,2013-01-30.csv,130.0,130.0,128.0,128.0,217
43,METRO,2013-01-31.csv,128.0,126.0,124.0,124.0,159
40,METRO,2013-02-03.csv,124.0,126.0,126.0,126.0,16
33,METRO,2013-02-07.csv,126.0,124.0,124.0,124.0,72
37,METRO,2013-02-10.csv,124.0,124.0,122.0,124.0,"1,589"
38,METRO,2013-02-12.csv,124.0,126.0,124.0,126.0,581
40,METRO,2013-02-14.csv,126.0,125.0,125.0,125.0,13
37,METRO,2013-02-19.csv,125.0,130.0,127.0,130.0,"1,271"
37,METRO,2013-02-28.csv,130.0,128.0,128.0,128.0,101
41,METRO,2013-03-03.csv,128.0,128.0,128.0,128.0,"1,693"
46,METRO,2013-03-11.csv,128.0,128.0,126.0,126.0,465
45,METRO,2013-03-13.csv,126.0,124.0,124.0,124.0,336
42,METRO,2013-03-14.csv,124.0,128.0,126.0,128.0,"1,066"
45,METRO,2013-03-17.csv,128.0,128.0,128.0,128.0,112
44,METRO,2013-03-19.csv,128.0,126.0,126.0,126.0,335
43,METRO,2013-03-21.csv,126.0,126.0,121.0,121.0,"1,186"
39,METRO,2013-03-24.csv,121.0,122.0,118.0,118.0,443
41,METRO,2013-03-25.csv,118.0,117.0,117.0,117.0,112
44,METRO,2013-03-27.csv,117.0,119.0,117.0,119.0,22
40,METRO,2013-03-31.csv,119.0,121.0,119.0,119.0,361
42,METRO,2013-04-02.csv,119.0,118.0,118.0,118.0,47
37,METRO,2013-04-03.csv,118.0,124.0,120.0,124.0,152
42,METRO,2013-04-08.csv,124.0,126.0,124.0,126.0,239
46,METRO,2013-04-09.csv,126.0,126.0,126.0,126.0,447
