S.no,Symbol,Date,Open,High,Low,Close,Vol
77,MHNL,2019-04-17.csv,100.0,108.0,100.0,101.0,"2,980"
73,MHNL,2019-04-18.csv,99.0,99.0,95.0,95.0,"1,490"
77,MHNL,2019-04-21.csv,95.0,96.0,93.0,96.0,420
74,MHNL,2019-04-22.csv,96.0,96.0,91.0,91.0,619
78,MHNL,2019-04-23.csv,91.0,92.0,90.0,90.0,500
75,MHNL,2019-04-24.csv,89.0,89.0,85.0,87.0,620
78,MHNL,2019-04-25.csv,86.0,87.0,85.0,87.0,521
78,MHNL,2019-04-28.csv,86.0,89.0,86.0,89.0,380
76,MHNL,2019-04-29.csv,90.0,90.0,89.0,89.0,190
79,MHNL,2019-04-30.csv,89.0,90.0,87.0,89.0,440
76,MHNL,2019-05-02.csv,88.0,92.0,88.0,92.0,330
78,MHNL,2019-05-05.csv,91.0,91.0,91.0,91.0,60
76,MHNL,2019-05-06.csv,90.0,92.0,90.0,91.0,655
76,MHNL,2019-05-07.csv,91.0,92.0,91.0,91.0,490
76,MHNL,2019-05-08.csv,91.0,92.0,90.0,91.0,830
76,MHNL,2019-05-09.csv,90.0,92.0,89.0,92.0,240
74,MHNL,2019-05-12.csv,91.0,91.0,88.0,88.0,200
75,MHNL,2019-05-13.csv,89.0,93.0,89.0,93.0,730
78,MHNL,2019-05-14.csv,94.0,94.0,90.0,90.0,300
77,MHNL,2019-05-15.csv,86.0,89.0,86.0,89.0,550
78,MHNL,2019-05-16.csv,90.0,92.0,90.0,92.0,360
78,MHNL,2019-05-19.csv,88.0,94.0,88.0,94.0,660
74,MHNL,2019-05-20.csv,95.0,98.0,92.0,97.0,"1,540"
77,MHNL,2019-05-21.csv,96.0,100.0,96.0,99.0,"1,270"
74,MHNL,2019-05-22.csv,100.0,108.0,100.0,104.0,"18,720"
76,MHNL,2019-05-23.csv,106.0,109.0,97.0,99.0,"5,440"
75,MHNL,2019-05-26.csv,100.0,105.0,100.0,102.0,"5,630"
77,MHNL,2019-05-27.csv,100.0,107.0,99.0,105.0,"1,040"
74,MHNL,2019-05-28.csv,102.0,102.0,98.0,98.0,"2,200"
80,MHNL,2019-05-29.csv,99.0,107.0,99.0,105.0,"7,770"
79,MHNL,2019-05-30.csv,107.0,113.0,104.0,104.0,"4,820"
78,MHNL,2019-06-02.csv,102.0,112.0,102.0,110.0,790
79,MHNL,2019-06-03.csv,108.0,108.0,102.0,104.0,"1,850"
79,MHNL,2019-06-04.csv,103.0,104.0,101.0,104.0,"1,510"
79,MHNL,2019-06-06.csv,103.0,103.0,100.0,100.0,"2,140"
76,MHNL,2019-06-10.csv,102.0,103.0,100.0,100.0,860
77,MHNL,2019-06-11.csv,102.0,108.0,101.0,107.0,"5,228"
76,MHNL,2019-06-12.csv,107.0,107.0,104.0,104.0,"1,310"
75,MHNL,2019-06-13.csv,102.0,108.0,102.0,103.0,"2,250"
77,MHNL,2019-06-16.csv,105.0,105.0,100.0,100.0,"4,750"
76,MHNL,2019-06-17.csv,102.0,102.0,101.0,101.0,"1,000"
78,MHNL,2019-06-18.csv,102.0,107.0,101.0,105.0,"3,310"
74,MHNL,2019-06-19.csv,103.0,107.0,103.0,106.0,"3,290"
75,MHNL,2019-06-20.csv,104.0,109.0,102.0,107.0,"2,080"
75,MHNL,2019-06-23.csv,105.0,109.0,105.0,105.0,"4,250"
79,MHNL,2019-06-24.csv,104.0,107.0,104.0,104.0,730
76,MHNL,2019-06-25.csv,102.0,105.0,102.0,104.0,570
75,MHNL,2019-06-26.csv,102.0,105.0,102.0,105.0,810
75,MHNL,2019-06-27.csv,103.0,105.0,103.0,104.0,680
77,MHNL,2019-06-30.csv,102.0,105.0,102.0,103.0,580
72,MHNL,2019-07-01.csv,101.0,105.0,101.0,104.0,"1,150"
75,MHNL,2019-07-02.csv,104.0,105.0,103.0,104.0,570
75,MHNL,2019-07-03.csv,103.0,107.0,103.0,106.0,"2,290"
76,MHNL,2019-07-04.csv,104.0,107.0,104.0,107.0,"1,020"
73,MHNL,2019-07-07.csv,105.0,106.0,104.0,104.0,770
74,MHNL,2019-07-08.csv,103.0,106.0,102.0,102.0,"1,210"
74,MHNL,2019-07-09.csv,102.0,104.0,102.0,104.0,640
75,MHNL,2019-07-10.csv,103.0,105.0,103.0,105.0,590
74,MHNL,2019-07-11.csv,103.0,104.0,102.0,104.0,540
70,MHNL,2019-07-14.csv,103.0,104.0,103.0,104.0,430
74,MHNL,2019-07-15.csv,103.0,103.0,103.0,103.0,360
73,MHNL,2019-07-16.csv,104.0,107.0,104.0,105.0,"1,350"
72,MHNL,2019-07-17.csv,103.0,109.0,103.0,106.0,820
68,MHNL,2019-07-18.csv,104.0,106.0,104.0,105.0,290
72,MHNL,2019-07-21.csv,107.0,107.0,103.0,103.0,370
74,MHNL,2019-07-22.csv,103.0,103.0,103.0,103.0,570
74,MHNL,2019-07-23.csv,103.0,103.0,102.0,102.0,430
74,MHNL,2019-07-24.csv,103.0,103.0,101.0,101.0,"1,440"
74,MHNL,2019-07-25.csv,102.0,106.0,100.0,101.0,"2,240"
72,MHNL,2019-07-28.csv,100.0,101.0,100.0,100.0,"1,380"
71,MHNL,2019-07-29.csv,100.0,101.0,100.0,100.0,400
75,MHNL,2019-07-30.csv,100.0,102.0,99.0,100.0,"1,940"
74,MHNL,2019-07-31.csv,99.0,100.0,98.0,99.0,540
72,MHNL,2019-08-01.csv,100.0,107.0,99.0,104.0,"3,296"
72,MHNL,2019-08-04.csv,105.0,114.0,105.0,108.0,"9,469"
