S.no,Symbol,Date,Open,High,Low,Close,Vol
45,MIDBL,2014-03-04.csv,100.0,102.0,102.0,102.0,447
61,MIDBL,2014-03-27.csv,102.0,108.0,104.0,108.0,798
61,MIDBL,2014-04-01.csv,108.0,110.0,110.0,110.0,233
63,MIDBL,2014-07-03.csv,110.0,118.0,112.0,118.0,40
67,MIDBL,2014-07-06.csv,118.0,126.0,120.0,126.0,468
73,MIDBL,2014-07-07.csv,126.0,138.0,128.0,138.0,60
74,MIDBL,2014-07-08.csv,138.0,150.0,140.0,150.0,60
67,MIDBL,2014-07-13.csv,150.0,159.0,153.0,159.0,70
67,MIDBL,2014-07-14.csv,159.0,162.0,162.0,162.0,50
72,MIDBL,2014-08-03.csv,162.0,165.0,165.0,165.0,55
69,MIDBL,2014-08-06.csv,165.0,180.0,168.0,180.0,167
68,MIDBL,2014-08-18.csv,180.0,189.0,183.0,189.0,104
60,MIDBL,2014-08-19.csv,189.0,207.0,192.0,207.0,374
60,MIDBL,2014-08-20.csv,207.0,226.0,211.0,226.0,166
56,MIDBL,2014-08-21.csv,226.0,222.0,218.0,218.0,250
62,MIDBL,2014-08-24.csv,218.0,239.0,222.0,235.0,799
54,MIDBL,2014-08-25.csv,235.0,231.0,227.0,227.0,102
56,MIDBL,2014-08-26.csv,227.0,223.0,214.0,214.0,796
62,MIDBL,2014-08-28.csv,214.0,218.0,218.0,218.0,100
62,MIDBL,2014-09-04.csv,218.0,222.0,222.0,222.0,869
63,MIDBL,2014-09-09.csv,222.0,226.0,226.0,226.0,100
67,MIDBL,2014-09-28.csv,226.0,222.0,222.0,222.0,20
55,MIDBL,2014-09-30.csv,222.0,218.0,218.0,218.0,20
53,MIDBL,2014-10-19.csv,218.0,214.0,214.0,214.0,836
55,MIDBL,2014-10-20.csv,214.0,210.0,210.0,210.0,476
56,MIDBL,2014-10-21.csv,210.0,210.0,210.0,210.0,137
62,MIDBL,2014-11-16.csv,210.0,210.0,210.0,210.0,314
58,MIDBL,2014-12-09.csv,210.0,206.0,192.0,192.0,240
58,MIDBL,2014-12-16.csv,192.0,189.0,189.0,189.0,447
53,MIDBL,2014-12-21.csv,189.0,192.0,192.0,192.0,233
67,MIDBL,2015-01-19.csv,167.0,170.0,170.0,170.0,439
70,MIDBL,2015-01-26.csv,170.0,173.0,173.0,173.0,447
63,MIDBL,2015-07-06.csv,173.0,176.0,176.0,176.0,99
63,MIDBL,2015-08-05.csv,176.0,179.0,179.0,179.0,103
108,MIDBL,2015-08-18.csv,179.0,194.0,182.0,194.0,"1,093"
109,MIDBL,2015-08-18.csv,179.0,194.0,182.0,194.0,"1,093"
54,MIDBL,2015-09-24.csv,194.0,204.0,197.0,204.0,949
26,MIDBL,2015-10-25.csv,169.0,172.0,172.0,172.0,100
56,MIDBL,2016-01-11.csv,172.0,181.0,175.0,181.0,949
39,MIDBL,2016-01-28.csv,181.0,187.0,184.0,187.0,20
44,MIDBL,2016-02-02.csv,187.0,193.0,190.0,193.0,"1,416"
50,MIDBL,2016-02-22.csv,193.0,199.0,196.0,199.0,113
50,MIDBL,2016-02-24.csv,199.0,214.0,202.0,214.0,"1,239"
52,MIDBL,2016-03-02.csv,189.0,195.0,195.0,195.0,200
54,MIDBL,2016-03-06.csv,195.0,213.0,198.0,213.0,50
49,MIDBL,2016-03-13.csv,213.0,221.0,217.0,221.0,20
48,MIDBL,2016-03-14.csv,221.0,241.0,225.0,241.0,54
53,MIDBL,2016-03-15.csv,241.0,263.0,245.0,263.0,50
52,MIDBL,2016-03-16.csv,263.0,283.0,268.0,283.0,40
52,MIDBL,2016-03-17.csv,283.0,303.0,288.0,303.0,40
53,MIDBL,2016-03-21.csv,303.0,333.0,309.0,333.0,300
54,MIDBL,2016-03-23.csv,333.0,365.0,339.0,365.0,50
55,MIDBL,2016-03-24.csv,365.0,400.0,372.0,400.0,50
