S.no,Symbol,Date,Open,High,Low,Close,Vol
42,MKDBL,2012-01-01.csv,70.0,72.0,70.0,72.0,"2,810"
35,MKDBL,2012-01-02.csv,72.0,73.0,71.0,73.0,750
39,MKDBL,2012-01-03.csv,73.0,72.0,72.0,72.0,480
39,MKDBL,2012-01-04.csv,72.0,73.0,72.0,72.0,990
31,MKDBL,2012-01-05.csv,72.0,73.0,72.0,72.0,130
31,MKDBL,2012-01-08.csv,72.0,73.0,72.0,72.0,"1,000"
38,MKDBL,2012-01-09.csv,72.0,72.0,71.0,72.0,560
37,MKDBL,2012-01-10.csv,72.0,71.0,69.0,69.0,"1,120"
40,MKDBL,2012-01-11.csv,69.0,71.0,70.0,70.0,310
40,MKDBL,2012-01-12.csv,70.0,71.0,71.0,71.0,"1,000"
30,MKDBL,2012-01-16.csv,71.0,74.0,71.0,72.0,"1,040"
37,MKDBL,2012-01-17.csv,72.0,74.0,71.0,72.0,"1,390"
37,MKDBL,2012-01-18.csv,72.0,72.0,69.0,69.0,"1,130"
27,MKDBL,2012-01-19.csv,69.0,70.0,69.0,70.0,60
47,MKDBL,2012-01-22.csv,70.0,71.0,69.0,70.0,"1,310"
46,MKDBL,2012-01-23.csv,70.0,70.0,67.0,70.0,990
35,MKDBL,2012-01-25.csv,70.0,70.0,68.0,69.0,"1,330"
40,MKDBL,2012-01-26.csv,69.0,69.0,68.0,69.0,"1,900"
43,MKDBL,2012-01-29.csv,69.0,69.0,68.0,69.0,"2,320"
46,MKDBL,2012-01-31.csv,69.0,68.0,67.0,68.0,950
39,MKDBL,2012-02-01.csv,68.0,69.0,68.0,68.0,560
41,MKDBL,2012-02-02.csv,68.0,69.0,68.0,68.0,860
41,MKDBL,2012-02-05.csv,68.0,69.0,67.0,68.0,"2,810"
39,MKDBL,2012-02-06.csv,68.0,69.0,68.0,68.0,940
40,MKDBL,2012-02-07.csv,68.0,70.0,67.0,68.0,"6,560"
37,MKDBL,2012-02-08.csv,68.0,67.0,65.0,65.0,990
30,MKDBL,2012-02-09.csv,65.0,65.0,62.0,64.0,"1,830"
42,MKDBL,2012-02-12.csv,64.0,66.0,64.0,66.0,890
37,MKDBL,2012-02-13.csv,66.0,66.0,63.0,66.0,"1,440"
34,MKDBL,2012-02-14.csv,66.0,68.0,66.0,68.0,330
39,MKDBL,2012-02-15.csv,68.0,67.0,65.0,65.0,730
40,MKDBL,2012-02-16.csv,65.0,69.0,66.0,67.0,"1,110"
38,MKDBL,2012-02-21.csv,67.0,69.0,68.0,68.0,"1,980"
36,MKDBL,2012-02-23.csv,68.0,68.0,67.0,67.0,"1,930"
41,MKDBL,2012-02-26.csv,67.0,65.0,63.0,64.0,"2,740"
43,MKDBL,2012-02-27.csv,64.0,66.0,63.0,63.0,"1,320"
36,MKDBL,2012-02-28.csv,63.0,63.0,61.0,62.0,990
37,MKDBL,2012-02-29.csv,62.0,64.0,63.0,63.0,570
39,MKDBL,2012-03-01.csv,63.0,64.0,63.0,64.0,400
39,MKDBL,2012-03-04.csv,64.0,65.0,65.0,65.0,110
36,MKDBL,2012-03-05.csv,65.0,66.0,62.0,64.0,"1,100"
40,MKDBL,2012-03-06.csv,64.0,65.0,63.0,63.0,"1,170"
40,MKDBL,2012-03-11.csv,63.0,65.0,61.0,61.0,"1,040"
35,MKDBL,2012-03-12.csv,61.0,64.0,60.0,60.0,"1,720"
39,MKDBL,2012-03-13.csv,60.0,65.0,61.0,65.0,"1,090"
34,MKDBL,2012-03-14.csv,65.0,67.0,62.0,63.0,"2,810"
31,MKDBL,2012-03-15.csv,63.0,65.0,62.0,63.0,"1,180"
42,MKDBL,2012-03-18.csv,63.0,62.0,60.0,61.0,820
37,MKDBL,2012-03-19.csv,61.0,65.0,61.0,65.0,860
42,MKDBL,2012-03-20.csv,65.0,65.0,65.0,65.0,120
43,MKDBL,2012-03-21.csv,65.0,65.0,63.0,63.0,500
38,MKDBL,2012-03-25.csv,63.0,65.0,64.0,64.0,480
36,MKDBL,2012-03-26.csv,64.0,63.0,63.0,63.0,20
42,MKDBL,2012-03-27.csv,63.0,64.0,61.0,62.0,640
37,MKDBL,2012-03-28.csv,62.0,65.0,63.0,65.0,810
39,MKDBL,2012-03-29.csv,65.0,64.0,62.0,62.0,370
38,MKDBL,2012-04-01.csv,62.0,63.0,61.0,61.0,790
38,MKDBL,2012-04-02.csv,61.0,62.0,61.0,62.0,620
35,MKDBL,2012-04-03.csv,62.0,63.0,62.0,63.0,150
43,MKDBL,2012-04-04.csv,63.0,63.0,62.0,62.0,40
43,MKDBL,2012-04-05.csv,62.0,62.0,61.0,61.0,500
42,MKDBL,2012-04-08.csv,61.0,62.0,60.0,60.0,250
31,MKDBL,2012-04-09.csv,60.0,62.0,61.0,62.0,530
38,MKDBL,2012-04-10.csv,62.0,63.0,62.0,63.0,500
36,MKDBL,2012-04-11.csv,63.0,64.0,63.0,64.0,220
40,MKDBL,2012-04-12.csv,64.0,69.0,63.0,69.0,"1,330"
42,MKDBL,2012-04-15.csv,69.0,72.0,70.0,71.0,200
28,MKDBL,2012-04-16.csv,71.0,72.0,72.0,72.0,240
36,MKDBL,2012-04-17.csv,72.0,75.0,73.0,73.0,"2,350"
37,MKDBL,2012-04-18.csv,73.0,77.0,72.0,77.0,"1,240"
45,MKDBL,2012-04-19.csv,77.0,78.0,76.0,76.0,"2,800"
40,MKDBL,2012-04-22.csv,76.0,78.0,76.0,76.0,"2,730"
31,MKDBL,2012-04-24.csv,76.0,78.0,77.0,78.0,140
33,MKDBL,2012-04-25.csv,78.0,80.0,79.0,80.0,160
46,MKDBL,2012-04-26.csv,80.0,85.0,81.0,85.0,"1,690"
44,MKDBL,2012-04-29.csv,85.0,90.0,86.0,90.0,"4,930"
30,MKDBL,2012-05-03.csv,90.0,91.0,91.0,91.0,90
24,MKDBL,2012-05-07.csv,91.0,92.0,92.0,92.0,60
32,MKDBL,2012-05-08.csv,92.0,93.0,92.0,93.0,120
43,MKDBL,2012-05-09.csv,93.0,92.0,89.0,89.0,"1,860"
40,MKDBL,2012-05-21.csv,89.0,88.0,88.0,88.0,450
20,MKDBL,2012-05-30.csv,88.0,87.0,86.0,86.0,520
41,MKDBL,2012-06-05.csv,86.0,86.0,86.0,86.0,60
33,MKDBL,2012-06-06.csv,86.0,82.0,81.0,81.0,110
