S.no,Symbol,Date,Open,High,Low,Close,Vol
63,MLBBL,2014-06-26.csv,100.0,376.0,376.0,376.0,123
64,MLBBL,2014-07-03.csv,376.0,386.0,383.0,386.0,49
74,MLBBL,2014-07-17.csv,386.0,386.0,386.0,386.0,20
71,MLBBL,2014-07-23.csv,386.0,393.0,393.0,393.0,10
70,MLBBL,2014-08-06.csv,393.0,400.0,400.0,400.0,10
69,MLBBL,2014-08-18.csv,400.0,416.0,408.0,416.0,20
57,MLBBL,2014-08-21.csv,416.0,441.0,425.0,441.0,30
63,MLBBL,2014-08-24.csv,441.0,457.0,449.0,457.0,20
63,MLBBL,2014-08-28.csv,457.0,466.0,466.0,466.0,38
63,MLBBL,2014-08-31.csv,466.0,484.0,475.0,484.0,20
58,MLBBL,2014-09-07.csv,484.0,508.0,508.0,508.0,10
64,MLBBL,2014-09-09.csv,508.0,518.0,518.0,518.0,10
68,MLBBL,2014-09-10.csv,518.0,569.0,543.0,569.0,50
58,MLBBL,2014-09-11.csv,569.0,597.0,597.0,597.0,10
55,MLBBL,2014-09-14.csv,597.0,638.0,626.0,638.0,20
61,MLBBL,2014-09-15.csv,638.0,663.0,650.0,663.0,20
59,MLBBL,2014-09-16.csv,663.0,729.0,696.0,729.0,40
61,MLBBL,2014-09-17.csv,729.0,801.0,743.0,801.0,412
63,MLBBL,2014-09-18.csv,801.0,881.0,817.0,881.0,183
58,MLBBL,2014-09-21.csv,881.0,969.0,898.0,969.0,681
59,MLBBL,2014-09-23.csv,873.0,856.0,801.0,805.0,959
60,MLBBL,2014-09-24.csv,805.0,821.0,801.0,805.0,262
68,MLBBL,2014-09-28.csv,805.0,805.0,777.0,790.0,288
60,MLBBL,2014-09-29.csv,790.0,848.0,792.0,848.0,246
56,MLBBL,2014-09-30.csv,848.0,864.0,840.0,845.0,519
62,MLBBL,2014-10-12.csv,845.0,877.0,844.0,844.0,203
58,MLBBL,2014-10-13.csv,844.0,860.0,844.0,854.0,266
59,MLBBL,2014-10-14.csv,854.0,840.0,824.0,830.0,130
57,MLBBL,2014-10-15.csv,830.0,841.0,820.0,830.0,113
61,MLBBL,2014-10-16.csv,830.0,855.0,835.0,851.0,273
54,MLBBL,2014-10-19.csv,851.0,860.0,850.0,850.0,124
56,MLBBL,2014-10-20.csv,850.0,850.0,800.0,800.0,278
57,MLBBL,2014-10-21.csv,800.0,816.0,801.0,803.0,208
58,MLBBL,2014-10-22.csv,803.0,805.0,800.0,805.0,94
43,MLBBL,2014-10-26.csv,805.0,885.0,800.0,885.0,89
52,MLBBL,2014-10-27.csv,885.0,918.0,890.0,918.0,123
54,MLBBL,2014-10-28.csv,918.0,905.0,888.0,905.0,264
56,MLBBL,2014-10-30.csv,905.0,887.0,830.0,830.0,188
62,MLBBL,2014-11-02.csv,830.0,846.0,829.0,845.0,252
59,MLBBL,2014-11-03.csv,845.0,845.0,829.0,829.0,60
52,MLBBL,2014-11-04.csv,829.0,830.0,830.0,830.0,40
56,MLBBL,2014-11-05.csv,830.0,830.0,830.0,830.0,10
60,MLBBL,2014-11-06.csv,830.0,860.0,830.0,860.0,126
57,MLBBL,2014-11-10.csv,860.0,845.0,830.0,830.0,119
59,MLBBL,2014-11-11.csv,830.0,835.0,787.0,791.0,66
62,MLBBL,2014-11-12.csv,791.0,820.0,800.0,820.0,324
66,MLBBL,2014-11-13.csv,820.0,825.0,804.0,804.0,171
63,MLBBL,2014-11-16.csv,804.0,820.0,800.0,820.0,93
61,MLBBL,2014-11-17.csv,820.0,820.0,805.0,820.0,51
54,MLBBL,2014-11-18.csv,820.0,804.0,785.0,800.0,272
59,MLBBL,2014-11-19.csv,800.0,832.0,800.0,828.0,329
63,MLBBL,2014-11-20.csv,828.0,860.0,844.0,847.0,637
57,MLBBL,2014-11-23.csv,706.0,720.0,706.0,706.0,120
57,MLBBL,2014-12-03.csv,706.0,706.0,706.0,706.0,10
57,MLBBL,2014-12-08.csv,706.0,710.0,700.0,700.0,29
59,MLBBL,2014-12-09.csv,700.0,700.0,698.0,700.0,113
60,MLBBL,2014-12-15.csv,700.0,705.0,705.0,705.0,20
58,MLBBL,2014-12-17.csv,714.0,718.0,718.0,718.0,10
63,MLBBL,2014-12-18.csv,718.0,720.0,720.0,720.0,10
54,MLBBL,2014-12-21.csv,720.0,734.0,734.0,734.0,10
61,MLBBL,2014-12-22.csv,734.0,777.0,734.0,734.0,972
56,MLBBL,2014-12-23.csv,734.0,737.0,720.0,737.0,227
114,MLBBL,2014-12-28.csv,737.0,748.0,748.0,748.0,197
115,MLBBL,2014-12-28.csv,737.0,748.0,748.0,748.0,197
55,MLBBL,2014-12-29.csv,748.0,805.0,750.0,805.0,"1,294"
56,MLBBL,2014-12-31.csv,805.0,885.0,821.0,885.0,"1,112"
58,MLBBL,2015-01-01.csv,885.0,960.0,901.0,960.0,"1,061"
53,MLBBL,2015-01-04.csv,960.0,1056.0,978.0,1056.0,686
57,MLBBL,2015-01-05.csv,1056.0,1141.0,1057.0,1080.0,593
64,MLBBL,2015-01-06.csv,1080.0,1100.0,1060.0,1060.0,578
60,MLBBL,2015-01-07.csv,1060.0,1040.0,1020.0,1020.0,178
65,MLBBL,2015-01-08.csv,1020.0,1060.0,1020.0,1030.0,401
63,MLBBL,2015-01-11.csv,1030.0,1040.0,1010.0,1040.0,104
60,MLBBL,2015-01-12.csv,1040.0,1020.0,1000.0,1000.0,20
58,MLBBL,2015-01-13.csv,1000.0,990.0,980.0,990.0,70
62,MLBBL,2015-01-14.csv,990.0,971.0,971.0,971.0,93
59,MLBBL,2015-01-18.csv,971.0,974.0,955.0,974.0,20
60,MLBBL,2015-01-20.csv,974.0,980.0,980.0,980.0,10
71,MLBBL,2015-01-26.csv,980.0,965.0,965.0,965.0,30
68,MLBBL,2015-01-27.csv,965.0,946.0,946.0,946.0,90
68,MLBBL,2015-01-28.csv,946.0,946.0,946.0,946.0,63
67,MLBBL,2015-02-02.csv,946.0,960.0,924.0,924.0,190
64,MLBBL,2015-02-03.csv,924.0,933.0,915.0,933.0,95
70,MLBBL,2015-02-04.csv,933.0,970.0,951.0,956.0,115
66,MLBBL,2015-02-05.csv,956.0,975.0,975.0,975.0,63
64,MLBBL,2015-02-09.csv,975.0,975.0,970.0,970.0,160
68,MLBBL,2015-02-10.csv,970.0,1013.0,975.0,1013.0,93
62,MLBBL,2015-02-11.csv,1013.0,1018.0,980.0,1018.0,593
71,MLBBL,2015-02-12.csv,1018.0,998.0,998.0,998.0,141
70,MLBBL,2015-02-15.csv,998.0,979.0,979.0,979.0,63
136,MLBBL,2015-02-16.csv,979.0,1054.0,998.0,1035.0,758
137,MLBBL,2015-02-16.csv,979.0,1054.0,998.0,1035.0,758
68,MLBBL,2015-02-18.csv,1035.0,1025.0,1021.0,1021.0,173
58,MLBBL,2015-02-24.csv,1021.0,1001.0,981.0,995.0,80
60,MLBBL,2015-02-25.csv,995.0,1014.0,990.0,1000.0,192
61,MLBBL,2015-02-26.csv,1000.0,1000.0,1000.0,1000.0,10
63,MLBBL,2015-03-01.csv,1000.0,999.0,980.0,999.0,20
64,MLBBL,2015-03-02.csv,999.0,1030.0,1010.0,1016.0,576
66,MLBBL,2015-03-04.csv,1016.0,1056.0,1036.0,1056.0,102
72,MLBBL,2015-03-09.csv,1056.0,1050.0,1050.0,1050.0,30
73,MLBBL,2015-03-11.csv,1050.0,1055.0,1050.0,1055.0,93
67,MLBBL,2015-03-12.csv,1055.0,1050.0,1050.0,1050.0,97
62,MLBBL,2015-03-15.csv,1050.0,1040.0,1040.0,1040.0,17
67,MLBBL,2015-03-16.csv,1040.0,1020.0,1000.0,1000.0,138
64,MLBBL,2015-03-17.csv,1000.0,1000.0,962.0,1000.0,242
66,MLBBL,2015-03-18.csv,1000.0,1010.0,1009.0,1010.0,96
60,MLBBL,2015-03-19.csv,1010.0,1010.0,996.0,1010.0,75
64,MLBBL,2015-03-23.csv,1010.0,991.0,991.0,991.0,63
57,MLBBL,2015-03-25.csv,991.0,972.0,953.0,953.0,24
60,MLBBL,2015-03-26.csv,953.0,972.0,965.0,972.0,24
58,MLBBL,2015-03-31.csv,970.0,970.0,970.0,970.0,83
61,MLBBL,2015-04-02.csv,970.0,951.0,940.0,940.0,27
60,MLBBL,2015-04-08.csv,961.0,980.0,961.0,961.0,614
65,MLBBL,2015-04-09.csv,961.0,974.0,955.0,974.0,24
53,MLBBL,2015-04-16.csv,974.0,975.0,955.0,956.0,198
53,MLBBL,2015-04-19.csv,956.0,937.0,919.0,920.0,373
51,MLBBL,2015-04-20.csv,920.0,938.0,925.0,938.0,75
56,MLBBL,2015-04-21.csv,938.0,994.0,956.0,980.0,222
51,MLBBL,2015-04-22.csv,980.0,961.0,955.0,960.0,169
58,MLBBL,2015-04-23.csv,960.0,941.0,930.0,930.0,64
35,MLBBL,2015-05-27.csv,930.0,912.0,912.0,912.0,13
38,MLBBL,2015-05-31.csv,912.0,894.0,894.0,894.0,10
37,MLBBL,2015-06-01.csv,894.0,877.0,860.0,860.0,87
51,MLBBL,2015-06-02.csv,860.0,855.0,815.0,855.0,449
54,MLBBL,2015-06-03.csv,855.0,862.0,845.0,862.0,512
53,MLBBL,2015-06-04.csv,862.0,850.0,821.0,821.0,153
53,MLBBL,2015-06-10.csv,821.0,853.0,837.0,840.0,48
50,MLBBL,2015-06-11.csv,840.0,887.0,856.0,887.0,169
53,MLBBL,2015-06-14.csv,887.0,939.0,904.0,939.0,177
53,MLBBL,2015-06-15.csv,939.0,930.0,921.0,930.0,76
60,MLBBL,2015-06-16.csv,930.0,912.0,880.0,890.0,225
54,MLBBL,2015-06-17.csv,890.0,907.0,889.0,889.0,108
54,MLBBL,2015-06-21.csv,885.0,869.0,869.0,869.0,15
53,MLBBL,2015-06-23.csv,869.0,887.0,870.0,887.0,42
54,MLBBL,2015-06-24.csv,887.0,925.0,904.0,925.0,107
61,MLBBL,2015-06-25.csv,925.0,907.0,907.0,907.0,12
54,MLBBL,2015-06-28.csv,907.0,920.0,920.0,920.0,12
58,MLBBL,2015-06-29.csv,920.0,909.0,890.0,890.0,383
60,MLBBL,2015-06-30.csv,890.0,907.0,890.0,907.0,85
58,MLBBL,2015-07-01.csv,907.0,910.0,910.0,910.0,24
58,MLBBL,2015-07-02.csv,910.0,905.0,900.0,905.0,96
58,MLBBL,2015-07-05.csv,905.0,900.0,887.0,887.0,99
64,MLBBL,2015-07-06.csv,887.0,887.0,875.0,887.0,93
59,MLBBL,2015-07-07.csv,887.0,904.0,890.0,904.0,188
57,MLBBL,2015-07-09.csv,904.0,940.0,904.0,940.0,108
56,MLBBL,2015-07-12.csv,940.0,1034.0,958.0,1034.0,338
70,MLBBL,2015-07-13.csv,1034.0,1060.0,1017.0,1040.0,602
64,MLBBL,2015-07-14.csv,1040.0,1030.0,1010.0,1029.0,447
66,MLBBL,2015-07-15.csv,1029.0,1030.0,1029.0,1030.0,209
68,MLBBL,2015-07-16.csv,1030.0,1075.0,1035.0,1075.0,403
67,MLBBL,2015-07-22.csv,1075.0,1161.0,1096.0,1161.0,367
70,MLBBL,2015-07-23.csv,1161.0,1200.0,1144.0,1166.0,243
68,MLBBL,2015-07-27.csv,1166.0,1150.0,1127.0,1127.0,102
64,MLBBL,2015-07-28.csv,1127.0,1105.0,1083.0,1083.0,107
61,MLBBL,2015-07-29.csv,1083.0,1062.0,1062.0,1062.0,12
65,MLBBL,2015-07-30.csv,1062.0,1043.0,1042.0,1042.0,66
51,MLBBL,2015-08-02.csv,1042.0,1060.0,1046.0,1060.0,84
59,MLBBL,2015-08-03.csv,1060.0,1039.0,1020.0,1020.0,24
65,MLBBL,2015-08-04.csv,1020.0,1020.0,982.0,990.0,155
57,MLBBL,2015-08-06.csv,990.0,971.0,933.0,951.0,58
