Date,Symbol,Open,High,Low,Close,Vol
1/9/2017,MLBL,339.0,358.0,306.0,306.0,9577
1/10/2017,MLBL,306.0,300.0,276.0,284.0,70481
1/11/2017,MLBL,284.0,294.0,279.0,284.0,12035
1/12/2017,MLBL,284.0,284.0,280.0,280.0,1685
1/15/2017,MLBL,280.0,285.0,272.0,276.0,5691
1/16/2017,MLBL,276.0,271.0,260.0,260.0,5861
1/17/2017,MLBL,260.0,273.0,255.0,273.0,21098
1/18/2017,MLBL,273.0,270.0,265.0,270.0,15196
1/19/2017,MLBL,270.0,274.0,265.0,269.0,15912
1/22/2017,MLBL,269.0,268.0,260.0,268.0,11336
1/23/2017,MLBL,268.0,265.0,250.0,255.0,21929
1/24/2017,MLBL,255.0,250.0,240.0,240.0,10304
1/25/2017,MLBL,240.0,240.0,217.0,225.0,13164
1/26/2017,MLBL,225.0,224.0,213.0,219.0,7305
1/30/2017,MLBL,219.0,223.0,202.0,202.0,5572
1/31/2017,MLBL,202.0,214.0,204.0,206.0,5814
2/1/2017,MLBL,206.0,226.0,204.0,226.0,6666
2/2/2017,MLBL,226.0,234.0,226.0,227.0,3069
2/5/2017,MLBL,227.0,235.0,223.0,226.0,10333
2/6/2017,MLBL,226.0,235.0,223.0,234.0,16214
2/7/2017,MLBL,234.0,234.0,228.0,232.0,2431
2/8/2017,MLBL,232.0,245.0,231.0,245.0,11204
2/9/2017,MLBL,245.0,251.0,231.0,240.0,24264
2/12/2017,MLBL,240.0,236.0,220.0,221.0,12830
2/13/2017,MLBL,221.0,232.0,201.0,228.0,9848
2/14/2017,MLBL,228.0,232.0,220.0,224.0,10215
2/15/2017,MLBL,224.0,238.0,227.0,236.0,9269
2/16/2017,MLBL,236.0,244.0,230.0,240.0,11339
2/19/2017,MLBL,240.0,242.0,234.0,240.0,7194
2/20/2017,MLBL,240.0,244.0,233.0,235.0,6048
2/21/2017,MLBL,235.0,246.0,235.0,235.0,11285
2/22/2017,MLBL,235.0,252.0,232.0,251.0,23669
2/23/2017,MLBL,251.0,271.0,252.0,260.0,42316
2/26/2017,MLBL,260.0,265.0,250.0,259.0,19321
2/28/2017,MLBL,259.0,261.0,246.0,248.0,310966
3/1/2017,MLBL,248.0,259.0,245.0,250.0,7707
3/2/2017,MLBL,250.0,258.0,250.0,250.0,13144
3/5/2017,MLBL,250.0,261.0,253.0,256.0,7909
3/6/2017,MLBL,256.0,256.0,248.0,249.0,5126
3/7/2017,MLBL,249.0,253.0,251.0,251.0,194
3/9/2017,MLBL,251.0,248.0,248.0,248.0,122
3/13/2017,MLBL,248.0,248.0,238.0,240.0,9135
3/14/2017,MLBL,240.0,240.0,226.0,228.0,19713
8/13/2017,MLBL,219.0,240.0,223.0,240.0,192
8/15/2017,MLBL,240.0,264.0,244.0,264.0,112861
8/16/2017,MLBL,264.0,274.0,250.0,253.0,61187
8/17/2017,MLBL,253.0,258.0,250.0,255.0,18577
8/20/2017,MLBL,255.0,256.0,245.0,249.0,12602
8/21/2017,MLBL,249.0,251.0,241.0,246.0,4225
8/22/2017,MLBL,246.0,255.0,244.0,248.0,8606
8/23/2017,MLBL,248.0,252.0,244.0,245.0,6056
8/24/2017,MLBL,245.0,249.0,245.0,248.0,14584
8/27/2017,MLBL,248.0,252.0,242.0,245.0,25857
8/28/2017,MLBL,245.0,245.0,234.0,238.0,20147
8/30/2017,MLBL,238.0,242.0,229.0,234.0,32015
8/31/2017,MLBL,234.0,238.0,228.0,230.0,32649
9/4/2017,MLBL,230.0,239.0,225.0,230.0,124846
9/6/2017,MLBL,230.0,235.0,226.0,233.0,18204
9/7/2017,MLBL,233.0,233.0,224.0,227.0,26831
9/10/2017,MLBL,227.0,225.0,218.0,220.0,23074
9/11/2017,MLBL,220.0,225.0,218.0,223.0,15650
9/12/2017,MLBL,223.0,225.0,216.0,219.0,10514
9/13/2017,MLBL,219.0,224.0,218.0,218.0,10069
9/14/2017,MLBL,218.0,230.0,215.0,220.0,35355
9/17/2017,MLBL,220.0,227.0,218.0,225.0,11085
9/18/2017,MLBL,225.0,229.0,220.0,228.0,12721
9/20/2017,MLBL,228.0,224.0,220.0,224.0,10210
9/24/2017,MLBL,224.0,225.0,220.0,222.0,8815
9/25/2017,MLBL,222.0,227.0,220.0,223.0,6592
9/26/2017,MLBL,223.0,227.0,222.0,224.0,8594
10/3/2017,MLBL,224.0,226.0,216.0,226.0,6800
10/4/2017,MLBL,226.0,225.0,222.0,222.0,3692
10/8/2017,MLBL,222.0,220.0,215.0,220.0,24867
10/9/2017,MLBL,220.0,219.0,214.0,219.0,15913
10/10/2017,MLBL,219.0,224.0,219.0,220.0,2470
10/11/2017,MLBL,220.0,223.0,218.0,218.0,6723
10/12/2017,MLBL,218.0,224.0,216.0,217.0,10594
10/15/2017,MLBL,217.0,225.0,217.0,220.0,10365
10/16/2017,MLBL,220.0,228.0,220.0,227.0,12111
10/17/2017,MLBL,227.0,229.0,219.0,224.0,10538
10/18/2017,MLBL,224.0,228.0,222.0,227.0,9833
10/22/2017,MLBL,227.0,231.0,225.0,227.0,8875
10/23/2017,MLBL,227.0,229.0,223.0,226.0,9180
10/24/2017,MLBL,226.0,227.0,223.0,224.0,7539
10/25/2017,MLBL,224.0,225.0,221.0,223.0,2109
10/29/2017,MLBL,223.0,227.0,223.0,224.0,4374
10/30/2017,MLBL,224.0,226.0,221.0,223.0,15472
10/31/2017,MLBL,223.0,226.0,221.0,222.0,5081
11/1/2017,MLBL,222.0,225.0,221.0,221.0,2697
11/2/2017,MLBL,221.0,224.0,221.0,223.0,2245
11/5/2017,MLBL,223.0,225.0,219.0,219.0,5728
11/6/2017,MLBL,219.0,223.0,217.0,218.0,11221
11/7/2017,MLBL,218.0,223.0,218.0,220.0,5953
11/8/2017,MLBL,220.0,218.0,214.0,216.0,4171
11/9/2017,MLBL,216.0,212.0,204.0,209.0,9096
11/12/2017,MLBL,209.0,217.0,209.0,217.0,5340
11/13/2017,MLBL,217.0,222.0,217.0,220.0,3594
11/14/2017,MLBL,220.0,220.0,217.0,220.0,5617
11/15/2017,MLBL,220.0,220.0,215.0,216.0,6802
11/16/2017,MLBL,216.0,213.0,208.0,211.0,1735
11/19/2017,MLBL,211.0,212.0,209.0,210.0,1755
11/20/2017,MLBL,210.0,209.0,205.0,205.0,9937
11/21/2017,MLBL,205.0,208.0,202.0,204.0,2745
11/22/2017,MLBL,204.0,208.0,205.0,207.0,9276
11/23/2017,MLBL,207.0,214.0,204.0,206.0,4963
11/26/2017,MLBL,206.0,213.0,203.0,212.0,6835
11/27/2017,MLBL,212.0,214.0,208.0,214.0,1748
11/28/2017,MLBL,214.0,213.0,209.0,212.0,3325
11/29/2017,MLBL,212.0,218.0,210.0,215.0,3007
11/30/2017,MLBL,215.0,218.0,212.0,213.0,4579
12/4/2017,MLBL,213.0,211.0,208.0,211.0,730
12/5/2017,MLBL,211.0,212.0,208.0,208.0,2384
12/6/2017,MLBL,208.0,212.0,208.0,208.0,8391
12/10/2017,MLBL,208.0,214.0,210.0,210.0,550
12/11/2017,MLBL,210.0,218.0,206.0,214.0,4518
12/12/2017,MLBL,214.0,212.0,210.0,212.0,950
12/13/2017,MLBL,212.0,212.0,208.0,211.0,2909
12/14/2017,MLBL,211.0,210.0,207.0,207.0,1720
12/17/2017,MLBL,207.0,215.0,208.0,210.0,4564
12/18/2017,MLBL,210.0,210.0,207.0,210.0,8818
12/19/2017,MLBL,210.0,213.0,206.0,206.0,4395
12/20/2017,MLBL,206.0,210.0,206.0,209.0,3428
12/21/2017,MLBL,209.0,206.0,202.0,206.0,2483
