S.no,Symbol,Date,Open,High,Low,Close,Vol
77,MLBLPO,2017-11-20.csv,121.0,121.0,121.0,121.0,"25,000"
76,MLBLPO,2017-11-21.csv,121.0,121.0,121.0,121.0,"29,864"
76,MLBLPO,2017-11-27.csv,121.0,121.0,121.0,121.0,"82,126"
78,MLBLPO,2017-11-28.csv,121.0,121.0,121.0,121.0,"8,959"
71,MLBLPO,2017-12-14.csv,121.0,120.0,120.0,120.0,"26,057"
72,MLBLPO,2018-01-23.csv,120.0,120.0,120.0,120.0,"15,000"
73,MLBLPO,2018-02-22.csv,120.0,120.0,120.0,120.0,"33,988"
83,MLBLPO,2018-04-08.csv,121.0,121.0,121.0,121.0,"10,386"
78,MLBLPO,2018-09-27.csv,121.0,121.0,121.0,121.0,"165,607"
65,MLBLPO,2018-11-28.csv,121.0,121.0,121.0,121.0,"9,838"
70,MLBLPO,2018-12-04.csv,121.0,121.0,121.0,121.0,"6,309"
73,MLBLPO,2018-12-10.csv,121.0,121.0,121.0,121.0,"20,000"
77,MLBLPO,2019-04-04.csv,115.0,115.0,115.0,115.0,"65,211"
78,MLBLPO,2019-04-24.csv,115.0,115.0,115.0,115.0,"33,798"
81,MLBLPO,2019-06-18.csv,116.0,116.0,116.0,116.0,"37,330"
77,MLBLPO,2019-07-08.csv,116.0,116.0,116.0,116.0,"20,000"
77,MLBLPO,2019-07-11.csv,116.0,116.0,116.0,116.0,"20,952"
74,MLBLPO,2019-07-29.csv,116.0,116.0,116.0,116.0,"7,086"
75,MLBLPO,2019-09-16.csv,116.0,116.0,116.0,116.0,"40,316"
82,MLBLPO,2020-03-05.csv,125.0,125.0,125.0,125.0,"95,000"
78,MLBLPO,2020-03-19.csv,118.0,118.0,118.0,118.0,"33,502"
