S.no,Symbol,Date,Open,High,Low,Close,Vol
59,MMDBL,2014-09-07.csv,0.0,250.0,250.0,250.0,10
59,MMDBL,2014-09-11.csv,250.0,275.0,255.0,275.0,130
62,MMDBL,2014-09-15.csv,275.0,302.0,280.0,302.0,290
60,MMDBL,2014-09-16.csv,302.0,308.0,296.0,296.0,40
62,MMDBL,2014-09-17.csv,296.0,300.0,290.0,291.0,96
64,MMDBL,2014-09-18.csv,291.0,300.0,291.0,295.0,270
59,MMDBL,2014-09-21.csv,295.0,291.0,271.0,271.0,564
60,MMDBL,2014-09-23.csv,273.0,275.0,270.0,270.0,253
61,MMDBL,2014-09-24.csv,270.0,275.0,268.0,275.0,120
69,MMDBL,2014-09-28.csv,275.0,278.0,278.0,278.0,10
61,MMDBL,2014-09-29.csv,278.0,273.0,273.0,273.0,60
57,MMDBL,2014-09-30.csv,273.0,286.0,278.0,286.0,83
63,MMDBL,2014-10-12.csv,288.0,284.0,283.0,284.0,65
59,MMDBL,2014-10-13.csv,284.0,285.0,280.0,285.0,30
60,MMDBL,2014-10-14.csv,285.0,313.0,284.0,313.0,"2,544"
58,MMDBL,2014-10-15.csv,313.0,335.0,307.0,307.0,552
62,MMDBL,2014-10-16.csv,307.0,321.0,301.0,316.0,530
55,MMDBL,2014-10-19.csv,316.0,347.0,320.0,347.0,220
57,MMDBL,2014-10-20.csv,347.0,351.0,340.0,351.0,235
58,MMDBL,2014-10-21.csv,351.0,375.0,358.0,375.0,419
59,MMDBL,2014-10-22.csv,375.0,397.0,382.0,397.0,315
44,MMDBL,2014-10-26.csv,397.0,410.0,400.0,400.0,360
53,MMDBL,2014-10-27.csv,400.0,405.0,398.0,399.0,142
55,MMDBL,2014-10-28.csv,399.0,438.0,390.0,438.0,369
57,MMDBL,2014-10-30.csv,438.0,430.0,417.0,417.0,296
63,MMDBL,2014-11-02.csv,417.0,422.0,420.0,422.0,40
60,MMDBL,2014-11-03.csv,422.0,425.0,406.0,425.0,326
57,MMDBL,2014-11-05.csv,425.0,430.0,426.0,426.0,196
61,MMDBL,2014-11-06.csv,426.0,428.0,418.0,420.0,206
56,MMDBL,2014-11-09.csv,420.0,412.0,397.0,410.0,"2,120"
58,MMDBL,2014-11-10.csv,410.0,442.0,418.0,442.0,70
60,MMDBL,2014-11-11.csv,442.0,458.0,434.0,458.0,259
67,MMDBL,2014-11-13.csv,458.0,470.0,449.0,470.0,134
64,MMDBL,2014-11-16.csv,470.0,475.0,432.0,432.0,953
62,MMDBL,2014-11-17.csv,432.0,424.0,391.0,398.0,"1,046"
55,MMDBL,2014-11-18.csv,398.0,406.0,395.0,406.0,318
60,MMDBL,2014-11-19.csv,406.0,422.0,400.0,422.0,199
64,MMDBL,2014-11-20.csv,422.0,422.0,416.0,418.0,951
61,MMDBL,2014-11-24.csv,418.0,410.0,410.0,410.0,10
61,MMDBL,2014-11-25.csv,410.0,418.0,410.0,418.0,30
56,MMDBL,2014-11-30.csv,418.0,440.0,426.0,440.0,178
56,MMDBL,2014-12-01.csv,440.0,465.0,440.0,465.0,130
53,MMDBL,2014-12-07.csv,465.0,456.0,447.0,447.0,33
58,MMDBL,2014-12-08.csv,447.0,439.0,423.0,423.0,40
60,MMDBL,2014-12-09.csv,423.0,415.0,401.0,401.0,115
56,MMDBL,2014-12-10.csv,401.0,409.0,401.0,402.0,132
58,MMDBL,2014-12-11.csv,402.0,410.0,410.0,410.0,10
57,MMDBL,2014-12-14.csv,410.0,402.0,402.0,402.0,30
59,MMDBL,2014-12-17.csv,402.0,400.0,400.0,400.0,81
64,MMDBL,2014-12-18.csv,400.0,400.0,392.0,392.0,101
57,MMDBL,2014-12-23.csv,392.0,399.0,385.0,399.0,471
60,MMDBL,2014-12-24.csv,399.0,402.0,388.0,402.0,103
116,MMDBL,2014-12-28.csv,402.0,400.0,394.0,400.0,150
117,MMDBL,2014-12-28.csv,402.0,400.0,394.0,400.0,150
56,MMDBL,2014-12-29.csv,400.0,400.0,390.0,395.0,240
57,MMDBL,2014-12-31.csv,395.0,395.0,388.0,395.0,53
59,MMDBL,2015-01-01.csv,395.0,426.0,402.0,426.0,93
54,MMDBL,2015-01-04.csv,426.0,452.0,420.0,445.0,694
58,MMDBL,2015-01-05.csv,445.0,478.0,453.0,469.0,259
65,MMDBL,2015-01-06.csv,469.0,460.0,445.0,445.0,93
61,MMDBL,2015-01-07.csv,445.0,455.0,450.0,455.0,284
66,MMDBL,2015-01-08.csv,455.0,485.0,460.0,485.0,409
64,MMDBL,2015-01-11.csv,485.0,503.0,485.0,503.0,286
61,MMDBL,2015-01-12.csv,503.0,510.0,500.0,500.0,200
59,MMDBL,2015-01-13.csv,500.0,510.0,505.0,510.0,560
63,MMDBL,2015-01-14.csv,510.0,520.0,510.0,520.0,89
60,MMDBL,2015-01-18.csv,520.0,511.0,511.0,511.0,40
68,MMDBL,2015-01-19.csv,511.0,560.0,521.0,549.0,168
61,MMDBL,2015-01-20.csv,549.0,561.0,545.0,561.0,89
57,MMDBL,2015-01-22.csv,561.0,612.0,550.0,612.0,256
66,MMDBL,2015-01-25.csv,612.0,671.0,622.0,671.0,744
72,MMDBL,2015-01-26.csv,671.0,684.0,684.0,684.0,85
69,MMDBL,2015-01-28.csv,684.0,671.0,671.0,671.0,10
65,MMDBL,2015-01-29.csv,671.0,658.0,621.0,621.0,40
70,MMDBL,2015-02-01.csv,621.0,609.0,575.0,575.0,50
71,MMDBL,2015-02-04.csv,575.0,564.0,540.0,561.0,209
69,MMDBL,2015-02-08.csv,561.0,550.0,510.0,533.0,517
65,MMDBL,2015-02-09.csv,533.0,586.0,540.0,569.0,"2,121"
69,MMDBL,2015-02-10.csv,569.0,625.0,580.0,610.0,456
63,MMDBL,2015-02-11.csv,610.0,671.0,600.0,671.0,"2,414"
72,MMDBL,2015-02-12.csv,671.0,724.0,684.0,690.0,396
71,MMDBL,2015-02-15.csv,690.0,721.0,701.0,710.0,"4,486"
138,MMDBL,2015-02-16.csv,710.0,724.0,686.0,686.0,909
139,MMDBL,2015-02-16.csv,710.0,724.0,686.0,686.0,909
69,MMDBL,2015-02-18.csv,686.0,712.0,690.0,690.0,251
62,MMDBL,2015-02-22.csv,690.0,701.0,695.0,701.0,670
59,MMDBL,2015-02-24.csv,662.0,662.0,626.0,626.0,70
61,MMDBL,2015-02-25.csv,626.0,614.0,603.0,608.0,53
62,MMDBL,2015-02-26.csv,608.0,648.0,612.0,648.0,60
64,MMDBL,2015-03-01.csv,648.0,637.0,637.0,637.0,20
65,MMDBL,2015-03-02.csv,637.0,626.0,626.0,626.0,20
69,MMDBL,2015-03-03.csv,626.0,630.0,615.0,630.0,60
67,MMDBL,2015-03-04.csv,630.0,661.0,642.0,661.0,133
73,MMDBL,2015-03-09.csv,661.0,727.0,674.0,727.0,"1,006"
