Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,MMFDB,2307.0,2300.0,2255.0,2280.0,1490
1/4/2016,MMFDB,2280.0,2310.0,2150.0,2225.0,840
1/5/2016,MMFDB,2225.0,2250.0,2150.0,2230.0,1100
1/6/2016,MMFDB,2230.0,2225.0,2105.0,2205.0,940
1/7/2016,MMFDB,2205.0,2345.0,2220.0,2320.0,1360
1/10/2016,MMFDB,2320.0,2351.0,2281.0,2325.0,1090
1/11/2016,MMFDB,2325.0,2465.0,2300.0,2420.0,1410
1/12/2016,MMFDB,2420.0,2504.0,2400.0,2470.0,1610
1/12/2016,MMFDB,2420.0,2504.0,2400.0,2470.0,1610
1/13/2016,MMFDB,2470.0,2485.0,2423.0,2428.0,1270
1/14/2016,MMFDB,2428.0,2530.0,2400.0,2503.0,2140
1/26/2016,MMFDB,2503.0,2553.0,2553.0,2553.0,10
1/28/2016,MMFDB,2553.0,2604.0,2604.0,2604.0,10
1/31/2016,MMFDB,2604.0,2864.0,2656.0,2864.0,70
2/1/2016,MMFDB,2864.0,3150.0,2920.0,3150.0,210
2/2/2016,MMFDB,3150.0,3213.0,3213.0,3213.0,20
2/3/2016,MMFDB,3213.0,3150.0,3150.0,3150.0,20
2/4/2016,MMFDB,3150.0,3100.0,3100.0,3100.0,100
2/8/2016,MMFDB,3100.0,3038.0,3038.0,3038.0,10
2/11/2016,MMFDB,3038.0,2978.0,2978.0,2978.0,10
2/17/2016,MMFDB,2978.0,2919.0,2681.0,2691.0,1010
2/18/2016,MMFDB,2691.0,2704.0,2630.0,2704.0,100
2/21/2016,MMFDB,2704.0,2700.0,2650.0,2650.0,80
2/22/2016,MMFDB,2650.0,2650.0,2640.0,2640.0,20
2/23/2016,MMFDB,2640.0,2700.0,2640.0,2700.0,620
2/25/2016,MMFDB,2700.0,2650.0,2650.0,2650.0,20
2/28/2016,MMFDB,2650.0,2600.0,2600.0,2600.0,10
2/29/2016,MMFDB,2600.0,2759.0,2650.0,2650.0,270
3/1/2016,MMFDB,2650.0,2650.0,2650.0,2650.0,20
3/2/2016,MMFDB,2650.0,2703.0,2650.0,2700.0,50
3/3/2016,MMFDB,2700.0,2760.0,2700.0,2760.0,60
3/6/2016,MMFDB,2760.0,2750.0,2750.0,2750.0,60
3/10/2016,MMFDB,2750.0,2861.0,2760.0,2850.0,150
3/14/2016,MMFDB,2850.0,2850.0,2825.0,2850.0,50
3/15/2016,MMFDB,2850.0,2794.0,2705.0,2705.0,230
3/16/2016,MMFDB,2705.0,2652.0,2610.0,2610.0,130
3/17/2016,MMFDB,2610.0,2640.0,2580.0,2600.0,360
3/20/2016,MMFDB,2600.0,2652.0,2600.0,2652.0,70
3/21/2016,MMFDB,2652.0,2652.0,2652.0,2652.0,10
3/23/2016,MMFDB,2652.0,2640.0,2549.0,2599.0,620
3/24/2016,MMFDB,2599.0,2650.0,2600.0,2600.0,90
3/28/2016,MMFDB,2600.0,2575.0,2551.0,2555.0,180
3/29/2016,MMFDB,2555.0,2560.0,2550.0,2560.0,90
3/30/2016,MMFDB,2560.0,2560.0,2510.0,2560.0,30
3/31/2016,MMFDB,2560.0,2550.0,2511.0,2550.0,30
4/3/2016,MMFDB,2550.0,2500.0,2500.0,2500.0,30
4/4/2016,MMFDB,2500.0,2520.0,2499.0,2520.0,90
4/5/2016,MMFDB,2520.0,2505.0,2500.0,2500.0,340
4/6/2016,MMFDB,2500.0,2500.0,2500.0,2500.0,200
