Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,MNBBL,675.0,720.0,687.0,720.0,12411
1/4/2016,MNBBL,720.0,720.0,690.0,701.0,4694
1/5/2016,MNBBL,701.0,701.0,691.0,691.0,1478
1/6/2016,MNBBL,691.0,713.0,695.0,706.0,2242
1/7/2016,MNBBL,706.0,721.0,702.0,710.0,2018
1/10/2016,MNBBL,710.0,705.0,700.0,700.0,2880
1/11/2016,MNBBL,700.0,705.0,700.0,705.0,522
1/12/2016,MNBBL,705.0,710.0,695.0,710.0,5093
1/12/2016,MNBBL,705.0,710.0,695.0,710.0,5093
1/13/2016,MNBBL,710.0,715.0,708.0,714.0,4848
1/14/2016,MNBBL,714.0,739.0,726.0,726.0,2477
1/17/2016,MNBBL,726.0,798.0,740.0,798.0,13567
1/18/2016,MNBBL,798.0,845.0,800.0,819.0,17597
1/19/2016,MNBBL,819.0,825.0,795.0,809.0,4077
1/20/2016,MNBBL,809.0,827.0,800.0,825.0,9455
1/21/2016,MNBBL,825.0,830.0,816.0,816.0,3365
1/24/2016,MNBBL,816.0,824.0,810.0,824.0,6523
1/25/2016,MNBBL,824.0,860.0,811.0,830.0,9366
1/26/2016,MNBBL,830.0,846.0,830.0,836.0,5862
1/27/2016,MNBBL,836.0,840.0,830.0,835.0,3120
1/28/2016,MNBBL,835.0,830.0,820.0,825.0,2952
1/31/2016,MNBBL,825.0,832.0,821.0,832.0,3859
2/1/2016,MNBBL,832.0,838.0,825.0,835.0,4374
2/2/2016,MNBBL,835.0,836.0,825.0,830.0,3403
2/3/2016,MNBBL,830.0,835.0,825.0,834.0,4254
2/4/2016,MNBBL,834.0,839.0,831.0,831.0,5394
2/7/2016,MNBBL,831.0,836.0,820.0,828.0,3334
2/8/2016,MNBBL,828.0,845.0,829.0,837.0,5504
2/11/2016,MNBBL,837.0,836.0,824.0,829.0,4225
2/14/2016,MNBBL,829.0,824.0,820.0,821.0,416
2/15/2016,MNBBL,821.0,827.0,820.0,827.0,2934
2/16/2016,MNBBL,827.0,832.0,822.0,828.0,3927
2/17/2016,MNBBL,828.0,835.0,830.0,830.0,4233
2/18/2016,MNBBL,830.0,825.0,820.0,825.0,770
2/21/2016,MNBBL,825.0,822.0,815.0,818.0,2290
2/22/2016,MNBBL,818.0,826.0,824.0,826.0,2936
2/23/2016,MNBBL,826.0,825.0,812.0,820.0,2771
2/24/2016,MNBBL,820.0,820.0,818.0,820.0,3777
2/25/2016,MNBBL,820.0,825.0,814.0,821.0,2959
2/28/2016,MNBBL,821.0,835.0,825.0,830.0,2918
2/29/2016,MNBBL,830.0,847.0,827.0,831.0,10193
3/1/2016,MNBBL,831.0,900.0,826.0,880.0,9222
3/2/2016,MNBBL,880.0,900.0,871.0,875.0,8809
3/3/2016,MNBBL,875.0,885.0,867.0,868.0,8231
3/6/2016,MNBBL,868.0,882.0,856.0,880.0,4150
3/10/2016,MNBBL,880.0,890.0,872.0,880.0,7371
3/13/2016,MNBBL,880.0,870.0,860.0,860.0,3024
3/14/2016,MNBBL,860.0,888.0,850.0,874.0,2906
3/15/2016,MNBBL,874.0,875.0,867.0,867.0,1358
3/16/2016,MNBBL,867.0,868.0,866.0,866.0,1074
3/17/2016,MNBBL,866.0,890.0,868.0,875.0,5779
3/20/2016,MNBBL,875.0,885.0,862.0,879.0,6902
3/21/2016,MNBBL,879.0,880.0,862.0,880.0,8096
3/23/2016,MNBBL,880.0,880.0,855.0,872.0,991
3/24/2016,MNBBL,872.0,875.0,868.0,875.0,8122
3/27/2016,MNBBL,875.0,890.0,870.0,890.0,13051
3/28/2016,MNBBL,890.0,885.0,875.0,882.0,4620
3/29/2016,MNBBL,882.0,885.0,880.0,885.0,7431
3/30/2016,MNBBL,885.0,890.0,880.0,890.0,4204
3/31/2016,MNBBL,890.0,889.0,882.0,882.0,3630
4/3/2016,MNBBL,882.0,875.0,853.0,869.0,2183
4/4/2016,MNBBL,869.0,880.0,865.0,869.0,5065
4/5/2016,MNBBL,869.0,880.0,868.0,872.0,7242
4/6/2016,MNBBL,872.0,880.0,876.0,880.0,1442
4/10/2016,MNBBL,880.0,879.0,873.0,875.0,2397
4/11/2016,MNBBL,875.0,882.0,870.0,880.0,8289
4/12/2016,MNBBL,880.0,890.0,881.0,888.0,3213
4/14/2016,MNBBL,888.0,920.0,895.0,912.0,7371
4/17/2016,MNBBL,912.0,993.0,920.0,993.0,7812
4/18/2016,MNBBL,993.0,1011.0,970.0,989.0,5614
4/19/2016,MNBBL,989.0,975.0,962.0,974.0,2185
4/20/2016,MNBBL,974.0,985.0,974.0,978.0,4230
4/21/2016,MNBBL,978.0,980.0,970.0,971.0,5975
4/24/2016,MNBBL,971.0,980.0,970.0,980.0,2741
4/25/2016,MNBBL,980.0,1048.0,989.0,1014.0,22926
4/26/2016,MNBBL,1014.0,1020.0,980.0,980.0,7084
4/27/2016,MNBBL,980.0,999.0,980.0,999.0,5981
4/28/2016,MNBBL,999.0,1010.0,992.0,996.0,5530
5/2/2016,MNBBL,996.0,997.0,980.0,988.0,7618
5/3/2016,MNBBL,988.0,1000.0,975.0,980.0,11580
5/4/2016,MNBBL,980.0,981.0,968.0,979.0,9061
5/5/2016,MNBBL,979.0,980.0,970.0,972.0,1569
5/8/2016,MNBBL,972.0,980.0,971.0,975.0,6035
5/9/2016,MNBBL,975.0,989.0,981.0,981.0,8568
5/10/2016,MNBBL,981.0,995.0,962.0,980.0,10374
5/11/2016,MNBBL,980.0,1015.0,980.0,1007.0,14692
5/12/2016,MNBBL,1007.0,1008.0,1001.0,1001.0,5916
5/15/2016,MNBBL,1001.0,1030.0,1002.0,1010.0,8687
5/16/2016,MNBBL,1010.0,1020.0,991.0,1015.0,7476
5/17/2016,MNBBL,1015.0,1090.0,999.0,1090.0,11669
5/18/2016,MNBBL,1090.0,1090.0,1065.0,1070.0,5645
5/19/2016,MNBBL,1070.0,1134.0,1080.0,1109.0,10889
5/22/2016,MNBBL,1109.0,1134.0,1089.0,1117.0,6488
5/23/2016,MNBBL,1117.0,1140.0,1088.0,1135.0,15413
5/24/2016,MNBBL,1135.0,1224.0,1116.0,1199.0,7455
5/25/2016,MNBBL,1199.0,1205.0,1160.0,1173.0,12678
5/26/2016,MNBBL,1173.0,1190.0,1142.0,1190.0,15153
5/29/2016,MNBBL,1190.0,1191.0,1160.0,1169.0,6633
5/30/2016,MNBBL,1169.0,1170.0,1146.0,1157.0,7558
