S.no,Symbol,Date,Open,High,Low,Close,Vol
53,MNBBLP,2015-04-22.csv,285.0,285.0,285.0,285.0,"85,114"
32,MNBBLP,2015-05-28.csv,285.0,285.0,285.0,285.0,"27,827"
55,MNBBLP,2015-06-15.csv,285.0,285.0,285.0,285.0,"11,867"
62,MNBBLP,2015-06-16.csv,285.0,280.0,280.0,280.0,"9,416"
67,MNBBLP,2015-07-08.csv,280.0,280.0,280.0,280.0,"7,847"
67,MNBBLP,2015-07-14.csv,280.0,280.0,280.0,280.0,"20,000"
55,MNBBLP,2015-09-29.csv,280.0,280.0,280.0,280.0,"9,912"
58,MNBBLP,2015-09-30.csv,280.0,280.0,280.0,280.0,"60,000"
52,MNBBLP,2015-10-05.csv,280.0,280.0,280.0,280.0,"23,500"
54,MNBBLP,2015-10-15.csv,280.0,280.0,280.0,280.0,"14,453"
51,MNBBLP,2015-11-18.csv,280.0,280.0,280.0,280.0,"6,300"
49,MNBBLP,2015-11-26.csv,280.0,280.0,280.0,280.0,"3,200"
58,MNBBLP,2015-12-20.csv,280.0,285.0,285.0,285.0,"2,388"
54,MNBBLP,2015-12-27.csv,285.0,285.0,285.0,285.0,"6,126"
56,MNBBLP,2015-12-28.csv,285.0,285.0,285.0,285.0,"1,350"
52,MNBBLP,2016-05-04.csv,500.0,490.0,490.0,490.0,"28,100"
57,MNBBLP,2016-05-12.csv,490.0,481.0,481.0,481.0,"9,000"
57,MNBBLP,2016-05-18.csv,481.0,481.0,481.0,481.0,"10,000"
57,MNBBLP,2016-05-30.csv,481.0,481.0,481.0,481.0,"4,000"
60,MNBBLP,2016-08-15.csv,481.0,481.0,481.0,481.0,"16,972"
63,MNBBLP,2016-08-17.csv,481.0,490.0,490.0,490.0,"32,029"
61,MNBBLP,2016-08-21.csv,490.0,490.0,490.0,490.0,"14,630"
63,MNBBLP,2016-09-05.csv,490.0,499.0,499.0,499.0,"20,000"
63,MNBBLP,2016-09-11.csv,499.0,500.0,500.0,500.0,"2,055"
63,MNBBLP,2016-09-14.csv,500.0,500.0,500.0,500.0,"3,632"
55,MNBBLP,2016-11-03.csv,500.0,500.0,500.0,500.0,"13,304"
56,MNBBLP,2016-11-07.csv,500.0,500.0,500.0,500.0,"15,000"
60,MNBBLP,2016-11-08.csv,500.0,500.0,500.0,500.0,"27,462"
59,MNBBLP,2017-02-08.csv,500.0,500.0,500.0,500.0,"1,500"
62,MNBBLP,2017-04-16.csv,500.0,500.0,500.0,500.0,"5,000"
67,MNBBLP,2017-05-18.csv,500.0,500.0,500.0,500.0,"10,424"
70,MNBBLP,2017-06-18.csv,500.0,500.0,500.0,500.0,"5,673"
62,MNBBLP,2017-06-19.csv,500.0,500.0,500.0,500.0,"22,900"
72,MNBBLP,2017-06-21.csv,500.0,490.0,490.0,490.0,"10,000"
69,MNBBLP,2017-06-27.csv,490.0,490.0,490.0,490.0,560
66,MNBBLP,2017-06-28.csv,490.0,490.0,490.0,490.0,"9,313"
68,MNBBLP,2017-07-02.csv,490.0,490.0,490.0,490.0,"40,000"
68,MNBBLP,2017-07-12.csv,490.0,481.0,481.0,481.0,"77,200"
74,MNBBLP,2017-07-17.csv,481.0,472.0,472.0,472.0,"28,322"
72,MNBBLP,2017-07-26.csv,472.0,463.0,463.0,463.0,"5,520"
78,MNBBLP,2017-08-03.csv,463.0,463.0,463.0,463.0,"4,000"
76,MNBBLP,2017-08-15.csv,463.0,463.0,463.0,463.0,"7,000"
77,MNBBLP,2017-10-31.csv,463.0,463.0,463.0,463.0,"29,000"
77,MNBBLP,2017-11-01.csv,463.0,463.0,463.0,463.0,"36,799"
79,MNBBLP,2017-11-22.csv,463.0,463.0,463.0,463.0,"5,000"
77,MNBBLP,2017-11-23.csv,463.0,463.0,463.0,463.0,"9,000"
80,MNBBLP,2017-12-05.csv,463.0,463.0,463.0,463.0,"8,500"
77,MNBBLP,2018-03-29.csv,217.0,217.0,217.0,217.0,"5,000"
70,MNBBLP,2018-04-02.csv,217.0,217.0,217.0,217.0,"1,000"
79,MNBBLP,2018-04-17.csv,217.0,217.0,217.0,217.0,"3,000"
81,MNBBLP,2018-04-19.csv,217.0,217.0,217.0,217.0,"55,000"
81,MNBBLP,2018-06-11.csv,217.0,217.0,217.0,217.0,"61,825"
77,MNBBLP,2018-06-14.csv,217.0,217.0,217.0,217.0,"34,000"
73,MNBBLP,2018-07-03.csv,217.0,217.0,217.0,217.0,"4,500"
79,MNBBLP,2018-07-09.csv,217.0,217.0,217.0,217.0,"5,000"
66,MNBBLP,2018-08-26.csv,217.0,217.0,217.0,217.0,"25,200"
71,MNBBLP,2018-08-28.csv,215.0,215.0,215.0,215.0,"2,500"
77,MNBBLP,2018-09-03.csv,213.0,213.0,213.0,213.0,"30,000"
77,MNBBLP,2018-09-10.csv,209.0,209.0,209.0,209.0,"1,500"
78,MNBBLP,2018-09-12.csv,211.0,211.0,211.0,211.0,"6,000"
81,MNBBLP,2018-09-13.csv,211.0,211.0,211.0,211.0,"20,000"
81,MNBBLP,2018-10-01.csv,211.0,211.0,211.0,211.0,"4,000"
76,MNBBLP,2018-10-31.csv,220.0,220.0,220.0,220.0,"13,650"
70,MNBBLP,2018-12-02.csv,220.0,220.0,220.0,220.0,"3,360"
71,MNBBLP,2018-12-03.csv,220.0,220.0,220.0,220.0,"13,400"
76,MNBBLP,2018-12-17.csv,220.0,220.0,220.0,220.0,"20,000"
75,MNBBLP,2018-12-18.csv,220.0,220.0,220.0,220.0,"2,864"
76,MNBBLP,2019-02-14.csv,216.0,216.0,216.0,216.0,"50,000"
80,MNBBLP,2019-03-17.csv,212.0,212.0,212.0,212.0,"15,000"
76,MNBBLP,2019-03-24.csv,212.0,212.0,212.0,212.0,"7,500"
80,MNBBLP,2019-03-25.csv,208.0,208.0,208.0,208.0,"100,000"
76,MNBBLP,2019-03-27.csv,208.0,208.0,208.0,208.0,"26,000"
78,MNBBLP,2019-04-02.csv,204.0,204.0,204.0,204.0,"40,000"
75,MNBBLP,2019-04-10.csv,204.0,204.0,204.0,204.0,"50,000"
83,MNBBLP,2019-04-25.csv,204.0,204.0,204.0,204.0,"2,553"
81,MNBBLP,2019-05-21.csv,204.0,204.0,204.0,204.0,"14,190"
84,MNBBLP,2019-05-29.csv,200.0,200.0,200.0,200.0,"15,540"
80,MNBBLP,2019-06-25.csv,196.0,196.0,193.0,193.0,"70,000"
76,MNBBLP,2019-07-01.csv,190.0,190.0,190.0,190.0,"30,000"
77,MNBBLP,2019-07-15.csv,190.0,190.0,190.0,190.0,"18,000"
76,MNBBLP,2019-07-21.csv,187.0,187.0,187.0,187.0,"30,966"
78,MNBBLP,2019-07-23.csv,187.0,187.0,187.0,187.0,"4,209"
78,MNBBLP,2019-07-24.csv,187.0,187.0,187.0,187.0,"20,000"
79,MNBBLP,2019-07-30.csv,187.0,187.0,187.0,187.0,"4,730"
76,MNBBLP,2019-08-04.csv,187.0,187.0,187.0,187.0,"10,000"
75,MNBBLP,2019-08-13.csv,187.0,188.0,187.0,187.0,"102,500"
71,MNBBLP,2019-08-15.csv,187.0,187.0,187.0,187.0,"7,000"
78,MNBBLP,2019-08-29.csv,187.0,187.0,187.0,187.0,"9,500"
74,MNBBLP,2019-11-04.csv,184.0,184.0,184.0,184.0,"7,000"
69,MNBBLP,2019-11-05.csv,184.0,184.0,184.0,184.0,"50,000"
71,MNBBLP,2019-11-07.csv,184.0,184.0,184.0,184.0,"27,000"
71,MNBBLP,2019-11-10.csv,181.0,181.0,181.0,181.0,"11,254"
68,MNBBLP,2019-11-17.csv,181.0,181.0,181.0,181.0,"20,000"
73,MNBBLP,2019-11-19.csv,181.0,181.0,181.0,181.0,"86,272"
73,MNBBLP,2019-11-24.csv,178.0,178.0,178.0,178.0,"33,760"
77,MNBBLP,2019-12-08.csv,175.0,175.0,175.0,175.0,"15,000"
83,MNBBLP,2020-03-16.csv,172.0,172.0,172.0,172.0,"90,000"
