S.no,Symbol,Date,Open,High,Low,Close,Vol
55,MSBBL,2013-12-10.csv,100.0,105.0,105.0,105.0,10
59,MSBBL,2013-12-22.csv,105.0,103.0,102.0,102.0,"1,098"
61,MSBBL,2014-01-22.csv,102.0,104.0,102.0,104.0,676
60,MSBBL,2014-01-23.csv,104.0,106.0,106.0,106.0,"1,098"
62,MSBBL,2014-01-26.csv,106.0,105.0,105.0,105.0,221
56,MSBBL,2014-02-11.csv,105.0,107.0,107.0,107.0,"2,745"
61,MSBBL,2014-02-24.csv,107.0,117.0,109.0,117.0,100
59,MSBBL,2014-02-25.csv,117.0,127.0,119.0,127.0,100
58,MSBBL,2014-02-26.csv,127.0,133.0,129.0,133.0,192
52,MSBBL,2014-03-03.csv,133.0,135.0,135.0,135.0,20
46,MSBBL,2014-03-04.csv,135.0,137.0,137.0,137.0,34
63,MSBBL,2014-03-06.csv,137.0,150.0,139.0,150.0,"1,646"
60,MSBBL,2014-03-09.csv,150.0,153.0,150.0,150.0,630
50,MSBBL,2014-03-18.csv,150.0,147.0,143.0,143.0,732
63,MSBBL,2014-04-06.csv,143.0,141.0,141.0,141.0,81
55,MSBBL,2014-04-07.csv,141.0,139.0,139.0,139.0,382
58,MSBBL,2014-04-09.csv,139.0,137.0,135.0,135.0,449
57,MSBBL,2014-04-10.csv,135.0,133.0,131.0,131.0,"1,282"
60,MSBBL,2014-04-13.csv,131.0,129.0,129.0,129.0,81
59,MSBBL,2014-04-15.csv,129.0,129.0,127.0,129.0,530
54,MSBBL,2014-04-16.csv,129.0,130.0,130.0,130.0,91
60,MSBBL,2014-04-17.csv,130.0,132.0,128.0,130.0,438
58,MSBBL,2014-04-20.csv,130.0,130.0,130.0,130.0,370
61,MSBBL,2014-04-21.csv,130.0,130.0,128.0,130.0,162
60,MSBBL,2014-04-22.csv,130.0,128.0,123.0,123.0,"1,338"
62,MSBBL,2014-04-23.csv,123.0,123.0,121.0,121.0,243
58,MSBBL,2014-04-27.csv,121.0,123.0,119.0,119.0,729
57,MSBBL,2014-04-28.csv,119.0,118.0,118.0,118.0,630
61,MSBBL,2014-04-29.csv,118.0,121.0,118.0,121.0,526
57,MSBBL,2014-05-04.csv,121.0,123.0,123.0,123.0,199
64,MSBBL,2014-05-11.csv,123.0,125.0,125.0,125.0,81
62,MSBBL,2014-05-13.csv,125.0,129.0,127.0,129.0,375
114,MSBBL,2014-05-15.csv,129.0,131.0,131.0,131.0,294
115,MSBBL,2014-05-15.csv,129.0,131.0,131.0,131.0,294
61,MSBBL,2014-05-19.csv,131.0,138.0,133.0,138.0,324
67,MSBBL,2014-05-20.csv,138.0,145.0,140.0,142.0,935
61,MSBBL,2014-05-21.csv,142.0,144.0,138.0,144.0,"3,613"
69,MSBBL,2014-05-22.csv,144.0,149.0,145.0,149.0,"1,569"
