S.no,Symbol,Date,Open,High,Low,Close,Vol
76,MSLB,2017-08-31.csv,1626.0,1658.0,1658.0,1658.0,100
75,MSLB,2017-10-08.csv,1658.0,1724.0,1691.0,1724.0,110
78,MSLB,2017-10-29.csv,1724.0,1758.0,1758.0,1758.0,10
78,MSLB,2017-11-05.csv,1758.0,1828.0,1793.0,1828.0,30
80,MSLB,2017-11-06.csv,1828.0,1977.0,1864.0,1977.0,40
79,MSLB,2017-11-08.csv,1977.0,2056.0,2016.0,2056.0,20
77,MSLB,2017-11-19.csv,1371.0,1398.0,1398.0,1398.0,10
80,MSLB,2017-12-06.csv,1398.0,1453.0,1425.0,1453.0,20
77,MSLB,2017-12-10.csv,1453.0,1511.0,1482.0,1511.0,20
77,MSLB,2017-12-11.csv,1511.0,1571.0,1541.0,1571.0,20
77,MSLB,2017-12-12.csv,1571.0,1634.0,1602.0,1634.0,20
79,MSLB,2017-12-13.csv,1634.0,1732.0,1666.0,1732.0,30
74,MSLB,2017-12-14.csv,1732.0,1801.0,1766.0,1801.0,20
82,MSLB,2017-12-17.csv,1801.0,1910.0,1837.0,1910.0,30
79,MSLB,2017-12-18.csv,1910.0,2005.0,2005.0,2005.0,10
78,MSLB,2017-12-20.csv,2005.0,2085.0,2045.0,2085.0,120
75,MSLB,2017-12-21.csv,2085.0,2211.0,2126.0,2211.0,35
76,MSLB,2017-12-24.csv,2211.0,2414.0,2321.0,2414.0,30
81,MSLB,2017-12-26.csv,2414.0,2655.0,2462.0,2655.0,60
78,MSLB,2017-12-27.csv,2655.0,2920.0,2708.0,2920.0,170
81,MSLB,2017-12-28.csv,2920.0,3212.0,2978.0,3212.0,880
76,MSLB,2017-12-31.csv,3212.0,3341.0,3086.0,3150.0,"5,336"
80,MSLB,2018-01-01.csv,3150.0,3160.0,3103.0,3150.0,"2,071"
82,MSLB,2018-01-02.csv,3150.0,3105.0,3040.0,3100.0,"1,540"
78,MSLB,2018-01-03.csv,3100.0,3098.0,3002.0,3020.0,955
79,MSLB,2018-01-04.csv,3020.0,3020.0,2973.0,2982.0,520
76,MSLB,2018-01-07.csv,2982.0,3050.0,2935.0,2985.0,360
78,MSLB,2018-01-08.csv,2985.0,3044.0,2998.0,3005.0,591
80,MSLB,2018-01-09.csv,3005.0,3004.0,2971.0,2990.0,250
79,MSLB,2018-01-10.csv,2990.0,2965.0,2951.0,2951.0,270
75,MSLB,2018-01-14.csv,2951.0,2980.0,2852.0,2920.0,500
78,MSLB,2018-01-16.csv,2920.0,3000.0,2900.0,3000.0,370
77,MSLB,2018-01-17.csv,3000.0,3000.0,2930.0,2942.0,243
80,MSLB,2018-01-21.csv,2942.0,2950.0,2902.0,2905.0,260
79,MSLB,2018-01-22.csv,2905.0,2905.0,2875.0,2890.0,130
75,MSLB,2018-01-23.csv,2890.0,2899.0,2845.0,2851.0,320
77,MSLB,2018-01-24.csv,2851.0,2907.0,2830.0,2836.0,270
79,MSLB,2018-01-25.csv,2836.0,2890.0,2834.0,2885.0,190
79,MSLB,2018-01-28.csv,2885.0,2860.0,2837.0,2843.0,220
80,MSLB,2018-01-29.csv,2843.0,2850.0,2831.0,2849.0,120
78,MSLB,2018-01-31.csv,2849.0,2870.0,2850.0,2870.0,100
76,MSLB,2018-02-01.csv,2870.0,2900.0,2848.0,2848.0,50
77,MSLB,2018-02-04.csv,2848.0,2940.0,2865.0,2900.0,280
76,MSLB,2018-02-05.csv,2900.0,2875.0,2850.0,2860.0,50
75,MSLB,2018-02-06.csv,2860.0,2856.0,2846.0,2856.0,50
74,MSLB,2018-02-07.csv,2856.0,2880.0,2830.0,2830.0,299
72,MSLB,2018-02-08.csv,2830.0,2886.0,2811.0,2841.0,99
78,MSLB,2018-02-11.csv,2841.0,2818.0,2800.0,2817.0,50
76,MSLB,2018-02-12.csv,2817.0,2830.0,2820.0,2821.0,150
76,MSLB,2018-02-14.csv,2821.0,2850.0,2790.0,2850.0,170
83,MSLB,2018-02-15.csv,2850.0,2954.0,2815.0,2954.0,262
76,MSLB,2018-02-18.csv,3009.0,3009.0,2893.0,2895.0,120
79,MSLB,2018-02-20.csv,2952.0,2952.0,2847.0,2847.0,60
68,MSLB,2018-02-21.csv,2830.0,2840.0,2800.0,2800.0,90
77,MSLB,2018-02-22.csv,2785.0,2850.0,2781.0,2850.0,280
68,MSLB,2018-02-25.csv,2810.0,2810.0,2784.0,2785.0,230
69,MSLB,2018-02-26.csv,2740.0,2740.0,2731.0,2737.0,270
72,MSLB,2018-02-27.csv,2730.0,2770.0,2730.0,2770.0,160
75,MSLB,2018-02-28.csv,2716.0,2716.0,2683.0,2705.0,130
69,MSLB,2018-03-04.csv,2652.0,2653.0,2499.0,2510.0,479
72,MSLB,2018-03-05.csv,2500.0,2500.0,2385.0,2387.0,650
77,MSLB,2018-03-06.csv,2350.0,2485.0,2350.0,2485.0,160
76,MSLB,2018-03-07.csv,2436.0,2524.0,2436.0,2500.0,270
75,MSLB,2018-03-11.csv,2450.0,2480.0,2431.0,2431.0,50
74,MSLB,2018-03-12.csv,2383.0,2400.0,2352.0,2352.0,380
71,MSLB,2018-03-14.csv,2399.0,2408.0,2361.0,2408.0,50
69,MSLB,2018-03-15.csv,2400.0,2455.0,2400.0,2449.0,260
71,MSLB,2018-03-18.csv,2440.0,2440.0,2401.0,2405.0,80
72,MSLB,2018-03-19.csv,2370.0,2400.0,2370.0,2400.0,190
75,MSLB,2018-03-20.csv,2355.0,2361.0,2355.0,2361.0,70
72,MSLB,2018-03-21.csv,2325.0,2364.0,2271.0,2300.0,210
73,MSLB,2018-03-22.csv,2346.0,2346.0,2209.0,2209.0,461
72,MSLB,2018-03-26.csv,2165.0,2165.0,1989.0,1989.0,220
81,MSLB,2018-03-27.csv,1989.0,1989.0,1873.0,1965.0,220
74,MSLB,2018-03-28.csv,2004.0,2044.0,1981.0,2000.0,190
78,MSLB,2018-03-29.csv,2040.0,2091.0,2009.0,2091.0,174
74,MSLB,2018-04-01.csv,2132.0,2132.0,2047.0,2047.0,50
71,MSLB,2018-04-02.csv,2008.0,2025.0,2007.0,2025.0,50
74,MSLB,2018-04-03.csv,2025.0,2045.0,2005.0,2005.0,60
78,MSLB,2018-04-04.csv,2005.0,2085.0,2003.0,2085.0,170
80,MSLB,2018-04-05.csv,2086.0,2120.0,2085.0,2120.0,630
87,MSLB,2018-04-08.csv,2125.0,2332.0,2125.0,2332.0,895
81,MSLB,2018-04-09.csv,2375.0,2420.0,2350.0,2389.0,300
73,MSLB,2018-04-10.csv,2342.0,2342.0,2291.0,2300.0,300
74,MSLB,2018-04-11.csv,2346.0,2346.0,2340.0,2346.0,150
76,MSLB,2018-04-12.csv,2300.0,2432.0,2300.0,2401.0,350
74,MSLB,2018-04-15.csv,2354.0,2385.0,2354.0,2385.0,40
83,MSLB,2018-04-16.csv,2418.0,2517.0,2418.0,2500.0,"1,010"
80,MSLB,2018-04-17.csv,2550.0,2650.0,2550.0,2650.0,410
83,MSLB,2018-04-18.csv,2703.0,2703.0,2576.0,2576.0,592
82,MSLB,2018-04-19.csv,2627.0,2700.0,2620.0,2700.0,510
81,MSLB,2018-04-22.csv,2725.0,2840.0,2720.0,2840.0,801
83,MSLB,2018-04-23.csv,2896.0,2896.0,2839.0,2890.0,180
84,MSLB,2018-04-24.csv,2850.0,2850.0,2668.0,2840.0,"1,016"
77,MSLB,2018-04-25.csv,2784.0,2784.0,2690.0,2700.0,626
76,MSLB,2018-04-26.csv,2700.0,2754.0,2609.0,2609.0,780
76,MSLB,2018-04-29.csv,2600.0,2700.0,2598.0,2684.0,495
74,MSLB,2018-05-02.csv,2634.0,2735.0,2632.0,2735.0,480
84,MSLB,2018-05-03.csv,2735.0,2749.0,2700.0,2745.0,315
75,MSLB,2018-05-06.csv,2691.0,2850.0,2691.0,2850.0,220
73,MSLB,2018-05-07.csv,2899.0,2899.0,2681.0,2764.0,"2,331"
77,MSLB,2018-05-08.csv,2760.0,2792.0,2660.0,2790.0,"2,275"
75,MSLB,2018-05-09.csv,2820.0,2820.0,2681.0,2749.0,"1,115"
77,MSLB,2018-05-10.csv,2760.0,2760.0,2700.0,2730.0,"1,605"
76,MSLB,2018-05-14.csv,2710.0,2729.0,2679.0,2705.0,"2,285"
66,MSLB,2018-05-15.csv,2700.0,2700.0,2688.0,2690.0,400
73,MSLB,2018-05-16.csv,2690.0,2770.0,2690.0,2770.0,320
72,MSLB,2018-05-17.csv,2730.0,2730.0,2685.0,2700.0,449
78,MSLB,2018-05-20.csv,2754.0,2800.0,2739.0,2784.0,"1,270"
78,MSLB,2018-05-21.csv,2750.0,2815.0,2740.0,2815.0,893
75,MSLB,2018-05-22.csv,2815.0,2907.0,2780.0,2900.0,"1,865"
77,MSLB,2018-05-23.csv,2862.0,3000.0,2845.0,2940.0,"1,368"
78,MSLB,2018-05-24.csv,2998.0,2998.0,2840.0,2852.0,"1,565"
75,MSLB,2018-05-27.csv,2800.0,2835.0,2763.0,2763.0,550
82,MSLB,2018-05-28.csv,2818.0,2896.0,2801.0,2860.0,"2,110"
79,MSLB,2018-05-29.csv,2904.0,2917.0,2840.0,2853.0,"1,381"
81,MSLB,2018-05-30.csv,2875.0,2949.0,2833.0,2833.0,"1,010"
79,MSLB,2018-05-31.csv,2885.0,2889.0,2841.0,2850.0,"1,876"
74,MSLB,2018-06-03.csv,2793.0,2870.0,2756.0,2780.0,"1,758"
72,MSLB,2018-06-04.csv,2755.0,2800.0,2660.0,2700.0,"1,110"
64,MSLB,2018-06-06.csv,2754.0,2810.0,2754.0,2760.0,420
78,MSLB,2018-06-07.csv,2740.0,2741.0,2690.0,2705.0,640
76,MSLB,2018-06-10.csv,2660.0,2661.0,2610.0,2625.0,540
82,MSLB,2018-06-11.csv,2590.0,2705.0,2590.0,2698.0,830
75,MSLB,2018-06-12.csv,2645.0,2750.0,2631.0,2750.0,475
74,MSLB,2018-06-13.csv,2695.0,2733.0,2675.0,2733.0,615
78,MSLB,2018-06-14.csv,2733.0,2767.0,2679.0,2730.0,540
75,MSLB,2018-06-17.csv,2700.0,2750.0,2665.0,2718.0,320
70,MSLB,2018-06-18.csv,2700.0,2770.0,2680.0,2750.0,"1,200"
79,MSLB,2018-06-19.csv,2760.0,2760.0,2700.0,2720.0,725
76,MSLB,2018-06-20.csv,2710.0,2715.0,2682.0,2715.0,225
80,MSLB,2018-06-21.csv,2725.0,2725.0,2680.0,2680.0,250
