S.no,Symbol,Date,Open,High,Low,Close,Vol
57,MSMBS,2015-12-09.csv,327.0,351.0,333.0,351.0,40
52,MSMBS,2015-12-15.csv,351.0,386.0,358.0,386.0,240
58,MSMBS,2015-12-21.csv,386.0,424.0,393.0,424.0,120
54,MSMBS,2015-12-24.csv,424.0,466.0,432.0,466.0,60
57,MSMBS,2015-12-29.csv,466.0,512.0,475.0,512.0,"1,060"
54,MSMBS,2016-01-04.csv,512.0,552.0,522.0,552.0,40
59,MSMBS,2016-01-05.csv,552.0,607.0,579.0,607.0,60
60,MSMBS,2016-01-06.csv,607.0,667.0,637.0,667.0,100
59,MSMBS,2016-01-07.csv,667.0,733.0,700.0,733.0,130
62,MSMBS,2016-01-10.csv,733.0,761.0,747.0,761.0,170
62,MSMBS,2016-01-11.csv,761.0,837.0,776.0,837.0,120
120,MSMBS,2016-01-12.csv,837.0,920.0,853.0,920.0,240
121,MSMBS,2016-01-12.csv,837.0,920.0,853.0,920.0,240
60,MSMBS,2016-01-13.csv,920.0,1012.0,966.0,1012.0,"1,107"
60,MSMBS,2016-01-14.csv,1012.0,1113.0,1032.0,1113.0,"7,097"
59,MSMBS,2016-03-23.csv,1113.0,1168.0,1168.0,1168.0,10
59,MSMBS,2016-03-24.csv,1168.0,1226.0,1226.0,1226.0,10
61,MSMBS,2016-03-27.csv,1226.0,1338.0,1287.0,1338.0,30
55,MSMBS,2016-03-28.csv,1338.0,1471.0,1404.0,1471.0,177
55,MSMBS,2016-03-29.csv,1471.0,1618.0,1500.0,1618.0,"2,430"
55,MSMBS,2016-03-30.csv,1618.0,1779.0,1650.0,1779.0,"2,860"
56,MSMBS,2016-03-31.csv,1779.0,1924.0,1750.0,1802.0,"7,776"
57,MSMBS,2016-04-03.csv,1802.0,1766.0,1622.0,1622.0,"2,720"
53,MSMBS,2016-04-04.csv,1622.0,1660.0,1550.0,1600.0,"2,459"
53,MSMBS,2016-04-05.csv,1600.0,1600.0,1545.0,1572.0,"1,610"
55,MSMBS,2016-04-06.csv,1572.0,1602.0,1570.0,1576.0,"1,312"
55,MSMBS,2016-04-10.csv,1576.0,1600.0,1565.0,1600.0,680
57,MSMBS,2016-04-11.csv,1600.0,1575.0,1570.0,1570.0,60
50,MSMBS,2016-04-12.csv,1570.0,1600.0,1562.0,1563.0,640
54,MSMBS,2016-04-14.csv,1563.0,1540.0,1520.0,1521.0,"1,160"
47,MSMBS,2016-04-17.csv,1521.0,1510.0,1480.0,1510.0,596
59,MSMBS,2016-04-18.csv,1510.0,1500.0,1480.0,1486.0,485
59,MSMBS,2016-04-19.csv,1486.0,1550.0,1481.0,1550.0,870
56,MSMBS,2016-04-20.csv,1550.0,1705.0,1519.0,1705.0,440
58,MSMBS,2016-04-21.csv,1705.0,1671.0,1551.0,1591.0,986
53,MSMBS,2016-04-24.csv,1591.0,1590.0,1500.0,1590.0,830
57,MSMBS,2016-04-25.csv,1590.0,1559.0,1500.0,1532.0,526
55,MSMBS,2016-04-26.csv,1532.0,1562.0,1532.0,1543.0,"1,260"
55,MSMBS,2016-04-27.csv,1543.0,1600.0,1551.0,1585.0,658
55,MSMBS,2016-04-28.csv,1585.0,1648.0,1545.0,1590.0,"1,250"
52,MSMBS,2016-05-02.csv,1590.0,1580.0,1531.0,1542.0,710
58,MSMBS,2016-05-03.csv,1542.0,1560.0,1520.0,1536.0,840
54,MSMBS,2016-05-04.csv,1536.0,1535.0,1506.0,1535.0,"1,268"
58,MSMBS,2016-05-05.csv,1535.0,1540.0,1500.0,1520.0,"1,474"
58,MSMBS,2016-05-08.csv,1520.0,1515.0,1478.0,1515.0,"1,320"
58,MSMBS,2016-05-09.csv,1515.0,1520.0,1500.0,1501.0,862
58,MSMBS,2016-05-10.csv,1501.0,1545.0,1500.0,1510.0,"1,502"
56,MSMBS,2016-05-11.csv,1510.0,1540.0,1495.0,1525.0,"1,140"
59,MSMBS,2016-05-12.csv,1525.0,1525.0,1491.0,1500.0,"1,036"
