S.no,Symbol,Date,Open,High,Low,Close,Vol
86,NAGRO,2019-06-12.csv,311.0,311.0,311.0,311.0,10
86,NAGRO,2019-06-13.csv,326.0,326.0,326.0,326.0,10
87,NAGRO,2019-06-16.csv,342.0,348.0,342.0,348.0,20
86,NAGRO,2019-06-17.csv,365.0,365.0,365.0,365.0,10
89,NAGRO,2019-06-18.csv,383.0,383.0,383.0,383.0,10
83,NAGRO,2019-06-20.csv,402.0,402.0,402.0,402.0,10
85,NAGRO,2019-06-23.csv,422.0,422.0,422.0,422.0,10
84,NAGRO,2019-06-26.csv,443.0,464.0,443.0,464.0,"2,339"
85,NAGRO,2019-06-27.csv,487.0,509.0,445.0,501.0,"12,838"
85,NAGRO,2019-06-30.csv,501.0,501.0,476.0,480.0,"4,048"
83,NAGRO,2019-07-01.csv,474.0,480.0,471.0,476.0,"2,380"
85,NAGRO,2019-07-02.csv,485.0,494.0,472.0,486.0,"1,810"
85,NAGRO,2019-07-03.csv,486.0,513.0,486.0,505.0,"3,120"
86,NAGRO,2019-07-04.csv,505.0,525.0,501.0,525.0,"3,390"
83,NAGRO,2019-07-07.csv,515.0,518.0,495.0,506.0,"2,740"
84,NAGRO,2019-07-08.csv,497.0,500.0,482.0,491.0,"1,237"
83,NAGRO,2019-07-09.csv,491.0,499.0,487.0,495.0,350
84,NAGRO,2019-07-10.csv,486.0,506.0,486.0,493.0,500
84,NAGRO,2019-07-11.csv,495.0,500.0,486.0,487.0,520
79,NAGRO,2019-07-14.csv,478.0,494.0,478.0,494.0,"1,150"
83,NAGRO,2019-07-15.csv,490.0,502.0,490.0,491.0,470
81,NAGRO,2019-07-16.csv,491.0,491.0,484.0,486.0,130
81,NAGRO,2019-07-17.csv,478.0,502.0,478.0,502.0,490
76,NAGRO,2019-07-18.csv,500.0,502.0,495.0,502.0,200
82,NAGRO,2019-07-21.csv,495.0,510.0,495.0,508.0,690
81,NAGRO,2019-07-22.csv,500.0,508.0,499.0,503.0,750
83,NAGRO,2019-07-23.csv,500.0,513.0,500.0,511.0,760
83,NAGRO,2019-07-24.csv,511.0,540.0,511.0,540.0,"2,240"
83,NAGRO,2019-07-25.csv,530.0,535.0,521.0,535.0,"1,570"
81,NAGRO,2019-07-28.csv,535.0,550.0,526.0,540.0,"2,892"
80,NAGRO,2019-07-29.csv,550.0,594.0,550.0,594.0,"4,287"
85,NAGRO,2019-07-30.csv,605.0,653.0,605.0,653.0,"6,659"
83,NAGRO,2019-07-31.csv,655.0,718.0,655.0,718.0,"6,334"
81,NAGRO,2019-08-01.csv,732.0,789.0,732.0,789.0,"1,920"
82,NAGRO,2019-08-04.csv,828.0,867.0,828.0,867.0,"3,394"
85,NAGRO,2019-08-05.csv,884.0,953.0,821.0,860.0,"8,784"
82,NAGRO,2019-08-06.csv,850.0,850.0,775.0,790.0,"4,422"
84,NAGRO,2019-08-07.csv,775.0,869.0,746.0,869.0,"3,257"
83,NAGRO,2019-08-08.csv,860.0,869.0,830.0,860.0,"1,010"
81,NAGRO,2019-08-11.csv,843.0,892.0,828.0,859.0,"2,110"
85,NAGRO,2019-08-12.csv,843.0,860.0,824.0,830.0,"1,485"
80,NAGRO,2019-08-13.csv,830.0,869.0,830.0,865.0,805
83,NAGRO,2019-08-14.csv,882.0,882.0,817.0,842.0,410
76,NAGRO,2019-08-15.csv,830.0,835.0,822.0,835.0,510
77,NAGRO,2019-08-18.csv,830.0,835.0,780.0,810.0,"1,769"
