S.no,Symbol,Date,Open,High,Low,Close,Vol
45,NBB,2012-01-01.csv,123.0,126.0,122.0,126.0,"1,590"
38,NBB,2012-01-02.csv,126.0,130.0,123.0,128.0,"1,105"
42,NBB,2012-01-03.csv,128.0,129.0,122.0,127.0,430
42,NBB,2012-01-04.csv,127.0,125.0,120.0,120.0,"2,450"
34,NBB,2012-01-05.csv,120.0,124.0,118.0,120.0,"5,920"
34,NBB,2012-01-08.csv,120.0,124.0,122.0,123.0,845
41,NBB,2012-01-09.csv,123.0,122.0,122.0,122.0,945
43,NBB,2012-01-11.csv,122.0,122.0,120.0,122.0,760
43,NBB,2012-01-12.csv,122.0,122.0,120.0,120.0,"1,060"
33,NBB,2012-01-16.csv,120.0,120.0,119.0,120.0,400
40,NBB,2012-01-17.csv,120.0,124.0,122.0,122.0,545
39,NBB,2012-01-18.csv,122.0,124.0,122.0,122.0,230
30,NBB,2012-01-19.csv,122.0,130.0,124.0,130.0,755
49,NBB,2012-01-23.csv,130.0,132.0,132.0,132.0,40
38,NBB,2012-01-25.csv,132.0,130.0,130.0,130.0,20
43,NBB,2012-01-26.csv,130.0,130.0,130.0,130.0,"1,000"
46,NBB,2012-01-29.csv,130.0,128.0,120.0,120.0,"1,761"
49,NBB,2012-01-31.csv,120.0,121.0,113.0,113.0,"13,700"
42,NBB,2012-02-01.csv,113.0,115.0,112.0,112.0,"2,605"
44,NBB,2012-02-02.csv,112.0,117.0,113.0,117.0,300
44,NBB,2012-02-05.csv,117.0,115.0,111.0,111.0,"1,655"
42,NBB,2012-02-06.csv,111.0,113.0,110.0,110.0,343
43,NBB,2012-02-07.csv,110.0,112.0,110.0,112.0,525
40,NBB,2012-02-08.csv,112.0,112.0,111.0,112.0,"1,460"
47,NBB,2012-02-12.csv,112.0,112.0,111.0,112.0,"6,825"
40,NBB,2012-02-13.csv,112.0,112.0,110.0,112.0,"2,080"
37,NBB,2012-02-14.csv,112.0,112.0,111.0,111.0,573
42,NBB,2012-02-15.csv,111.0,112.0,109.0,111.0,745
43,NBB,2012-02-16.csv,111.0,113.0,110.0,113.0,"1,588"
42,NBB,2012-02-21.csv,113.0,111.0,108.0,110.0,868
39,NBB,2012-02-23.csv,110.0,114.0,110.0,114.0,"6,510"
44,NBB,2012-02-26.csv,114.0,115.0,112.0,112.0,"6,243"
46,NBB,2012-02-27.csv,112.0,112.0,110.0,112.0,"4,070"
39,NBB,2012-02-28.csv,112.0,114.0,112.0,112.0,"1,000"
40,NBB,2012-02-29.csv,112.0,118.0,110.0,111.0,"1,688"
42,NBB,2012-03-01.csv,111.0,113.0,112.0,112.0,693
41,NBB,2012-03-04.csv,112.0,110.0,108.0,108.0,"2,215"
39,NBB,2012-03-05.csv,108.0,110.0,110.0,110.0,100
44,NBB,2012-03-06.csv,110.0,111.0,108.0,108.0,"9,600"
43,NBB,2012-03-11.csv,108.0,110.0,110.0,110.0,225
38,NBB,2012-03-12.csv,110.0,110.0,108.0,108.0,"9,290"
42,NBB,2012-03-13.csv,108.0,108.0,108.0,108.0,"9,000"
37,NBB,2012-03-14.csv,108.0,108.0,107.0,107.0,"9,813"
34,NBB,2012-03-15.csv,107.0,111.0,109.0,111.0,"2,945"
45,NBB,2012-03-18.csv,111.0,109.0,105.0,107.0,"4,025"
40,NBB,2012-03-19.csv,107.0,107.0,105.0,105.0,"4,325"
45,NBB,2012-03-20.csv,105.0,105.0,104.0,105.0,660
46,NBB,2012-03-21.csv,105.0,108.0,104.0,108.0,"1,840"
41,NBB,2012-03-25.csv,108.0,107.0,107.0,107.0,150
39,NBB,2012-03-26.csv,107.0,106.0,106.0,106.0,38
45,NBB,2012-03-27.csv,106.0,105.0,104.0,104.0,"2,660"
40,NBB,2012-03-28.csv,104.0,105.0,103.0,103.0,"5,245"
42,NBB,2012-03-29.csv,103.0,103.0,103.0,103.0,45
