S.no,Symbol,Date,Open,High,Low,Close,Vol
36,NBF1,2013-05-06.csv,0.0,11.0,10.0,11.0,"8,896"
46,NBF1,2013-05-07.csv,11.0,12.0,11.0,11.0,"516,949"
42,NBF1,2013-05-08.csv,11.0,11.0,11.0,11.0,"136,304"
45,NBF1,2013-05-09.csv,11.0,11.0,11.0,11.0,"491,576"
50,NBF1,2013-05-12.csv,11.0,11.0,11.0,11.0,"215,316"
43,NBF1,2013-05-13.csv,11.0,11.0,11.0,11.0,"126,574"
41,NBF1,2013-05-14.csv,11.0,11.0,11.0,11.0,"51,514"
46,NBF1,2013-05-15.csv,11.0,11.0,11.0,11.0,"129,726"
40,NBF1,2013-05-16.csv,11.0,11.0,11.0,11.0,"128,650"
44,NBF1,2013-05-19.csv,11.0,11.0,11.0,11.0,"89,294"
46,NBF1,2013-05-20.csv,11.0,11.0,11.0,11.0,"76,972"
49,NBF1,2013-05-21.csv,11.0,11.0,11.0,11.0,"92,977"
46,NBF1,2013-05-22.csv,11.0,11.0,11.0,11.0,"68,620"
47,NBF1,2013-05-23.csv,11.0,11.0,11.0,11.0,"94,920"
45,NBF1,2013-05-26.csv,11.0,11.0,11.0,11.0,"94,406"
47,NBF1,2013-05-27.csv,11.0,11.0,11.0,11.0,"55,648"
48,NBF1,2013-05-28.csv,11.0,11.0,11.0,11.0,"99,256"
45,NBF1,2013-05-30.csv,11.0,11.0,11.0,11.0,"98,037"
48,NBF1,2013-06-02.csv,11.0,11.0,10.0,10.0,"66,728"
45,NBF1,2013-06-03.csv,10.0,11.0,10.0,11.0,"40,616"
51,NBF1,2013-06-04.csv,11.0,11.0,10.0,10.0,"38,056"
44,NBF1,2013-06-05.csv,10.0,10.0,10.0,10.0,"49,547"
50,NBF1,2013-06-06.csv,10.0,10.0,10.0,10.0,"92,760"
48,NBF1,2013-06-09.csv,10.0,10.0,10.0,10.0,"12,545"
52,NBF1,2013-06-10.csv,10.0,10.0,10.0,10.0,"44,075"
45,NBF1,2013-06-11.csv,10.0,10.0,10.0,10.0,"61,729"
48,NBF1,2013-06-12.csv,10.0,11.0,10.0,10.0,"35,160"
50,NBF1,2013-06-13.csv,10.0,10.0,10.0,10.0,"124,398"
40,NBF1,2013-06-16.csv,10.0,10.0,10.0,10.0,"53,312"
47,NBF1,2013-06-17.csv,10.0,10.0,10.0,10.0,"14,777"
51,NBF1,2013-06-18.csv,10.0,10.0,10.0,10.0,"45,705"
45,NBF1,2013-06-19.csv,10.0,10.0,10.0,10.0,"85,203"
49,NBF1,2013-06-20.csv,10.0,10.0,10.0,10.0,"180,204"
44,NBF1,2013-06-23.csv,10.0,10.0,10.0,10.0,"268,589"
54,NBF1,2013-07-09.csv,10.0,10.0,10.0,10.0,"146,231"
47,NBF1,2013-07-10.csv,10.0,10.0,10.0,10.0,"13,188"
44,NBF1,2013-07-11.csv,10.0,10.0,10.0,10.0,"36,123"
54,NBF1,2013-07-15.csv,10.0,10.0,10.0,10.0,"10,623"
48,NBF1,2013-07-16.csv,10.0,10.0,10.0,10.0,"79,251"
48,NBF1,2013-07-17.csv,10.0,10.0,10.0,10.0,"74,628"
52,NBF1,2013-07-18.csv,10.0,10.0,10.0,10.0,"16,669"
46,NBF1,2013-07-21.csv,10.0,10.0,10.0,10.0,"96,604"
55,NBF1,2013-07-22.csv,10.0,10.0,10.0,10.0,"71,083"
52,NBF1,2013-07-23.csv,10.0,10.0,10.0,10.0,"5,874"
50,NBF1,2013-07-24.csv,10.0,10.0,10.0,10.0,"269,094"
46,NBF1,2013-07-25.csv,10.0,10.0,10.0,10.0,"63,238"
46,NBF1,2013-07-28.csv,10.0,10.0,10.0,10.0,"34,752"
54,NBF1,2013-07-29.csv,10.0,10.0,10.0,10.0,"22,084"
51,NBF1,2013-07-30.csv,10.0,10.0,10.0,10.0,"80,819"
52,NBF1,2013-07-31.csv,10.0,10.0,10.0,10.0,"99,109"
53,NBF1,2013-08-01.csv,10.0,10.0,10.0,10.0,"155,584"
56,NBF1,2013-08-04.csv,10.0,10.0,10.0,10.0,"33,733"
52,NBF1,2013-08-05.csv,10.0,10.0,10.0,10.0,"111,668"
55,NBF1,2013-08-06.csv,10.0,10.0,10.0,10.0,"27,631"
58,NBF1,2013-08-07.csv,10.0,10.0,10.0,10.0,"29,071"
53,NBF1,2013-08-08.csv,10.0,10.0,10.0,10.0,"23,993"
57,NBF1,2013-08-11.csv,10.0,10.0,10.0,10.0,"15,824"
62,NBF1,2013-08-12.csv,10.0,10.0,10.0,10.0,"28,988"
59,NBF1,2013-08-13.csv,10.0,10.0,10.0,10.0,"9,889"
54,NBF1,2013-08-14.csv,10.0,10.0,10.0,10.0,"42,449"
61,NBF1,2013-08-15.csv,10.0,10.0,10.0,10.0,"47,345"
54,NBF1,2013-08-18.csv,10.0,10.0,10.0,10.0,"36,952"
58,NBF1,2013-08-19.csv,10.0,10.0,10.0,10.0,"50,311"
62,NBF1,2013-08-20.csv,10.0,10.0,10.0,10.0,"178,735"
61,NBF1,2013-08-25.csv,10.0,10.0,10.0,10.0,"72,559"
57,NBF1,2013-08-26.csv,10.0,10.0,10.0,10.0,"123,416"
56,NBF1,2013-08-27.csv,10.0,10.0,10.0,10.0,"57,567"
57,NBF1,2013-08-29.csv,10.0,10.0,10.0,10.0,"63,149"
60,NBF1,2013-09-01.csv,10.0,10.0,10.0,10.0,"47,359"
59,NBF1,2013-09-02.csv,10.0,10.0,10.0,10.0,"39,057"
60,NBF1,2013-09-03.csv,10.0,10.0,10.0,10.0,"31,204"
60,NBF1,2013-09-04.csv,10.0,10.0,10.0,10.0,"17,682"
60,NBF1,2013-09-05.csv,10.0,10.0,10.0,10.0,"26,214"
54,NBF1,2013-09-08.csv,10.0,10.0,10.0,10.0,"9,149"
57,NBF1,2013-09-09.csv,10.0,10.0,10.0,10.0,"35,664"
61,NBF1,2013-09-10.csv,10.0,10.0,10.0,10.0,"83,311"
60,NBF1,2013-09-11.csv,10.0,10.0,10.0,10.0,"62,266"
50,NBF1,2013-09-12.csv,10.0,10.0,9.0,9.0,"29,618"
62,NBF1,2013-09-15.csv,9.0,9.0,9.0,9.0,"29,968"
57,NBF1,2013-09-16.csv,9.0,10.0,10.0,10.0,"54,193"
58,NBF1,2013-09-17.csv,10.0,10.0,9.0,10.0,"33,310"
56,NBF1,2013-09-19.csv,10.0,10.0,10.0,10.0,"28,478"
62,NBF1,2013-09-22.csv,10.0,9.0,9.0,9.0,"69,613"
52,NBF1,2013-09-23.csv,9.0,9.0,9.0,9.0,"35,084"
53,NBF1,2013-09-24.csv,9.0,10.0,9.0,10.0,"17,778"
51,NBF1,2013-09-25.csv,10.0,10.0,9.0,9.0,"13,787"
49,NBF1,2013-09-26.csv,9.0,10.0,9.0,9.0,"8,511"
57,NBF1,2013-09-29.csv,9.0,9.0,9.0,9.0,"14,204"
52,NBF1,2013-09-30.csv,9.0,10.0,9.0,10.0,"20,199"
52,NBF1,2013-10-01.csv,10.0,9.0,9.0,9.0,"7,193"
50,NBF1,2013-10-02.csv,9.0,9.0,9.0,9.0,599
51,NBF1,2013-10-03.csv,9.0,9.0,9.0,9.0,"10,788"
46,NBF1,2013-10-06.csv,9.0,10.0,9.0,9.0,"49,693"
49,NBF1,2013-10-07.csv,9.0,9.0,9.0,9.0,"9,592"
48,NBF1,2013-10-08.csv,9.0,9.0,9.0,9.0,"26,471"
38,NBF1,2013-10-09.csv,9.0,10.0,9.0,10.0,"21,058"
45,NBF1,2013-10-21.csv,10.0,10.0,10.0,10.0,"22,777"
52,NBF1,2013-10-22.csv,10.0,10.0,10.0,10.0,"69,225"
47,NBF1,2013-10-23.csv,10.0,10.0,10.0,10.0,"9,291"
49,NBF1,2013-10-24.csv,10.0,10.0,9.0,10.0,"35,113"
48,NBF1,2013-10-27.csv,10.0,10.0,9.0,9.0,"18,627"
43,NBF1,2013-10-28.csv,9.0,9.0,9.0,9.0,"24,726"
47,NBF1,2013-10-29.csv,9.0,9.0,9.0,9.0,"10,220"
45,NBF1,2013-10-30.csv,9.0,10.0,9.0,9.0,"32,868"
47,NBF1,2013-10-31.csv,9.0,9.0,9.0,9.0,"9,180"
38,NBF1,2013-11-06.csv,9.0,10.0,10.0,10.0,"37,349"
51,NBF1,2013-11-07.csv,10.0,10.0,10.0,10.0,"51,362"
2,NBF1,2013-11-10.csv,10.0,10.0,9.0,10.0,"19,196"
43,NBF1,2013-11-11.csv,10.0,10.0,10.0,10.0,"98,582"
45,NBF1,2013-11-12.csv,10.0,10.0,10.0,10.0,"2,937"
47,NBF1,2013-11-13.csv,10.0,10.0,10.0,10.0,"1,139"
48,NBF1,2013-11-14.csv,10.0,10.0,10.0,10.0,"74,000"
27,NBF1,2013-11-21.csv,10.0,10.0,10.0,10.0,"5,056"
47,NBF1,2013-11-24.csv,10.0,11.0,11.0,11.0,"84,214"
50,NBF1,2013-11-25.csv,11.0,11.0,10.0,10.0,"43,588"
50,NBF1,2013-11-26.csv,10.0,11.0,10.0,10.0,"65,078"
52,NBF1,2013-11-27.csv,10.0,11.0,10.0,10.0,"112,073"
52,NBF1,2013-11-28.csv,10.0,10.0,10.0,10.0,"30,797"
51,NBF1,2013-12-01.csv,10.0,10.0,10.0,10.0,"50,317"
52,NBF1,2013-12-02.csv,10.0,11.0,10.0,11.0,"51,168"
57,NBF1,2013-12-03.csv,11.0,11.0,11.0,11.0,"102,060"
58,NBF1,2013-12-04.csv,11.0,12.0,11.0,11.0,"98,504"
64,NBF1,2013-12-05.csv,11.0,12.0,11.0,11.0,"386,154"
61,NBF1,2013-12-08.csv,11.0,11.0,11.0,11.0,"153,205"
63,NBF1,2013-12-09.csv,11.0,11.0,11.0,11.0,"83,650"
