Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,NBL,304.0,310.0,306.0,310.0,40043
1/4/2016,NBL,310.0,306.0,300.0,301.0,23894
1/5/2016,NBL,301.0,304.0,290.0,290.0,15493
1/6/2016,NBL,290.0,303.0,271.0,299.0,66866
1/7/2016,NBL,299.0,300.0,296.0,300.0,74508
1/10/2016,NBL,300.0,305.0,294.0,303.0,35034
1/11/2016,NBL,303.0,305.0,300.0,301.0,22194
1/12/2016,NBL,301.0,307.0,298.0,301.0,35223
1/12/2016,NBL,301.0,307.0,298.0,301.0,35223
1/13/2016,NBL,301.0,307.0,301.0,305.0,65700
1/14/2016,NBL,305.0,328.0,305.0,322.0,115901
1/17/2016,NBL,322.0,335.0,319.0,330.0,170631
1/18/2016,NBL,330.0,348.0,330.0,338.0,104647
1/19/2016,NBL,338.0,340.0,327.0,338.0,56995
1/20/2016,NBL,338.0,338.0,331.0,338.0,27344
1/21/2016,NBL,338.0,343.0,332.0,333.0,22446
1/24/2016,NBL,333.0,335.0,332.0,333.0,30546
1/25/2016,NBL,333.0,335.0,320.0,322.0,28986
1/26/2016,NBL,322.0,330.0,321.0,326.0,14122
1/27/2016,NBL,326.0,328.0,321.0,321.0,10700
1/28/2016,NBL,321.0,325.0,320.0,324.0,16714
1/31/2016,NBL,324.0,326.0,320.0,321.0,7898
2/1/2016,NBL,321.0,327.0,322.0,325.0,31428
2/2/2016,NBL,325.0,332.0,321.0,328.0,32366
2/3/2016,NBL,328.0,335.0,326.0,330.0,47110
2/4/2016,NBL,330.0,333.0,326.0,330.0,27469
2/7/2016,NBL,330.0,342.0,328.0,331.0,41078
2/8/2016,NBL,331.0,337.0,329.0,333.0,44997
2/11/2016,NBL,333.0,366.0,339.0,340.0,180431
2/14/2016,NBL,340.0,352.0,339.0,342.0,31940
2/15/2016,NBL,342.0,347.0,336.0,345.0,48757
2/16/2016,NBL,345.0,355.0,339.0,355.0,129611
2/17/2016,NBL,355.0,376.0,355.0,370.0,158220
2/18/2016,NBL,370.0,385.0,355.0,375.0,126655
2/21/2016,NBL,375.0,387.0,370.0,372.0,35109
2/22/2016,NBL,372.0,378.0,367.0,367.0,51310
2/23/2016,NBL,367.0,374.0,359.0,365.0,41202
2/24/2016,NBL,365.0,365.0,356.0,357.0,9977
2/25/2016,NBL,357.0,367.0,351.0,361.0,46777
2/28/2016,NBL,361.0,367.0,360.0,362.0,39275
2/29/2016,NBL,362.0,363.0,358.0,361.0,19336
3/1/2016,NBL,361.0,368.0,358.0,368.0,50317
3/2/2016,NBL,368.0,375.0,361.0,375.0,51462
3/3/2016,NBL,375.0,374.0,368.0,370.0,17947
3/6/2016,NBL,370.0,374.0,366.0,371.0,30279
3/10/2016,NBL,371.0,371.0,365.0,371.0,39615
3/13/2016,NBL,371.0,381.0,364.0,371.0,45472
3/14/2016,NBL,371.0,373.0,364.0,364.0,86846
3/15/2016,NBL,364.0,377.0,346.0,377.0,147810
3/16/2016,NBL,377.0,390.0,378.0,382.0,81352
3/17/2016,NBL,382.0,410.0,382.0,400.0,178022
3/20/2016,NBL,400.0,413.0,388.0,400.0,138739
3/21/2016,NBL,400.0,414.0,397.0,400.0,203878
3/23/2016,NBL,400.0,424.0,392.0,396.0,183130
3/24/2016,NBL,396.0,395.0,384.0,385.0,97381
3/27/2016,NBL,385.0,408.0,382.0,406.0,168645
3/28/2016,NBL,406.0,422.0,400.0,402.0,134081
3/29/2016,NBL,402.0,406.0,396.0,400.0,96654
3/30/2016,NBL,400.0,408.0,400.0,401.0,120035
3/31/2016,NBL,401.0,405.0,398.0,401.0,146774
4/3/2016,NBL,401.0,400.0,390.0,398.0,50884
4/4/2016,NBL,398.0,401.0,399.0,400.0,61306
4/5/2016,NBL,400.0,405.0,399.0,402.0,52162
4/6/2016,NBL,402.0,407.0,400.0,405.0,81341
4/10/2016,NBL,405.0,406.0,403.0,405.0,31935
4/11/2016,NBL,405.0,415.0,405.0,408.0,76292
4/12/2016,NBL,408.0,427.0,410.0,422.0,216085
4/14/2016,NBL,422.0,433.0,422.0,433.0,77281
4/17/2016,NBL,433.0,445.0,433.0,435.0,89108
4/18/2016,NBL,435.0,440.0,430.0,432.0,80749
4/19/2016,NBL,432.0,435.0,423.0,425.0,32285
4/20/2016,NBL,425.0,432.0,425.0,426.0,45621
4/21/2016,NBL,426.0,430.0,421.0,425.0,69974
4/24/2016,NBL,425.0,440.0,427.0,440.0,62966
4/25/2016,NBL,440.0,448.0,435.0,437.0,84418
4/26/2016,NBL,437.0,445.0,430.0,435.0,47199
4/27/2016,NBL,435.0,440.0,430.0,435.0,77283
4/28/2016,NBL,435.0,445.0,434.0,440.0,80652
5/2/2016,NBL,440.0,452.0,440.0,450.0,70427
5/3/2016,NBL,450.0,461.0,447.0,454.0,95689
5/4/2016,NBL,454.0,456.0,445.0,449.0,92783
5/5/2016,NBL,449.0,450.0,440.0,447.0,35189
5/8/2016,NBL,447.0,457.0,442.0,457.0,38882
5/9/2016,NBL,457.0,465.0,456.0,460.0,75125
5/10/2016,NBL,460.0,464.0,455.0,460.0,162513
5/11/2016,NBL,460.0,496.0,469.0,489.0,333994
5/12/2016,NBL,489.0,504.0,484.0,484.0,135417
5/15/2016,NBL,484.0,493.0,481.0,482.0,67831
5/16/2016,NBL,482.0,488.0,475.0,477.0,59838
5/17/2016,NBL,477.0,486.0,474.0,476.0,70793
